# Runlist.csv file written by KVINDRADB_e475s::WriteRunListFile on Wed Mar 25 16:13:17 2009
Version=10
2 | Buffers=12704 | Events=1191382 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=56614 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30556 | DEC=6534275 | FC=1191502 | OK=1191501 | FT=1191501 | AVL=1191501 | OCD=1191501 | OA=1191501 | RAZ=1191502 | Plast All=5371023 | Plast G=1438685 | Plast C=28975 | Plast D=5642541 | Trigger multiplicity=0 | Length (min.)=5.040250 | Size (MB)=198.500000 | Dead time (%)=53.972500 | Start Date=9-MAR-2006 05:55:17.00 | End Date=9-MAR-2006 06:00:18.00 | Comments=faisceau 78Kr + 40Ca 5.5 A.MeV | Logbook=runs a priori de trigger 1 mais inexpoitables | 
4 | Buffers=5860 | Events=746255 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=80769 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=15456 | DEC=1639028 | FC=746405 | OK=746405 | FT=746405 | AVL=746405 | OCD=746405 | OA=746405 | RAZ=746406 | Plast All=118955 | Plast G=100263 | Plast C=80 | Plast D=18664 | Trigger multiplicity=0 | Length (min.)=7.300420 | Size (MB)=91.562500 | Dead time (%)=19.136101 | Start Date=9-MAR-2006 10:08:15.00 | End Date=9-MAR-2006 10:15:24.00 | Comments=pas de faisceau, test de l'acquisition | Logbook=runs a priori de trigger 1 mais inexpoitables | 
5 | Buffers=12711 | Events=1028377 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=119843 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31713 | DEC=1709553 | FC=1027045 | OK=1027045 | FT=1027045 | AVL=1027045 | OCD=1027046 | OA=1027046 | RAZ=1027046 | Plast All=9960299 | Plast G=8114058 | Plast C=8053 | Plast D=2370436 | Trigger multiplicity=2 | Length (min.)=10.787700 | Size (MB)=198.608994 | Dead time (%)=26.462099 | Start Date=9-MAR-2006 13:21:16.00 | End Date=9-MAR-2006 13:32:10.00 | Comments= | Logbook=p.48 | 
6 | Buffers=12709 | Events=1024292 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=119892 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31483 | DEC=1678163 | FC=1020267 | OK=1020267 | FT=1020267 | AVL=1020267 | OCD=1020267 | OA=1020267 | RAZ=1020267 | Plast All=9938818 | Plast G=8092807 | Plast C=7815 | Plast D=2370124 | Trigger multiplicity=2 | Length (min.)=10.886100 | Size (MB)=198.578003 | Dead time (%)=26.259501 | Start Date=9-MAR-2006 13:32:10.00 | End Date=9-MAR-2006 13:43:07.00 | Comments=Faisceau 75Kr13+ +40Ca 5.5 A.MeV Changement d'etat de charge | Logbook= | 
7 | Buffers=12707 | Events=1021588 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=117576 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=30913 | DEC=1674330 | FC=1016336 | OK=1016336 | FT=1016336 | AVL=1016336 | OCD=1016336 | OA=1016336 | RAZ=1016337 | Plast All=9979719 | Plast G=8125602 | Plast C=8157 | Plast D=2380671 | Trigger multiplicity=2 | Length (min.)=10.680000 | Size (MB)=198.546997 | Dead time (%)=26.291901 | Start Date=9-MAR-2006 13:43:07.00 | End Date=9-MAR-2006 13:53:27.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
8 | Buffers=12710 | Events=1022063 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=120161 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31470 | DEC=1656394 | FC=1018870 | OK=1018870 | FT=1018870 | AVL=1018870 | OCD=1018870 | OA=1018870 | RAZ=1018871 | Plast All=9920436 | Plast G=8081625 | Plast C=8148 | Plast D=2360509 | Trigger multiplicity=2 | Length (min.)=10.896900 | Size (MB)=198.593994 | Dead time (%)=26.189899 | Start Date=9-MAR-2006 13:53:27.00 | End Date=9-MAR-2006 14:04:24.00 | Comments=600 evts/s | Logbook= | 
9 | Buffers=12709 | Events=1046944 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=117896 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31551 | DEC=1687568 | FC=1042126 | OK=1042126 | FT=1042126 | AVL=1042126 | OCD=1042126 | OA=1042126 | RAZ=1042127 | Plast All=9259451 | Plast G=7547408 | Plast C=7491 | Plast D=2195456 | Trigger multiplicity=2 | Length (min.)=10.744700 | Size (MB)=198.578003 | Dead time (%)=26.761700 | Start Date=9-MAR-2006 14:04:24.00 | End Date=9-MAR-2006 14:15:16.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
10 | Buffers=12709 | Events=1053564 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=116179 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31508 | DEC=1723242 | FC=1052914 | OK=1052914 | FT=1052914 | AVL=1052914 | OCD=1052914 | OA=1052914 | RAZ=1052915 | Plast All=9250798 | Plast G=7543882 | Plast C=7462 | Plast D=2187835 | Trigger multiplicity=2 | Length (min.)=10.525100 | Size (MB)=198.578003 | Dead time (%)=27.120199 | Start Date=9-MAR-2006 14:15:16.00 | End Date=9-MAR-2006 14:26:02.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
11 | Buffers=12709 | Events=1027275 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=122682 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=32138 | DEC=1645682 | FC=1024710 | OK=1024710 | FT=1024710 | AVL=1024710 | OCD=1024710 | OA=1024710 | RAZ=1024710 | Plast All=9825956 | Plast G=8016088 | Plast C=7770 | Plast D=2316760 | Trigger multiplicity=2 | Length (min.)=11.132600 | Size (MB)=198.578003 | Dead time (%)=26.196199 | Start Date=9-MAR-2006 14:26:02.00 | End Date=9-MAR-2006 14:37:05.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
12 | Buffers=12703 | Events=1024806 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=123486 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=31910 | DEC=1634885 | FC=1023022 | OK=1023022 | FT=1023022 | AVL=1023022 | OCD=1023022 | OA=1023022 | RAZ=1023023 | Plast All=9847788 | Plast G=8034907 | Plast C=7949 | Plast D=2318780 | Trigger multiplicity=2 | Length (min.)=11.125800 | Size (MB)=198.483994 | Dead time (%)=25.841000 | Start Date=9-MAR-2006 14:37:06.00 | End Date=9-MAR-2006 14:48:09.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
13 | Buffers=12705 | Events=1025027 | Faraday 1=0 | Faraday 2=0 | Gene DIRECT=129093 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene MARQ=0 | Gene TM=32233 | DEC=1613045 | FC=1026698 | OK=1026698 | FT=1026698 | AVL=1026698 | OCD=1026698 | OA=1026698 | RAZ=1026698 | Plast All=7905189 | Plast G=7168392 | Plast C=217545 | Plast D=1525457 | Trigger multiplicity=2 | Length (min.)=11.591100 | Size (MB)=198.516006 | Dead time (%)=24.968800 | Start Date=9-MAR-2006 14:48:09.00 | End Date=9-MAR-2006 14:59:27.00 | Comments=78Kr + 40Ca 5.5 A.MeV | Logbook= | 
