130  1.8871    
131  1.92485   0
132  1.96335   0
133  1.98298   0
134  2.00281   0
135  2.01283   0
136  1.84937   0
137  1.81238   0
138  1.8871    0
139  0         0
140  1.8871    4.5
141  1.8871    4.5
142  1.8871    4.5
143  1.8871    4.5
144  1.8871    4.5
145  1.8871    4.5
146  1.79252   4.5
147  1.79252   4.5
148  1.79252   4.5
149  1.70325   4.5
150  1.70325   4.5
151  1.70325   4.5
152  1.70325   4.5
153  1.70325   4.5
154  1.70325   4.5
155  1.70325   4.5
156  1.61752   4.5
157  1.61752   4.5
158  1.61752   4.5
159  1.61752   4.5
160  1.61752   4.5
161  1.61752   4.5
162  1.61752   4.5
163  1.61752   4.5
164  1.61752   4.5
165  0         0
166  1.61752   4.5
167  1.61752   4.5
210  0         0
211  0         0
212  0         0
213  0         0
214  0         0
215  0         0
216  0         0
217  0         0
218  0         0
219  0         0
220  0         0
221  0         0
222  0         0
223  0         0
224  0         0
225  0         0
226  0         0
227  0         0
228  0         0
229  0         0
230  0         0
231  0         0
232  0         0
233  0         0
234  0         0
235  0         0
236  0         0
237  0         0
238  0         0
239  0         0
240  0         0
241  0         0
242  0         0
243  0         0
244  0         0
245  0         0
246  0         0
247  0         0
248  0         0
249  0         0
250  0         0
251  0         0
252  0         0
253  0         0
254  0         0
255  0         0
256  0         0
257  0         0
258  0         0
259  0         0
260  0         0
261  0         0
262  0         0
263  0         0
264  0         0
265  0         0
266  0         0
267  0         0
268  0         0
269  0         0
270  0         0
271  0         0
272  0         0
273  0         0
274  0         0
275  0         0
276  0         0
277  0         0
278  0         0
279  0         0
280  0         0
281  0         0
282  0         0
283  0         0
284  0         0
285  0         0
286  0         0
287  0         0
288  0         0
289  0         0
290  0         0
291  0         0
292  0         0
293  0         0
294  0         0
295  0         0
296  0         0
297  0         0
298  0         0
299  0         0 
300  0         0
301  0         0
302  0         0
303  0         0
304  0         0
305  0         0
306  0         0
307  0         0
308  0         0
309  0         0
310  0         0
311  2.1       0
312  2.1       0
313  2.1       0
314  2.1       0
315  2.1       0
316  2.1       0
317  2.1       0
318  2.1       0
319  2.1       0
320  0         0
321  0         0
322  2.2856    0
323  2.0497    0
324  2.0497    0
325  2.01      0
326  2.0483    4.5
327  1.962     4.5
328  1.962     4.5
329  1.962     4.5
330  1.962     4.5
331  1.962     4.5
332  2.12      4.5
333  1.805     4.5 
334  1.805     4.5 
335  1.805     4.5 
336  1.805     4.5 
337  1.805     4.5 
338  1.805     4.5 
339  1.66      4.5
340  1.66      4.5
341  1.66      4.5
342  1.66      4.5
343  1.66      4.5
344  1.523     4.5
345  1.523     4.5
346  1.523     4.5
347  1.523     4.5
348  1.405     4.5
349  1.405     4.5
350  1.405     4.5
351  0         0 
352  0         0
353  1.293     4.5
354  1.293     4.5
355  1.1894    4.5
356  1.1894    4.5
357  1.094     4.5
358  1.008     4.5
359  0.927     4.5
360  0.853     4.5
361  0         0
362  0         0
363  0         0
364  0         0
365  0         0
366  0         0
367  0         0
368  0         0
369  0         0
370  0         0
371  0         0
372  0         0
373  0         0
374  0         0
375  0         0
376  0         0
377  0         0
378  0         0
379  1.962     4.5
380  1.962     4.5
381  1.962     4.5
382  1.962     4.5
383  2.12      4.5
384  1.805     4.5
385  1.805     4.5
386  1.805     4.5
387  1.805     4.5
388  1.805     4.5
389  1.805     4.5
390  1.661     4.5
391  1.661     4.5
392  1.661     4.5
393  1.661     4.5
394  1.661     4.5
395  1.661     4.5
396  1.661     4.5
397  1.661     4.5
398  1.523     4.5
399  1.523     4.5
400  1.523     4.5
401  1.523     4.5
402  1.523     4.5
403  1.406     4.5
404  1.406     4.5
405  1.406     4.5
406  1.406     4.5
407  1.293     4.5
408  1.293     4.5
409  1.293     4.5
410  1.190     4.5
411  1.190     4.5
412  1.190     4.5
413  1.190     4.5
414  1.190     4.5
415  1.190     4.5
416  1.190     4.5
417  1.092     4.5
418  1.092     4.5
419  1.004     4.5
420  0.849     4.5
421  0.923     4.5
422  0.923     4.5
423  0.849     4.5
424  0.782     4.5
425  0         0
426  0         0
427  0         0
428  0         0
429  0         0
430  0         0
431  0         0
432  0         0
433  0         0
434  0         0
435  0         0
436  0         0
437  0         0
438  0         0
439  0         0
440  0         0
441  0         0
442  0         0
443  0         0
444  0         0
445  0         0
446  0         0
447  2.22      4.5
448  0         0
449  0         0
450  0         0
451  0         0
452  0         0
453  0         0
454  1.711     4.5
455  1.656     4.5
456  1.656     4.5
457  1.656     4.5
458  1.656     4.5
459  1.656     4.5
460  1.656     4.5
461  1.656     4.5
462  1.656     4.5
463  1.656     4.5
464  1.656     4.5
