// PACE2_2009.DATA
//Mass Excess in MeV
//This is the same as pace2_2001.data except the format is much simpler to read :)
//------
//Each line is:
//z a massexcess
//------
//
0 1 8.07137
1 1 7.28903
1 2 13.1358
1 3 14.9499
2 3 14.9313
2 4 2.42491
2 5 11.386
2 6 17.5922
2 7 26.1103
2 8 31.598
3 5 11.678
3 6 14.0854
3 7 14.9067
3 8 20.9453
3 9 24.9538
3 10 33.835
3 11 40.91
4 6 18.3735
4 7 15.7686
4 8 4.9416
4 9 11.3475
4 10 12.6068
4 11 20.1753
4 12 25.0767
4 14 39.9545
5 7 27.8691
5 8 22.9201
5 9 12.4157
5 10 12.05
5 11 8.6671
5 12 13.3693
5 13 16.561
5 14 23.6637
5 15 28.9646
5 17 43.7708
5 19 59.364
6 8 35.0948
6 9 28.9131
6 10 15.7004
6 11 10.6492
6 12 0.0001
6 13 3.12503
6 14 3.01991
6 15 9.8731
6 16 13.6941
6 17 21.025
6 18 24.9077
6 19 33.332
6 20 37.5576
7 11 24.912
7 12 17.338
7 13 5.34552
7 14 2.86343
7 15 0.10149
7 16 5.6818
7 17 7.8707
7 18 13.2516
7 19 15.8669
7 20 22.0995
7 21 25.2512
7 22 32.0387
8 12 32.0634
8 13 23.1108
8 14 8.00647
8 15 2.8554
8 16 -4.73705
8 17 -0.8095
8 18 -0.7822
8 19 3.332
8 20 3.7995
8 21 8.06291
8 22 9.4431
8 23 14.613
8 24 19.0704
9 15 16.7727
9 16 10.6795
9 17 1.9515
9 18 0.8729
9 19 -1.4874
9 20 -0.017
9 21 -0.0479
9 22 2.826
9 23 3.3544
9 24 8.7503
9 25 12.5412
10 16 24.0203
10 17 16.4828
10 18 5.3191
10 19 1.7509
10 20 -7.0462
10 21 -5.7353
10 22 -8.0265
10 23 -5.1555
10 24 -5.9496
10 25 -2.1558
10 26 0.44
10 27 6.5544
11 19 12.929
11 20 6.8405
11 21 -2.189
11 22 -5.1845
11 23 -9.5313
11 24 -8.4194
11 25 -9.3587
11 26 -6.905
11 27 -5.6455
11 28 -1.1498
11 29 2.6293
11 30 8.368
11 31 11.8047
11 32 16.705
11 33 21.4458
11 34 26.8118
12 20 17.5714
12 21 10.914
12 22 -0.3965
12 23 -5.4729
12 24 -13.933
12 25 -13.1923
12 26 -16.2139
12 27 -14.5865
12 28 -15.0186
12 29 -10.722
12 30 -9.728
12 31 -3.8944
12 32 -1.779
12 33 3.8482
12 34 6.9636
12 35 13.262
13 23 6.7678
13 24 -0.0547
13 25 -8.9153
13 26 -12.2092
13 27 -17.1966
13 28 -16.8504
13 29 -18.2148
13 30 -15.8943
13 31 -15.0944
13 32 -11.379
13 33 -9.2694
13 34 -4.3607
13 35 -1.1379
13 36 4.1115
14 24 10.7663
14 25 3.8278
14 26 -7.1441
14 27 -12.3851
14 28 -21.4922
14 29 -21.8946
14 30 -24.4329
14 31 -22.9499
14 32 -24.079
14 33 -20.5694
14 34 -19.8607
14 35 -14.8379
14 36 -12.664
14 37 -6.9971
14 38 -4.5622
15 26 11.2558
15 27 -0.7529
15 28 -7.1604
15 29 -16.9503
15 30 -20.2069
15 31 -24.4406
15 32 -24.3057
15 33 -26.3374
15 34 -24.5607
15 35 -24.937
15 36 -20.8884
15 37 -19.0971
15 38 -14.5622
15 39 -12.3038
15 40 -7.6406
16 28 4.1995
16 29 -3.1569
16 30 -14.0629
16 31 -19.045
16 32 -26.016
16 33 -26.5864
16 34 -29.9322
16 35 -28.8469
16 36 -30.6644
16 37 -26.8971
16 38 -26.8622
16 39 -23.0038
16 40 -22.5196
16 41 -17.8682
16 42 -16.4227
17 30 4.837
17 31 -7.0652
17 32 -13.3295
17 33 -21.0038
17 34 -24.4398
17 35 -29.0137
17 36 -29.522
17 37 -31.7618
17 38 -29.7982
17 39 -29.8038
17 40 -27.5406
17 41 -27.3982
17 42 -24.4227
17 43 -23.1334
17 44 -20.0104
18 32 -2.179
18 33 -9.3802
18 34 -18.3792
18 35 -23.0488
18 36 -30.2313
18 37 -30.9479
18 38 -34.7148
18 39 -33.2418
18 40 -35.0406
18 41 -33.0682
18 42 -34.4227
18 43 -31.9772
18 44 -32.2695
18 45 -29.7201
18 46 -29.7167
19 34 -1.4792
19 35 -11.1684
19 36 -17.4259
19 37 -24.7993
19 38 -28.8017
19 39 -33.8068
19 40 -33.5359
19 41 -35.5604
19 42 -35.0238
19 43 -36.5916
19 44 -35.8104
19 45 -36.6111
19 46 -35.4187
19 47 -35.6967
19 48 -32.123
20 36 -6.44
20 37 -13.16
20 38 -22.0605
20 39 -27.2762
20 40 -34.8475
