#//Fonction (pol2) permettant de passer des canaux bruts aux volts
#//type ring gain p0 p1 p2 xmin xmax nbredepics
#//
#//A noter pour le SILI_17 une calibration realisee sur une
#//gamme plus restreinte car probleme de linearite
Run Range : 6001 8842
SILI_10_PG -0.070989 0.001326 1.422518e-08 64.87 3605.71  25  
SILI_11_PG -0.070198 0.001325 1.313358e-08 64.25 3616.95  25  
SILI_12_PG -0.070674 0.001365 1.193449e-08 62.77 3527.99  25  
SILI_13_PG -0.063501 0.001278 1.214795e-08 88.56 3743.05  25  
SILI_14_PG -0.065434 0.001299 1.252410e-08 62.17 3684.20  25  
SILI_15_PG -0.065850 0.001334 1.255589e-08 60.46 3596.51  25  
SILI_16_PG -0.064112 0.001273 1.244278e-08 89.79 3754.71  25  
SILI_17_PG -0.065756 0.001240 -2.51860e-08 63.81 2691.11  23  
SI75_10_PG -0.057519 0.001049 3.437427e-08 64.67 3927.94  23  
SI75_11_PG -0.062795 0.001102 3.576659e-08 65.65 3769.85  23  
SI75_12_PG -0.058411 0.001069 3.525972e-08 63.89 3864.23  23  
SI75_13_PG -0.055897 0.001010 3.476776e-08 64.38 4041.07  23  
SI75_14_PG -0.062227 0.001222 2.070952e-08 73.33 3595.03  22  
SI75_15_PG -0.056027 0.001033 3.660709e-08 63.41 3951.19  23  
SI75_16_PG -0.063478 0.001296 1.054046e-08 82.85 3497.95  21  
SI75_17_PG -0.058477 0.001088 3.380660e-08 62.54 3826.69  23  
SI75_10_GG 7.69441e-05 6.8995e-05 8.31931e-11 213.469 3606.57 12
SI75_11_GG 0.000446147 7.1983e-05 7.96677e-11 199.194 3453.78 12
SI75_12_GG 0.00107057 6.89324e-05 4.44466e-11 199.874 3602.7 12
SI75_13_GG 0.00181006 6.60585e-05 1.31573e-10 196.385 3729.32 12
SI75_14_GG 0.00182246 8.14183e-05 -2.25766e-11 338.851 3668.55 12
SI75_15_GG 0.00175789 6.7971e-05 8.83062e-11 191.9 3635.06 12
SI75_16_GG 0.00149044 8.70479e-05 3.17367e-12 326.808 3425.1 12
SI75_17_GG 0.0013529 7.15567e-05 7.43197e-11 188.324 3462.39 12
SILI_10_GG -0.00194031 9.16587e-05 -1.54713e-10 80.5222 3641.65 14
SILI_11_GG -0.00102106 8.94797e-05 -9.67685e-11 183.566 3712.42 13
SILI_12_GG -0.00117127 9.27457e-05 -1.86595e-10 71.8624 3594.36 14
SILI_13_GG -0.000515904 8.50882e-05 -3.02818e-11 186.583 3887.95 13
SILI_14_GG -0.000909052 8.79348e-05 -1.07014e-10 72.2439 3777.92 14
SILI_15_GG -0.00167564 8.89173e-05 -8.29728e-11 79.7352 3740.69 14
SILI_16_GG -0.000926258 8.66683e-05 -1.46861e-10 75.586 3840.07 14
SILI_17_GG -0.00193983 8.08516e-05 -9.2808e-11 214.026 3750.26 12
