Run 8841  09-MAY-01 18:23:14 
Total    9938 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  4        0    0.000    0.000    9938   54.192    1.148
 1  1  5        0    0.000    0.000    9938   69.235    0.479
 1  2  4        0    0.000    0.000    9938   54.844    1.062
 1  2  5        0    0.000    0.000    9938   72.617    0.581
 1  3  4        0    0.000    0.000    9938   93.250    1.061
 1  3  5        0    0.000    0.000    9938   81.845    0.512
 1  4  4        0    0.000    0.000    9938   61.008    1.068
 1  4  5        0    0.000    0.000    9938   73.709    0.530
 1  5  4        0    0.000    0.000    9938   50.349    1.079
 1  5  5        0    0.000    0.000    9938   69.190    0.607
 1  6  4        0    0.000    0.000    9938   52.073    1.068
 1  6  5        0    0.000    0.000    9938   69.112    0.589
 1  7  4        0    0.000    0.000    9938   62.697    1.066
 1  7  5        0    0.000    0.000    9938   69.226    0.612
 1  8  4        0    0.000    0.000    9938   54.838    0.612
 1  8  5        0    0.000    0.000    9938   69.840    0.513
 1  9  4        0    0.000    0.000    9938   61.474    1.079
 1  9  5        0    0.000    0.000    9938   70.806    0.478
 1 10  4        0    0.000    0.000    9938   71.440    1.098
 1 10  5        0    0.000    0.000    9938   68.741    0.514
 1 11  4        0    0.000    0.000    9938   56.177    1.100
 1 11  5        0    0.000    0.000    9938   69.279    0.614
 1 12  4        0    0.000    0.000    9938   54.893    1.176
 1 12  5        0    0.000    0.000    9938   70.595    0.548
 2  1  1        0    0.000    0.000    9938   30.732   18.844
 2  1  2        0    0.000    0.000    9938   69.468    1.724
 2  1  4        0    0.000    0.000    9938   67.895    1.530
 2  1  5        0    0.000    0.000    9938   70.786    0.503
 2  3  1        0    0.000    0.000    9938   61.776  158.527
 2  3  2        0    0.000    0.000    9938   70.080   12.533
 2  3  4        0    0.000    0.000    9938   56.963   83.718
 2  3  5        0    0.000    0.000    9938   74.474    5.932
 2  5  1        0    0.000    0.000    9938   27.039   15.383
 2  5  2        0    0.000    0.000    9938   69.432    1.427
 2  5  4        0    0.000    0.000    9938   56.188    1.435
 2  5  5        0    0.000    0.000    9938   73.024    0.634
 2  7  1        0    0.000    0.000    9938   35.507    6.532
 2  7  2        0    0.000    0.000    9938   68.003    0.647
 2  7  4        0    0.000    0.000    9938   54.496    1.375
