Run 8842  09-MAY-01 18:28:58 
Total   25930 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  7        0    0.000    0.000   25930   13.000    0.205
 1  1  8        0    0.000    0.000   25930   31.006    0.749
 1  2  7        0    0.000    0.000   25930   21.872    0.335
 1  2  8        0    0.000    0.000   25930   36.754    0.790
 1  3  7        0    0.000    0.000   25930   19.762    0.428
 1  3  8        0    0.000    0.000   25930   38.046    0.767
 1  4  7        0    0.000    0.000   25930   21.065    0.267
 1  4  8        0    0.000    0.000   25930   35.093    0.776
 1  5  7        0    0.000    0.000   25930   19.723    0.453
 1  5  8        0    0.000    0.000   25930   35.330    0.790
 1  6  7        0    0.000    0.000   25930   20.569    0.497
 1  6  8        0    0.000    0.000   25930   33.660    0.806
 1  7  7        0    0.000    0.000   25930   15.352    0.480
 1  7  8        0    0.000    0.000   25930   32.096    0.795
 1  8  7        0    0.000    0.000   25930   14.380    0.491
 1  8  8        0    0.000    0.000   25930   31.173    0.829
 1  9  7        0    0.000    0.000   25930   15.355    0.482
 1  9  8        0    0.000    0.000   25930   30.692    0.803
 1 10  7        0    0.000    0.000   25930   14.525    0.525
 1 10  8        0    0.000    0.000   25930   28.839    0.816
 1 11  7        0    0.000    0.000   25930   12.316    0.488
 1 11  8        0    0.000    0.000   25930   31.512    0.849
 1 12  7        0    0.000    0.000   25930    9.415    0.557
 1 12  8        0    0.000    0.000   25930   23.455    0.838
 2  1  7        0    0.000    0.000   25930   21.002    0.105
 2  1  8        0    0.000    0.000   25930   42.417    0.497
 2  3  7        0    0.000    0.000   25930   21.782    0.413
 2  3  8        0    0.000    0.000   25930   43.107    0.472
 2  5  7        0    0.000    0.000   25930   22.268    0.443
 2  5  8        0    0.000    0.000   25930   42.517    0.517
 2  7  7        0    0.000    0.000   25930   23.140    0.348
 2  7  8        0    0.000    0.000   25930   45.419    0.506
 2  9  7        0    0.000    0.000   25930   21.046    0.236
 2  9  8        0    0.000    0.000   25930   39.538    0.521
 2 11  7        0    0.000    0.000   25930   21.676    0.473
 2 11  8        0    0.000    0.000   25930   44.205    0.545
 2 13  7        0    0.000    0.000   25930   16.928    0.376
 2 13  8        0    0.000    0.000   25930   38.926    0.608
 2 15  7        0    0.000    0.000   25930   17.172    0.380
 2 15  8        0    0.000    0.000   25930   36.345    0.497
 2 17  7        0    0.000    0.000   25930   16.587    0.515
 2 17  8        0    0.000    0.000   25930   36.615    0.561
 2 19  7        0    0.000    0.000   25930   15.249    0.434
 2 19  8        0    0.000    0.000   25930   37.288    0.510
 2 21  7        0    0.000    0.000   25930   10.249    0.435
 2 21  8        0    0.000    0.000   25930   30.263    0.495
 2 23  7        0    0.000    0.000   25930    9.908    0.577
 2 23  8        0    0.000    0.000   25930    0.000    0.006
 3  1  7        0    0.000    0.000   25930   16.861    0.347
 3  1  8        0    0.000    0.000   25930   35.576    0.502
 3  2  7        0    0.000    0.000   25930   21.195    0.396
 3  2  8        0    0.000    0.000   25930   39.746    0.518
 3  3  7        0    0.000    0.000   25930   23.099    0.299
 3  3  8        0    0.000    0.000   25930   41.034    0.411
 3  4  7        0    0.000    0.000   25930   23.248    0.432
 3  4  8        0    0.000    0.000   25930   41.733    0.498
 3  5  7        0    0.000    0.000   25930   21.004    0.171
 3  5  8        0    0.000    0.000   25930   38.564    0.533
 3  6  7        0    0.000    0.000   25930   22.009    0.200
 3  6  8        0    0.000    0.000   25930   39.801    0.520
 3  7  7        0    0.000    0.000   25930   23.988    0.233
 3  7  8        0    0.000    0.000   25930   40.989    0.522
 3  8  7        0    0.000    0.000   25930   23.848    0.379
 3  8  8        0    0.000    0.000   25930   43.218    0.538
 3  9  7        0    0.000    0.000   25930   20.238    0.426
 3  9  8        0    0.000    0.000   25930   41.492    0.511
 3 10  7        0    0.000    0.000   25930   22.105    0.309
 3 10  8        0    0.000    0.000   25930   42.792    0.494
 3 11  7        0    0.000    0.000   25930   21.915    0.330
 3 11  8        0    0.000    0.000   25930   43.226    0.466
 3 12  7        0    0.000    0.000   25930   20.264    0.441
 3 12  8        0    0.000    0.000   25930   40.468    0.522
 3 13  7        0    0.000    0.000   25930   16.113    0.343
 3 13  8        0    0.000    0.000   25930   36.361    0.521
 3 14  7        0    0.000    0.000   25930   17.218    0.414
 3 14  8        0    0.000    0.000   25930   39.677    0.574
 3 15  7        0    0.000    0.000   25930   16.616    0.518
 3 15  8        0    0.000    0.000   25930   38.315    0.467
 3 16  7        0    0.000    0.000   25930   15.091    0.356
 3 16  8        0    0.000    0.000   25930   34.680    0.555
 3 17  7        0    0.000    0.000   25930   17.157    0.368
 3 17  8        0    0.000    0.000   25930   34.335    0.540
 3 18  7        0    0.000    0.000   25930   16.879    0.449
 3 18  8        0    0.000    0.000   25930   34.745    0.574
 3 19  7        0    0.000    0.000   25930   16.717    0.524
 3 19  8        0    0.000    0.000   25930   33.628    0.576
 3 20  7        0    0.000    0.000   25930   17.191    0.395
 3 20  8        0    0.000    0.000   25930   34.768    0.576
 3 21  7        0    0.000    0.000   25930   11.670    0.656
 3 21  8        0    0.000    0.000   25930   27.694    0.636
