SILI_10  2.907  0.06853  
SI75_10  2.452  0.06828  
SILI_11  3.721  0.06899  
SI75_11  2.586  0.06936  
SILI_12  32.7   0.06953  
SI75_12  1.417  0.06886  
SILI_13  3.168  0.06918  
SI75_13  2.728  0.06832  
SILI_14  3.471  0.06916  
SI75_14  2.845  0.06848  
SILI_15  4.099  0.06830  
SI75_15  2.87   0.06842  
SILI_16  4.46   0.06927  
SI75_16  170.4  0.07123  
SILI_17  3.735  0.06824  
SI75_17  2.583  0.06901  
CI_0401  4.76415  0.0667163  0
CI_0403  3.97387  0.0673364  0
CI_0405  4.68319  0.0672394  0
CI_0407  5.09476  0.066466  0
CI_0409  1.51966  0.0680396  0
CI_0411  4.38746  0.0663523  0
CI_0413  3.29372  0.0676749  0
CI_0415  4.63185  0.0651363  0
CI_0419  1.66844  0.0670242  0
CI_0421  4.01351  0.0664943  0
CI_0423  6.50569  0.066546  0
CI_0601  1.97734  0.0681685  0
CI_0603  3.18027  0.0669135  0
CI_0605  4.09295  0.0662616  0
CI_0607  3.87912  0.066213  0
CI_0609  4.15607  0.0660892  0
CI_0611  4.36544  0.0666828  0
CI_0613  4.34855  0.067387  0
CI_0615  5.06036  0.0667715  0
CI_0617  -5.45048  0.0662122  0
CI_0619  -5.05993  0.0660849  0
CI_0621  -4.73712  0.0648585  0
CI_0623  -4.72608  0.065815  0
CI_0801  -4.88064  0.0652171  0
CI_0803  -4.65668  0.0665784  0
CI_0805  -5.80906  0.0656869  0
CI_0807  -4.67146  0.0655907  0
CI_0809  -5.54027  0.0665219  0
CI_0811  -3.13679  0.065291  0
CI_0813  -3.6629  0.0664637  0
CI_0815  -4.47941  0.0659043  0
CI_0817  -3.60326  0.0648253  0
CI_0819  -3.39722  0.0646187  0
CI_0821  -4.32557  0.0661179  0
CI_0823  -4.46872  0.0677365  0
CI_1001  -5.8498  0.0655241  0
CI_1003  -5.10013  0.0646267  0
CI_1005  -6.51691  0.0653709  0
CI_1007  -5.35251  0.0658852  0
CI_1009  -5.26337  0.0650514  0
CI_1011  -4.84282  0.065881  0
CI_1013  -1.80255  0.0647319  0
CI_1015  -4.98337  0.065645  0
CI_1017  -7.28854  0.066621  0
CI_1019  -4.14983  0.0660002  0
CI_1021  -5.16393  0.0655446  0
CI_1023  -5.4748  0.0657703  0
CI_1201  -6.11604  0.0660396  0
CI_1203  -5.77216  0.0644074  0
CI_1205  -5.68589  0.0651194  0
CI_1207  -5.19606  0.0660595  0
CI_1209  2.13035  0.0677399  0
CI_1211  -3.13582  0.0677873  0
CI_1213  -4.53452  0.0682923  0
CI_1215  -3.29148  0.0687429  0
CI_1217  -4.00801  0.068123  0
CI_1219  -4.04369  0.0684083  0
CI_1221  -4.12727  0.0680171  0
CI_1223  -3.55857  0.0676451  0
CI_1301  -4.6778  0.0675383  0
CI_1304  -3.33206  0.0687008  0
CI_1307  -3.05522  0.0666459  0
CI_1310  -3.78907  0.0672177  0
CI_1313  -3.91158  0.0675178  0
CI_1316  -3.59336  0.0673776  0
CI_1319  2.54703  0.0672775  0
CI_1322  -2.42677  0.067934  0
CI_1401  -3.01019  0.0681197  0
CI_1403  -4.32097  0.0684037  0
CI_1405  -1.3132  0.0644614  0
CI_1407  -3.77649  0.0685817  0
CI_1409  -3.6113  0.0665384  0
CI_1411  -5.93636  0.0676406  0
CI_1413  -0.649242  0.0675284  0
CI_1415  -6.50892  0.068475  0
CI_1601  0.824934  0.0678453  0
CI_1602  -2.46759  0.0681832  0
CI_1604  -1.32569  0.0678394  0
CI_1605  1.41172  0.066593  0
CI_1606  0.0927113  0.0666559  0
CI_1607  -2.2932  0.0664908  0
CI_1608  -6.47113  0.0678944  0
SI_0401  0.303228  0.0670329  0
SI_0402  0.507016  0.0678183  0
SI_0403  0.439954  0.0670462  0
SI_0404  0.570171  0.0673257  0
SI_0405  0.506184  0.0656614  0
SI_0406  0.835976  0.0662059  0
SI_0407  0.975554  0.0680461  0
SI_0408  0.72582  0.0673337  0
SI_0409  0.788897  0.067549  0
SI_0410  0.455121  0.0676413  0
SI_0411  1.30779  0.0674761  0
SI_0412  1.39711  0.0667367  0
SI_0413  3.4126  0.0669521  0
SI_0414  1.63897  0.0673014  0
SI_0415  1.77024  0.0668695  0
SI_0416  3.00095  0.0667088  0
SI_0419  1.39071  0.0661354  0
SI_0420  1.47952  0.0662222  0
SI_0421  3.38385  0.0667404  0
SI_0422  1.81891  0.0669883  0
SI_0423  1.61487  0.0670158  0
SI_0424  1.53  0.0669791  0
SI_0501  1.61583  0.0660095  0
SI_0502  1.44906  0.0667016  0
SI_0503  2.00972  0.0667595  0
SI_0504  2.27645  0.0666014  0
SI_0505  2.80963  0.0670225  0
SI_0506  2.59761  0.0665723  0
SI_0507  2.85376  0.0670241  0
SI_0508  2.74731  0.0659413  0
SI_0509  3.16819  0.0654123  0
SI_0510  3.36721  0.0667035  0
SI_0511  3.45661  0.0666559  0
SI_0512  2.87369  0.0662139  0
SI_0513  3.19332  0.0659645  0
SI_0514  3.58992  0.0651743  0
SI_0515  3.30124  0.0659626  0
SI_0516  3.562  0.0659332  0
SI_0519  3.44807  0.0665796  0
SI_0520  3.77676  0.0663051  0
SI_0521  4.52854  0.0651588  0
SI_0522  3.57169  0.0664935  0
SI_0523  1.92743  0.066684  0
SI_0524  2.75222  0.0653903  0
SI_0601  2.42413  0.0674285  0
SI_0602  2.49245  0.0675356  0
SI_0603  3.85156  0.0666317  0
SI_0604  7.02403  0.0661516  0
SI_0605  3.69656  0.0673502  0
SI_0606  1.77133  0.0680377  0
SI_0607  4.78181  0.066844  0
SI_0608  5.08477  0.0668092  0
SI_0609  3.43585  0.0676376  0
SI_0610  3.58745  0.0681167  0
SI_0611  3.4138  0.0675335  0
SI_0612  3.94139  0.0670242  0
SI_0613  5.40556  0.0675895  0
SI_0614  7.02017  0.0664395  0
SI_0615  5.14935  0.0667256  0
SI_0616  6.91477  0.066493  0
SI_0617  3.62056  0.0666165  0
SI_0618  4.37873  0.0673513  0
SI_0619  5.15227  0.0666978  0
SI_0620  5.34217  0.0666786  0
SI_0621  4.81856  0.0663886  0
SI_0622  4.33243  0.0668059  0
SI_0623  4.35257  0.067806  0
SI_0624  9.24794  0.0666799  0
SI_0701  5.47486  0.0676689  0
SI_0702  5.83004  0.0670963  0
SI_0703  3.90812  0.0680323  0
SI_0704  7.55521  0.0671385  0
SI_0705  4.06727  0.0677738  0
SI_0706  8.09432  0.0656529  0
SI_0707  3.71347  0.0673243  0
SI_0708  7.05958  0.0664707  0
SI_0709  -1.83695  0.0660658  0
SI_0710  -1.31525  0.0655118  0
SI_0711  0.710548  0.0651806  0
SI_0712  -1.90381  0.0663115  0
SI_0713  -0.174864  0.0661799  0
SI_0714  -0.838731  0.0657452  0
SI_0715  1.96709  0.0649596  0
SI_0716  -1.52593  0.0654105  0
SI_0717  -1.54675  0.066653  0
SI_0718  0.573276  0.0654603  0
SI_0719  -0.297541  0.0657624  0
SI_0720  0.625775  0.0651565  0
SI_0721  -0.45412  0.0658006  0
SI_0722  0.176608  0.0657704  0
SI_0723  0.172468  0.0650832  0
SI_0724  0.405579  0.0654661  0
SI_0801  -0.450309  0.066605  0
SI_0802  -0.343196  0.0654771  0
SI_0803  0.832561  0.0652961  0
SI_0804  1.59483  0.0656095  0
