RunRange: 113-531
SI_0101_GG: 78.487
SI_0101_PG: 63.7005
SI_0102_GG: 78.7491
SI_0102_PG: 66.351
SI_0103_GG: 77.5347
SI_0103_PG: 62.4814
SI_0104_GG: 84.7377
SI_0104_PG: 61.2911
SI_0105_GG: 86.8074
SI_0105_PG: 61.6019
SI_0106_GG: 87.9442
SI_0106_PG: 61.4313
SI_0107_GG: 80.2992
SI_0107_PG: 60.2375
SI_0108_GG: 82.432
SI_0108_PG: 60.3427
SI_0109_GG: 95.4588
SI_0109_PG: 64.1373
SI_0110_GG: 100.321
SI_0110_PG: 62.8097
SI_0111_GG: 94.7563
SI_0111_PG: 63.5245
SI_0112_GG: 90.4525
SI_0112_PG: 60.5777
SI_0201_GG: 73.1
SI_0201_PG: 64.6801
SI_0203_GG: 71.8796
SI_0203_PG: 62.7326
SI_0205_GG: 72.66
SI_0205_PG: 64.0521
SI_0207_GG: 72.9789
SI_0207_PG: 61.4482
SI_0209_GG: 85.0746
SI_0209_PG: 60.962
SI_0211_GG: 81.0532
SI_0211_PG: 61.0904
SI_0213_GG: 95.5465
SI_0213_PG: 60.672
SI_0215_GG: 80.8573
SI_0215_PG: 58.0704
SI_0217_GG: 91.3959
SI_0217_PG: 61.9745
SI_0219_GG: 93.941
SI_0219_PG: 61.6705
SI_0221_GG: 86.7319
SI_0221_PG: 62.364
SI_0223_GG: 91.8071
SI_0223_PG: 57.2698
SI_0301_GG: 104.834
SI_0301_PG: 66.1491
SI_0302_GG: 99.7754
SI_0302_PG: 64.1158
SI_0303_GG: 113.562
SI_0303_PG: 65.0664
SI_0304_GG: 107.656
SI_0304_PG: 62.6517
SI_0305_GG: 94.5721
SI_0305_PG: 61.3079
SI_0306_GG: 102.59
SI_0306_PG: 61.9568
SI_0307_GG: 100.883
SI_0307_PG: 62.1225
SI_0308_GG: 120.394
SI_0308_PG: 61.1349
SI_0309_GG: 89.0757
SI_0309_PG: 79.2676
SI_0310_GG: 97.7729
SI_0310_PG: 80.7791
SI_0311_GG: 93.3464
SI_0311_PG: 83.1717
SI_0312_GG: 103.613
SI_0312_PG: 84.3916
SI_0313_GG: 88.685
SI_0313_PG: 83.081
SI_0314_GG: 100.663
SI_0314_PG: 82.0732
SI_0315_GG: 96.5097
SI_0315_PG: 83.2749
SI_0316_GG: 88.157
SI_0316_PG: 80.8013
SI_0317_GG: 99.5971
SI_0317_PG: 77.2689
SI_0318_GG: 98.8268
SI_0318_PG: 78.6517
SI_0319_GG: 99.3952
SI_0319_PG: 79.7988
SI_0320_GG: 102.125
SI_0320_PG: 78.7469
SI_0321_GG: 96.5564
SI_0321_PG: 77.6359
SI_0322_GG: 89.7141
SI_0322_PG: 75.7349
SI_0323_GG: 104.529
SI_0323_PG: 77.3707
SI_0324_GG: 100.37
SI_0324_PG: 76.3145
SI_0401_GG: 117.322
SI_0401_PG: 79.1775
SI_0402_GG: 121.626
SI_0402_PG: 79.1995
SI_0403_GG: 119.732
SI_0403_PG: 77.4734
SI_0404_GG: 121.594
SI_0404_PG: 78.4256
SI_0405_GG: 130.359
SI_0405_PG: 77.185
