//http://www.nndc.bnl.gov/nudat2
//Isotopic abundance
//Extracted from http://www.nndc.bnl.gov/nudat2 in Octobre 2010
//
//z a abundance
1 1 99.985
1 2 0.015
2 3 0.000137
2 4 99.999863
3 6 7.59
3 7 92.41
4 9 100.
5 10 19.8
5 11 80.2
6 12 98.89
6 13 1.11
7 14 99.634
7 15 0.366
8 16 99.762
8 17 0.038
8 18 0.200
9 19 100
10 20 90.48
10 21 0.27
10 22 9.25
11 23 100
12 24 78.99
12 25 10.00
12 26 11.01
13 27 100
14 28 92.230
14 29 4.683
14 30 3.087
15 31 100
16 32 95.02
16 33 0.75
16 34 4.21
16 36 0.02
17 35 75.77
17 37 24.23
18 36 0.3365
18 38 0.0632
18 40 99.6003
19 39 93.2581
19 40 0.0117
19 41 6.7302
20 40 96.94
20 42 0.647
20 43 0.135
20 44 2.09
20 46 0.004
20 48 0.187
21 45 100
22 46 8.25
22 47 7.44
22 48 73.72
22 49 5.41
22 50 5.18
23 50 0.250
23 51 99.750
24 50 4.345
24 52 83.789
24 53 9.501
24 54 2.365
25 55 100
26 54 5.845
26 56 91.754
26 57 2.119
26 58 0.282
27 59 100
28 58 68.077
28 60 26.223
28 61 1.140
28 62 3.634
28 64 0.926
29 63 69.17
29 65 30.83
30 64 48.63
30 66 27.90
30 67 4.10
30 68 18.75
30 70 0.62
31 69 60.108
31 71 39.892
32 70 20.37
32 72 27.31
32 73 7.76
32 74 36.73
32 76 7.83
33 75 100
34 74 0.89
34 76 9.37
34 77 7.63
34 78 23.77
34 80 49.61
34 82 8.73
35 79 50.69
35 81 49.31
36 78 0.35
36 80 2.28
36 82 11.58
36 83 11.49
36 84 57.00
36 86 17.30
37 85 72.17
37 87 27.83
38 84 0.56
38 86 9.86
38 87 7.00
38 88 82.58
39 89 100
40 90 51.45
40 91 11.22
40 92 17.15
40 94 17.38
40 96 2.80
41 93 100
42 92 14.84
42 94 9.25
42 95 15.92
42 96 16.68
42 97 9.55
42 98 24.13
42 100 9.63
44 96 5.54
44 98 1.87
44 99 12.76
44 100 12.60
44 101 17.06
44 102 31.55
44 104 18.62
45 103 100
46 102 1.02
46 104 11.14
46 105 22.33
46 106 27.33
46 108 26.46
46 110 11.72
47 107 51.839
47 109 48.161
48 106 1.25
48 108 0.89
48 110 12.49
48 111 12.80
48 112 24.13
48 113 12.22
48 114 28.73
48 116 7.49
49 113 4.29
49 115 95.71
50 112 0.97
50 114 0.66
50 115 0.34
50 116 14.54
50 117 7.68
50 118 24.22
50 119 8.59
50 120 32.58
50 122 4.63
50 124 5.79
51 121 57.21
51 123 42.79
52 120 0.09
52 122 2.55
52 123 0.89
52 124 4.74
52 125 7.07
52 126 18.84
52 128 31.74
52 130 34.08
53 127 100
54 124 0.095
54 126 0.089
54 128 1.910
54 129 26.40
54 130 4.071
54 131 21.232
54 132 26.909
54 134 10.436
54 136 8.857
55 133 100
56 130 0.106
56 132 0.101
56 134 2.417
56 135 6.592
56 136 7.854
56 137 11.232
56 138 71.698
57 138 0.090
57 139 99.910
58 136 0.185
58 138 0.251
58 140 88.450
58 142 11.114
59 141 100
60 142 27.2
60 143 12.2
60 144 23.8
60 145 8.3
60 146 17.2
60 148 5.7
60 150 5.6
62 144 3.07
62 147 14.99
62 148 11.24
62 149 13.82
62 150 7.38
62 152 26.75
62 154 22.75
63 151 47.81
63 153 52.19
64 152 0.20
64 154 2.18
64 155 14.80
64 156 20.47
64 157 15.65
64 158 24.84
64 160 21.86
65 159 100
66 156 0.06
66 158 0.10
66 160 2.34
66 161 18.91
66 162 25.51
66 163 24.90
66 164 28.18
67 165 100
68 162 0.139
68 164 1.601
68 166 33.503
68 167 22.869
68 168 26.978
68 170 14.910
69 169 100
70 168 0.13
70 170 3.04
70 171 14.28
70 172 21.83
70 173 16.13
70 174 31.83
70 176 12.76
71 175 97.41
71 176 2.59
72 174 0.16
72 176 5.26
72 177 18.60
72 178 27.28
72 179 13.62
72 180 35.08
73 181 99.988
74 180 0.12
74 182 26.50
74 183 14.31
74 184 30.64
74 186 28.43
75 185 37.40
75 187 62.60
76 184 0.02
76 186 1.59
76 187 1.6
76 188 13.29
76 189 16.21
76 190 26.36
76 192 40.93
77 191 37.3
77 193 62.7
78 190 0.014
78 192 0.782
78 194 32.967
78 195 33.832
78 196 25.242
78 198 7.163
79 197 100
80 196 0.15
80 198 9.97
80 199 16.87
80 200 23.10
80 201 13.18
80 202 29.86
80 204 6.87
81 203 29.524
81 205 70.476
82 204 1.4
82 206 24.1
82 207 22.1
82 208 52.4
83 209 100
92 234 0.0054
92 235 0.7204
92 238 99.2742
