#  
#  E(MeV) = KVLightEnergyCsI (old INDRA formula)
#  <signal>-<block_number><quartet_number><telescope_number>: <a1>,<a2>,<Ed>,<a4>
#  
RunList:                                0-25000
Signal:                                 Q3
CalibType: 				Channel-Energy
CSI-11: 				4.610254,0.279127,0.000000,0.277972
CSI-21: 				4.724735,0.258233,0.000000,0.182277
CSI-22: 				4.168662,0.266858,1.001658,0.323264
CSI-23: 				3.970308,0.237813,0.984400,0.209853
CSI-33: 				4.458838,0.226676,2.818221,0.255098
CSI-42: 				4.360146,0.233874,1.312866,0.217370
CSI-43: 				4.370911,0.243853,0.155349,0.205137
CSI-44: 				3.304742,0.268121,0.000000,0.222085
CSI-111: 				4.308787,0.276656,0.562713,0.304226
CSI-112: 				4.542599,0.234508,0.921076,0.208321
CSI-114: 				4.748617,0.229812,0.000006,0.160095
CSI-121: 				4.670576,0.231629,2.620414,0.267624
CSI-123: 				4.677259,0.220731,0.098433,0.130187
CSI-124: 				4.496298,0.229177,2.557072,0.252137
CSI-133: 				4.198993,0.228105,4.311399,0.428868
CSI-141: 				4.274107,0.256349,0.971433,0.282071
CSI-144: 				4.533497,0.238673,0.220850,0.177951
CSI-211: 				4.500724,0.257879,0.453117,0.256188
CSI-212: 				4.561577,0.248450,0.000000,0.161386
CSI-213: 				4.687289,0.223380,3.394485,0.265812
CSI-214: 				3.628030,0.279214,4.193296,0.553169
CSI-222: 				2.838229,0.265888,3.091750,0.498238
CSI-223: 				3.889903,0.230949,4.347169,0.466017
CSI-231: 				4.090073,0.281431,0.000000,0.287179
CSI-233: 				3.643279,0.247255,1.963041,0.323023
CSI-234: 				3.788276,0.273083,3.134840,0.517931
CSI-242: 				4.310280,0.257542,0.401216,0.259405
CSI-243: 				4.435464,0.363275,0.000000,0.245644
CSI-244: 				3.460268,0.235189,4.302541,0.500191
CSI-312: 				4.028622,0.243049,4.782385,0.449180
CSI-313: 				3.164289,0.213659,8.607491,0.478074
CSI-321: 				4.701259,0.291946,0.000000,0.298042
CSI-322: 				2.714604,0.231351,4.955067,0.538731
CSI-323: 				3.986922,0.250503,1.158117,0.280108
CSI-324: 				5.014414,0.257178,0.000000,0.188998
CSI-331: 				4.748411,0.253696,0.270518,0.238417
CSI-332: 				4.472811,0.230147,3.064488,0.286517
CSI-334: 				4.919435,0.259602,0.477023,0.262128
CSI-341: 				4.487695,0.310372,1.363559,0.386096
CSI-342: 				4.244251,0.217077,0.000000,0.116321
CSI-344: 				4.628904,0.266544,0.602231,0.284356
