BLO=0, QUA=1, TEL=1, THE=  8.51, PHI=-25.46
BLO=0, QUA=1, TEL=2, THE=  7.97, PHI=-15.03
BLO=0, QUA=1, TEL=3, THE=  6.44, PHI=-18.76
BLO=0, QUA=1, TEL=4, THE=  7.12, PHI=-30.99
BLO=0, QUA=2, TEL=1, THE=  7.66, PHI= -3.87
BLO=0, QUA=2, TEL=2, THE=  7.69, PHI=  7.73
BLO=0, QUA=2, TEL=3, THE=  6.15, PHI=  9.70
BLO=0, QUA=2, TEL=4, THE=  6.04, PHI= -4.92
BLO=0, QUA=3, TEL=1, THE=  4.41, PHI= -6.76
BLO=0, QUA=3, TEL=2, THE=  4.54, PHI= 13.22
BLO=0, QUA=3, TEL=3, THE=  3.01, PHI= 20.59
BLO=0, QUA=3, TEL=4, THE=  2.87, PHI=-10.44
BLO=0, QUA=4, TEL=1, THE=  5.75, PHI=-39.71
BLO=0, QUA=4, TEL=2, THE=  4.94, PHI=-24.86
BLO=0, QUA=4, TEL=3, THE=  3.54, PHI=-36.00
BLO=0, QUA=4, TEL=4, THE=  4.66, PHI=-52.11
BLO=1, QUA=1, TEL=1, THE=  7.63, PHI=-83.67
BLO=1, QUA=1, TEL=2, THE=  6.06, PHI=-81.84
BLO=1, QUA=1, TEL=3, THE=  6.09, PHI=-97.01
BLO=1, QUA=1, TEL=4, THE=  7.66, PHI=-95.73
BLO=1, QUA=2, TEL=1, THE=  4.49, PHI=-78.69
BLO=1, QUA=2, TEL=2, THE=  2.97, PHI=-71.94
BLO=1, QUA=2, TEL=3, THE=  2.89, PHI=-103.64
BLO=1, QUA=2, TEL=4, THE=  4.47, PHI=-99.29
BLO=1, QUA=3, TEL=1, THE=  5.00, PHI=-118.23
BLO=1, QUA=3, TEL=2, THE=  3.65, PHI=-129.90
BLO=1, QUA=3, TEL=3, THE=  4.84, PHI=-144.98
BLO=1, QUA=3, TEL=4, THE=  5.91, PHI=-132.18
BLO=1, QUA=4, TEL=1, THE=  7.96, PHI=-107.48
BLO=1, QUA=4, TEL=2, THE=  6.45, PHI=-111.51
BLO=1, QUA=4, TEL=3, THE=  7.20, PHI=-123.64
BLO=1, QUA=4, TEL=4, THE=  8.56, PHI=-117.68
BLO=2, QUA=1, TEL=1, THE=  3.17, PHI=-162.38
BLO=2, QUA=1, TEL=2, THE=  3.04, PHI=168.26
BLO=2, QUA=1, TEL=3, THE=  4.62, PHI=172.06
BLO=2, QUA=1, TEL=4, THE=  4.58, PHI=-167.93
BLO=2, QUA=2, TEL=1, THE=  3.70, PHI=143.59
BLO=2, QUA=2, TEL=2, THE=  4.77, PHI=127.19
BLO=2, QUA=2, TEL=3, THE=  5.92, PHI=139.87
BLO=2, QUA=2, TEL=4, THE=  4.99, PHI=153.89
BLO=2, QUA=3, TEL=1, THE=  6.54, PHI=160.03
BLO=2, QUA=3, TEL=2, THE=  7.21, PHI=147.92
BLO=2, QUA=3, TEL=3, THE=  8.62, PHI=153.70
BLO=2, QUA=3, TEL=4, THE=  8.04, PHI=163.91
BLO=2, QUA=4, TEL=1, THE=  6.27, PHI=-171.41
BLO=2, QUA=4, TEL=2, THE=  6.18, PHI=173.70
BLO=2, QUA=4, TEL=3, THE=  7.75, PHI=174.85
BLO=2, QUA=4, TEL=4, THE=  7.82, PHI=-173.13
BLO=3, QUA=1, TEL=1, THE=  4.79, PHI= 37.49
BLO=3, QUA=1, TEL=2, THE=  5.97, PHI= 49.15
BLO=3, QUA=1, TEL=3, THE=  5.07, PHI= 63.01
BLO=3, QUA=1, TEL=4, THE=  3.67, PHI= 52.74
BLO=3, QUA=2, TEL=1, THE=  7.19, PHI= 58.22
BLO=3, QUA=2, TEL=2, THE=  8.61, PHI= 63.28
BLO=3, QUA=2, TEL=3, THE=  8.04, PHI= 73.64
BLO=3, QUA=2, TEL=4, THE=  6.52, PHI= 70.26
BLO=3, QUA=3, TEL=1, THE=  6.15, PHI= 84.40
BLO=3, QUA=3, TEL=2, THE=  7.77, PHI= 85.27
BLO=3, QUA=3, TEL=3, THE=  7.84, PHI= 97.22
BLO=3, QUA=3, TEL=4, THE=  6.28, PHI= 99.20
BLO=3, QUA=4, TEL=1, THE=  2.98, PHI= 78.40
BLO=3, QUA=4, TEL=2, THE=  4.56, PHI= 81.95
BLO=3, QUA=4, TEL=3, THE=  4.62, PHI=101.50
BLO=3, QUA=4, TEL=4, THE=  3.08, PHI=108.20

BLO=4, QUA=1, TEL=1, THE=  0.99, PHI=-54.07

