++KVIDZAFromZGrid
<VARX> Q3Amplitude
<VARY> Q2Amplitude
<PARAMETER> IDTelescopes=ID_SI2_CSI_11
<PARAMETER> Runlist=40-776
<PARAMETER> PIDRANGE=1-200
<PARAMETER> PIDRANGE1=1:0.910972,0.995902,1.038582|2:1.040582,1.075120,1.150459
<PARAMETER> PIDRANGE2=3:1.785000,1.835276,1.899369|4:1.901369,2.004345,2.103119
<PARAMETER> PIDRANGE3=6:2.903501,3.004476,3.065765|7:3.067765,3.116038,3.181333|8:3.183333,3.214322,3.265000
<PARAMETER> PIDRANGE4=7:3.647793,3.724720,3.812750|9:3.924810,3.995658,4.072000|10:4.074000,4.123776,4.175000
<PARAMETER> PIDRANGE5=10:4.911872,4.995668,5.060923|11:5.062923,5.135098,5.207154|12:5.213242,5.246728,5.309893
<PARAMETER> PIDRANGE6=10:5.651065,5.701065,5.783105|11:5.785388,5.855235,5.917077|12:5.919077,5.994901,6.062571|13:6.064571,6.125036,6.197125|14:6.199125,6.246481,6.315830
<PARAMETER> PIDRANGE7=13:6.805000,6.855000,6.921500|14:6.923500,6.995468,7.062462|15:7.064462,7.134270,7.185000|16:7.187976,7.235921,7.285921
<PARAMETER> PIDRANGE8=15:7.805000,7.863667,7.922571|16:7.924571,8.004201,8.058348|17:8.060348,8.124426,8.186222|18:8.188222,8.233857,8.285000
<PARAMETER> PIDRANGE9=17:8.684399,8.734399,8.805175|18:8.815000,8.866364,8.941500|19:8.943500,9.002083,9.056317|20:9.060122,9.126332,9.176332
<PARAMETER> PIDRANGE10=20:9.667580,10.003957,10.296956
OnlyZId
+KVIDZALine
ID:Z=1 A=1
1	1
32
0.000000 31.907734
2.199422 30.076389
3.891288 28.667660
6.429088 26.789352
8.120955 25.192791
10.842815 23.855164
12.742152 23.071146
15.137391 22.128777
17.556438 21.194330
21.769112 19.736691
26.043736 18.393986
31.019653 16.992285
36.049103 15.740138
43.352970 14.174537
50.725571 12.853147
60.688637 11.435290
73.004517 10.112016
86.175438 9.070970
107.813370 7.814022
135.095993 6.724668
174.608749 5.509618
208.006439 4.797349
244.696854 4.085079
287.502319 3.456605
335.011719 2.911928
383.932281 2.576742
432.382446 2.367251
499.500000 2.124405
566.913940 1.873180
634.179688 1.691088
701.445435 1.541262
768.711182 1.415823
+KVIDZALine
ID:Z=2 A=4
2	4
40
0.000000 119.090899
2.376433 116.374535
6.411886 111.761841
9.662668 108.302315
14.146506 104.458397
18.630342 101.191071
26.925442 95.617393
35.924080 90.213913
43.011047 86.418022
50.192894 82.965904
67.809708 75.951797
85.345459 70.348618
103.506645 65.421204
121.702927 61.085327
140.475113 57.163319
159.257980 53.744068
186.050690 49.648579
212.848694 46.213978
253.736237 41.781425
294.667511 38.124199
340.856964 34.711456
387.031250 31.993227
429.012451 29.811857
471.005798 27.998138
521.010559 26.085844
571.020874 24.468426
629.985474 22.815348
688.956421 21.357046
746.034790 20.153658
803.112427 18.922455
860.216309 18.077559
917.322083 17.335918
962.844788 16.880615
1008.366516 16.346886
1074.814453 15.725616
1141.322144 15.137718
1207.829834 14.579165
1274.337524 14.065333
1340.845215 13.586487
1407.352905 13.139172
+KVIDZALine
ID:Z=3 A=7
3	7
31
0.000000 224.583675
6.309578 216.021469
15.714281 203.259125
28.214281 191.055954
