# DataSet FAZIAPRE
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-FEB2018/
run=1 | starting date=Mon Feb  5 22:06:11 2018 | nfiles=10 | size(GB)=0.93
run=2 | starting date=Mon Feb  5 22:13:00 2018 | nfiles=10 | size(GB)=0.93
run=3 | starting date=Mon Feb  5 22:13:23 2018 | nfiles=10 | size(GB)=0.93
run=4 | starting date=Mon Feb  5 22:13:45 2018 | nfiles=10 | size(GB)=0.93
run=5 | starting date=Mon Feb  5 22:14:07 2018 | nfiles=10 | size(GB)=0.93
run=6 | starting date=Mon Feb  5 22:14:29 2018 | nfiles=10 | size(GB)=0.93
run=7 | starting date=Mon Feb  5 22:14:52 2018 | nfiles=2 | size(GB)=0.12
run=8 | starting date=Mon Feb  5 22:34:47 2018 | nfiles=10 | size(GB)=0.93
run=9 | starting date=Mon Feb  5 22:35:36 2018 | nfiles=10 | size(GB)=0.93
run=10 | starting date=Mon Feb  5 22:35:59 2018 | nfiles=10 | size(GB)=0.93
run=11 | starting date=Mon Feb  5 22:36:22 2018 | nfiles=10 | size(GB)=0.93
run=12 | starting date=Mon Feb  5 22:36:44 2018 | nfiles=5 | size(GB)=0.38
run=13 | starting date=Mon Feb  5 22:51:54 2018 | nfiles=10 | size(GB)=0.93
run=14 | starting date=Mon Feb  5 22:52:22 2018 | nfiles=10 | size(GB)=0.93
run=15 | starting date=Mon Feb  5 22:52:45 2018 | nfiles=10 | size(GB)=0.93
run=16 | starting date=Mon Feb  5 22:53:07 2018 | nfiles=10 | size(GB)=0.93
run=17 | starting date=Mon Feb  5 22:53:30 2018 | nfiles=10 | size(GB)=0.93
run=18 | starting date=Mon Feb  5 22:53:53 2018 | nfiles=10 | size(GB)=0.93
run=19 | starting date=Mon Feb  5 22:54:16 2018 | nfiles=10 | size(GB)=0.93
run=20 | starting date=Mon Feb  5 22:54:39 2018 | nfiles=10 | size(GB)=0.93
run=21 | starting date=Mon Feb  5 22:55:01 2018 | nfiles=10 | size(GB)=0.93
run=22 | starting date=Mon Feb  5 22:55:24 2018 | nfiles=10 | size(GB)=0.89
run=23 | starting date=Tue Feb  6 00:00:30 2018 | nfiles=1 | size(GB)=0.06
run=24 | starting date=Tue Feb  6 01:00:34 2018 | nfiles=10 | size(GB)=0.93
run=25 | starting date=Tue Feb  6 01:01:03 2018 | nfiles=10 | size(GB)=0.93
run=26 | starting date=Tue Feb  6 01:01:27 2018 | nfiles=10 | size(GB)=0.93
run=27 | starting date=Tue Feb  6 01:01:51 2018 | nfiles=10 | size(GB)=0.93
run=28 | starting date=Tue Feb  6 01:02:16 2018 | nfiles=10 | size(GB)=0.93
run=29 | starting date=Tue Feb  6 01:02:41 2018 | nfiles=10 | size(GB)=0.93
run=30 | starting date=Tue Feb  6 01:03:05 2018 | nfiles=10 | size(GB)=0.93
run=31 | starting date=Tue Feb  6 01:03:30 2018 | nfiles=10 | size(GB)=0.93
run=32 | starting date=Tue Feb  6 01:03:55 2018 | nfiles=10 | size(GB)=0.93
run=33 | starting date=Tue Feb  6 01:04:20 2018 | nfiles=10 | size(GB)=0.93
run=34 | starting date=Tue Feb  6 01:04:44 2018 | nfiles=10 | size(GB)=0.93
run=35 | starting date=Tue Feb  6 01:05:09 2018 | nfiles=10 | size(GB)=0.93
run=36 | starting date=Tue Feb  6 01:05:33 2018 | nfiles=10 | size(GB)=0.93
run=37 | starting date=Tue Feb  6 01:05:58 2018 | nfiles=10 | size(GB)=0.93
run=38 | starting date=Tue Feb  6 01:06:23 2018 | nfiles=10 | size(GB)=0.93
run=39 | starting date=Tue Feb  6 01:06:47 2018 | nfiles=6 | size(GB)=0.51
run=40 | starting date=Tue Feb  6 01:10:30 2018 | nfiles=10 | size(GB)=0.93
run=41 | starting date=Tue Feb  6 01:12:14 2018 | nfiles=10 | size(GB)=0.93
run=42 | starting date=Tue Feb  6 01:14:07 2018 | nfiles=10 | size(GB)=0.93
run=43 | starting date=Tue Feb  6 01:15:56 2018 | nfiles=5 | size(GB)=0.43
run=44 | starting date=Tue Feb  6 01:17:39 2018 | nfiles=10 | size(GB)=0.93
run=45 | starting date=Tue Feb  6 01:19:23 2018 | nfiles=10 | size(GB)=0.93
run=46 | starting date=Tue Feb  6 01:21:12 2018 | nfiles=10 | size(GB)=0.93
run=47 | starting date=Tue Feb  6 01:23:00 2018 | nfiles=10 | size(GB)=0.93
run=48 | starting date=Tue Feb  6 01:24:46 2018 | nfiles=10 | size(GB)=0.93
run=49 | starting date=Tue Feb  6 01:26:35 2018 | nfiles=10 | size(GB)=0.93
run=50 | starting date=Tue Feb  6 01:28:20 2018 | nfiles=10 | size(GB)=0.93
run=51 | starting date=Tue Feb  6 01:29:33 2018 | nfiles=10 | size(GB)=0.93
run=52 | starting date=Tue Feb  6 01:29:57 2018 | nfiles=10 | size(GB)=0.93
run=53 | starting date=Tue Feb  6 01:30:35 2018 | nfiles=10 | size(GB)=0.93
run=54 | starting date=Tue Feb  6 01:32:13 2018 | nfiles=8 | size(GB)=0.67
run=55 | starting date=Tue Feb  6 01:34:11 2018 | nfiles=10 | size(GB)=0.93
run=56 | starting date=Tue Feb  6 01:35:56 2018 | nfiles=10 | size(GB)=0.93
