run=100 | aqcuisition status=Starting | starting date=Fri Dec 11 01:35:48 2015 | stopping date=Fri Dec 11 01:45:07 2015 | read events=4762 | good events=4761 | store events=4761 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=8.13 | duration=589.5 | trig info=0
run=101 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:07 2015 | stopping date=Fri Dec 11 01:45:10 2015 | read events=4337 | good events=4337 | store events=4337 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1030.75 | duration=4.2 | trig info=0
run=102 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:10 2015 | stopping date=Fri Dec 11 01:45:13 2015 | read events=4333 | good events=4333 | store events=4333 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1027.75 | duration=4.2 | trig info=1
run=103 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:13 2015 | stopping date=Fri Dec 11 01:45:16 2015 | read events=4372 | good events=4371 | store events=4371 | wrong number of blocks=0 | block errors=1 | nfiles=20 | frequency=1042.00 | duration=4.2 | trig info=0
run=104 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:16 2015 | stopping date=Fri Dec 11 01:45:19 2015 | read events=4458 | good events=4458 | store events=4458 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1062.50 | duration=4.2 | trig info=0
run=105 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:19 2015 | stopping date=Fri Dec 11 01:45:22 2015 | read events=4595 | good events=4595 | store events=4595 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1102.75 | duration=4.2 | trig info=0
run=106 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:22 2015 | stopping date=Fri Dec 11 01:45:25 2015 | read events=4448 | good events=4448 | store events=4448 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1060.75 | duration=4.2 | trig info=1
run=107 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:25 2015 | stopping date=Fri Dec 11 01:45:28 2015 | read events=4430 | good events=4430 | store events=4430 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1055.50 | duration=4.2 | trig info=0
run=108 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:28 2015 | stopping date=Fri Dec 11 01:45:31 2015 | read events=4623 | good events=4623 | store events=4623 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1099.00 | duration=4.2 | trig info=0
run=109 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:31 2015 | stopping date=Fri Dec 11 01:45:34 2015 | read events=4580 | good events=4580 | store events=4580 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1089.25 | duration=4.2 | trig info=1
run=111 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:37 2015 | stopping date=Fri Dec 11 01:45:40 2015 | read events=4992 | good events=4992 | store events=4992 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1183.50 | duration=4.2 | trig info=0
run=112 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:40 2015 | stopping date=Fri Dec 11 01:45:43 2015 | read events=5469 | good events=5469 | store events=5469 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1300.25 | duration=4.2 | trig info=1
run=113 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:43 2015 | stopping date=Fri Dec 11 01:45:46 2015 | read events=5418 | good events=5418 | store events=5418 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1292.00 | duration=4.2 | trig info=0
run=114 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:46 2015 | stopping date=Fri Dec 11 01:45:49 2015 | read events=5468 | good events=5468 | store events=5468 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1301.75 | duration=4.2 | trig info=0
run=115 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:49 2015 | stopping date=Fri Dec 11 01:45:52 2015 | read events=5818 | good events=5818 | store events=5818 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1373.75 | duration=4.2 | trig info=0
run=116 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:52 2015 | stopping date=Fri Dec 11 01:45:55 2015 | read events=6448 | good events=6447 | store events=6447 | wrong number of blocks=0 | block errors=1 | nfiles=20 | frequency=1529.75 | duration=4.2 | trig info=1
run=117 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:55 2015 | stopping date=Fri Dec 11 01:45:58 2015 | read events=6712 | good events=6712 | store events=6712 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1596.75 | duration=4.2 | trig info=0
run=118 | aqcuisition status=Running | starting date=Fri Dec 11 01:45:58 2015 | stopping date=Fri Dec 11 01:46:01 2015 | read events=6752 | good events=6752 | store events=6752 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=1606.75 | duration=4.2 | trig info=0
