# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIASYM-Dec2015/
run=100 | starting date=Fri Dec 11 01:35:48 2015 | nfiles=20 | size(GB)=0.28
run=101 | starting date=Fri Dec 11 01:45:07 2015 | nfiles=20 | size(GB)=0.28
run=102 | starting date=Fri Dec 11 01:45:10 2015 | nfiles=20 | size(GB)=0.28
run=103 | starting date=Fri Dec 11 01:45:13 2015 | nfiles=20 | size(GB)=0.28
run=104 | starting date=Fri Dec 11 01:45:16 2015 | nfiles=20 | size(GB)=0.28
run=105 | starting date=Fri Dec 11 01:45:19 2015 | nfiles=20 | size(GB)=0.28
run=106 | starting date=Fri Dec 11 01:45:22 2015 | nfiles=20 | size(GB)=0.28
run=107 | starting date=Fri Dec 11 01:45:25 2015 | nfiles=20 | size(GB)=0.28
run=108 | starting date=Fri Dec 11 01:45:28 2015 | nfiles=20 | size(GB)=0.28
run=109 | starting date=Fri Dec 11 01:45:31 2015 | nfiles=20 | size(GB)=0.28
run=110 | starting date=Fri Dec 11 01:45:34 2015 | nfiles=20 | size(GB)=0.28
run=111 | starting date=Fri Dec 11 01:45:37 2015 | nfiles=20 | size(GB)=0.28
run=112 | starting date=Fri Dec 11 01:45:40 2015 | nfiles=20 | size(GB)=0.28
run=113 | starting date=Fri Dec 11 01:45:43 2015 | nfiles=20 | size(GB)=0.28
run=114 | starting date=Fri Dec 11 01:45:46 2015 | nfiles=20 | size(GB)=0.28
run=115 | starting date=Fri Dec 11 01:45:49 2015 | nfiles=20 | size(GB)=0.28
run=116 | starting date=Fri Dec 11 01:45:52 2015 | nfiles=20 | size(GB)=0.28
run=117 | starting date=Fri Dec 11 01:45:55 2015 | nfiles=20 | size(GB)=0.28
run=118 | starting date=Fri Dec 11 01:45:58 2015 | nfiles=20 | size(GB)=0.28
run=119 | starting date=Fri Dec 11 01:46:01 2015 | nfiles=20 | size(GB)=0.28
run=120 | starting date=Fri Dec 11 01:46:04 2015 | nfiles=20 | size(GB)=0.28
run=121 | starting date=Fri Dec 11 01:46:07 2015 | nfiles=20 | size(GB)=0.28
run=122 | starting date=Fri Dec 11 01:46:10 2015 | nfiles=20 | size(GB)=0.28
run=123 | starting date=Fri Dec 11 01:46:13 2015 | nfiles=20 | size(GB)=0.28
run=124 | starting date=Fri Dec 11 01:46:16 2015 | nfiles=20 | size(GB)=0.28
run=125 | starting date=Fri Dec 11 01:46:19 2015 | nfiles=20 | size(GB)=0.28
run=126 | starting date=Fri Dec 11 01:46:22 2015 | nfiles=20 | size(GB)=0.28
run=127 | starting date=Fri Dec 11 01:46:25 2015 | nfiles=20 | size(GB)=0.28
run=128 | starting date=Fri Dec 11 01:46:28 2015 | nfiles=20 | size(GB)=0.28
run=129 | starting date=Fri Dec 11 01:46:31 2015 | nfiles=20 | size(GB)=0.28
run=130 | starting date=Fri Dec 11 01:46:34 2015 | nfiles=20 | size(GB)=0.28
run=131 | starting date=Fri Dec 11 01:46:37 2015 | nfiles=20 | size(GB)=0.28
run=132 | starting date=Fri Dec 11 01:46:40 2015 | nfiles=20 | size(GB)=0.28
run=133 | starting date=Fri Dec 11 01:46:43 2015 | nfiles=20 | size(GB)=0.28
run=134 | starting date=Fri Dec 11 01:46:46 2015 | nfiles=20 | size(GB)=0.28
run=135 | starting date=Fri Dec 11 01:46:49 2015 | nfiles=20 | size(GB)=0.28
run=136 | starting date=Fri Dec 11 01:46:52 2015 | nfiles=20 | size(GB)=0.28
run=137 | starting date=Fri Dec 11 01:46:55 2015 | nfiles=20 | size(GB)=0.28
run=138 | starting date=Fri Dec 11 01:46:58 2015 | nfiles=20 | size(GB)=0.28
run=139 | starting date=Fri Dec 11 01:47:01 2015 | nfiles=20 | size(GB)=0.28
run=140 | starting date=Fri Dec 11 01:47:04 2015 | nfiles=20 | size(GB)=0.28
run=141 | starting date=Fri Dec 11 01:47:07 2015 | nfiles=20 | size(GB)=0.28
run=142 | starting date=Fri Dec 11 01:47:10 2015 | nfiles=20 | size(GB)=0.28
run=143 | starting date=Fri Dec 11 01:47:13 2015 | nfiles=20 | size(GB)=0.28
run=144 | starting date=Fri Dec 11 01:47:16 2015 | nfiles=20 | size(GB)=0.28
run=145 | starting date=Fri Dec 11 01:47:19 2015 | nfiles=20 | size(GB)=0.28
run=146 | starting date=Fri Dec 11 01:47:23 2015 | nfiles=20 | size(GB)=0.28
run=147 | starting date=Fri Dec 11 01:47:26 2015 | nfiles=20 | size(GB)=0.28
run=148 | starting date=Fri Dec 11 01:47:29 2015 | nfiles=20 | size(GB)=0.28
run=149 | starting date=Fri Dec 11 01:47:32 2015 | nfiles=20 | size(GB)=0.28
run=150 | starting date=Fri Dec 11 01:47:35 2015 | nfiles=20 | size(GB)=0.28
run=151 | starting date=Fri Dec 11 01:47:38 2015 | nfiles=20 | size(GB)=0.28
run=152 | starting date=Fri Dec 11 01:47:41 2015 | nfiles=20 | size(GB)=0.28
run=153 | starting date=Fri Dec 11 01:47:44 2015 | nfiles=20 | size(GB)=0.28
run=154 | starting date=Fri Dec 11 01:47:47 2015 | nfiles=20 | size(GB)=0.28
run=155 | starting date=Fri Dec 11 01:47:50 2015 | nfiles=20 | size(GB)=0.28
run=156 | starting date=Fri Dec 11 01:47:53 2015 | nfiles=20 | size(GB)=0.28
run=157 | starting date=Fri Dec 11 01:47:56 2015 | nfiles=20 | size(GB)=0.28
run=158 | starting date=Fri Dec 11 01:47:59 2015 | nfiles=20 | size(GB)=0.28
run=159 | starting date=Fri Dec 11 01:48:02 2015 | nfiles=20 | size(GB)=0.28
run=160 | starting date=Fri Dec 11 01:48:05 2015 | nfiles=20 | size(GB)=0.28
run=161 | starting date=Fri Dec 11 01:48:08 2015 | nfiles=20 | size(GB)=0.28
run=162 | starting date=Fri Dec 11 01:48:11 2015 | nfiles=20 | size(GB)=0.28
run=163 | starting date=Fri Dec 11 01:48:14 2015 | nfiles=20 | size(GB)=0.28
run=164 | starting date=Fri Dec 11 01:48:17 2015 | nfiles=20 | size(GB)=0.28
run=165 | starting date=Fri Dec 11 01:48:20 2015 | nfiles=20 | size(GB)=0.28
run=166 | starting date=Fri Dec 11 01:48:23 2015 | nfiles=20 | size(GB)=0.28
run=167 | starting date=Fri Dec 11 01:48:26 2015 | nfiles=20 | size(GB)=0.28
run=168 | starting date=Fri Dec 11 01:48:29 2015 | nfiles=20 | size(GB)=0.28
run=169 | starting date=Fri Dec 11 01:48:32 2015 | nfiles=20 | size(GB)=0.28
run=170 | starting date=Fri Dec 11 01:48:35 2015 | nfiles=20 | size(GB)=0.28
run=171 | starting date=Fri Dec 11 01:48:38 2015 | nfiles=20 | size(GB)=0.28
run=172 | starting date=Fri Dec 11 01:48:41 2015 | nfiles=20 | size(GB)=0.28
run=173 | starting date=Fri Dec 11 01:48:44 2015 | nfiles=20 | size(GB)=0.28
run=174 | starting date=Fri Dec 11 01:48:47 2015 | nfiles=20 | size(GB)=0.28
run=175 | starting date=Fri Dec 11 01:48:50 2015 | nfiles=20 | size(GB)=0.28
run=176 | starting date=Fri Dec 11 01:48:53 2015 | nfiles=20 | size(GB)=0.28
run=177 | starting date=Fri Dec 11 01:48:56 2015 | nfiles=20 | size(GB)=0.28
run=178 | starting date=Fri Dec 11 01:48:59 2015 | nfiles=20 | size(GB)=0.28
run=179 | starting date=Fri Dec 11 01:49:02 2015 | nfiles=20 | size(GB)=0.28
run=180 | starting date=Fri Dec 11 01:49:05 2015 | nfiles=20 | size(GB)=0.28
run=181 | starting date=Fri Dec 11 01:49:08 2015 | nfiles=20 | size(GB)=0.28
run=182 | starting date=Fri Dec 11 01:49:11 2015 | nfiles=20 | size(GB)=0.28
run=183 | starting date=Fri Dec 11 01:49:14 2015 | nfiles=20 | size(GB)=0.28
run=184 | starting date=Fri Dec 11 01:49:17 2015 | nfiles=20 | size(GB)=0.28
run=185 | starting date=Fri Dec 11 01:49:20 2015 | nfiles=20 | size(GB)=0.28
run=186 | starting date=Fri Dec 11 01:49:23 2015 | nfiles=20 | size(GB)=0.28
run=187 | starting date=Fri Dec 11 01:49:26 2015 | nfiles=20 | size(GB)=0.28
run=188 | starting date=Fri Dec 11 01:49:29 2015 | nfiles=20 | size(GB)=0.28
run=189 | starting date=Fri Dec 11 01:49:32 2015 | nfiles=20 | size(GB)=0.28
run=190 | starting date=Fri Dec 11 01:49:35 2015 | nfiles=20 | size(GB)=0.28
run=191 | starting date=Fri Dec 11 01:49:38 2015 | nfiles=20 | size(GB)=0.28
run=192 | starting date=Fri Dec 11 01:49:41 2015 | nfiles=20 | size(GB)=0.28
run=193 | starting date=Fri Dec 11 01:49:44 2015 | nfiles=20 | size(GB)=0.28
run=194 | starting date=Fri Dec 11 01:49:47 2015 | nfiles=20 | size(GB)=0.28
run=195 | starting date=Fri Dec 11 01:49:50 2015 | nfiles=20 | size(GB)=0.28
run=196 | starting date=Fri Dec 11 01:49:53 2015 | nfiles=20 | size(GB)=0.28
run=197 | starting date=Fri Dec 11 01:49:56 2015 | nfiles=20 | size(GB)=0.28
run=198 | starting date=Fri Dec 11 01:49:59 2015 | nfiles=20 | size(GB)=0.28
run=199 | starting date=Fri Dec 11 01:50:02 2015 | nfiles=20 | size(GB)=0.28
run=200 | starting date=Fri Dec 11 01:50:05 2015 | nfiles=20 | size(GB)=0.28
run=201 | starting date=Fri Dec 11 01:50:08 2015 | nfiles=20 | size(GB)=0.28
run=202 | starting date=Fri Dec 11 01:50:11 2015 | nfiles=20 | size(GB)=0.28
run=203 | starting date=Fri Dec 11 01:50:14 2015 | nfiles=20 | size(GB)=0.28
run=204 | starting date=Fri Dec 11 01:50:17 2015 | nfiles=20 | size(GB)=0.28
run=205 | starting date=Fri Dec 11 01:50:20 2015 | nfiles=20 | size(GB)=0.28
run=206 | starting date=Fri Dec 11 01:50:23 2015 | nfiles=20 | size(GB)=0.28
run=207 | starting date=Fri Dec 11 01:50:26 2015 | nfiles=20 | size(GB)=0.28
run=208 | starting date=Fri Dec 11 01:50:29 2015 | nfiles=20 | size(GB)=0.28
run=209 | starting date=Fri Dec 11 01:50:33 2015 | nfiles=20 | size(GB)=0.28
run=210 | starting date=Fri Dec 11 01:50:36 2015 | nfiles=20 | size(GB)=0.28
