run=1001 | aqcuisition status=Running | starting date=Sun Jun  7 22:38:10 2015 | stopping date=Mon Jun  8 16:19:13 2015 | read events=27761 | good events=23689 | store events=23689 | wrong number of blocks=4061 | block errors=11 | nfiles=20 | frequency=0.40 | duration=68530.5
run=1002 | aqcuisition status=Running | starting date=Sun Jun  7 22:38:26 2015 | stopping date=Mon Jun  8 16:20:08 2015 | read events=28257 | good events=24232 | store events=24232 | wrong number of blocks=4005 | block errors=20 | nfiles=20 | frequency=0.41 | duration=68571.6
run=1003 | aqcuisition status=Running | starting date=Sun Jun  7 22:38:39 2015 | stopping date=Mon Jun  8 16:21:07 2015 | read events=28529 | good events=24235 | store events=24235 | wrong number of blocks=4261 | block errors=33 | nfiles=20 | frequency=0.41 | duration=68620.0
run=1004 | aqcuisition status=Running | starting date=Sun Jun  7 22:38:52 2015 | stopping date=Mon Jun  8 16:22:12 2015 | read events=28784 | good events=24450 | store events=24450 | wrong number of blocks=4321 | block errors=13 | nfiles=20 | frequency=0.42 | duration=68674.7
run=1005 | aqcuisition status=Running | starting date=Sun Jun  7 22:39:06 2015 | stopping date=Mon Jun  8 16:23:20 2015 | read events=28645 | good events=24298 | store events=24298 | wrong number of blocks=4327 | block errors=20 | nfiles=20 | frequency=0.41 | duration=68731.6
run=1006 | aqcuisition status=Running | starting date=Sun Jun  7 22:39:23 2015 | stopping date=Mon Jun  8 16:24:42 2015 | read events=28128 | good events=23412 | store events=23412 | wrong number of blocks=4620 | block errors=96 | nfiles=20 | frequency=0.41 | duration=68800.0
run=1007 | aqcuisition status=Running | starting date=Sun Jun  7 22:39:40 2015 | stopping date=Mon Jun  8 16:25:52 2015 | read events=28538 | good events=23843 | store events=23843 | wrong number of blocks=4678 | block errors=17 | nfiles=20 | frequency=0.41 | duration=68855.8
run=1008 | aqcuisition status=Running | starting date=Sun Jun  7 22:39:55 2015 | stopping date=Mon Jun  8 16:26:55 2015 | read events=28595 | good events=23992 | store events=23992 | wrong number of blocks=4575 | block errors=28 | nfiles=20 | frequency=0.41 | duration=68906.3
run=1009 | aqcuisition status=Running | starting date=Sun Jun  7 22:40:08 2015 | stopping date=Mon Jun  8 16:36:44 2015 | read events=29459 | good events=25737 | store events=25737 | wrong number of blocks=3704 | block errors=18 | nfiles=20 | frequency=0.42 | duration=69512.6
run=1010 | aqcuisition status=Running | starting date=Mon Jun  8 16:36:46 2015 | stopping date=Mon Jun  8 16:37:00 2015 | read events=17041 | good events=13493 | store events=13493 | wrong number of blocks=3547 | block errors=1 | nfiles=10 | frequency=1023.73 | duration=16.7
run=1011 | aqcuisition status=Running | starting date=Mon Jun  8 16:37:02 2015 | stopping date=Mon Jun  8 16:37:17 2015 | read events=16629 | good events=13182 | store events=13182 | wrong number of blocks=3444 | block errors=3 | nfiles=10 | frequency=936.00 | duration=17.8
