#  
#  E(MeV) = a0 + a1*channel + a2*channel*channel
#  <signal>-<block_number><quartet_number><telescope_number>: <a0>,<a1>,<a2>
#  
RunList:                                 1010-24423
Signal:                                  QH1
CalibType:                               Channel-Energy
SI1-11:                                  0.,0.272899,0.
SI1-12:                                  0.,0.262160,0.
SI1-13:                                  0.,0.268845,0.
SI1-14:                                  0.,0.271876,0.
SI1-21:                                  0.,0.267210,0.
SI1-22:                                  0.,0.415992,0.
SI1-23:                                  0.,0.268966,0.
SI1-34:                                  0.,0.377820,0.
SI1-41:                                  0.,0.264892,0.
SI1-42:                                  0.,0.262006,0.
SI1-43:                                  0.,0.273633,0.
SI1-111:                                 0.,0.260796,0.
SI1-112:                                 0.,0.260159,0.
SI1-113:				 0.,0.259308.0.
SI1-114:                                 0.,0.245413,0.
SI1-121:				 0.,0.251494,0.
SI1-122:                                 0.,0.262316,0.
SI1-131:                                 0.,0.257026,0.
SI1-133:                                 0.,0.281923,0.
SI1-134:                                 0.,0.258372,0.
SI1-141:                                 0.,0.262731,0.
SI1-142:                                 0.,0.263294,0.
SI1-143:                                 0.,0.264423,0.
SI1-212:				 0.,0.255319,0.
SI1-213:				 0.,0.255471.0.
SI1-221:                                 0.,0.265481,0.
SI1-222:                                 0.,0.262809,0.
SI1-223:                                 0.,0.257530,0.
SI1-224:				 0.,0.253870,0.
SI1-231:				 0.,0.264777,0.
SI1-232:                                 0.,0.267990,0.
SI1-234:                                 0.,0.262767,0.
SI1-242:                                 0.,0.261320,0.
SI1-311:                                 0.,0.268716,0.
SI1-312:				 0.,0.252971,0.
SI1-321:                                 0.,0.271454,0.
SI1-322:				 0.,0.254538,0.
SI1-323:                                 0.,0.360371,0.
SI1-332:                                 0.,0.593408,0.
SI1-334:                                 0.,0.264404,0.
SI1-341:                                 0.,0.419368,0.
SI1-342:                                 0.,0.257457,0.
SI1-343:                                 0.,0.271897,0.
SI1-344:                                 0.,0.265970,0.

