Run=7107 | Nfiles=4 | Events=28953 | Trigger=1 | Nparse=28953 | Start Date=Thu Dec 11 03:27:33 2014 | ACQ=START | Comments=
Run=7108 | Nfiles=4 | Events=28964 | Trigger=1 | Nparse=28964 | Start Date=Thu Dec 11 03:30:11 2014 | ACQ=RUN | Comments=
Run=7109 | Nfiles=4 | Events=28956 | Trigger=1 | Nparse=28956 | Start Date=Thu Dec 11 03:32:43 2014 | ACQ=RUN | Comments=
Run=7110 | Nfiles=4 | Events=28923 | Trigger=1 | Nparse=28923 | Start Date=Thu Dec 11 03:35:12 2014 | ACQ=RUN | Comments=
Run=7111 | Nfiles=4 | Events=28967 | Trigger=1 | Nparse=28967 | Start Date=Thu Dec 11 03:37:38 2014 | ACQ=RUN | Comments=
Run=7112 | Nfiles=4 | Events=28977 | Trigger=1 | Nparse=28977 | Start Date=Thu Dec 11 03:40:04 2014 | ACQ=RUN | Comments=
Run=7113 | Nfiles=4 | Events=28989 | Trigger=1 | Nparse=28989 | Start Date=Thu Dec 11 03:43:02 2014 | ACQ=RUN | Comments=
Run=7114 | Nfiles=4 | Events=27154 | Trigger=1 | Nparse=27154 | Start Date=Thu Dec 11 03:45:32 2014 | ACQ=RUN | Comments=
Run=7115 | Nfiles=5 | Events=28240 | Trigger=1 | Nparse=28240 | Start Date=Thu Dec 11 03:51:05 2014 | ACQ=START | Comments=
Run=7116 | Nfiles=4 | Events=28573 | Trigger=1 | Nparse=28573 | Start Date=Thu Dec 11 03:52:30 2014 | ACQ=START | Comments=
Run=7117 | Nfiles=1 | Events=2947 | Trigger=1 | Nparse=2947 | Start Date=Thu Dec 11 03:53:06 2014 | ACQ=RUN | Comments=
Run=7118 | Nfiles=4 | Events=28569 | Trigger=1 | Nparse=28569 | Start Date=Thu Dec 11 03:53:53 2014 | ACQ=START | Comments=
Run=7119 | Nfiles=4 | Events=28503 | Trigger=1 | Nparse=28503 | Start Date=Thu Dec 11 03:54:27 2014 | ACQ=RUN | Comments=
Run=7120 | Nfiles=4 | Events=28526 | Trigger=1 | Nparse=28526 | Start Date=Thu Dec 11 03:54:49 2014 | ACQ=RUN | Comments=
Run=7121 | Nfiles=1 | Events=3744 | Trigger=1 | Nparse=3744 | Start Date=Thu Dec 11 03:55:11 2014 | ACQ=RUN | Comments=
Run=7122 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 03:55:52 2014 | ACQ=START | Comments=
Run=7123 | Nfiles=4 | Events=28949 | Trigger=1 | Nparse=28949 | Start Date=Thu Dec 11 03:58:24 2014 | ACQ=RUN | Comments=
Run=7124 | Nfiles=4 | Events=28941 | Trigger=1 | Nparse=28941 | Start Date=Thu Dec 11 04:00:46 2014 | ACQ=RUN | Comments=
Run=7125 | Nfiles=4 | Events=29003 | Trigger=1 | Nparse=29003 | Start Date=Thu Dec 11 04:03:11 2014 | ACQ=RUN | Comments=
Run=7126 | Nfiles=4 | Events=28980 | Trigger=1 | Nparse=28980 | Start Date=Thu Dec 11 04:05:32 2014 | ACQ=RUN | Comments=
Run=7127 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 04:07:53 2014 | ACQ=RUN | Comments=
Run=7128 | Nfiles=4 | Events=28962 | Trigger=1 | Nparse=28962 | Start Date=Thu Dec 11 04:10:15 2014 | ACQ=RUN | Comments=
Run=7129 | Nfiles=4 | Events=28958 | Trigger=1 | Nparse=28958 | Start Date=Thu Dec 11 04:12:42 2014 | ACQ=RUN | Comments=
Run=7130 | Nfiles=4 | Events=28993 | Trigger=1 | Nparse=28993 | Start Date=Thu Dec 11 04:15:06 2014 | ACQ=RUN | Comments=
Run=7131 | Nfiles=4 | Events=28993 | Trigger=1 | Nparse=28993 | Start Date=Thu Dec 11 04:17:33 2014 | ACQ=RUN | Comments=
Run=7132 | Nfiles=4 | Events=28971 | Trigger=1 | Nparse=28971 | Start Date=Thu Dec 11 04:20:02 2014 | ACQ=RUN | Comments=
Run=7133 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 04:22:27 2014 | ACQ=RUN | Comments=
Run=7134 | Nfiles=4 | Events=28964 | Trigger=1 | Nparse=28964 | Start Date=Thu Dec 11 04:24:51 2014 | ACQ=RUN | Comments=
Run=7135 | Nfiles=4 | Events=28984 | Trigger=1 | Nparse=28984 | Start Date=Thu Dec 11 04:27:12 2014 | ACQ=RUN | Comments=
Run=7136 | Nfiles=4 | Events=28936 | Trigger=1 | Nparse=28936 | Start Date=Thu Dec 11 04:29:35 2014 | ACQ=RUN | Comments=
Run=7137 | Nfiles=4 | Events=28989 | Trigger=1 | Nparse=28989 | Start Date=Thu Dec 11 04:31:56 2014 | ACQ=RUN | Comments=
Run=7138 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 04:34:19 2014 | ACQ=RUN | Comments=
Run=7139 | Nfiles=4 | Events=28981 | Trigger=1 | Nparse=28981 | Start Date=Thu Dec 11 04:36:44 2014 | ACQ=RUN | Comments=
Run=7140 | Nfiles=4 | Events=28959 | Trigger=1 | Nparse=28959 | Start Date=Thu Dec 11 04:39:10 2014 | ACQ=RUN | Comments=
Run=7141 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 04:41:36 2014 | ACQ=RUN | Comments=
Run=7142 | Nfiles=4 | Events=28982 | Trigger=1 | Nparse=28982 | Start Date=Thu Dec 11 04:43:58 2014 | ACQ=RUN | Comments=
Run=7143 | Nfiles=4 | Events=28990 | Trigger=1 | Nparse=28990 | Start Date=Thu Dec 11 04:46:16 2014 | ACQ=RUN | Comments=
Run=7144 | Nfiles=4 | Events=28939 | Trigger=1 | Nparse=28939 | Start Date=Thu Dec 11 04:48:31 2014 | ACQ=RUN | Comments=
Run=7145 | Nfiles=4 | Events=28990 | Trigger=1 | Nparse=28990 | Start Date=Thu Dec 11 04:53:01 2014 | ACQ=RUN | Comments=
Run=7146 | Nfiles=4 | Events=28991 | Trigger=1 | Nparse=28991 | Start Date=Thu Dec 11 04:55:27 2014 | ACQ=RUN | Comments=
Run=7147 | Nfiles=4 | Events=28955 | Trigger=1 | Nparse=28955 | Start Date=Thu Dec 11 04:57:46 2014 | ACQ=RUN | Comments=
Run=7148 | Nfiles=4 | Events=29000 | Trigger=1 | Nparse=29000 | Start Date=Thu Dec 11 05:00:05 2014 | ACQ=RUN | Comments=
Run=7149 | Nfiles=4 | Events=28968 | Trigger=1 | Nparse=28968 | Start Date=Thu Dec 11 05:02:24 2014 | ACQ=RUN | Comments=
Run=7150 | Nfiles=4 | Events=28980 | Trigger=1 | Nparse=28980 | Start Date=Thu Dec 11 05:04:46 2014 | ACQ=RUN | Comments=
Run=7151 | Nfiles=4 | Events=29007 | Trigger=1 | Nparse=29007 | Start Date=Thu Dec 11 05:07:06 2014 | ACQ=RUN | Comments=
Run=7152 | Nfiles=4 | Events=28948 | Trigger=1 | Nparse=28948 | Start Date=Thu Dec 11 05:13:59 2014 | ACQ=RUN | Comments=
Run=7153 | Nfiles=4 | Events=28951 | Trigger=1 | Nparse=28951 | Start Date=Thu Dec 11 05:16:24 2014 | ACQ=RUN | Comments=
Run=7154 | Nfiles=4 | Events=28920 | Trigger=1 | Nparse=28920 | Start Date=Thu Dec 11 05:18:47 2014 | ACQ=RUN | Comments=
Run=7155 | Nfiles=4 | Events=28980 | Trigger=1 | Nparse=28980 | Start Date=Thu Dec 11 05:21:12 2014 | ACQ=RUN | Comments=
