# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=1 | starting date=Wed Jul  6 13:02:34 2016 | nfiles=9 | size(GB)=0.79
run=2 | starting date=Wed Jul  6 18:10:24 2016 | nfiles=1 | size(GB)=0.00
run=3 | starting date=Thu Jul  7 09:49:40 2016 | nfiles=10 | size(GB)=0.93
run=4 | starting date=Thu Jul  7 21:15:07 2016 | nfiles=10 | size(GB)=0.93
run=5 | starting date=Thu Jul  7 21:38:28 2016 | nfiles=10 | size(GB)=0.93
run=6 | starting date=Thu Jul  7 22:01:11 2016 | nfiles=10 | size(GB)=0.93
run=7 | starting date=Thu Jul  7 22:20:45 2016 | nfiles=10 | size(GB)=0.93
run=8 | starting date=Thu Jul  7 22:41:07 2016 | nfiles=10 | size(GB)=0.93
run=9 | starting date=Thu Jul  7 23:01:01 2016 | nfiles=10 | size(GB)=0.93
run=10 | starting date=Thu Jul  7 23:19:01 2016 | nfiles=10 | size(GB)=0.93
run=11 | starting date=Thu Jul  7 23:35:38 2016 | nfiles=10 | size(GB)=0.93
run=12 | starting date=Thu Jul  7 23:51:59 2016 | nfiles=10 | size(GB)=0.93
run=13 | starting date=Fri Jul  8 00:09:11 2016 | nfiles=1 | size(GB)=0.03
run=20 | starting date=Fri Jul  8 11:59:21 2016 | nfiles=10 | size(GB)=0.93
run=21 | starting date=Fri Jul  8 12:23:00 2016 | nfiles=10 | size(GB)=0.93
run=22 | starting date=Fri Jul  8 12:45:51 2016 | nfiles=10 | size(GB)=0.93
run=23 | starting date=Fri Jul  8 13:08:41 2016 | nfiles=10 | size(GB)=0.93
run=24 | starting date=Fri Jul  8 13:31:36 2016 | nfiles=10 | size(GB)=0.93
run=25 | starting date=Fri Jul  8 13:54:27 2016 | nfiles=10 | size(GB)=0.93
run=26 | starting date=Fri Jul  8 14:17:19 2016 | nfiles=10 | size(GB)=0.93
run=27 | starting date=Fri Jul  8 14:40:11 2016 | nfiles=10 | size(GB)=0.93
run=28 | starting date=Fri Jul  8 15:03:03 2016 | nfiles=10 | size(GB)=0.93
run=29 | starting date=Fri Jul  8 15:25:55 2016 | nfiles=10 | size(GB)=0.93
run=30 | starting date=Fri Jul  8 15:48:47 2016 | nfiles=10 | size(GB)=0.93
run=31 | starting date=Fri Jul  8 16:11:40 2016 | nfiles=10 | size(GB)=0.93
run=32 | starting date=Fri Jul  8 16:34:32 2016 | nfiles=3 | size(GB)=0.20
run=33 | starting date=Mon Jul 11 13:40:42 2016 | nfiles=1 | size(GB)=0.00
run=34 | starting date=Mon Jul 11 13:43:07 2016 | nfiles=5 | size(GB)=0.43
run=35 | starting date=Mon Jul 11 15:17:27 2016 | nfiles=1 | size(GB)=0.00
run=36 | starting date=Mon Jul 11 15:18:22 2016 | nfiles=10 | size(GB)=0.93
run=37 | starting date=Mon Jul 11 15:22:33 2016 | nfiles=10 | size(GB)=0.93
run=38 | starting date=Mon Jul 11 15:25:46 2016 | nfiles=10 | size(GB)=0.93
run=39 | starting date=Mon Jul 11 15:29:00 2016 | nfiles=10 | size(GB)=0.93
run=40 | starting date=Mon Jul 11 15:32:14 2016 | nfiles=10 | size(GB)=0.93
run=41 | starting date=Mon Jul 11 15:35:28 2016 | nfiles=10 | size(GB)=0.93
run=42 | starting date=Mon Jul 11 15:38:50 2016 | nfiles=10 | size(GB)=0.93
run=43 | starting date=Mon Jul 11 15:42:04 2016 | nfiles=10 | size(GB)=0.93
run=44 | starting date=Mon Jul 11 15:45:18 2016 | nfiles=10 | size(GB)=0.93
run=45 | starting date=Tue Jul 12 12:41:57 2016 | nfiles=10 | size(GB)=0.93
run=46 | starting date=Tue Jul 12 13:17:20 2016 | nfiles=10 | size(GB)=0.93
run=47 | starting date=Tue Jul 12 13:17:30 2016 | nfiles=10 | size(GB)=0.93
