||INDRA@GANIL|||01/04/2001||E372|||||||18/02/2003 11:50:42|||
|||||||||||||||||
|DLT 1 & 1bis|||Piedestaux/Automate||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
pas|6001|13163|21489|3293|2117068|162657|874416|44.7406405305742|M>=1||0.612545953743776|4.5|03/04/2001 04:29:00|run piedestaux chio-si - pas sur DLT|c.12 p.53||
sur|6002|3002|22531|753|2223277|268866|874416|44.7406405305742|M>=1||0.133238648972527|1|03/04/2001 04:43:00|Run Piedestal Csi - pas sur DLT|||
DLT|6003|27435|23907|6862|2363860|409449|874416|44.7406405305742|M>=1||1.14757184088342|11|03/04/2001 04:46:00|Run Piedestal Csi ? Feuille de run trouve apres fin manip - pas sur DLT|||
1|6004|119691|33794|12108|3410361|1436884|875538|44.3652497596881|M>=1||3.54178256495236|47|03/04/2001 05:43:00|Run Automate  Si|||
1|6005|240432|42580|5808|4400037|2424019|875538|44.3081996216634|M>=1||5.64659464537341|89|03/04/2001 06:30:00|Run Automate  Chio|||
|||||||||||||||||
|||||||||||||||||
|DLT 1 & 1bis|||124Xe + Au 7 MeV/A||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
1|6006|783459|870271|5797|5981743|3366087|1108366|42.3743030429078|M>=1|Au|0.900247164389024|5|03/04/2001 10:15:00|seuil Si 5.8 augmenté|c12p54||
1|6007|1606811|876406|12117|6130412|3375582|1214468|44.0850433602073|M>=1|Au|1.83340940157872|11|03/04/2001 10:23:00|Gain 150 Mu comme les autres|C12P55||
1|6008|994460|879907|7286|6211811|3378757|1271312|44.8742593681589|M>=1|Au|1.13018762210097|7|03/04/2001 10:34:00||||
1|6009|560792|885264|4100|6617847|3394576|1367004|42.4104581960375|M>=1|Au|0.633474308228958|5|03/04/2001 11:13:00|Tous les Gains standard INDRA+Entrée 2 du Gr 1 Trigger fermé|||
1|6010|1398343|890423|12117|6759193|3404057|1419780|42.3166154814589|M>=1|Au|1.57042551686109|12|03/04/2001 11:18:00|Tous les détecteurs démasqués|||
1|6011|1431908|895688|12117|6889091|3410404|1462232|42.0340203070871|M>=1|Au|1.59866828627826|12|03/04/2001 11:30:00||||
1|6012|1328009|900583|11291|7008754|3416721|1501119|41.7902341097646|M>=1|Au|1.47461033574918|10|03/04/2001 11:42:00||||
