#######################################################
#$Id: Si_fit_PG_GG.dat,v 1.1 2006/03/20 01:08:22 franklan Exp $
#
#Facteurs de conversion PG -> GG pour les detecteurs
#Si pendant la 5eme campagne. Obtenus par un fit
#lineaire de (GG-pied) vs. (PG-pied) pour un run physique
#(run6300).
#Utilisation:
#	GG = pied_GG + alpha + (PG - pied_PG) * beta
#
#Dans ce fichier on donne:
# cou mod  alpha beta
#######################################################
1 1 -3.6874 15.1663
1 2 -11.7017 15.2226
1 3 -9.01848 15.2401
1 4 -12.6691 15.2861
1 5 -21.9457 15.3302
1 6 -24.4025 15.1846
1 7 -17.5671 15.0374
1 8 -39.1336 15.1524
1 9 -41.3717 15.1692
1 10 -38.5713 15.1123
1 11 -52.034 15.2556
1 12 -41.4525 14.9953
2 1 -15.2654 15.3055
2 3 -14.9068 15.2991
2 5 -8.32229 15.4401
2 7 -23.686 15.244
2 9 -23.0954 15.2755
2 11 -33.6962 15.3073
2 13 -35.0162 15.1194
2 15 -29.1234 15.2447
2 17 -38.1852 15.2197
2 19 -38.3951 15.0386
2 21 -46.9713 15.1547
2 23 -50.7703 15.3018
3 1 -47.4437 15.0371
3 2 -49.9558 15.083
3 3 -45.1107 15.2928
3 4 -49.8518 15.0857
3 5 -50.5433 15.1468
3 6 -49.7776 15.0061
3 7 -58.1757 15.217
3 8 -47.707 15.0604
3 9 3.57176 14.7861
3 10 -5.59595 14.7804
3 11 -8.51256 14.7326
3 12 -2.0883 14.7443
3 13 -12.6388 14.7819
3 14 -14.2825 14.6333
3 15 -14.2155 14.843
3 16 -16.9675 14.9479
3 17 -15.8949 14.9148
3 18 -1.99368 14.6945
3 19 -18.1077 14.8384
3 20 -22.2269 14.4935
3 21 -26.3791 14.7714
3 22 -21.0722 14.951
3 23 -29.1462 14.8823
3 24 -27.148 14.7742
4 1 -30.5226 14.9095
4 2 -25.7934 14.7134
4 3 -38.6192 14.9204
4 4 -36.7062 14.8372
4 5 -40.4732 15.2196
4 6 -42.9 15.0901
4 7 -45.8304 14.6733
4 8 -44.1851 14.8309
4 9 -50.9135 14.8285
4 10 -45.2712 14.7912
4 11 -44.6773 14.7604
4 12 -50.1164 14.9552
4 13 -45.6927 14.6614
4 14 -51.6729 14.7954
4 15 -42.9804 14.9096
4 16 -46.7607 14.857
4 17 -4.0798 15.0535
4 18 0.0914082 14.9135
4 19 -5.97458 15.1689
4 20 -8.00444 15.1612
4 21 -7.29319 14.9302
4 22 -14.111 15.0172
4 23 -13.3921 15.037
4 24 -7.4086 14.989
5 1 -7.68753 15.1726
5 2 -9.67438 15.0326
5 3 -8.34326 15.014
5 4 -10.1525 14.9828
5 5 -11.4739 14.8594
5 6 -13.9507 15.0236
5 7 -5.4845 14.8024
5 8 -9.80057 15.1294
5 9 -14.8391 15.2038
5 10 -15.5282 14.9284
5 11 -23.129 15.0359
5 12 -18.2115 15.0902
5 13 -16.8431 15.129
5 14 -20.2263 15.2681
5 15 -25.9529 15.2525
5 16 -20.5149 15.0711
5 17 -25.632 15.0973
5 18 -23.4489 14.9564
5 19 -24.4888 15.0076
5 20 -22.4306 14.9928
5 21 -27.314 15.2398
5 22 -25.0884 15.03
5 23 -27.7947 15.0419
5 24 -27.611 15.2675
6 1 1.52377 14.9165
6 2 4.07909 14.8352
6 3 2.33683 14.8416
6 4 0.00416873 14.7897
6 5 -2.1411 14.7718
6 6 -0.711346 14.7716
6 7 -3.42191 14.8547
6 8 -3.90832 14.7522
6 9 -5.94173 14.7655
6 10 -4.92695 14.6609
6 11 -7.18463 14.8211
6 12 -11.1738 14.895
6 13 -11.8953 14.6555
6 14 -14.8752 14.7832
6 15 -16.4751 14.8653
6 16 -12.3943 14.7512
6 17 -23.8264 15.0362
6 18 -17.9173 14.7974
6 19 -22.1169 14.8986
6 20 -26.9363 14.8955
6 21 -27.1025 15.043
6 22 -28.3453 14.9591
6 23 -31.265 14.7949
6 24 -31.777 14.6948
7 1 -35.0365 14.7314
7 2 -35.8073 14.8317
7 3 -36.4077 14.818
7 4 -35.2768 14.6977
7 5 -37.0176 14.8242
7 6 -37.6932 14.9781
7 7 -37.0827 14.9333
7 8 -32.3665 14.84
7 9 -8.42398 15.0794
7 10 -11.4706 15.1632
7 11 -11.0193 15.0499
7 12 -12.8572 15.0404
7 13 -14.8562 14.927
7 14 -14.6538 15.0976
7 15 -16.2556 15.0613
7 16 -16.8509 15.2347
7 17 -20.2813 14.9753
7 18 -19.8834 15.0419
7 19 -18.5185 14.982
7 20 -23.9666 15.1281
7 21 -21.6585 15.0316
7 22 -29.978 15.0655
7 23 -29.1418 15.2169
7 24 -33.9244 15.1323
8 1 -33.3382 14.9454
8 2 -38.0494 15.2241
8 3 -38.5771 15.156
8 4 -41.0148 15.0293
8 5 -41.9289 15.1395
8 6 -45.5803 15.0483
8 7 -45.9407 15.012
8 8 -45.6378 14.8435
8 9 -47.4995 15.077
8 10 -49.8663 15.2673
8 11 -51.7358 15.1317
8 12 -52.2477 15.0474
8 13 -50.022 15.288
8 14 -49.3862 15.0774
8 15 -48.0793 15.0153
8 16 -46.0282 15.0479
8 17 -1.92664 14.9972
8 18 0.403847 14.7438
8 19 -3.58212 14.8467
8 20 -4.08289 14.9257
8 21 -6.61027 14.981
8 22 -6.97241 14.7422
8 23 -7.60541 14.9123
8 24 -11.3861 14.9985
9 1 -12.7296 14.9534
9 2 -14.467 14.9341
9 3 -13.3864 14.7048
9 4 -14.6629 14.9309
9 5 -18.275 14.7721
9 6 -22.5134 15.0955
9 7 -25.3731 14.9241
9 8 -22.8665 14.9805
9 9 -27.1226 14.783
9 10 -30.762 14.9419
9 11 -30.6695 14.8432
9 12 -32.6628 14.7819
9 13 -35.989 15.0297
9 14 -32.8244 14.7817
9 15 -39.6043 14.8892
9 16 -40.6756 14.9539
9 17 -40.1914 14.9159
9 18 -40.2592 14.8544
9 19 -41.9207 14.8476
9 20 -40.3582 15.0225
9 21 -40.4036 14.7237
9 22 -41.59 14.8223
9 23 -41.3609 15.0047
9 24 -41.4013 14.9193
