###########################################################
#$Id: pied_csi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour CsI, manip E416a
#Extraits du run 1005
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
CSI_0101_R 12.3587 0.0070058 0.0980493 0.0047908 44 0
CSI_0101_L 32.5364 0.00408085 0.564466 0.00275135 1 1
CSI_0102_R 22.3294 0.0143788 0.154776 0.0128691 1 -1
CSI_0102_L 39.6095 0.00429823 0.595222 0.00319577 1 1
CSI_0103_R 19.3425 0.0116995 0.134134 0.00982412 12 0
CSI_0103_L 40.4602 0.00377942 0.505919 0.00218144 1 1
CSI_0104_R 22.2774 0.0448568 0.450378 0.0363738 1 0
CSI_0104_L 38.2669 0.0036123 0.497023 0.002584 1 1
CSI_0105_R 19.7586 0.0423039 0.475373 0.0415758 1 0
CSI_0105_L 37.9816 0.00212338 0.366299 0.00714348 117.919 2
CSI_0106_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0106_L 36.7885 0.00405191 0.566909 0.0033585 1 1
CSI_0107_R 16.2627 0.0353672 0.355763 0.0239311 1 0
CSI_0107_L 34.8963 0.00317812 0.47675 0.00365897 1 1
CSI_0108_R 15.2725 0.00942782 0.280463 0.0047666 1 0
CSI_0108_L 34.0273 0.00247123 0.398659 0.00514795 41.1259 2
CSI_0109_R 16.2506 0.0419449 0.459845 0.0384272 1 0
CSI_0109_L 33.6897 0.00367121 0.499259 0.00242944 1 1
CSI_0110_R 15.2671 0.0353786 0.342337 0.0226656 1 0
CSI_0110_L 31.6658 0.00368495 0.496766 0.00233677 1 1
CSI_0111_R 12.3647 0.00569491 0.0863802 0.00355628 1 -1
CSI_0111_L 34.0208 0.00261222 0.323784 0.0170418 1 1
CSI_0112_R 9.41319 0.003894 0.0572423 0.00250682 1 -1
CSI_0112_L 25.854 0.00374613 0.381644 0.00428229 1 1
CSI_0201_R 20.3409 0.0123946 0.138665 0.0106492 1 -1
CSI_0201_L 42.2933 0.00416302 0.382275 0.00243095 1 1
CSI_0203_R 23.3032 0.0159297 0.201698 0.00610337 1 0
CSI_0203_L 44.8032 0.432845 0.586086 0.629638 1 0
CSI_0205_R 22.7319 0.352483 0.258931 0.168426 1 0
CSI_0205_L 43.0796 0.00474668 0.336036 0.00951776 1 1
CSI_0207_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0207_L 46.7813 0.476389 0.58236 0.620315 1 0
CSI_0209_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0209_L 40.62 0.00392271 0.399409 0.00186161 1 1
CSI_0211_R 22.3294 0.0143788 0.154776 0.0128691 1 -1
CSI_0211_L 45.4106 0.00370743 0.487009 0.0020957 1 1
CSI_0213_R 17.3483 0.00969004 0.119564 0.00750992 1 -1
CSI_0213_L 39.9511 0.00508221 0.317097 0.0159173 1 1
CSI_0215_R 17.3483 0.00969004 0.119564 0.00750992 1 -1
CSI_0215_L 37.2494 0.0490052 0.521902 0.0511865 1 0
CSI_0217_R 17.0427 0.0125307 0.562473 0.0773869 1 0
CSI_0217_L 37.3653 0.00372048 0.426633 0.00193404 1 1
CSI_0219_R 15.3517 0.00802488 0.107443 0.00570599 1 -1
CSI_0219_L 37.8196 0.421849 0.566626 0.645315 1 0
CSI_0221_R 10.3895 0.0047504 0.0713402 0.00300187 6 0
CSI_0221_L 30.694 0.0433275 0.353634 0.0250311 1 0
CSI_0223_R 9.41359 0.00391457 0.057269 0.00253349 2 0
CSI_0223_L 9.39221 0.00421614 0.0663318 0.0025386 8 0
CSI_0301_R 16.6548 0.0100107 0.123419 0.00812863 52 0
CSI_0301_L 36.0826 0.0257386 0.602591 0.0920949 1 0
CSI_0302_R 22.2785 0.036837 0.330664 0.0218654 1 0
CSI_0302_L 40.9015 0.288238 0.616107 0.862863 1 0
CSI_0303_R 24.3342 0.0165045 0.163729 0.0161076 1 -1
CSI_0303_L 42.7432 0.733335 0.541214 0.743895 1 0
CSI_0304_R 25.3302 0.017691 0.171633 0.0176773 1 -1
CSI_0304_L 44.0587 0.0214897 0.641821 0.113298 1 0
CSI_0305_R 21.3273 0.0132878 0.149653 0.0113569 1 -1
CSI_0305_L 39.6229 0.00392016 0.541385 0.00260407 1 1
CSI_0306_R 23.2414 0.0431534 0.482984 0.0430992 1 0
CSI_0306_L 41.2092 0.0482927 0.56219 0.0646991 1 0
CSI_0307_R 25.3015 0.0192185 0.220534 0.00733313 1 0
CSI_0307_L 42.716 0.0035874 0.439885 0.00231399 1 1
