Run | Tape | Buffers (save) | Events (save) | Faraday1 | Faraday2 | Length (min) | Size (MB) | Gene Direct | Gene Laser | Gene Elect | Gene Test | Gene MRQ | Gene TM | DEC | FC | OK | FT | AVL | OCD | OA | RAZ | Plastic (all) | Plastic (G) | Plastic (C) | Plastic (D) | Temps mort (%) | Trigger | Date (start) | Date (end) | Comments | Cahier | 
2 | 0 | 12704 | 1191382 | 0 | 0 | 5.04025 | 198.5 | 56614 | 0 | 0 | 0 | 0 | 30556 | 6534275 | 1191502 | 1191501 | 1191501 | 1191501 | 1191501 | 1191501 | 1191502 | 5371023 | 1438685 | 28975 | 5642541 | 53.9725 | M>=1 | 9-MAR-2006 05:55:17.00 | 9-MAR-2006 06:00:18.00 | faisceau 78Kr + 40Ca 5.5 A.MeV |  | 
4 | 0 | 5860 | 746255 | 0 | 0 | 7.30042 | 91.5625 | 80769 | 0 | 0 | 0 | 0 | 15456 | 1639028 | 746405 | 746405 | 746405 | 746405 | 746405 | 746405 | 746406 | 118955 | 100263 | 80 | 18664 | 19.1361 | M>=1 | 9-MAR-2006 10:08:15.00 | 9-MAR-2006 10:15:24.00 | pas de faisceau, test de l'acquisition |  | 
5 | 0 | 12711 | 1028377 | 0 | 0 | 10.7877 | 198.609 | 119843 | 0 | 0 | 0 | 0 | 31713 | 1709553 | 1027045 | 1027045 | 1027045 | 1027045 | 1027046 | 1027046 | 1027046 | 9960299 | 8114058 | 8053 | 2370436 | 26.4621 | M>=2 | 9-MAR-2006 13:21:16.00 | 9-MAR-2006 13:32:10.00 |  | p.48 | 
6 | 0 | 12709 | 1024292 | 0 | 0 | 10.8861 | 198.578 | 119892 | 0 | 0 | 0 | 0 | 31483 | 1678163 | 1020267 | 1020267 | 1020267 | 1020267 | 1020267 | 1020267 | 1020267 | 9938818 | 8092807 | 7815 | 2370124 | 26.2595 | M>=2 | 9-MAR-2006 13:32:10.00 | 9-MAR-2006 13:43:07.00 | Faisceau 75Kr13+ +40Ca 5.5 A.MeV Changement d'etat de charge |  | 
7 | 0 | 12707 | 1021588 | 0 | 0 | 10.68 | 198.547 | 117576 | 0 | 0 | 0 | 0 | 30913 | 1674330 | 1016336 | 1016336 | 1016336 | 1016336 | 1016336 | 1016336 | 1016337 | 9979719 | 8125602 | 8157 | 2380671 | 26.2919 | M>=2 | 9-MAR-2006 13:43:07.00 | 9-MAR-2006 13:53:27.00 | 78Kr + 40Ca 5.5 A.MeV |  | 
8 | 0 | 12710 | 1022063 | 0 | 0 | 10.8969 | 198.594 | 120161 | 0 | 0 | 0 | 0 | 31470 | 1656394 | 1018870 | 1018870 | 1018870 | 1018870 | 1018870 | 1018870 | 1018871 | 9920436 | 8081625 | 8148 | 2360509 | 26.1899 | M>=2 | 9-MAR-2006 13:53:27.00 | 9-MAR-2006 14:04:24.00 | 600 evts/s |  | 
9 | 0 | 12709 | 1046944 | 0 | 0 | 10.7447 | 198.578 | 117896 | 0 | 0 | 0 | 0 | 31551 | 1687568 | 1042126 | 1042126 | 1042126 | 1042126 | 1042126 | 1042126 | 1042127 | 9259451 | 7547408 | 7491 | 2195456 | 26.7617 | M>=2 | 9-MAR-2006 14:04:24.00 | 9-MAR-2006 14:15:16.00 | 78Kr + 40Ca 5.5 A.MeV |  | 
10 | 0 | 12709 | 1053564 | 0 | 0 | 10.5251 | 198.578 | 116179 | 0 | 0 | 0 | 0 | 31508 | 1723242 | 1052914 | 1052914 | 1052914 | 1052914 | 1052914 | 1052914 | 1052915 | 9250798 | 7543882 | 7462 | 2187835 | 27.1202 | M>=2 | 9-MAR-2006 14:15:16.00 | 9-MAR-2006 14:26:02.00 | 78Kr + 40Ca 5.5 A.MeV |  | 
11 | 0 | 12709 | 1027275 | 0 | 0 | 11.1326 | 198.578 | 122682 | 0 | 0 | 0 | 0 | 32138 | 1645682 | 1024710 | 1024710 | 1024710 | 1024710 | 1024710 | 1024710 | 1024710 | 9825956 | 8016088 | 7770 | 2316760 | 26.1962 | M>=2 | 9-MAR-2006 14:26:02.00 | 9-MAR-2006 14:37:05.00 | 78Kr + 40Ca 5.5 A.MeV |  | 
12 | 0 | 12703 | 1024806 | 0 | 0 | 11.1258 | 198.484 | 123486 | 0 | 0 | 0 | 0 | 31910 | 1634885 | 1023022 | 1023022 | 1023022 | 1023022 | 1023022 | 1023022 | 1023023 | 9847788 | 8034907 | 7949 | 2318780 | 25.841 | M>=1 | 9-MAR-2006 14:37:06.00 | 9-MAR-2006 14:48:09.00 | 78Kr + 40Ca 5.5 A.MeV |  | 
