#
#INDRA 94    Ni+Au 32 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB		
264	1312	5979	2136896	10380	84841	205039	10640	43,64	628,40	M>=1	Au	 M>=1 C1-5, HT cible 30 kV		
265	1313	7362	453640	10490	35699	215707	10639	17,41	69,66	M>=4	Au	HT cible 30 kV
266	1314	7432	456967	10546	35357	225757	10640	16,44	68,44	M>=4	Au	HT cible 30 kV
267	1315	7390	453751	10471	35208	222124	10641	16,65	68,58	M>=4	Au	HT cible 30 kV
268	1316	7497	455862	10544	35404	219117	10635	16,98	68,31	M>=4	Au	HT cible 30 kV
269	1317	7438	453826	10500	35248	211113	10630	17,58	69,25	M>=4	Au	HT cible 30 kV
270	1318	7377	454333	10495	35219	241509	13287	15,43	67,33	M>=4	Au	HT cible 30 kV
271	1319	7254	463719	10643	36169	291205	15947	13,14	66,86	M>=4	Au	HT cible 30 kV
272	1320	7211	456790	10534	36012	243720	13291	15,63	69,41	M>=4	Au	HT cible 30 kV
273	1321	7182	463584	10613	36026	257284	13292	14,77	69,70	M>=4	Au	HT cible 30 kV
274	1322	7012	462325	10591	35769	249804	13300	15,12	71,69	M>=4	Au	HT cible 30 kV
275	1323	7187	465720	10605	36237	277143	13299	13,73	68,60	M>=4	Au	HT cible 30 kV
276	1324	7317	464282	10668	36285	266955	13298	14,30	67,89	M>=4	Au	HT cible 30 kV
277	1325	7195	465596	10617	36311	274005	13306	13,93	68,75	M>=4	Au	HT cible 30 kV
278	1326	7132	463551	10621	36253	274525	15973	14,02	69,16	M>=4	Au	HT cible 30 kV
279	1327	7138	467656	10668	36059	278776	13317	13,58	69,21	M>=4	Au	HT cible 30 kV
280	1328	6835	469084	10607	36617	331567	15987	11,60	69,44	M>=4	Au	HT cible 30 kV
281	1329	6669	470212	10591	37695	371183	18919	10,70	69,58	M>=4	Au	HT cible 30 kV		
282	1330	6893	469842	10694	36591	322196	15998	11,95	69,53	M>=4	Au	HT cible 30 kV		
283	1331	6924	462170	10599	36281	283937	16002	13,54	70,33	M>=4	Au	HT cible 30 kV		
284	1332	7168	462151	10606	36002	253809	13346	14,97	69,87	M>=4	Au	HT cible 30 kV		
285	1333	6669	464866	10531	36237	378382	21361	10,15	68,08	M>=4	Au	HT cible 30 kV		
286	1334	7216	455787	10537	35782	239490	13351	15,82	69,47	M>=4	Au	HT cible 30 kV		
#														
#														
#						Cumul :	10 155 714							
#						6% :	609 343							
#														
#												
#INDRA 94    Ni+Au  52 A.MeV  cible 200 µg					Vendredi 01 Decembre 1995
#
Tape	Run	FAR	Events	Blocs	G. TM	G. dir	G. marq	TM %	Evt/Far	Trigger	Cible	NB
372	1427	5503	1767277	10547	78580	195812	39168	50,16	639,37	M>=1	Au	HT Cible 30,1 kV
373	1428	6697	369827	10541	32191	241218	50672	16,89	61,40	M>=4	Au	HT Cible 30,1 kV
374	1429	6784	374040	10556	32357	241325	48007	16,74	61,16	M>=4	Au	HT Cible 30,1 kV
