| RUN | TSTART | BEAM | TARGET | E | TRIGGER | RUNTYPE | EVENTS | RUNCOMMENT | 	
| 4013 | 14-MAY-98 17:04:57 |  |  |   |  | Unknown | 541122 |  Alpha 3 pics+laser+gene |
| 4014 | 14-MAY-98 17:26:54 |  |  |   |  | Unknown | 252379 |  idem ? |
| 4015 | 14-MAY-98 18:01:08 |  |  |   |  | Unknown | 48659 |  trash |
| 4019 | 14-MAY-98 19:58:55 |  |  |   |  | Automate | 199999 |  automate |
| 4020 | 14-MAY-98 21:27:17 |  |  |   |  | Automate | 5478 |  automate |
| 4021 | 14-MAY-98 21:29:48 |  |  |   |  | Automate | 173827 |  automate |
| 4022 | 14-MAY-98 23:33:35 |  |  |   |  | Cosmics | 574109 |  cosmiques |
| 4023 | 15-MAY-98 04:26:16 | 197Au | 197Au | 50 | M>=3 | Phys | 347832 |  Au 50 MeV/A M=3 |
| 1023 | 17-JUN-98 00:02:51 |  |  |   |  | Unknown | 224334 |  Aucune Info |
| 4024 | 17-JUN-98 00:41:37 | 197Au | 197Au | 50 | M>=3 | Phys | 230937 |  Au 50 MeV/A M=3 cf cahier #9 page 152 |
| 4025 | 17-JUN-98 10:17:23 |  |  |   |  | Alpha | 893697 |  Source Alpha Thoron ? |
| 4026 | 17-JUN-98 10:27:14 |  |  |   |  | Alpha | 892867 |  Source Alpha Thoron ? |
| 4027 | 17-JUN-98 10:38:06 |  |  |   |  | Alpha | 892911 |  Source Alpha Thoron ? |
| 4028 | 17-JUN-98 10:48:57 |  |  |   |  | Alpha | 580851 |  Source Alpha Thoron ? |
| 4029 | 17-JUN-98 11:04:49 |  |  |   |  | Alpha | 891660 |  Source Alpha Thoron ? |
| 4030 | 17-JUN-98 11:37:01 |  |  |   |  | Alpha | 887721 |  Source Alpha Thoron ? |
| 4031 | 17-JUN-98 12:12:19 |  |  |   |  | Alpha | 884367 |  Source Alpha Thoron ? |
| 4032 | 17-JUN-98 12:50:26 |  |  |   |  | Alpha | 881010 |  Source Alpha Thoron ? |
| 4033 | 17-JUN-98 13:30:51 |  |  |   |  | Alpha | 84614 |  Source Alpha Thoron ? |
| 4034 | 17-JUN-98 15:16:48 |  |  |   |  | Alpha | 888278 |  Source Alpha Thoron ? |
| 4035 | 17-JUN-98 15:51:35 |  |  |   |  | Alpha | 888750 |  Source Alpha Thoron ? |
| 1036 | 17-JUN-98 16:26:30 |  |  |   |  | Unknown | 55025 |  Aucune Info |
| 4036 | 18-JUN-98 00:51:26 |  |  |   |  | Alpha | 2233 |  Source Alpha Thoron |
| 4037 | 18-JUN-98 00:52:34 | 197Au | 197Au | 50 | M>=3 | Phys | 220013 |  Au 50 MeV/A M=3 |
| 4038 | 18-JUN-98 02:06:33 | 197Au | 197Au | 50 | M>=3 | Phys | 217064 |  Au 50 MeV/A M=3 |
| 4039 | 18-JUN-98 03:22:07 | 197Au | 197Au | 50 | M>=3 | Phys | 217401 |  Au 50 MeV/A M=3 |
| 4040 | 18-JUN-98 04:30:44 | 197Au | 197Au | 50 | M>=3 | Phys | 64848 |  Au 50 MeV/A M=3 |
| 4041 | 18-JUN-98 05:30:59 | 197Au | 197Au | 50 | M>=3 | Phys | 227746 |  Au 50 MeV/A M=3 |
| 4042 | 18-JUN-98 06:39:48 | 197Au | 197Au | 50 | M>=3 | Phys | 68503 |  Au 50 MeV/A M=3 |
| 4043 | 18-JUN-98 09:44:12 |  |  |   |  | Pedestal | 52780 |  piedestaux Silicium |
| 4044 | 18-JUN-98 10:29:57 |  |  |   |  | Pedestal | 15419 |  piedestaux Silicium |
| 4045 | 18-JUN-98 15:47:41 | 197Au | 197Au | 15 | M>=1 | Phys | 239953 |  Au 15MeV/A |
| 4046 | 18-JUN-98 15:55:27 | 197Au | 197Au | 15 | M>=1 | Phys | 479076 |  Au 15MeV/A |
| 4047 | 18-JUN-98 16:09:29 | 197Au | 197Au | 15 | M>=1 | Phys | 520998 |  Au 15MeV/A |
| 4049 | 19-JUN-98 01:45:17 | 197Au | 197Au | 100 | M>=3 | Phys | 201641 |  Cahier #9: p162 |
| 4050 | 19-JUN-98 02:26:18 | 197Au | 197Au | 100 | M>=3 | Phys | 204522 |
| 4051 | 19-JUN-98 03:08:16 | 197Au | 197Au | 100 | M>=3 | Phys | 202636 |
| 4052 | 19-JUN-98 03:49:39 | 197Au | 197Au | 100 | M>=3 | Phys | 202086 |
| 4053 | 19-JUN-98 04:31:36 | 197Au | 197Au | 100 | M>=3 | Phys | 28618 |
| 4054 | 19-JUN-98 04:58:07 | 197Au | 197Au | 100 | M>=3 | Phys | 200275 |  HV CsI 4-7: p163 |
| 4055 | 19-JUN-98 05:40:36 | 197Au | 197Au | 100 | M>=3 | Phys | 173235 |
| 4056 | 19-JUN-98 06:30:49 | 197Au | 197Au | 100 | M>=3 | Phys | 202278 |
| 4057 | 19-JUN-98 07:09:55 | 197Au | 197Au | 100 | M>=3 | Phys | 173996 |
| 4058 | 19-JUN-98 09:33:52 | 12C | 197Au | 30 | M>=3 | Phys | 175158 |  12C+Au 30 MeV/A; p164 |
| 4059 | 19-JUN-98 10:13:30 | 12C | 197Au | 30 | M>=1 | Phys | 735167 |  12C+Au 30 MeV/A |
| 4060 | 19-JUN-98 10:46:03 | 12C | 197Au | 30 | M>=1 | Phys | 778719 |  12C+Au 30 MeV/A |
| 4061 | 19-JUN-98 11:11:33 | 12C | 197Au | 30 | M>=1 | Phys | 302111 |  12C+Au 30 MeV/A |
| 4062 | 19-JUN-98 15:23:57 | 12C | CH2 | 30 | M>=1 | Phys | 730850 |  12C 30 MeV/A Target:CH2 100 m; p165 |
| 4063 | 19-JUN-98 15:52:04 | 12C | CH2 | 30 | M>=1 | Phys | 706282 |  12C 30 MeV/A |
| 4064 | 19-JUN-98 16:28:08 | 12C | CH2 | 30 | M>=1 | Phys | 730727 |  12C 30 MeV/A |
| 4065 | 19-JUN-98 16:56:13 | 12C | CH2 | 30 | M>=1 | Phys | 439161 |  12C 30 MeV/A |
| 4066 | 19-JUN-98 20:41:09 | 12C | CH2 | 30 | M>=1 | Phys | 748566 |  12C 30 MeV/A |
| 1067 | 19-JUN-98 21:04:26 | 12C | CH2 | 30 | M>=1 | Phys | 251453 |  12C 30 MeV/A |
| 4067 | 19-JUN-98 23:47:19 | 197Au | 197Au | 100 | M>=3 | Phys | 460008 |  Target: Au 2mg/cm2; Run: 25000 blocs; p167 |
| 4068 | 20-JUN-98 03:29:57 | 197Au | 197Au | 100 | M>=3 | Phys | 450804 |  HV CsI: p169 |
| 4069 | 20-JUN-98 05:28:04 | 197Au | 197Au | 100 | M>=3 | Phys | 414028 |
| 4070 | 20-JUN-98 07:04:14 | 197Au | 197Au | 100 | M>=3 | Phys | 34991 | Distri VarGlob differentes des autres runs
| 4071 | 20-JUN-98 07:22:37 | 197Au | 197Au | 100 | M>=3 | Phys | 38217 | Distri VarGlob differentes des autres runs
| 4072 | 20-JUN-98 07:57:27 | 197Au | 197Au | 100 | M>=3 | Phys | 453057 |
| 4073 | 20-JUN-98 09:36:15 | 197Au | 197Au | 100 | M>=3 | Phys | 24261 |
| 4074 | 20-JUN-98 10:54:57 |  |  |   |  | Pedestal | 7218 |  Pedestal CsI |
| 4075 | 20-JUN-98 11:09:59 |  |  |   |  | Pedestal | 11187 |  Pedestal Si; ChIo |
| 4076 | 20-JUN-98 19:17:57 |  |  |   |  | Automate | 134229 |  automate incomplet |
| 4077 | 21-JUN-98 02:38:27 | 197Au | 197Au | 100 | M>=3 | Phys | 436312 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4078 | 21-JUN-98 04:00:03 | 197Au | 197Au | 100 | M>=3 | Phys | 256119 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4079 | 21-JUN-98 05:12:40 | 197Au | 197Au | 100 | M>=3 | Phys | 435400 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4080 | 21-JUN-98 06:33:43 | 197Au | 197Au | 100 | M>=3 | Phys | 454717 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4081 | 21-JUN-98 07:22:44 | 197Au | 197Au | 100 | M>=3 | Phys | 257570 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4082 | 21-JUN-98 08:00:37 | 197Au | 197Au | 100 | M>=3 | Phys | 268140 |  Au 100 MeV/A +Au 2mg/cm2 |
| 4083 | 21-JUN-98 08:37:57 | 197Au | 197Au | 100 | M>=3 | Phys | 84720 |  Au 100 MeV/A +Au 2mg/cm2 (surtout du gene) |
| 4084 | 21-JUN-98 17:00:57 | 12C | CH2 | 30 | M>=1 | Phys | 654154 |  12C +CH 30 MeV/A (20 mg/cm2) trigger=1 |
| 4085 | 21-JUN-98 17:19:22 | 12C | CH2 | 30 | M>=1 | Phys | 588926 |  12C +CH 30 MeV/A (20 mg/cm2) sauf cour.12 a 17 |
| 4086 | 21-JUN-98 18:13:49 | 12C | CH2 | 30 | M>=1 | Phys | 455219 |  12C +CH 30 MeV/A (20 mg/cm2)  sauf cour.12 a 17 |
| 4087 | 21-JUN-98 20:05:40 | 12C | CH2 | 30 | M>=2 | Phys | 343653 |  12C +CH 30 MeV/A (20 mg/cm2)  sauf cour.12 a 17 |
| 4088 | 21-JUN-98 20:30:22 | 12C | CH2 | 30 | M>=2 | Phys | 251795 |  12C +CH 30 MeV/A (20 mg/cm2)  sauf cour.12 a 17 |
| 4089 | 22-JUN-98 01:53:45 | 12C | CH2 | 30 | M>=2 | Phys | 1391706 |  12C +CH 30 MeV/A (20 mg/cm2)  sauf cour.12 a 17 |
| 4090 | 22-JUN-98 02:30:19 | 12C | CH2 | 30 | M>=2 | Phys | 1391325 |  12C +CH 30 MeV/A (20 mg/cm2)  sauf cour.12 a 17 |
