###################################################################
#$Id: CalibMeVVoltChIoSi.dat,v 1.3 2008/01/29 16:26:24 franklan Exp $
#
#5th Campaign MeV/Volt conversion for Silicon and ChIo detectors.
#Updated by A. Chbihi, 24/03/2010 : Add in this file the parameters for SI75 and SILI
#For Silicon detectors:
#  calibration performed using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#  for rings 2-5, the changes of amplifier gain (1 <-> sqrt(2)) are taken into
#  account by KVChannelVolt::Compute. There is no need for a separate
#  calibration.
#  Silicon calibrations not included in this lot were added by Marian Parlog
#  from a variety of sources:
#Le classement des datecteurs dans les differents groupes est base sur  
#la valeur du b(Z=54) (124_Xe a 6.93 AMeV) et sur la calibration fournie 
#(le plus souvent) par les runs brho - voir le fichier: 
#CalibMeVVoltChIoSi.dat (E[MeV] = a0 + a1*V[Volts]) - Josiane et Abdou.
#Pour quelques modules, cette calibration en manque; si une autre calibration
#- faite a partir de la source Thoron - est disponible:
#alpha_sg_gg_gain1_cou1_9.dat (Marian) elle est provisoirement proposee. 
#En plus, CalibBrhoSilicon_Gain1.dat (Abdou) pour le module SI_0108 
#et VoltAlpha5_si_gain1.dat (Alexis) pour le module SI_0824 sont 
#pour l'instant proposee. 
# The detectors concerned by these calibrations are:
#SI_0102 - alpha_sg_gg_gain1: E[MeV] = 0.439652+444.446533*V[Volts]
#SI_0103 - alpha_sg_gg_gain1: E[MeV] = 0.146313+468.575958*V[Volts]
#SI_0104 - alpha_sg_gg_gain1: E[MeV] = 0.060952+493.343689*V[Volts]
#SI_0105 - alpha_sg_gg_gain1: E[MeV] = -0.056858+499.392487*V[Volts]
#SI_0106 - alpha_sg_gg_gain1: E[MeV] = -0.078933+482.469513*V[Volts]
#SI_0107 - alpha_sg_gg_gain1: E[MeV] = -0.016464+476.301697*V[Volts]
#SI_0108 - CalibBrhoSilicon_Gain1.dat: E[MeV] = 8.34141+477.7 *V[Volts]
#SI_0109 - alpha_sg_gg_gain1: E[MeV] = -0.439223+493.898834*V[Volts]
#SI_0110 - alpha_sg_gg_gain1: E[MeV] = -0.040180+470.531982*V[Volts]
#SI_0111 - alpha_sg_gg_gain1: E[MeV] = -0.167290+475.975647*V[Volts]
#SI_0112 - alpha_sg_gg_gain1: E[MeV] = -0.107299+475.305695*V[Volts]
#SI_0221 - 150 microns - alpha_sg_gg_gain1: E[MeV] = 0.209785 + 431.040100*V[Volts] 	
#SI_0321 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.099379+440.717926  *V[Volts]
#SI_0322 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.208162+436.270111 *V[Volts]  
#SI_0824 - 150 microns - VoltAlpha5_si_gain1: E[MeV] = 0. + 468.718*V[Volts]
#
#29/1/2008: SI_0101
#For SI_0101, we take the same calibration as for SI_0102.
#There is no calibration canal-volt for 0101 because the pulser did not
#fire the electronics of this detector. However, in a previous canal-energy
#calibration, 0101 & 0102 had very similar coeffs, so we assume the
#same calib as for 0102.  -------------------------------    JDF. AC.
#
#29/1/2008: SI_0315 & SI_0316
#For SI_0315 we take the same calibration as SI_0314
#For Si_0316 we take the same calibration as SI_0317
#Because, in a previous canal-energy calibration, these detectors
#had very similar coefficients.  -------------------------------    JDF. AC.
#
#For ChIo detectors:
#  2 calibrations performed, for the two different stocks of gas.
#  Runs 6000-6979 : calibration using alpha source (r.6759) and Xe+Au 7AMeV
#  elastic scattering (r.6006)
#  runs 6980-8842 : calibration using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#
#In all cases, E[MeV] = a0 + a1*V[Volts]. The format of the file is:
#  Det_Name     a0      a1      chi-square
#chi-square given is for the linear fit to E vs. V.
Run Range : 6001 8842
SI_0101      0.439652         444.446533     1.
SI_0102      0.439652         444.446533     1.
SI_0103       0.146313         468.575958      1.
SI_0104      0.060952         493.343689     1.
SI_0105     -0.056858         499.392487     1.
SI_0106      -0.078933         482.469513       1.
SI_0107     -0.016464         476.301697      1.
SI_0108       8.34141            477.7     1.
SI_0109      -0.439223          493.898834     1.
SI_0110       -0.040180           470.531982     1.
SI_0111      -0.167290          475.975647     1.
SI_0112       -0.107299         475.305695     1.
SI_0221      0.209785               431.040100       1.
SI_0321       0.099379            440.717926     1.
SI_0322       0.208162           436.270111    1.
SI_0824              0.                468.718    1.
SI_0201       0.05205	     438.85	   0.0593415
SI_0205       -0.992784        451.883        0.152906
SI_0207       -1.12955        443.964	     0.112621
SI_0209       -1.13876        451.085	     0.0945938
SI_0211       -1.60903        448.866	     0.107053
SI_0213       -2.76412        441.849	     0.0906427
SI_0217       -2.37543        462.449	     0.121963
SI_0219       -3.26257        471.293	     0.146205
SI_0223       -3.32914        457.136	     0.104171
SI_0301       -4.77504        577.559	     1.58413
SI_0302       -3.66842        458.925	     0.386602
SI_0305       -3.93969        650.499	     0.177104
SI_0306       -2.40604        445.674	     0.231577
SI_0307       -2.45093        446.638	     0.180007
SI_0308       -2.72367        447.427	     0.142901
SI_0309       0.226812        445.051	     0.222252
SI_0310       0.135649        452.071	     0.192867
SI_0311       -0.19865        1027.08	     0.0719877
SI_0312       0.436614        443.17	    0.277254
SI_0313       -3.79258        1957.32	     0.0218791
SI_0314       -0.449993        413.169        0.228587
SI_0315       -0.449993        413.169        0.228587
SI_0316       -0.56462        449.846	     0.296555
SI_0317       -0.56462        449.846	     0.296555
SI_0318       -0.0840641	451.781        0.26599
SI_0319       -0.55915        446.194	     0.269301
SI_0320       -0.81756        453.55	    0.273814
SI_0323       -1.36461        446.99	    0.248879
SI_0324       -0.737748        445.673        0.241641
SI_0401       -1.14554        444.562	     0.15779
SI_0402       -1.13921        439.711	     0.276716
SI_0403       -1.80905        444.406	     0.220668
SI_0404       -1.80168        442.31	    0.35548
SI_0405       -1.69926        445.612	     0.260042
SI_0406       -1.86931        446.216	     0.324482
SI_0407       -2.03884        444.237	     0.207408
SI_0408       -1.86861        448.531	     0.130094
SI_0409       -0.308525        450.145        0.805915
SI_0410       -0.167265        445.154        0.883802
SI_0411       -7.35254        1165.31	     0.0516732
SI_0412       -2.58951        446.442	     0.112701
SI_0413       -2.25842        457.359	     0.150717
SI_0414       -1.98049        445.029	     0.171313
SI_0415       -2.68004        451.256	     0.136311
SI_0416       -1.5682	     441.455	    0.202102
SI_0417       0.459233        444.468	     0.181922
SI_0418       0.372737        446.251	     0.188153
SI_0419       0.167224        448.775	     0.257739
SI_0420       -0.176805        448.563        0.264488
SI_0421       0.415001        444.494	     0.295169
SI_0422       0.128412        444.886	     0.233691
SI_0423       -0.00187273	 450.57        0.23028
SI_0424       -0.160064        444.321        0.18418
SI_0501       -0.38616        443.366	     0.250294
SI_0502       0.199422        446.483	     0.294838
SI_0503       -0.122681        450.73	     0.405759
SI_0504       -0.0476618	447.992        0.217648
SI_0505       -0.299337        444.628        0.288489
SI_0506       -0.224597        446.82	     0.233515
SI_0507       0.113918        443.686	     0.425091
SI_0508       -0.156315        450.957        0.202662
SI_0509       0.211136        425.905	     1.62369
SI_0510       0.0434174        448.681        1.08242
SI_0511       7.41679	     447.071	    0.20391
SI_0512       -0.722973        445.099        0.146397
SI_0513       -0.3849	     441.658	    0.221153
SI_0514       -0.715323        451.514        0.269041
SI_0515       -0.657728        446.483        0.194233
SI_0516       -0.763634        455.232        0.218426
SI_0517       -0.665826        447.695        0.38985
SI_0518       -0.810629        448.199        0.484631
