# Runlist.csv file written by KVINDRADB5::WriteRunListFile on Thu Jun 11 11:24:50 2009
Version=10
6004 | Events=119691 | Faraday 1=33794 | Buffers=12108 | Gene DIRECT=3410361 | Gene MARQ=1436884 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.365250 | Length (min.)=47.000000 | Comments=Run Automate  Si | Start Date=03/04/2001 05:43:00 | 
6005 | Events=240432 | Faraday 1=42580 | Buffers=5808 | Gene DIRECT=4400037 | Gene MARQ=2424019 | Gene TM=875538 | Trigger multiplicity=1 | Dead time (%)=44.308201 | Length (min.)=89.000000 | Comments=Run Automate  Chio | Start Date=03/04/2001 06:30:00 | 
6006 | Events=783459 | Faraday 1=870271 | Buffers=5797 | Gene DIRECT=5981743 | Gene MARQ=3366087 | Gene TM=1108366 | Trigger multiplicity=1 | Dead time (%)=42.374302 | Length (min.)=5.000000 | Comments=seuil Si 5.8 augmenté | Start Date=03/04/2001 10:15:00 | Logbook=c12p54 | 
6007 | Events=1606811 | Faraday 1=876406 | Buffers=12117 | Gene DIRECT=6130412 | Gene MARQ=3375582 | Gene TM=1214468 | Trigger multiplicity=1 | Dead time (%)=44.085045 | Length (min.)=11.000000 | Comments=Gain 150 Mu comme les autres | Start Date=03/04/2001 10:23:00 | Logbook=C12P55 | 
6008 | Events=994460 | Faraday 1=879907 | Buffers=7286 | Gene DIRECT=6211811 | Gene MARQ=3378757 | Gene TM=1271312 | Trigger multiplicity=1 | Dead time (%)=44.874260 | Length (min.)=7.000000 | Start Date=03/04/2001 10:34:00 | 
6009 | Events=560792 | Faraday 1=885264 | Buffers=4100 | Gene DIRECT=6617847 | Gene MARQ=3394576 | Gene TM=1367004 | Trigger multiplicity=1 | Dead time (%)=42.410458 | Length (min.)=5.000000 | Comments=Tous les Gains standard INDRA+Entrée 2 du Gr 1 Trigger fermé | Start Date=03/04/2001 11:13:00 | 
6010 | Events=1398343 | Faraday 1=890423 | Buffers=12117 | Gene DIRECT=6759193 | Gene MARQ=3404057 | Gene TM=1419780 | Trigger multiplicity=1 | Dead time (%)=42.316616 | Length (min.)=12.000000 | Comments=Tous les détecteurs démasqués | Start Date=03/04/2001 11:18:00 | 
6011 | Events=1431908 | Faraday 1=895688 | Buffers=12117 | Gene DIRECT=6889091 | Gene MARQ=3410404 | Gene TM=1462232 | Trigger multiplicity=1 | Dead time (%)=42.034019 | Length (min.)=12.000000 | Start Date=03/04/2001 11:30:00 | 
6012 | Events=1328009 | Faraday 1=900583 | Buffers=11291 | Gene DIRECT=7008754 | Gene MARQ=3416721 | Gene TM=1501119 | Trigger multiplicity=1 | Dead time (%)=41.790234 | Length (min.)=10.000000 | Start Date=03/04/2001 11:42:00 | 
6013 | Events=148009 | Faraday 1=903017 | Buffers=1201 | Gene DIRECT=7067171 | Gene MARQ=3419895 | Gene TM=1549720 | Trigger multiplicity=1 | Dead time (%)=42.489792 | Length (min.)=2.000000 | Comments=Remise de la config masquée(Csi masqués sauf C10. Chios démasquées)-entrée 3 gr 1 otée du trigger | Start Date=03/04/2001 11:56:00 | 
6014 | Events=1241222 | Faraday 1=916256 | Buffers=12108 | Gene DIRECT=7467330 | Gene MARQ=3442055 | Gene TM=1585881 | Trigger multiplicity=1 | Dead time (%)=39.398079 | Length (min.)=35.000000 | Comments=Couronne 6-10 en déclenchement - 10 mn interruption HF | Start Date=03/04/2001 11:58:00 | 
6015 | Events=660775 | Faraday 1=923137 | Buffers=6539 | Gene DIRECT=7639079 | Gene MARQ=3451543 | Gene TM=1602481 | Trigger multiplicity=1 | Dead time (%)=38.267876 | Length (min.)=15.000000 | Start Date=03/04/2001 12:34:00 | 
6016 | Events=1216170 | Faraday 1=935753 | Buffers=12109 | Gene DIRECT=8070116 | Gene MARQ=3476885 | Gene TM=1656542 | Trigger multiplicity=1 | Dead time (%)=36.064854 | Length (min.)=36.000000 | Comments=Couronne 11 | Start Date=03/04/2001 12:51:00 | 
6017 | Events=1210606 | Faraday 1=947889 | Buffers=12108 | Gene DIRECT=8399090 | Gene MARQ=3495894 | Gene TM=1686287 | Trigger multiplicity=1 | Dead time (%)=34.391590 | Length (min.)=30.000000 | Comments=Couronne 11 | Start Date=03/04/2001 13:27:00 | 
6018 | Events=186015 | Faraday 1=949775 | Buffers=1802 | Gene DIRECT=8442591 | Gene MARQ=3497060 | Gene TM=1691843 | Trigger multiplicity=1 | Dead time (%)=34.209534 | Length (min.)=4.000000 | Comments=Couronne 11 | Start Date=03/04/2001 14:01:00 | 
6019 | Events=262184 | Faraday 1=1774 | Buffers=10837 | Gene DIRECT=115128 | Gene MARQ=7477 | Gene TM=41112 | Trigger multiplicity=3 | Dead time (%)=38.190079 | Length (min.)=9.000000 | Start Date=05/04/2001 02:12:00 | 
6020 | Events=243757 | Faraday 1=2026 | Buffers=12115 | Gene DIRECT=132263 | Gene MARQ=6321 | Gene TM=40385 | Trigger multiplicity=4 | Dead time (%)=32.066349 | Length (min.)=12.000000 | 
6021 | Events=243365 | Faraday 1=1937 | Buffers=12116 | Gene DIRECT=127721 | Gene MARQ=6313 | Gene TM=35659 | Trigger multiplicity=4 | Dead time (%)=29.371212 | Length (min.)=12.000000 | 
6022 | Events=241378 | Faraday 1=2003 | Buffers=12119 | Gene DIRECT=138820 | Gene MARQ=9495 | Gene TM=41115 | Trigger multiplicity=4 | Dead time (%)=31.791996 | Length (min.)=12.000000 | 
6023 | Events=243239 | Faraday 1=1788 | Buffers=12117 | Gene DIRECT=124333 | Gene MARQ=6316 | Gene TM=27490 | Trigger multiplicity=4 | Dead time (%)=23.293255 | Length (min.)=12.000000 | 
6024 | Events=244318 | Faraday 1=1642 | Buffers=12117 | Gene DIRECT=115758 | Gene MARQ=6322 | Gene TM=17823 | Trigger multiplicity=4 | Dead time (%)=16.286232 | Length (min.)=10.000000 | 
6025 | Events=93680 | Faraday 1=611 | Buffers=4556 | Gene DIRECT=61534 | Gene MARQ=3148 | Gene TM=7266 | Trigger multiplicity=4 | Dead time (%)=12.444764 | Length (min.)=6.000000 | 
6026 | Events=236597 | Faraday 1=2177 | Buffers=12117 | Gene DIRECT=110821 | Gene MARQ=6327 | Gene TM=37516 | Trigger multiplicity=4 | Dead time (%)=35.902538 | Length (min.)=10.000000 | 
6027 | Events=236165 | Faraday 1=2501 | Buffers=12117 | Gene DIRECT=113359 | Gene MARQ=6311 | Gene TM=47265 | Trigger multiplicity=4 | Dead time (%)=44.153091 | Length (min.)=10.000000 | 
6028 | Events=237140 | Faraday 1=2169 | Buffers=8745 | Gene DIRECT=112803 | Gene MARQ=6335 | Gene TM=38131 | Trigger multiplicity=4 | Dead time (%)=35.814518 | Length (min.)=10.000000 | 
6029 | Events=237642 | Faraday 1=2091 | Buffers=12116 | Gene DIRECT=113929 | Gene MARQ=6310 | Gene TM=35610 | Trigger multiplicity=4 | Dead time (%)=33.088951 | Length (min.)=10.000000 | 
6030 | Events=238753 | Faraday 1=1942 | Buffers=12118 | Gene DIRECT=113855 | Gene MARQ=6329 | Gene TM=30587 | Trigger multiplicity=4 | Dead time (%)=28.446144 | Length (min.)=11.000000 | 
6031 | Events=239208 | Faraday 1=1984 | Buffers=12117 | Gene DIRECT=112941 | Gene MARQ=6323 | Gene TM=32101 | Trigger multiplicity=4 | Dead time (%)=30.108425 | Length (min.)=10.000000 | 
6032 | Events=237937 | Faraday 1=2375 | Buffers=12117 | Gene DIRECT=131435 | Gene MARQ=9474 | Gene TM=51239 | Trigger multiplicity=4 | Dead time (%)=42.012611 | Length (min.)=12.000000 | 
6033 | Events=238938 | Faraday 1=2084 | Buffers=12117 | Gene DIRECT=113787 | Gene MARQ=6331 | Gene TM=36066 | Trigger multiplicity=4 | Dead time (%)=33.563503 | Length (min.)=10.000000 | 
6034 | Events=239291 | Faraday 1=2186 | Buffers=12117 | Gene DIRECT=122732 | Gene MARQ=6321 | Gene TM=42623 | Trigger multiplicity=4 | Dead time (%)=36.614239 | Length (min.)=11.000000 | 
6035 | Events=239161 | Faraday 1=2032 | Buffers=12117 | Gene DIRECT=116956 | Gene MARQ=6324 | Gene TM=35103 | Trigger multiplicity=4 | Dead time (%)=31.729517 | Length (min.)=12.000000 | 
6036 | Events=238271 | Faraday 1=2208 | Buffers=12116 | Gene DIRECT=112862 | Gene MARQ=6329 | Gene TM=39329 | Trigger multiplicity=4 | Dead time (%)=36.917198 | Length (min.)=10.000000 | 
6037 | Events=238228 | Faraday 1=2109 | Buffers=12117 | Gene DIRECT=112380 | Gene MARQ=6316 | Gene TM=36429 | Trigger multiplicity=4 | Dead time (%)=34.346245 | Length (min.)=10.000000 | 
6038 | Events=239377 | Faraday 1=2098 | Buffers=12117 | Gene DIRECT=118995 | Gene MARQ=6333 | Gene TM=38447 | Trigger multiplicity=4 | Dead time (%)=34.125969 | Length (min.)=11.000000 | 
6039 | Events=240596 | Faraday 1=1997 | Buffers=12118 | Gene DIRECT=121698 | Gene MARQ=6309 | Gene TM=34729 | Trigger multiplicity=4 | Dead time (%)=30.097322 | Length (min.)=11.000000 | 
6040 | Events=67239 | Faraday 1=494 | Buffers=3325 | Gene DIRECT=56003 | Gene MARQ=3177 | Gene TM=7908 | Trigger multiplicity=4 | Dead time (%)=14.969901 | Length (min.)=5.000000 | 
6041 | Events=246609 | Faraday 1=1779 | Buffers=12117 | Gene DIRECT=140492 | Gene MARQ=6318 | Gene TM=27281 | Trigger multiplicity=4 | Dead time (%)=20.332554 | Length (min.)=12.000000 | 
6042 | Events=242985 | Faraday 1=1724 | Buffers=12117 | Gene DIRECT=115143 | Gene MARQ=6329 | Gene TM=22552 | Trigger multiplicity=4 | Dead time (%)=20.725275 | Length (min.)=11.000000 | 
6043 | Events=243191 | Faraday 1=1753 | Buffers=12115 | Gene DIRECT=117390 | Gene MARQ=6325 | Gene TM=24267 | Trigger multiplicity=4 | Dead time (%)=21.849367 | Length (min.)=10.000000 | 
