Run 8190  26-APR-01 14:54:40 
Total   10943 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  4        0    0.000    0.000   10943   56.084    0.937
 1  1  5        0    0.000    0.000   10943   69.884    0.456
 1  2  4        0    0.000    0.000   10943   56.571    0.937
 1  2  5        0    0.000    0.000   10943   73.116    0.668
 1  3  4        0    0.000    0.000   10943   94.953    0.885
 1  3  5        0    0.000    0.000   10943   82.455    0.590
 1  4  4        0    0.000    0.000   10943   62.621    1.008
 1  4  5        0    0.000    0.000   10943   74.252    0.646
 1  5  4        0    0.000    0.000   10943   51.961    0.993
 1  5  5        0    0.000    0.000   10943   69.743    0.520
 1  6  4        0    0.000    0.000   10943   54.065    0.923
 1  6  5        0    0.000    0.000   10943   69.695    0.527
 1  7  4        0    0.000    0.000   10943   64.496    0.892
 1  7  5        0    0.000    0.000   10943   69.774    0.519
 1  8  4        0    0.000    0.000   10943   56.583    0.631
 1  8  5        0    0.000    0.000   10943   70.449    0.607
 1  9  4        0    0.000    0.000   10943   63.350    0.897
 1  9  5        0    0.000    0.000   10943   71.389    0.600
 1 10  4        0    0.000    0.000   10943   73.632    0.930
 1 10  5        0    0.000    0.000   10943   69.292    0.642
 1 11  4        0    0.000    0.000   10943   57.959    0.923
 1 11  5        0    0.000    0.000   10943   69.788    0.516
 1 12  4        0    0.000    0.000   10943   56.790    0.984
 1 12  5        0    0.000    0.000   10943   71.073    0.608
 2  1  1        0    0.000    0.000   10943   25.377   30.713
 2  1  2        0    0.000    0.000   10943   69.937    2.565
 2  1  4        0    0.000    0.000   10943   69.867    1.050
 2  1  5        0    0.000    0.000   10943   71.325    0.600
 2  3  1        0    0.000    0.000   10943  101.474  337.652
 2  3  2        0    0.000    0.000   10943   70.747   25.110
 2  3  4        0    0.000    0.000   10943   60.725  151.184
 2  3  5        0    0.000    0.000   10943   74.948   10.295
 2  5  1        0    0.000    0.000   10943   21.641   24.799
 2  5  2        0    0.000    0.000   10943   69.950    2.135
 2  5  4        0    0.000    0.000   10943   57.996    1.058
 2  5  5        0    0.000    0.000   10943   73.599    0.571
 2  7  1        0    0.000    0.000   10943   27.901    7.132
 2  7  2        0    0.000    0.000   10943   68.457    0.657
 2  7  4        0    0.000    0.000   10943   56.123    1.045
 2  7  5        0    0.000    0.000   10943   73.478    0.616
 2  9  1        0    0.000    0.000   10943   18.718    6.506
 2  9  2        0    0.000    0.000   10943   69.249    0.646
 2  9  4        0    0.000    0.000   10943   58.317    1.035
 2  9  5        0    0.000    0.000   10943   69.683    0.536
 2 11  1        0    0.000    0.000   10943   17.667    7.180
 2 11  2        0    0.000    0.000   10943   70.129    0.675
 2 11  4        0    0.000    0.000   10943   63.255    0.993
 2 11  5        0    0.000    0.000   10943   70.950    0.563
 2 13  1        0    0.000    0.000   10943   27.737    6.898
 2 13  2        0    0.000    0.000   10943   69.518    0.647
 2 13  4        0    0.000    0.000   10943   60.031    4.358
 2 13  5        0    0.000    0.000   10943   70.137    0.675
 2 15  1        0    0.000    0.000   10943   16.543   11.968
 2 15  2        0    0.000    0.000   10943   70.523    1.022
 2 15  4        0    0.000    0.000   10943   48.305    6.095
 2 15  5        0    0.000    0.000   10943   70.264    0.710
 2 17  1        0    0.000    0.000   10943   44.285    7.028
 2 17  2        0    0.000    0.000   10943   68.956    0.643
 2 17  4        0    0.000    0.000   10943   67.604    0.995
 2 17  5        0    0.000    0.000   10943   70.213    0.599
 2 19  1        0    0.000    0.000   10943   42.641    9.736
 2 19  2        0    0.000    0.000   10943   69.930    0.827
 2 19  4        0    0.000    0.000   10943   63.485    1.022
 2 19  5        0    0.000    0.000   10943   71.683    0.542
 2 21  1        0    0.000    0.000   10943   39.280    6.288
 2 21  2        0    0.000    0.000   10943   69.405    0.644
 2 21  4        0    0.000    0.000   10943   66.006    6.986
 2 21  5        0    0.000    0.000   10943   69.396    0.728
 2 23  1        0    0.000    0.000   10943   45.231    9.617
 2 23  2        0    0.000    0.000   10943   67.596    0.804
 2 23  4        0    0.000    0.000   10943   59.479    0.905
 2 23  5        0    0.000    0.000   10943   68.729    0.516
 3  1  4        0    0.000    0.000   10943   64.440    1.314
 3  1  5        0    0.000    0.000   10943   71.048    0.575
 3  2  4        0    0.000    0.000   10943   63.433    0.921
 3  2  5        0    0.000    0.000   10943   71.611    0.536
 3  3  4        0    0.000    0.000   10943   85.498  212.824
 3  3  5        0    0.000    0.000   10943   69.874   14.446
 3  4  4        0    0.000    0.000   10943   82.917  208.589
 3  4  5        0    0.000    0.000   10943   71.484   14.375
 3  5  4        0    0.000    0.000   10943   58.485    1.058
 3  5  5        0    0.000    0.000   10943   70.137    0.591
 3  6  4        0    0.000    0.000   10943   67.452    0.890
 3  6  5        0    0.000    0.000   10943   70.916    0.519
 3  7  4        0    0.000    0.000   10943   68.895    0.904
 3  7  5        0    0.000    0.000   10943   68.907    0.591
 3  8  4        0    0.000    0.000   10943   72.061    0.928
 3  8  5        0    0.000    0.000   10943   70.631    0.590
 3  9  4        0    0.000    0.000   10943   97.099    0.864
 3  9  5        0    0.000    0.000   10943   84.722    0.482
 3 10  4        0    0.000    0.000   10943  104.355    0.872
 3 10  5        0    0.000    0.000   10943   86.277    0.603
 3 11  4        0    0.000    0.000   10943  101.035   12.923
 3 11  5        0    0.000    0.000   10943   88.744    1.094
 3 12  4        0    0.000    0.000   10943  109.611    0.908
 3 12  5        0    0.000    0.000   10943   89.865    0.656
 3 13  4        0    0.000    0.000   10943   97.738    9.655
 3 13  5        0    0.000    0.000   10943   88.545    0.914
 3 14  4        0    0.000    0.000   10943  102.265    0.872
 3 14  5        0    0.000    0.000   10943   88.344    0.622
 3 15  4        0    0.000    0.000   10943  102.220    7.908
 3 15  5        0    0.000    0.000   10943   88.880    0.817
 3 16  4        0    0.000    0.000   10943   94.687    8.111
 3 16  5        0    0.000    0.000   10943   86.334    0.822
 3 17  4        0    0.000    0.000   10943  104.921    0.907
 3 17  5        0    0.000    0.000   10943   83.424    0.602
 3 18  4        0    0.000    0.000   10943  108.670    0.876
 3 18  5        0    0.000    0.000   10943   84.182    0.639
 3 19  4        0    0.000    0.000   10943  107.468    0.889
 3 19  5        0    0.000    0.000   10943   85.476    0.593
 3 20  4        0    0.000    0.000   10943  107.443    0.891
 3 20  5        0    0.000    0.000   10943   84.322    0.622
 3 21  4        0    0.000    0.000   10943  103.629    5.940
 3 21  5        0    0.000    0.000   10943   83.096    0.742
 3 22  4        0    0.000    0.000   10943   97.413    5.891
 3 22  5        0    0.000    0.000   10943   81.188    0.725
 3 23  4        0    0.000    0.000   10943  110.546    0.907
 3 23  5        0    0.000    0.000   10943   82.786    0.603
 3 24  4        0    0.000    0.000   10943  107.399    0.864
 3 24  5        0    0.000    0.000   10943   81.453    0.599
 4  1  1        0    0.000    0.000   10943   39.039    7.532
 4  1  2        0    0.000    0.000   10943   69.649    0.708
 4  1  4        0    0.000    0.000   10943  125.127    0.862
 4  1  5        0    0.000    0.000   10943   84.934    0.641
 4  2  4        0    0.000    0.000   10943  127.654    0.867
 4  2  5        0    0.000    0.000   10943   84.776    0.632
 4  3  1        0    0.000    0.000   10943   35.611    7.015
 4  3  2        0    0.000    0.000   10943   67.035    0.671
 4  3  4        0    0.000    0.000   10943  125.900    0.856
 4  3  5        0    0.000    0.000   10943   83.315    0.612
 4  4  4        0    0.000    0.000   10943  127.306    0.872
 4  4  5        0    0.000    0.000   10943   84.097    0.651
 4  5  1        0    0.000    0.000   10943   36.678    6.398
 4  5  2        0    0.000    0.000   10943   67.017    0.636
 4  5  4        0    0.000    0.000   10943  130.589    0.893
 4  5  5        0    0.000    0.000   10943   83.689    0.614
 4  6  4        0    0.000    0.000   10943  119.592    0.864
 4  6  5        0    0.000    0.000   10943   82.532    0.592
 4  7  1        0    0.000    0.000   10943   32.384    6.345
 4  7  2        0    0.000    0.000   10943   67.944    0.632
 4  7  4        0    0.000    0.000   10943  118.161    0.895
 4  7  5        0    0.000    0.000   10943   84.404    0.597
 4  8  4        0    0.000    0.000   10943  127.176    0.873
 4  8  5        0    0.000    0.000   10943   84.029    0.679
 4  9  1        0    0.000    0.000   10943   55.558    6.483
 4  9  2        0    0.000    0.000   10943   70.565    0.636
 4  9  4        0    0.000    0.000   10943  120.416    5.363
 4  9  5        0    0.000    0.000   10943   82.699    0.710
 4 10  4        0    0.000    0.000   10943  132.148    5.507
 4 10  5        0    0.000    0.000   10943   83.827    0.712
 4 11  1        0    0.000    0.000   10943   54.273    6.347
 4 11  2        0    0.000    0.000   10943   69.319    0.644
 4 11  4        0    0.000    0.000   10943  131.525    1.776
 4 11  5        0    0.000    0.000   10943   82.798    0.631
 4 12  4        0    0.000    0.000   10943  130.371    0.844
 4 12  5        0    0.000    0.000   10943   84.895    0.634
 4 13  1        0    0.000    0.000   10943   52.942    6.491
 4 13  2        0    0.000    0.000   10943   68.983    0.642
 4 13  4        0    0.000    0.000   10943  126.926    1.778
 4 13  5        0    0.000    0.000   10943   83.508    0.610
 4 14  4        0    0.000    0.000   10943  121.922    0.857
 4 14  5        0    0.000    0.000   10943   82.508    0.596
 4 15  1        0    0.000    0.000   10943   52.257    7.406
 4 15  2        0    0.000    0.000   10943   70.829    0.684
