Run 8449  01-MAY-01 10:48:21 
Total   47581 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  4        0    0.000    0.000   47581   53.593    0.939
 1  1  5        0    0.000    0.000   47581   68.591    0.512
 1  2  4        0    0.000    0.000   47581   54.281    0.913
 1  2  5        0    0.000    0.000   47581   71.858    0.579
 1  3  4        0    0.000    0.000   47581   92.899    0.893
 1  3  5        0    0.000    0.000   47581   81.094    0.590
 1  4  4        0    0.000    0.000   47581   60.279    1.028
 1  4  5        0    0.000    0.000   47581   72.968    0.584
 1  5  4        0    0.000    0.000   47581   49.986    1.027
 1  5  5        0    0.000    0.000   47581   68.486    0.583
 1  6  4        0    0.000    0.000   47581   51.500    0.914
 1  6  5        0    0.000    0.000   47581   68.445    0.584
 1  7  4        0    0.000    0.000   47581   62.213    0.880
 1  7  5        0    0.000    0.000   47581   68.552    0.561
 1  8  4        0    0.000    0.000   47581   54.319    0.653
 1  8  5        0    0.000    0.000   47581   69.146    0.599
 1  9  4        0    0.000    0.000   47581   60.791    0.906
 1  9  5        0    0.000    0.000   47581   70.039    0.543
 1 10  4        0    0.000    0.000   47581   70.941    0.926
 1 10  5        0    0.000    0.000   47581   67.975    0.573
 1 11  4        0    0.000    0.000   47581   55.508    0.930
 1 11  5        0    0.000    0.000   47581   68.559    0.560
 1 12  4        0    0.000    0.000   47581   54.179    0.966
 1 12  5        0    0.000    0.000   47581   69.815    0.543
 2  1  1        0    0.000    0.000   47581   24.318    7.837
 2  1  2        0    0.000    0.000   47581   69.395    0.680
 2  1  4        0    0.000    0.000   47581   67.405    1.029
 2  1  5        0    0.000    0.000   47581   70.069    0.557
 2  3  1        0    0.000    0.000   47581   34.143   41.053
 2  3  2        0    0.000    0.000   47581   70.052    3.473
 2  3  4        0    0.000    0.000   47581   49.975   21.400
 2  3  5        0    0.000    0.000   47581   73.707    1.527
 2  5  1        0    0.000    0.000   47581   20.910    7.177
 2  5  2        0    0.000    0.000   47581   69.355    0.651
 2  5  4        0    0.000    0.000   47581   55.648    1.023
 2  5  5        0    0.000    0.000   47581   72.322    0.628
 2  7  1        0    0.000    0.000   47581   31.264    6.601
 2  7  2        0    0.000    0.000   47581   67.933    0.633
 2  7  4        0    0.000    0.000   47581   54.279    1.031
 2  7  5        0    0.000    0.000   47581   72.116    0.608
 2  9  1        0    0.000    0.000   47581   21.917    5.979
 2  9  2        0    0.000    0.000   47581   68.739    0.615
 2  9  4        0    0.000    0.000   47581   56.081    1.000
 2  9  5        0    0.000    0.000   47581   68.451    0.581
 2 11  1        0    0.000    0.000   47581   20.670    6.525
 2 11  2        0    0.000    0.000   47581   69.624    0.634
 2 11  4        0    0.000    0.000   47581   60.924    0.987
 2 11  5        0    0.000    0.000   47581   69.763    0.528
 2 13  1        0    0.000    0.000   47581   30.848    6.318
 2 13  2        0    0.000    0.000   47581   68.989    0.620
 2 13  4        0    0.000    0.000   47581   57.519    3.750
 2 13  5        0    0.000    0.000   47581   68.875    0.612
 2 15  1        0    0.000    0.000   47581   18.206    6.496
 2 15  2        0    0.000    0.000   47581   70.000    0.644
 2 15  4        0    0.000    0.000   47581   45.768    6.663
 2 15  5        0    0.000    0.000   47581   69.013    0.705
 2 17  1        0    0.000    0.000   47581   47.371    6.349
 2 17  2        0    0.000    0.000   47581   68.429    0.621
 2 17  4        0    0.000    0.000   47581   65.194    0.981
 2 17  5        0    0.000    0.000   47581   68.878    0.517
 2 19  1        0    0.000    0.000   47581   45.509    9.137
 2 19  2        0    0.000    0.000   47581   69.450    0.787
 2 19  4        0    0.000    0.000   47581   60.970    1.007
 2 19  5        0    0.000    0.000   47581   70.425    0.603
 2 21  1        0    0.000    0.000   47581   42.924    6.455
 2 21  2        0    0.000    0.000   47581   68.801    0.650
 2 21  4        0    0.000    0.000   47581   63.204    6.745
 2 21  5        0    0.000    0.000   47581   68.115    0.717
 2 23  1        0    0.000    0.000   47581   48.426    5.951
 2 23  2        0    0.000    0.000   47581   67.078    0.618
 2 23  4        0    0.000    0.000   47581   56.766    0.886
 2 23  5        0    0.000    0.000   47581   67.471    0.591
 3  1  4        0    0.000    0.000   47581   61.402    1.499
 3  1  5        0    0.000    0.000   47581   69.758    0.521
 3  2  4        0    0.000    0.000   47581   60.990    0.918
 3  2  5        0    0.000    0.000   47581   70.268    0.584
 3  3  4        0    0.000    0.000   47581   67.642   30.068
 3  3  5        0    0.000    0.000   47581   68.751    2.048
 3  4  4        0    0.000    0.000   47581   65.553   29.819
 3  4  5        0    0.000    0.000   47581   70.160    2.031
 3  5  4        0    0.000    0.000   47581   55.766    1.095
 3  5  5        0    0.000    0.000   47581   68.755    0.558
 3  6  4        0    0.000    0.000   47581   64.779    0.888
 3  6  5        0    0.000    0.000   47581   69.582    0.552
 3  7  4        0    0.000    0.000   47581   65.870    0.911
 3  7  5        0    0.000    0.000   47581   67.692    0.543
 3  8  4        0    0.000    0.000   47581   69.484    0.916
 3  8  5        0    0.000    0.000   47581   69.333    0.656
 3  9  4        0    0.000    0.000   47581   94.964    0.917
 3  9  5        0    0.000    0.000   47581   84.035    0.447
 3 10  4        0    0.000    0.000   47581  102.222    0.915
 3 10  5        0    0.000    0.000   47581   85.607    0.540
 3 11  4        0    0.000    0.000   47581   98.597   12.443
 3 11  5        0    0.000    0.000   47581   88.105    1.047
 3 12  4        0    0.000    0.000   47581  106.905    0.966
 3 12  5        0    0.000    0.000   47581   89.256    0.633
 3 13  4        0    0.000    0.000   47581   95.344    7.267
 3 13  5        0    0.000    0.000   47581   87.932    0.775
 3 14  4        0    0.000    0.000   47581   99.566    0.929
 3 14  5        0    0.000    0.000   47581   87.703    0.570
 3 15  4        0    0.000    0.000   47581  100.069    0.911
 3 15  5        0    0.000    0.000   47581   88.235    0.605
 3 16  4        0    0.000    0.000   47581   92.506    0.894
 3 16  5        0    0.000    0.000   47581   85.692    0.577
 3 17  4        0    0.000    0.000   47581  102.823    0.978
 3 17  5        0    0.000    0.000   47581   82.766    0.571
 3 18  4        0    0.000    0.000   47581  106.168    0.964
 3 18  5        0    0.000    0.000   47581   83.545    0.565
 3 19  4        0    0.000    0.000   47581  104.737    0.978
 3 19  5        0    0.000    0.000   47581   84.787    0.584
 3 20  4        0    0.000    0.000   47581  103.873    1.049
 3 20  5        0    0.000    0.000   47581   83.780    0.579
 3 21  4        0    0.000    0.000   47581  100.953    5.878
 3 21  5        0    0.000    0.000   47581   82.468    0.705
 3 22  4        0    0.000    0.000   47581   95.303    5.866
 3 22  5        0    0.000    0.000   47581   80.581    0.701
 3 23  4        0    0.000    0.000   47581  108.102    0.972
 3 23  5        0    0.000    0.000   47581   82.203    0.596
 3 24  4        0    0.000    0.000   47581  104.602    0.942
 3 24  5        0    0.000    0.000   47581   80.805    0.582
 4  1  1        0    0.000    0.000   47581   41.827    7.473
 4  1  2        0    0.000    0.000   47581   69.128    0.695
 4  1  4        0    0.000    0.000   47581  122.825    1.021
 4  1  5        0    0.000    0.000   47581   84.293    0.603
 4  2  4        0    0.000    0.000   47581  125.119    1.045
 4  2  5        0    0.000    0.000   47581   84.149    0.615
 4  3  1        0    0.000    0.000   47581   38.451    7.340
 4  3  2        0    0.000    0.000   47581   66.546    0.686
 4  3  4        0    0.000    0.000   47581  123.462    1.043
 4  3  5        0    0.000    0.000   47581   82.581    0.603
 4  4  4        0    0.000    0.000   47581  124.786    1.032
 4  4  5        0    0.000    0.000   47581   83.411    0.595
 4  5  1        0    0.000    0.000   47581   39.576    6.415
 4  5  2        0    0.000    0.000   47581   66.513    0.637
 4  5  4        0    0.000    0.000   47581  127.913    1.059
 4  5  5        0    0.000    0.000   47581   83.091    0.622
 4  6  4        0    0.000    0.000   47581  117.252    1.002
 4  6  5        0    0.000    0.000   47581   81.904    0.624
 4  7  1        0    0.000    0.000   47581   35.462    6.366
 4  7  2        0    0.000    0.000   47581   67.461    0.634
 4  7  4        0    0.000    0.000   47581  114.654    1.104
 4  7  5        0    0.000    0.000   47581   83.724    0.617
 4  8  4        0    0.000    0.000   47581  124.511    1.021
 4  8  5        0    0.000    0.000   47581   83.352    0.618
 4  9  1        0    0.000    0.000   47581   58.243    6.565
 4  9  2        0    0.000    0.000   47581   70.005    0.642
 4  9  4        0    0.000    0.000   47581  118.256    5.358
 4  9  5        0    0.000    0.000   47581   82.114    0.706
 4 10  4        0    0.000    0.000   47581  129.495    5.604
 4 10  5        0    0.000    0.000   47581   83.097    0.714
 4 11  1        0    0.000    0.000   47581   57.126    6.405
 4 11  2        0    0.000    0.000   47581   68.825    0.640
 4 11  4        0    0.000    0.000   47581  129.300    2.657
 4 11  5        0    0.000    0.000   47581   82.135    0.627
 4 12  4        0    0.000    0.000   47581  127.678    1.086
 4 12  5        0    0.000    0.000   47581   84.165    0.605
 4 13  1        0    0.000    0.000   47581   55.734    6.618
 4 13  2        0    0.000    0.000   47581   68.477    0.654
 4 13  4        0    0.000    0.000   47581  124.418    1.949
 4 13  5        0    0.000    0.000   47581   82.873    0.638
 4 14  4        0    0.000    0.000   47581  119.247    1.090
 4 14  5        0    0.000    0.000   47581   81.792    0.640
 4 15  1        0    0.000    0.000   47581   55.274    7.417
 4 15  2        0    0.000    0.000   47581   70.266    0.680
 4 15  4        0    0.000    0.000   47581  119.372    1.081
 4 15  5        0    0.000    0.000   47581   82.384    0.626
 4 16  4        0    0.000    0.000   47581  120.706    1.063
 4 16  5        0    0.000    0.000   47581   82.329    0.648
 4 17  1        0    0.000    0.000   47581   56.194    7.324
 4 17  2        0    0.000    0.000   47581   68.300    0.688
 4 17  4        0    0.000    0.000   47581  104.283    0.914
 4 17  5        0    0.000    0.000   47581   70.496    0.614
 4 18  4        0    0.000    0.000   47581   75.581    0.930
 4 18  5        0    0.000    0.000   47581   72.404    0.644
 4 19  1        0    0.000    0.000   47581   54.912    6.705
 4 19  2        0    0.000    0.000   47581   66.494    0.657
 4 19  4        0    0.000    0.000   47581   83.609    0.949
 4 19  5        0    0.000    0.000   47581   72.662    0.676
 4 20  4        0    0.000    0.000   47581   79.756    0.982
 4 20  5        0    0.000    0.000   47581   73.359    0.674
 4 21  1        0    0.000    0.000   47581   53.760    6.185
 4 21  2        0    0.000    0.000   47581   66.479    0.639
 4 21  4        0    0.000    0.000   47581   77.918    0.959
 4 21  5        0    0.000    0.000   47581   73.780    0.666
 4 22  4        0    0.000    0.000   47581   74.331    0.913
 4 22  5        0    0.000    0.000   47581   74.571    0.659
 4 23  1        0    0.000    0.000   47581   45.738    6.212
 4 23  2        0    0.000    0.000   47581   66.648    0.645
 4 23  4        0    0.000    0.000   47581   84.926    0.942
 4 23  5        0    0.000    0.000   47581   74.837    0.645
 4 24  4        0    0.000    0.000   47581   73.383    0.901
 4 24  5        0    0.000    0.000   47581   69.327    0.645
 5  1  4        0    0.000    0.000   47581   94.766    0.969
 5  1  5        0    0.000    0.000   47581   69.280    0.650
 5  2  4        0    0.000    0.000   47581   90.887    2.481
 5  2  5        0    0.000    0.000   47581   69.301    0.670
 5  3  4        0    0.000    0.000   47581   92.001    1.055
 5  3  5        0    0.000    0.000   47581   69.571    0.669
 5  4  4        0    0.000    0.000   47581   94.026    0.981
 5  4  5        0    0.000    0.000   47581   70.819    0.679
 5  5  4        0    0.000    0.000   47581   86.522    0.978
 5  5  5        0    0.000    0.000   47581   72.093    0.675
 5  6  4        0    0.000    0.000   47581   90.193    1.168
 5  6  5        0    0.000    0.000   47581   71.327    0.676
 5  7  4        0    0.000    0.000   47581   76.785    0.939
 5  7  5        0    0.000    0.000   47581   71.783    0.661
 5  8  4        0    0.000    0.000   47581   78.982    0.919
 5  8  5        0    0.000    0.000   47581   68.944    0.645
 5  9  4        0    0.000    0.000   47581   99.449    5.488
 5  9  5        0    0.000    0.000   47581   72.936    0.741
 5 10  4        0    0.000    0.000   47581  100.830    6.500
 5 10  5        0    0.000    0.000   47581   74.429    0.777
 5 11  4        0    0.000    0.000   47581  111.750    1.215
 5 11  5        0    0.000    0.000   47581   84.847    0.660
 5 12  4        0    0.000    0.000   47581   99.606    1.099
 5 12  5        0    0.000    0.000   47581   74.184    0.649
 5 13  4        0    0.000    0.000   47581  104.288    1.084
 5 13  5        0    0.000    0.000   47581   71.367    0.676
 5 14  4        0    0.000    0.000   47581  105.811    1.082
 5 14  5        0    0.000    0.000   47581   73.746    0.665
 5 15  4        0    0.000    0.000   47581   93.125    1.063
 5 15  5        0    0.000    0.000   47581   73.126    0.642
 5 16  4        0    0.000    0.000   47581   97.563    1.056
 5 16  5        0    0.000    0.000   47581   71.854    0.665
 5 17  4        0    0.000    0.000   47581   87.600    1.095
 5 17  5        0    0.000    0.000   47581   73.476    0.671
 5 18  4        0    0.000    0.000   47581   92.277    1.966
 5 18  5        0    0.000    0.000   47581   73.327    0.680
 5 19  4        0    0.000    0.000   47581   93.995    1.181
 5 19  5        0    0.000    0.000   47581   71.128    0.667
 5 20  4        0    0.000    0.000   47581  110.266    1.203
 5 20  5        0    0.000    0.000   47581   73.192    0.669
 5 21  4        0    0.000    0.000   47581   99.535    1.171
 5 21  5        0    0.000    0.000   47581   71.965    0.631
 5 22  4        0    0.000    0.000   47581   82.923    1.126
 5 22  5        0    0.000    0.000   47581   73.973    0.656
 5 23  4        0    0.000    0.000   47581   84.551    1.078
 5 23  5        0    0.000    0.000   47581   76.437    0.663
 5 24  4        0    0.000    0.000   47581   91.123    1.148
 5 24  5        0    0.000    0.000   47581   72.688    0.641
 6  1  1        0    0.000    0.000   47581   51.402    6.787
 6  1  2        0    0.000    0.000   47581   66.918    0.652
 6  1  4        0    0.000    0.000   47581    0.532    0.919
 6  1  5        0    0.000    0.000   47581   17.319    0.502
 6  2  4        0    0.000    0.000   47581   24.080    1.677
 6  2  5        0    0.000    0.000   47581   14.617    0.509
 6  3  1        0    0.000    0.000   47581   67.786    7.331
 6  3  2        0    0.000    0.000   47581   67.455    0.679
 6  3  4        0    0.000    0.000   47581   27.467    6.662
 6  3  5        0    0.000    0.000   47581   13.121    0.687
 6  4  4        0    0.000    0.000   47581   36.976    5.683
 6  4  5        0    0.000    0.000   47581   13.472    0.678
 6  5  1        0    0.000    0.000   47581   61.890    7.375
 6  5  2        0    0.000    0.000   47581   66.596    0.689
 6  5  4        0    0.000    0.000   47581   42.806    1.644
 6  5  5        0    0.000    0.000   47581   13.648    0.559
 6  6  4        0    0.000    0.000   47581   44.813    1.642
 6  6  5        0    0.000    0.000   47581   13.585    0.554
 6  7  1        0    0.000    0.000   47581   67.275    7.315
 6  7  2        0    0.000    0.000   47581   67.043    0.679
 6  7  4        0    0.000    0.000   47581   47.476    1.642
 6  7  5        0    0.000    0.000   47581   14.060    0.543
 6  8  4        0    0.000    0.000   47581   39.903    1.630
 6  8  5        0    0.000    0.000   47581   12.625    0.539
 6  9  1        0    0.000    0.000   47581   62.697    7.296
 6  9  2        0    0.000    0.000   47581   69.042    0.687
 6  9  4        0    0.000    0.000   47581    0.052    0.277
 6  9  5        0    0.000    0.000   47581    4.675    0.536
 6 10  4        0    0.000    0.000   47581   52.038    1.645
 6 10  5        0    0.000    0.000   47581   13.951    0.432
 6 11  1        0    0.000    0.000   47581   67.848    6.513
 6 11  2        0    0.000    0.000   47581   69.360    0.658
 6 11  4        0    0.000    0.000   47581   50.371    1.684
 6 11  5        0    0.000    0.000   47581   15.336    0.515
 6 12  4        0    0.000    0.000   47581   55.167    1.643
 6 12  5        0    0.000    0.000   47581   13.013    0.521
 6 13  1        0    0.000    0.000   47581   56.182    6.948
 6 13  2        0    0.000    0.000   47581   66.695    0.694
 6 13  4        0    0.000    0.000   47581   50.538    5.579
 6 13  5        0    0.000    0.000   47581   13.133    0.653
 6 14  4        0    0.000    0.000   47581   40.119    5.296
 6 14  5        0    0.000    0.000   47581   14.194    0.629
 6 15  1        0    0.000    0.000   47581   55.356    6.704
 6 15  2        0    0.000    0.000   47581   65.725    0.679
 6 15  4        0    0.000    0.000   47581   43.893    1.672
 6 15  5        0    0.000    0.000   47581   12.896    0.518
 6 16  4        0    0.000    0.000   47581   49.027    1.656
 6 16  5        0    0.000    0.000   47581   12.083    0.524
 6 17  1        0    0.000    0.000   47581   92.118    6.582
 6 17  2        0    0.000    0.000   47581   85.283    0.657
 6 17  4        0    0.000    0.000   47581    0.000    0.000
 6 17  5        0    0.000    0.000   47581    0.031    0.174
 6 18  4        0    0.000    0.000   47581   59.986    1.766
