Run 6773  11-APR-01 10:39:32 
Total   27455 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  7        0    0.000    0.000   27455   12.847    0.360
 1  1  8        0    0.000    0.000   27455   30.643    0.734
 1  2  7        0    0.000    0.000   27455   21.581    0.493
 1  2  8        0    0.000    0.000   27455   36.458    0.786
 1  3  7        0    0.000    0.000   27455   19.362    0.481
 1  3  8        0    0.000    0.000   27455   37.692    0.762
 1  4  7        0    0.000    0.000   27455   20.924    0.266
 1  4  8        0    0.000    0.000   27455   34.711    0.765
 1  5  7        0    0.000    0.000   27455   19.301    0.459
 1  5  8        0    0.000    0.000   27455   34.948    0.778
 1  6  7        0    0.000    0.000   27455   20.169    0.375
 1  6  8        0    0.000    0.000   27455   33.287    0.784
 1  7  7        0    0.000    0.000   27455   15.042    0.204
 1  7  8        0    0.000    0.000   27455   31.695    0.753
 1  8  7        0    0.000    0.000   27455   14.052    0.223
 1  8  8        0    0.000    0.000   27455   30.767    0.781
 1  9  7        0    0.000    0.000   27455   15.040    0.197
 1  9  8        0    0.000    0.000   27455   30.293    0.761
 1 10  7        0    0.000    0.000   27455   14.140    0.347
 1 10  8        0    0.000    0.000   27455   28.447    0.766
 1 11  7        0    0.000    0.000   27455   12.000    0.087
 1 11  8        0    0.000    0.000   27455   31.032    0.748
 1 12  7        0    0.000    0.000   27455    9.025    0.158
 1 12  8        0    0.000    0.000   27455   22.968    0.729
 2  1  7        0    0.000    0.000   27455   20.943    0.233
 2  1  8        0    0.000    0.000   27455   42.263    0.483
 2  3  7        0    0.000    0.000   27455   21.461    0.499
 2  3  8        0    0.000    0.000   27455   42.909    0.477
 2  5  7        0    0.000    0.000   27455   22.026    0.163
 2  5  8        0    0.000    0.000   27455   42.316    0.507
 2  7  7        0    0.000    0.000   27455   22.997    0.110
 2  7  8        0    0.000    0.000   27455   45.209    0.454
 2  9  7        0    0.000    0.000   27455   20.921    0.271
 2  9  8        0    0.000    0.000   27455   39.332    0.482
 2 11  7        0    0.000    0.000   27455   21.297    0.457
 2 11  8        0    0.000    0.000   27455   43.934    0.537
 2 13  7        0    0.000    0.000   27455   16.626    0.485
 2 13  8        0    0.000    0.000   27455   38.666    0.538
 2 15  7        0    0.000    0.000   27455   16.989    0.109
 2 15  8        0    0.000    0.000   27455   36.093    0.381
 2 17  7        0    0.000    0.000   27455   16.196    0.397
 2 17  8        0    0.000    0.000   27455   36.385    0.496
 2 19  7        0    0.000    0.000   27455   15.004    0.071
 2 19  8        0    0.000    0.000   27455   37.016    0.386
 2 21  7        0    0.000    0.000   27455    9.995    0.076
 2 21  8        0    0.000    0.000   27455   29.954    0.302
 2 23  7        0    0.000    0.000   27455    9.453    0.498
 2 23  8        0    0.000    0.000   27455    0.000    0.000
 3  1  7        0    0.000    0.000   27455   16.457    0.498
 3  1  8        0    0.000    0.000   27455   35.324    0.473
 3  2  7        0    0.000    0.000   27455   21.022    0.150
 3  2  8        0    0.000    0.000   27455   39.556    0.508
 3  3  7        0    0.000    0.000   27455   23.006    0.094
 3  3  8        0    0.000    0.000   27455   40.820    0.439
 3  4  7        0    0.000    0.000   27455   23.046    0.211
 3  4  8        0    0.000    0.000   27455   41.555    0.503
 3  5  7        0    0.000    0.000   27455   20.973    0.163
 3  5  8        0    0.000    0.000   27455   39.513    0.511
 3  6  7        0    0.000    0.000   27455   21.830    0.376
 3  6  8        0    0.000    0.000   27455   39.533    0.502
 3  7  7        0    0.000    0.000   27455   23.746    0.436
 3  7  8        0    0.000    0.000   27455   40.716    0.499
 3  8  7        0    0.000    0.000   27455   23.478    0.500
 3  8  8        0    0.000    0.000   27455   42.923    0.541
 3  9  7        0    0.000    0.000   27455   20.014    0.126
 3  9  8        0    0.000    0.000   27455   41.239    0.438
 3 10  7        0    0.000    0.000   27455   21.978    0.152
 3 10  8        0    0.000    0.000   27455   42.545    0.502
 3 11  7        0    0.000    0.000   27455   21.580    0.494
 3 11  8        0    0.000    0.000   27455   43.034    0.401
 3 12  7        0    0.000    0.000   27455   20.018    0.135
 3 12  8        0    0.000    0.000   27455   40.252    0.476
 3 13  7        0    0.000    0.000   27455   15.916    0.278
 3 13  8        0    0.000    0.000   27455   36.104    0.464
 3 14  7        0    0.000    0.000   27455   17.000    0.067
 3 14  8        0    0.000    0.000   27455   39.428    0.497
 3 15  7        0    0.000    0.000   27455   16.172    0.377
 3 15  8        0    0.000    0.000   27455   38.031    0.176
 3 16  7        0    0.000    0.000   27455   14.845    0.362
 3 16  8        0    0.000    0.000   27455   34.383    0.486
 3 17  7        0    0.000    0.000   27455   16.975    0.157
 3 17  8        0    0.000    0.000   27455   34.044    0.461
 3 18  7        0    0.000    0.000   27455   16.498    0.500
 3 18  8        0    0.000    0.000   27455   34.486    0.502
 3 19  7        0    0.000    0.000   27455   16.268    0.443
 3 19  8        0    0.000    0.000   27455   33.345    0.479
 3 20  7        0    0.000    0.000   27455   16.989    0.104
 3 20  8        0    0.000    0.000   27455   34.500    0.501
 3 21  7        0    0.000    0.000   27455   11.143    0.350
 3 21  8        0    0.000    0.000   27455   27.349    0.477
 3 22  7        0    0.000    0.000   27455    9.930    0.256
 3 22  8        0    0.000    0.000   27455   28.002    0.320
 3 23  7        0    0.000    0.000   27455   11.185    0.388
 3 23  8        0    0.000    0.000   27455   31.788    0.426
 3 24  7        0    0.000    0.000   27455   11.093    0.291
 3 24  8        0    0.000    0.000   27455   28.683    0.469
 4  1  7        0    0.000    0.000   27455   24.979    0.144
 4  1  8        0    0.000    0.000   27455   36.990    0.368
 4  2  7        0    0.000    0.000   27455   27.070    0.256
 4  2  8        0    0.000    0.000   27455   40.156    0.534
 4  3  7        0    0.000    0.000   27455   26.975    0.157
 4  3  8        0    0.000    0.000   27455   37.674    0.472
 4  4  7        0    0.000    0.000   27455   29.273    0.446
 4  4  8        0    0.000    0.000   27455   40.690    0.508
 4  5  7        0    0.000    0.000   27455   26.226    0.418
 4  5  8        0    0.000    0.000   27455   36.907    0.405
 4  6  7        0    0.000    0.000   27455   29.884    0.321
 4  6  8        0    0.000    0.000   27455   38.573    0.498
 4  7  7        0    0.000    0.000   27455   30.003    0.077
 4  7  8        0    0.000    0.000   27455   41.094    0.363
 4  8  7        0    0.000    0.000   27455   28.014    0.117
 4  8  8        0    0.000    0.000   27455   40.097    0.385
 4  9  7        0    0.000    0.000   27455   28.919    0.273
 4  9  8        0    0.000    0.000   27455   39.356    0.485
 4 10  7        0    0.000    0.000   27455   29.127    0.333
 4 10  8        0    0.000    0.000   27455   38.540    0.507
 4 11  7        0    0.000    0.000   27455   29.006    0.084
 4 11  8        0    0.000    0.000   27455   38.113    0.512
 4 12  7        0    0.000    0.000   27455   29.996    0.079
 4 12  8        0    0.000    0.000   27455   38.878    0.489
 4 13  7        0    0.000    0.000   27455   25.972    0.165
 4 13  8        0    0.000    0.000   27455   34.483    0.500
 4 14  7        0    0.000    0.000   27455   25.002    0.056
 4 14  8        0    0.000    0.000   27455   35.559    0.497
 4 15  7        0    0.000    0.000   27455   24.018    0.134
 4 15  8        0    0.000    0.000   27455   33.542    0.499
 4 16  7        0    0.000    0.000   27455   26.452    0.498
 4 16  8        0    0.000    0.000   27455   35.486    0.501
 4 17  7        0    0.000    0.000   27455   23.292    0.455
 4 17  8        0    0.000    0.000   27455   33.214    0.415
 4 18  7        0    0.000    0.000   27455   22.999    0.041
 4 18  8        0    0.000    0.000   27455   34.104    0.381
 4 19  7        0    0.000    0.000   27455   23.806    0.396
 4 19  8        0    0.000    0.000   27455   35.005    0.379
 4 20  7        0    0.000    0.000   27455   20.906    0.292
 4 20  8        0    0.000    0.000   27455   30.258    0.449
 4 21  7        0    0.000    0.000   27455   16.302    0.459
 4 21  8        0    0.000    0.000   27455   25.502    0.500
 4 22  7        0    0.000    0.000   27455   19.001    0.028
 4 22  8        0    0.000    0.000   27455   29.397    0.489
 4 23  7        0    0.000    0.000   27455   16.686    0.464
 4 23  8        0    0.000    0.000   27455   26.935    0.285
 4 24  7        0    0.000    0.000   27455   17.997    0.059
 4 24  8        0    0.000    0.000   27455   27.143    0.362
 5  1  7        0    0.000    0.000   27455   22.186    0.389
 5  1  8        0    0.000    0.000   27455   46.675    0.478
 5  2  7        0    0.000    0.000   27455   26.163    0.369
 5  2  8        0    0.000    0.000   27455   46.439    0.510
 5  3  7        0    0.000    0.000   27455   28.847    0.361
 5  3  8        0    0.000    0.000   27455   53.327    0.492
 5  4  7        0    0.000    0.000   27455   27.882    0.323
 5  4  8        0    0.000    0.000   27455   52.693    0.520
 5  5  7        0    0.000    0.000   27455   26.981    0.147
 5  5  8        0    0.000    0.000   27455   51.336    0.482
 5  6  7        0    0.000    0.000   27455   30.070    0.256
 5  6  8        0    0.000    0.000   27455   55.490    0.506
 5  7  7        0    0.000    0.000   27455   28.945    0.229
 5  7  8        0    0.000    0.000   27455   53.765    0.449
 5  8  7        0    0.000    0.000   27455   28.165    0.371
 5  8  8        0    0.000    0.000   27455   51.253    0.449
 5  9  7        0    0.000    0.000   27455   26.011    0.116
 5  9  8        0    0.000    0.000   27455   48.700    0.490
 5 10  7        0    0.000    0.000   27455   26.821    0.383
 5 10  8        0    0.000    0.000   27455   49.263    0.450
 5 11  7        0    0.000    0.000   27455   28.190    0.393
 5 11  8        0    0.000    0.000   27455   51.411    0.496
 5 12  7        0    0.000    0.000   27455   22.987    0.120
 5 12  8        0    0.000    0.000   27455   45.921    0.371
 5 13  7        0    0.000    0.000   27455   22.144    0.352
