Run 8191  26-APR-01 15:13:24 
Total    9091 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  7        0    0.000    0.000    9091   12.080    0.271
 1  1  8        0    0.000    0.000    9091   30.284    0.711
 1  2  7        0    0.000    0.000    9091   21.014    0.123
 1  2  8        0    0.000    0.000    9091   36.127    0.775
 1  3  7        0    0.000    0.000    9091   18.996    0.091
 1  3  8        0    0.000    0.000    9091   37.352    0.743
 1  4  7        0    0.000    0.000    9091   20.164    0.371
 1  4  8        0    0.000    0.000    9091   34.329    0.744
 1  5  7        0    0.000    0.000    9091   18.989    0.112
 1  5  8        0    0.000    0.000    9091   34.584    0.756
 1  6  7        0    0.000    0.000    9091   19.945    0.228
 1  6  8        0    0.000    0.000    9091   32.900    0.783
 1  7  7        0    0.000    0.000    9091   14.830    0.376
 1  7  8        0    0.000    0.000    9091   31.332    0.733
 1  8  7        0    0.000    0.000    9091   13.847    0.360
 1  8  8        0    0.000    0.000    9091   30.393    0.747
 1  9  7        0    0.000    0.000    9091   14.835    0.371
 1  9  8        0    0.000    0.000    9091   29.945    0.750
 1 10  7        0    0.000    0.000    9091   13.947    0.224
 1 10  8        0    0.000    0.000    9091   28.088    0.753
 1 11  7        0    0.000    0.000    9091   11.560    0.496
 1 11  8        0    0.000    0.000    9091   30.765    0.734
 1 12  7        0    0.000    0.000    9091    8.855    0.352
 1 12  8        0    0.000    0.000    9091   22.704    0.728
 2  1  7        0    0.000    0.000    9091   20.229    0.420
 2  1  8        0    0.000    0.000    9091   41.754    0.463
 2  3  7        0    0.000    0.000    9091   21.000    0.057
 2  3  8        0    0.000    0.000    9091   42.443    0.498
 2  5  7        0    0.000    0.000    9091   21.741    0.438
 2  5  8        0    0.000    0.000    9091   41.723    0.496
 2  7  7        0    0.000    0.000    9091   22.378    0.485
 2  7  8        0    0.000    0.000    9091   44.649    0.484
 2  9  7        0    0.000    0.000    9091   20.084    0.285
 2  9  8        0    0.000    0.000    9091   38.808    0.479
 2 11  7        0    0.000    0.000    9091   20.989    0.104
