Run 8450  01-MAY-01 11:27:56 
Total   46116 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  7        0    0.000    0.000   46116   14.059    0.254
 1  1  8        0    0.000    0.000   46116   32.099    0.750
 1  2  7        0    0.000    0.000   46116   22.976    0.173
 1  2  8        0    0.000    0.000   46116   37.793    0.792
 1  3  7        0    0.000    0.000   46116   20.937    0.259
 1  3  8        0    0.000    0.000   46116   39.137    0.764
 1  4  7        0    0.000    0.000   46116   22.357    0.479
 1  4  8        0    0.000    0.000   46116   36.314    0.779
 1  5  7        0    0.000    0.000   46116   20.966    0.254
 1  5  8        0    0.000    0.000   46116   36.500    0.793
 1  6  7        0    0.000    0.000   46116   21.917    0.310
 1  6  8        0    0.000    0.000   46116   34.832    0.810
 1  7  7        0    0.000    0.000   46116   16.645    0.482
 1  7  8        0    0.000    0.000   46116   33.192    0.786
 1  8  7        0    0.000    0.000   46116   15.658    0.482
 1  8  8        0    0.000    0.000   46116   32.320    0.828
 1  9  7        0    0.000    0.000   46116   16.625    0.488
 1  9  8        0    0.000    0.000   46116   31.781    0.819
 1 10  7        0    0.000    0.000   46116   15.768    0.461
 1 10  8        0    0.000    0.000   46116   29.940    0.816
 1 11  7        0    0.000    0.000   46116   13.367    0.486
 1 11  8        0    0.000    0.000   46116   32.466    0.829
 1 12  7        0    0.000    0.000   46116   10.492    0.513
 1 12  8        0    0.000    0.000   46116   24.400    0.813
 2  1  7        0    0.000    0.000   46116   22.048    0.216
 2  1  8        0    0.000    0.000   46116   43.505    0.503
 2  3  7        0    0.000    0.000   46116   22.965    0.190
 2  3  8        0    0.000    0.000   46116   44.333    0.502
 2  5  7        0    0.000    0.000   46116   23.732    0.443
 2  5  8        0    0.000    0.000   46116   43.755    0.546
 2  7  7        0    0.000    0.000   46116   24.599    0.490
 2  7  8        0    0.000    0.000   46116   46.714    0.503
 2  9  7        0    0.000    0.000   46116   22.326    0.469
 2  9  8        0    0.000    0.000   46116   40.823    0.506
 2 11  7        0    0.000    0.000   46116   22.987    0.246
 2 11  8        0    0.000    0.000   46116   45.494    0.531
 2 13  7        0    0.000    0.000   46116   18.082    0.346
 2 13  8        0    0.000    0.000   46116   40.203    0.620
 2 15  7        0    0.000    0.000   46116   18.385    0.487
 2 15  8        0    0.000    0.000   46116   37.505    0.517
 2 17  7        0    0.000    0.000   46116   17.873    0.399
 2 17  8        0    0.000    0.000   46116   37.807    0.579
 2 19  7        0    0.000    0.000   46116   16.501    0.501
 2 19  8        0    0.000    0.000   46116   38.481    0.533
 2 21  7        0    0.000    0.000   46116   11.302    0.461
 2 21  8        0    0.000    0.000   46116   31.306    0.503
 2 23  7        0    0.000    0.000   46116   10.885    0.495
 2 23  8        0    0.000    0.000   46116    1.210    0.435
 3  1  7        0    0.000    0.000   46116   17.968    0.190
 3  1  8        0    0.000    0.000   46116   36.749    0.465
 3  2  7        0    0.000    0.000   46116   22.467    0.499
 3  2  8        0    0.000    0.000   46116   40.865    0.529
 3  3  7        0    0.000    0.000   46116   24.308    0.462
 3  3  8        0    0.000    0.000   46116   42.188    0.455
 3  4  7        0    0.000    0.000   46116   24.577    0.494
 3  4  8        0    0.000    0.000   46116   42.930    0.487
 3  5  7        0    0.000    0.000   46116   22.191    0.394
 3  5  8        0    0.000    0.000   46116   40.933    0.592
 3  6  7        0    0.000    0.000   46116   23.089    0.288
 3  6  8        0    0.000    0.000   46116   41.054    0.520
 3  7  7        0    0.000    0.000   46116   25.112    0.320
 3  7  8        0    0.000    0.000   46116   42.277    0.527
 3  8  7        0    0.000    0.000   46116   25.012    0.228
 3  8  8        0    0.000    0.000   46116   44.444    0.531
 3  9  7        0    0.000    0.000   46116   21.630    0.483
 3  9  8        0    0.000    0.000   46116   42.759    0.480
 3 10  7        0    0.000    0.000   46116   23.456    0.498
 3 10  8        0    0.000    0.000   46116   44.082    0.485
 3 11  7        0    0.000    0.000   46116   23.083    0.298
 3 11  8        0    0.000    0.000   46116   44.600    0.510
 3 12  7        0    0.000    0.000   46116   21.652    0.476
 3 12  8        0    0.000    0.000   46116   41.681    0.542
 3 13  7        0    0.000    0.000   46116   17.277    0.449
 3 13  8        0    0.000    0.000   46116   37.535    0.541
 3 14  7        0    0.000    0.000   46116   18.517    0.500
 3 14  8        0    0.000    0.000   46116   40.883    0.567
 3 15  7        0    0.000    0.000   46116   17.834    0.425
 3 15  8        0    0.000    0.000   46116   39.565    0.500
 3 16  7        0    0.000    0.000   46116   16.177    0.414
 3 16  8        0    0.000    0.000   46116   35.787    0.525
 3 17  7        0    0.000    0.000   46116   18.318    0.468
 3 17  8        0    0.000    0.000   46116   35.483    0.545
 3 18  7        0    0.000    0.000   46116   18.000    0.403
 3 18  8        0    0.000    0.000   46116   35.911    0.589
 3 19  7        0    0.000    0.000   46116   17.862    0.455
 3 19  8        0    0.000    0.000   46116   34.790    0.567
 3 20  7        0    0.000    0.000   46116   18.342    0.476
 3 20  8        0    0.000    0.000   46116   35.883    0.565
 3 21  7        0    0.000    0.000   46116   12.679    0.547
 3 21  8        0    0.000    0.000   46116   28.678    0.581
 3 22  7        0    0.000    0.000   46116   11.184    0.441
 3 22  8        0    0.000    0.000   46116   29.334    0.529
 3 23  7        0    0.000    0.000   46116   12.767    0.560
 3 23  8        0    0.000    0.000   46116   33.186    0.557
 3 24  7        0    0.000    0.000   46116   12.637    0.545
 3 24  8        0    0.000    0.000   46116   29.988    0.569
 4  1  7        0    0.000    0.000   46116   26.324    0.468
 4  1  8        0    0.000    0.000   46116   38.458    0.499
 4  2  7        0    0.000    0.000   46116   28.741    0.438
 4  2  8        0    0.000    0.000   46116   41.467    0.507
 4  3  7        0    0.000    0.000   46116   28.134    0.341
 4  3  8        0    0.000    0.000   46116   39.119    0.408
 4  4  7        0    0.000    0.000   46116   30.924    0.266
 4  4  8        0    0.000    0.000   46116   42.163    0.538
 4  5  7        0    0.000    0.000   46116   27.893    0.312
 4  5  8        0    0.000    0.000   46116   38.342    0.490
 4  6  7        0    0.000    0.000   46116   31.214    0.411
 4  6  8        0    0.000    0.000   46116   40.096    0.528
 4  7  7        0    0.000    0.000   46116   31.627    0.484
 4  7  8        0    0.000    0.000   46116   42.645    0.494
 4  8  7        0    0.000    0.000   46116   29.648    0.478
 4  8  8        0    0.000    0.000   46116   41.545    0.503
 4  9  7        0    0.000    0.000   46116   30.312    0.466
 4  9  8        0    0.000    0.000   46116   40.839    0.506
 4 10  7        0    0.000    0.000   46116   30.917    0.306
 4 10  8        0    0.000    0.000   46116   40.088    0.512
 4 11  7        0    0.000    0.000   46116   30.668    0.472
 4 11  8        0    0.000    0.000   46116   39.579    0.546
 4 12  7        0    0.000    0.000   46116   31.512    0.500
 4 12  8        0    0.000    0.000   46116   40.416    0.526
 4 13  7        0    0.000    0.000   46116   27.386    0.487
 4 13  8        0    0.000    0.000   46116   35.968    0.543
 4 14  7        0    0.000    0.000   46116   26.578    0.497
 4 14  8        0    0.000    0.000   46116   37.059    0.545
 4 15  7        0    0.000    0.000   46116   25.626    0.498
 4 15  8        0    0.000    0.000   46116   35.019    0.641
 4 16  7        0    0.000    0.000   46116   28.023    0.418
 4 16  8        0    0.000    0.000   46116   36.930    0.658
 4 17  7        0    0.000    0.000   46116   24.941    0.421
 4 17  8        0    0.000    0.000   46116   34.693    0.589
 4 18  7        0    0.000    0.000   46116   24.433    0.496
 4 18  8        0    0.000    0.000   46116   35.523    0.536
 4 19  7        0    0.000    0.000   46116   25.209    0.443
 4 19  8        0    0.000    0.000   46116   36.426    0.574
 4 20  7        0    0.000    0.000   46116   22.216    0.432
 4 20  8        0    0.000    0.000   46116   31.634    0.649
 4 21  7        0    0.000    0.000   46116   17.829    0.565
 4 21  8        0    0.000    0.000   46116   26.870    0.678
 4 22  7        0    0.000    0.000   46116   20.398    0.497
 4 22  8        0    0.000    0.000   46116   30.754    0.575
 4 23  7        0    0.000    0.000   46116   18.044    0.526
 4 23  8        0    0.000    0.000   46116   28.272    0.684
 4 24  7        0    0.000    0.000   46116   19.311    0.465
 4 24  8        0    0.000    0.000   46116   28.512    0.580
 5  1  7        0    0.000    0.000   46116   23.831    0.376
 5  1  8        0    0.000    0.000   46116   48.151    0.475
 5  2  7        0    0.000    0.000   46116   27.612    0.487
 5  2  8        0    0.000    0.000   46116   47.643    0.552
 5  3  7        0    0.000    0.000   46116   30.002    0.138
 5  3  8        0    0.000    0.000   46116   54.582    0.506
 5  4  7        0    0.000    0.000   46116   29.026    0.186
 5  4  8        0    0.000    0.000   46116   54.076    0.562
 5  5  7        0    0.000    0.000   46116   28.273    0.446
 5  5  8        0    0.000    0.000   46116   52.750    0.506
 5  6  7        0    0.000    0.000   46116   31.723    0.448
 5  6  8        0    0.000    0.000   46116   57.023    0.501
 5  7  7        0    0.000    0.000   46116   30.291    0.455
 5  7  8        0    0.000    0.000   46116   55.302    0.560
 5  8  7        0    0.000    0.000   46116   29.808    0.397
 5  8  8        0    0.000    0.000   46116   52.767    0.601
 5  9  7        0    0.000    0.000   46116   27.583    0.493
 5  9  8        0    0.000    0.000   46116   50.263    0.778
 5 10  7        0    0.000    0.000   46116   28.160    0.373
 5 10  8        0    0.000    0.000   46116   50.793    0.590
 5 11  7        0    0.000    0.000   46116   29.881    0.346
 5 11  8        0    0.000    0.000   46116   52.929    0.526
 5 12  7        0    0.000    0.000   46116   24.323    0.468
 5 12  8        0    0.000    0.000   46116   47.335    0.537
 5 13  7        0    0.000    0.000   46116   23.724    0.457
 5 13  8        0    0.000    0.000   46116   47.339    0.518
 5 14  7        0    0.000    0.000   46116   23.107    0.387
 5 14  8        0    0.000    0.000   46116   46.800    1.927
 5 15  7        0    0.000    0.000   46116   25.555    0.499
