Run | Tape | Buffers (save) | Events (save) | Faraday1 | Faraday2 | Length (min) | Size (MB) | Gene Direct | Gene Laser | Gene Elect | Gene Test | Gene MRQ | Gene TM | DEC | FC | OK | FT | AVL | OCD | OA | RAZ | Plastic (all) | Plastic (G) | Plastic (C) | Plastic (D) | Temps mort (%) | Trigger | Date (start) | Date (end) | Comments | Cahier | 
2 | 0 | 994 | 7231 | 0 | 0 | 1.4 | 15.5313 | 27808 | 0 | 0 | 0 | 0 | 9850 | 1690288 | 132085 | 132084 | 132084 | 132084 | 132084 | 132084 | 132084 | 0 | 0 | 0 | 0 | 35.4215 | M>=0 | 14-SEP-2005 09:18:27.00 | 14-SEP-2005 09:20:09.00 |  |  | 
3 | 0 | 592 | 4320 | 0 | 0 | 0.85 | 9.25 | 40670 | 0 | 0 | 0 | 0 | 14690 | 1714489 | 136410 | 136409 | 136409 | 136409 | 136409 | 136409 | 136409 | 0 | 0 | 0 | 0 | 36.12 | M>=0 | 14-SEP-2005 09:20:18.00 | 14-SEP-2005 09:21:13.00 |  |  | 
4 | 0 | 9640 | 1436749 | 0 | 0 | 5.06667 | 150.625 | 3542360 | 0 | 0 | 0 | 0 | 1264044 | 10177366 | 11819580 | 11819559 | 11819559 | 11819559 | 11819559 | 11819559 | 11819559 | 0 | 0 | 0 | 0 | 35.6837 | M>=0 | 14-SEP-2005 14:29:10.00 | 14-SEP-2005 14:34:12.00 |  |  | 
5 | 0 | 12702 | 1892761 | 0 | 0 | 5.73333 | 198.469 | 3607701 | 0 | 0 | 0 | 0 | 1289738 | 4425626 | 13712326 | 13712304 | 13712304 | 13712304 | 13712304 | 13712304 | 13712304 | 0 | 0 | 0 | 0 | 35.7496 | M>=0 | 14-SEP-2005 14:34:13.00 | 14-SEP-2005 14:40:05.00 |  |  | 
6 | 0 | 12708 | 1893797 | 0 | 0 | 5.83333 | 198.562 | 3674221 | 0 | 0 | 0 | 0 | 1316469 | 15645699 | 15606025 | 15605999 | 15605999 | 15605999 | 15605999 | 15605999 | 15605999 | 0 | 0 | 0 | 0 | 35.8299 | M>=0 | 14-SEP-2005 14:40:06.00 | 14-SEP-2005 14:46:01.00 |  |  | 
7 | 0 | 12704 | 1894006 | 0 | 0 | 5.83333 | 198.5 | 3740834 | 0 | 0 | 0 | 0 | 1343412 | 10107340 | 722940 | 722913 | 722913 | 722913 | 722913 | 722913 | 722913 | 0 | 0 | 0 | 0 | 35.9121 | M>=0 | 14-SEP-2005 14:46:03.00 | 14-SEP-2005 14:51:28.00 |  |  | 
8 | 0 | 12709 | 1894412 | 0 | 0 | 5.7 | 198.578 | 3805878 | 0 | 0 | 0 | 0 | 1368746 | 4298934 | 2617218 | 2617191 | 2617191 | 2617191 | 2617191 | 2617191 | 2617191 | 0 | 0 | 0 | 0 | 35.964 | M>=0 | 14-SEP-2005 14:51:29.00 | 14-SEP-2005 14:57:20.00 |  |  | 
9 | 0 | 11177 | 1666476 | 0 | 0 | 6.95 | 174.641 | 3884717 | 0 | 0 | 0 | 0 | 1412576 | 866029 | 4283817 | 4283790 | 4283790 | 4283790 | 4283790 | 4283790 | 4283790 | 0 | 0 | 0 | 0 | 36.3624 | M>=0 | 14-SEP-2005 14:57:21.00 | 14-SEP-2005 15:04:20.00 |  |  | 
10 | 0 | 12704 | 1846743 | 0 | 0 | 10.45 | 198.5 | 21982 | 0 | 0 | 0 | 0 | 3923 | 192426 | 155283 | 155283 | 155283 | 155283 | 155283 | 155283 | 155282 | 0 | 0 | 0 | 0 | 17.8464 | M>=0 | 14-SEP-2005 15:04:21.00 | 14-SEP-2005 15:15:04.00 |  |  | 
11 | 0 | 11657 | 1593090 | 0 | 0 | 19.7667 | 182.141 | 244525 | 0 | 0 | 0 | 0 | 44164 | 2185834 | 1748314 | 1748314 | 1748314 | 1748314 | 1748314 | 1748314 | 1748313 | 0 | 0 | 0 | 0 | 18.0611 | M>=0 | 14-SEP-2005 15:15:05.00 | 14-SEP-2005 15:34:28.00 |  |  | 
12 | 0 | 12702 | 1736478 | 0 | 0 | 21.3833 | 198.469 | 485537 | 0 | 0 | 0 | 0 | 87331 | 4352656 | 3484780 | 3484780 | 3484780 | 3484780 | 3484780 | 3484780 | 3484779 | 0 | 0 | 0 | 0 | 17.9865 | M>=0 | 14-SEP-2005 15:34:29.00 | 14-SEP-2005 15:56:11.00 |  |  | 
13 | 0 | 5201 | 710462 | 0 | 0 | 8.73333 | 81.2656 | 584307 | 0 | 0 | 0 | 0 | 105166 | 5241819 | 4195212 | 4195212 | 4195212 | 4195212 | 4195212 | 4195212 | 4195211 | 0 | 0 | 0 | 0 | 17.9984 | M>=0 | 14-SEP-2005 15:56:12.00 | 14-SEP-2005 16:05:04.00 |  |  | 
14 | 0 | 12702 | 1734015 | 0 | 0 | 21.35 | 198.469 | 824801 | 0 | 0 | 0 | 0 | 148356 | 7407404 | 5929301 | 5929301 | 5929301 | 5929301 | 5929301 | 5929301 | 5929300 | 0 | 0 | 0 | 0 | 17.9869 | M>=0 | 14-SEP-2005 16:05:05.00 | 14-SEP-2005 16:26:16.00 |  |  | 
15 | 0 | 5238 | 714933 | 0 | 0 | 8.8 | 81.8437 | 924203 | 0 | 0 | 0 | 0 | 166572 | 8312999 | 6644261 | 6644261 | 6644261 | 6644261 | 6644261 | 6644261 | 6644260 | 0 | 0 | 0 | 0 | 18.0233 | M>=0 | 14-SEP-2005 16:26:17.00 | 14-SEP-2005 16:35:11.00 |  |  | 
