######## Name of Calibrator
<NAME> Piedestal
######## List of runs where the following parameters
######## are valid. If it is 0 it means that the entire run range
######## of the dataset is concerned
######## You can define any run range number as you need
<RUNLIST> 2-68 70 90
######## Following columns
## Name of the Detector Signal FunctionDefinition:Parameters
<ITEM> CI_0201_GG pol0 24.1709
<ITEM> CI_0201_PG pol0 67.4674
<ITEM> CI_0203_GG pol0 26.4812
<ITEM> CI_0203_PG pol0 68.0162
<ITEM> CI_0205_GG pol0 19.3185
<ITEM> CI_0205_PG pol0 67.3505
<ITEM> CI_0207_GG pol0 32.2658
<ITEM> CI_0207_PG pol0 65.8397
<ITEM> CI_0209_GG pol0 19.8647
<ITEM> CI_0209_PG pol0 66.6633
<ITEM> CI_0211_GG pol0 19.5598
<ITEM> CI_0211_PG pol0 67.7656
<ITEM> CI_0213_GG pol0 28.8571
<ITEM> CI_0213_PG pol0 67.0565
<ITEM> CI_0215_GG pol0 16.8449
<ITEM> CI_0215_PG pol0 67.8507
<ITEM> CI_0217_GG pol0 45.2536
<ITEM> CI_0217_PG pol0 66.4187
<ITEM> CI_0219_GG pol0 44.3488
<ITEM> CI_0219_PG pol0 67.4591
<ITEM> CI_0221_GG pol0 40.1493
<ITEM> CI_0221_PG pol0 66.895
<ITEM> CI_0223_GG pol0 46.9084
<ITEM> CI_0223_PG pol0 65.1714
<ITEM> CI_0401_GG pol0 39.2622
<ITEM> CI_0401_PG pol0 67.1918
<ITEM> CI_0403_GG pol0 36.103
<ITEM> CI_0403_PG pol0 64.3607
<ITEM> CI_0405_GG pol0 37.6024
<ITEM> CI_0405_PG pol0 64.6265
<ITEM> CI_0407_GG pol0 33.4576
<ITEM> CI_0407_PG pol0 65.4653
<ITEM> CI_0409_GG pol0 58.3471
<ITEM> CI_0409_PG pol0 68.0676
<ITEM> CI_0411_GG pol0 55.6007
<ITEM> CI_0411_PG pol0 66.8999
<ITEM> CI_0413_GG pol0 55.4392
<ITEM> CI_0413_PG pol0 66.5257
<ITEM> CI_0415_GG pol0 53.8943
<ITEM> CI_0415_PG pol0 68.3048
<ITEM> CI_0417_GG pol0 55.481
<ITEM> CI_0417_PG pol0 66.5054
<ITEM> CI_0419_GG pol0 53.5026
<ITEM> CI_0419_PG pol0 63.4926
<ITEM> CI_0421_GG pol0 53.7629
<ITEM> CI_0421_PG pol0 64.7383
<ITEM> CI_0423_GG pol0 43.4341
<ITEM> CI_0423_PG pol0 64.4736
<ITEM> CI_0601_GG pol0 48.3442
<ITEM> CI_0601_PG pol0 65.3986
<ITEM> CI_0603_GG pol0 69.928
<ITEM> CI_0603_PG pol0 65.6112
<ITEM> CI_0605_GG pol0 60.6632
<ITEM> CI_0605_PG pol0 64.9385
<ITEM> CI_0607_GG pol0 64.3146
<ITEM> CI_0607_PG pol0 65.3868
<ITEM> CI_0609_GG pol0 61.6482
<ITEM> CI_0609_PG pol0 67.2312
<ITEM> CI_0611_GG pol0 66.7706
<ITEM> CI_0611_PG pol0 67.4139
<ITEM> CI_0613_GG pol0 54.8475
<ITEM> CI_0613_PG pol0 65.0023
<ITEM> CI_0615_GG pol0 53.7351
<ITEM> CI_0615_PG pol0 63.8646
<ITEM> CI_0617_GG pol0 105.926
<ITEM> CI_0617_PG pol0 94.9601
<ITEM> CI_0619_GG pol0 105.965
<ITEM> CI_0619_PG pol0 93.7086
<ITEM> CI_0621_GG pol0 100.594
<ITEM> CI_0621_PG pol0 93.8754
<ITEM> CI_0623_GG pol0 105.715
<ITEM> CI_0623_PG pol0 96.409
<ITEM> CI_0801_GG pol0 106.012
<ITEM> CI_0801_PG pol0 95.6565
<ITEM> CI_0803_GG pol0 110.09
<ITEM> CI_0803_PG pol0 95.597
<ITEM> CI_0805_GG pol0 121.213
<ITEM> CI_0805_PG pol0 95.7876
<ITEM> CI_0807_GG pol0 112.7
<ITEM> CI_0807_PG pol0 93.3665
<ITEM> CI_0809_GG pol0 115.295
<ITEM> CI_0809_PG pol0 94.2415
<ITEM> CI_0811_GG pol0 107.981
<ITEM> CI_0811_PG pol0 93.8342
<ITEM> CI_0813_GG pol0 118.37
<ITEM> CI_0813_PG pol0 93.1209
<ITEM> CI_0815_GG pol0 104.306
<ITEM> CI_0815_PG pol0 95.4036
<ITEM> CI_0817_GG pol0 99.0252
