SILI_10  2.907  0.06853  
SI75_10  2.452  0.06828  
SILI_11  3.721  0.06899  
SI75_11  2.586  0.06936  
SILI_12  32.7   0.06953  
SI75_12  1.417  0.06886  
SILI_13  3.168  0.06918  
SI75_13  2.728  0.06832  
SILI_14  3.471  0.06916  
SI75_14  2.845  0.06848  
SILI_15  4.099  0.06830  
SI75_15  2.87   0.06842  
SILI_16  4.46   0.06927  
SI75_16  170.4  0.07123  
SILI_17  3.735  0.06824  
SI75_17  2.583  0.06901  
CI_0401  -3.60812  0.0664859  0
CI_0402  -3.52029  0.0664627  0
CI_0403  -4.92186  0.0677239  0
CI_0404  -1.95087  0.0662693  0
CI_0405  -3.95574  0.0674205  0
CI_0406  -4.0889  0.0674306  0
CI_0407  -3.98902  0.0670417  0
CI_0408  -3.90731  0.0669525  0
CI_0409  -5.31985  0.0673944  0
CI_0410  -5.62387  0.0671191  0
CI_0411  -4.25935  0.0663019  0
CI_0412  -5.69999  0.066694  0
CI_0413  -6.30133  0.0685415  0
CI_0414  -4.80604  0.0673889  0
CI_0415  -5.45892  0.066816  0
CI_0416  -6.28556  0.0660104  0
CI_0419  -4.09179  0.066236  0
CI_0420  -4.976  0.0663916  0
CI_0421  -4.34974  0.066801  0
CI_0422  -3.71421  0.0664019  0
CI_0423  -1.86092  0.0663913  0
CI_0424  -5.12797  0.0679463  0
CI_0501  -4.05197  0.0667225  0
CI_0502  -4.11192  0.066802  0
CI_0503  -3.5484  0.067065  0
CI_0504  -3.87597  0.0670314  0
CI_0505  -3.69488  0.0673303  0
CI_0506  -4.6122  0.0676271  0
CI_0507  -3.80245  0.0668426  0
CI_0508  -3.88599  0.0670517  0
CI_0509  -6.25574  0.0677103  0
CI_0510  -5.83952  0.0676999  0
CI_0511  -4.77359  0.0664629  0
CI_0512  -4.8384  0.0664372  0
CI_0513  -4.11543  0.0677634  0
CI_0514  -5.83611  0.0678353  0
CI_0515  -3.64201  0.0649981  0
CI_0516  -4.81143  0.0656841  0
CI_0519  -4.32055  0.0663103  0
CI_0520  -4.0247  0.0660678  0
CI_0521  -3.45288  0.0664888  0
CI_0522  -3.96344  0.0667575  0
CI_0523  -3.4437  0.0671867  0
CI_0524  -2.78325  0.0668099  0
CI_0601  -2.55437  0.0668388  0
CI_0602  -2.10071  0.0669188  0
CI_0603  -5.19383  0.0669185  0
CI_0604  -5.16992  0.0669036  0
CI_0605  -5.04576  0.0665496  0
CI_0606  -5.16614  0.0666582  0
CI_0607  -4.83348  0.0662929  0
CI_0608  -4.50604  0.0661656  0
CI_0609  -5.17531  0.0662349  0
CI_0610  -4.54071  0.0661082  0
CI_0611  -6.28337  0.0674437  0
CI_0612  -5.0071  0.0672045  0
CI_0613  -2.36292  0.0667249  0
CI_0614  -5.66975  0.0678882  0
CI_0615  -3.79334  0.0669421  0
CI_0616  -3.96891  0.0671708  0
CI_0617  -6.23086  0.0663805  0
CI_0618  -8.54893  0.0669451  0
CI_0619  -5.94822  0.0662499  0
CI_0620  -6.17935  0.0661708  0
CI_0621  -5.97823  0.0647395  0
CI_0622  -3.90504  0.0642269  0
CI_0623  -5.87789  0.0660001  0
CI_0624  -6.12527  0.0661629  0
CI_0701  -1.7195  0.0666952  0
CI_0702  -3.61292  0.0671507  0
CI_0703  -5.2003  0.0669184  0
CI_0704  -5.17974  0.0669086  0
CI_0705  -5.68338  0.066892  0
CI_0706  -4.11444  0.0663672  0
CI_0707  -6.79633  0.066891  0
CI_0708  -3.63016  0.0654977  0
CI_0709  -4.00778  0.0659508  0
CI_0710  -5.15733  0.0664882  0
CI_0711  -5.0544  0.067416  0
CI_0712  -3.3602  0.0664994  0
CI_0713  -3.44147  0.0672934  0
CI_0714  -5.22385  0.067882  0
CI_0715  -4.02434  0.0671856  0
CI_0716  -3.26333  0.0667808  0
CI_0717  -6.44483  0.0660344  0
CI_0718  -6.45058  0.0665823  0
CI_0719  -5.93808  0.0662889  0
CI_0720  -6.31116  0.0657538  0
CI_0721  -5.9281  0.0649288  0
CI_0722  -6.43532  0.0651434  0
CI_0723  -6.00913  0.0664925  0
CI_0724  -9.20029  0.0669988  0
CI_0801  -4.74044  0.0651664  0
CI_0802  -5.33934  0.0649639  0
CI_0803  -5.71673  0.0664511  0
CI_0804  -5.85223  0.0663469  0
CI_0805  -6.68069  0.0657094  0
CI_0806  -7.05788  0.0656863  0
CI_0807  -6.16947  0.0658656  0
CI_0808  -6.49642  0.0656128  0
CI_0809  -3.9477  0.0653088  0
CI_0810  -9.80155  0.0676592  0
CI_0811  -4.78562  0.0649695  0
CI_0812  -7.16413  0.0660965  0
CI_0813  -7.68144  0.0672339  0
CI_0814  -4.46422  0.0664168  0
CI_0815  -5.19741  0.0655295  0
CI_0816  -4.84696  0.0654267  0
CI_0817  -4.17166  0.0646929  0
CI_0818  -4.65205  0.0649416  0
CI_0819  -8.54861  0.0661286  0
CI_0820  -4.69705  0.0648391  0
CI_0821  -3.69382  0.0655299  0
CI_0822  -3.7232  0.0654201  0
CI_0823  -4.28615  0.0673157  0
CI_0824  -5.97606  0.0679988  0
CI_0901  -5.72751  0.0656699  0
CI_0902  1.65648  0.0627546  0
CI_0903  -5.36125  0.0662997  0
CI_0904  -5.63439  0.0664655  0
CI_0905  -6.7752  0.0656445  0
CI_0906  -7.10073  0.0655149  0
CI_0907  -5.44937  0.0652017  0
CI_0908  -4.42497  0.0648889  0
CI_0909  -5.28853  0.0663675  0
CI_0910  -6.49561  0.0667268  0
CI_0911  -3.49415  0.0648881  0
CI_0912  -4.38571  0.0649886  0
CI_0913  -4.91317  0.0665542  0
CI_0914  -2.25749  0.065392  0
CI_0915  -5.18266  0.0656814  0
CI_0916  -5.60428  0.0659381  0
CI_0917  -4.43941  0.0648112  0
CI_0918  -5.68076  0.0652105  0
CI_0919  -5.78266  0.0651339  0
CI_0920  -7.92306  0.0661336  0
CI_0921  -3.4923  0.0651198  0
CI_0922  -3.80197  0.0657321  0
CI_0923  -7.92366  0.0682229  0
CI_0924  -3.59129  0.0672201  0
CI_1001  -5.8498  0.0655241  0
CI_1002  -6.13826  0.0652069  0
CI_1003  -5.10013  0.0646267  0
CI_1004  -5.29282  0.0649621  0
CI_1005  -6.51691  0.0653709  0
CI_1006  -6.39039  0.0651457  0
CI_1007  -5.35251  0.0658852  0
CI_1008  -5.53908  0.0664468  0
CI_1009  -5.26337  0.0650514  0
CI_1010  -5.67246  0.0655043  0
CI_1011  -4.84282  0.065881  0
CI_1012  -4.92175  0.0653446  0
CI_1013  -1.80255  0.0647319  0
CI_1014  -5.76167  0.065347  0
CI_1015  -4.98337  0.065645  0
CI_1016  -5.62871  0.0659728  0
CI_1017  -7.28854  0.066621  0
CI_1018  -5.20065  0.0657302  0
CI_1019  -4.14983  0.0660002  0
CI_1020  -3.87412  0.0658796  0
CI_1021  -5.16393  0.0655446  0
CI_1022  -4.77997  0.0656464  0
CI_1023  -5.4748  0.0657703  0
CI_1024  -5.79425  0.0660666  0
CI_1101  -3.36853  0.064709  0
CI_1102  -6.1919  0.0655331  0
CI_1103  -5.37902  0.0648012  0
CI_1104  -5.33226  0.0653175  0
CI_1105  -6.22553  0.0647541  0
CI_1106  -6.41911  0.0649376  0
CI_1107  -6.62724  0.0666081  0
