#######################################################################################
#Attribution de la valeur Brho_tag.
#Cette valeur permet d'indiquer si l'événement se situe dans la région de recouvrement
#en Brho.
#La valeur 1 ou 0 est associée à l'événement, selon si ce dernier se situe ou non
#à l'intérieur de la région de recouvrement.
#######################################################################################

#Brho0	run1	run2	Brho_min	Brho_max

#48+40
1.962	327	331	1.934940	2.105840	
2.120	332	332	2.105840	2.500000
1.8051	333	338	1.703420	1.934940
1.660	339	343	1.565410	1.703420
1.523	344	347	1.436900	1.565410
1.405	348	350	1.325960	1.436900
1.293	353	354	1.292990	1.325960
1.1894	355	356	1.115710	1.292990
1.094	357	357	1.028860	1.115710
1.008	358	358	0.947844	1.028860
0.927	359	359	0.869739	0.947844
0.853	360	360	0.800961	0.869739

#48+48
1.962	379	382	1.958890	2.123960
2.120	383	383	2.123960	2.500000
1.805	384	389	1.793850	1.958890
1.661	390	397	1.568380	1.793850
1.523	398	402	1.439830	1.568380
1.405	403	406	1.328690	1.439830
1.293	407	409	1.220210	1.328690
1.190	410	416	1.121980	1.220210
1.092	417	418	1.025460	1.121980
1.004	419	419	0.944575	1.025460
0.849	420	420	0.797291	0.915220
0.849	423	423	0.797291	0.915220
0.923	421	422	0.915220	0.944575
0.782	424     424	0.735000	0.797291

#40+48	
1.656	455	465	1.55099		1.69193
1.800	466	474	1.69193		2.50000
1.523	475	483	1.42496		1.55099
1.401	484	489	1.31395		1.42496
1.289	490	492	1.20875		1.31395
1.186	493	495	1.112990	1.20875
1.091	496	500	1.022900	1.112990
1.004	501	501	0.941928	1.022900
0.923	502	504	0.863624	0.941928
0.849	505	506	0.794602	0.863624
0.782	507	508	0.728687	0.794602
0.719	509	509	0.674679	0.728687
	
#40+40
0.719  511     513     0.674681        0.734386
0.661  514     514     0.620298        0.674681
0.782  515     516     0.734386        0.866662
#0.849	517     517	
0.923  518     519     0.866662        0.944374
1.004  520     520     0.944374        1.025390
1.091  521     522     1.025930        1.121130        
1.186  523     524     1.121130        1.211410
1.289  525     527     1.211410        1.316090
1.401  528     530     1.313090        1.433860
1.523  531     536     1.433860        1.556850
1.656  537     542     1.556850        1.796460
#1.800  543     547     1.796460        
#1.957	548     548
#2.120	549     549
#2.220	550     550


