###################################################################
#$Id: CalibMeVVoltChIoSi.dat,v 1.0 15/05/2012 Paola
#
#e503 Campaign MeV/Volt conversion for Silicon and ChIo detectors.
#Updated on 15/05/2012 First version of the calibration file for this campaign
#Only Si (no SILI) detectors values refer to e503. All the other values
#are those of the 5th campaign.
#
#Calibration performed on alpha source runs 216-233 with mV/ch file Automate_r617_HG-LGlin.dat
#The 3 peaks of the source + the 2 peaks of the Cf source were considered
#(it turned out to give the best agreement between the proton energy loss measured in 
#Brho runs (624-627, 628, protons on C, on Au and from 1st excited 12C state in p+C, Bho=0.67)
#and the calculated one. Also, for ring 4, good agreement with the elastic peaks
#detected in runs 624-627 was obtained with this calibration.
#
#Note that the chi2 for the fit is so huge because as uncertainty on the alpha peak position
#we used sigma/sqrt(stat). When considering sigma, the normalized chi2 is around 1,
#but the fit is not well constrained.
#Uncertainty on the parameters available in /home/marini/e503/CalibFiles15052012/mVMeV_HGLGlin_ped617_5peaks_newErr.dat
#
#I don't delete what written below until the file is completely updated for the e503 . PM 15/05/12
#
#Updated by A. Chbihi, 24/03/2010 : Add in this file the parameters for SI75 and SILI
#For Silicon detectors:
#  calibration performed using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#  for rings 2-5, the changes of amplifier gain (1 <-> sqrt(2)) are taken into
#  account by KVChannelVolt::Compute. There is no need for a separate
#  calibration.
#  Silicon calibrations not included in this lot were added by Marian Parlog
#  from a variety of sources:
#Le classement des datecteurs dans les differents groupes est base sur  
#la valeur du b(Z=54) (124_Xe a 6.93 AMeV) et sur la calibration fournie 
#(le plus souvent) par les runs brho - voir le fichier: 
#CalibMeVVoltChIoSi.dat (E[MeV] = a0 + a1*V[Volts]) - Josiane et Abdou.
#Pour quelques modules, cette calibration en manque; si une autre calibration
#- faite a partir de la source Thoron - est disponible:
#alpha_sg_gg_gain1_cou1_9.dat (Marian) elle est provisoirement proposee. 
#En plus, CalibBrhoSilicon_Gain1.dat (Abdou) pour le module SI_0108 
#et VoltAlpha5_si_gain1.dat (Alexis) pour le module SI_0824 sont 
#pour l'instant proposee. 
# The detectors concerned by these calibrations are:
#SI_0102 - alpha_sg_gg_gain1: E[MeV] = 0.439652+444.446533*V[Volts]
#SI_0103 - alpha_sg_gg_gain1: E[MeV] = 0.146313+468.575958*V[Volts]
#SI_0104 - alpha_sg_gg_gain1: E[MeV] = 0.060952+493.343689*V[Volts]
#SI_0105 - alpha_sg_gg_gain1: E[MeV] = -0.056858+499.392487*V[Volts]
#SI_0106 - alpha_sg_gg_gain1: E[MeV] = -0.078933+482.469513*V[Volts]
#SI_0107 - alpha_sg_gg_gain1: E[MeV] = -0.016464+476.301697*V[Volts]
#SI_0108 - CalibBrhoSilicon_Gain1.dat: E[MeV] = 8.34141+477.7 *V[Volts]
#SI_0109 - alpha_sg_gg_gain1: E[MeV] = -0.439223+493.898834*V[Volts]
#SI_0110 - alpha_sg_gg_gain1: E[MeV] = -0.040180+470.531982*V[Volts]
#SI_0111 - alpha_sg_gg_gain1: E[MeV] = -0.167290+475.975647*V[Volts]
#SI_0112 - alpha_sg_gg_gain1: E[MeV] = -0.107299+475.305695*V[Volts]
#SI_0221 - 150 microns - alpha_sg_gg_gain1: E[MeV] = 0.209785 + 431.040100*V[Volts] 	
#SI_0321 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.099379+440.717926  *V[Volts]
#SI_0322 - 150 microns - alpha_sg_gg_gain1: E[MeV] =0.208162+436.270111 *V[Volts]  
#SI_0824 - 150 microns - VoltAlpha5_si_gain1: E[MeV] = 0. + 468.718*V[Volts]
#
#29/1/2008: SI_0101
#For SI_0101, we take the same calibration as for SI_0102.
#There is no calibration canal-volt for 0101 because the pulser did not
#fire the electronics of this detector. However, in a previous canal-energy
#calibration, 0101 & 0102 had very similar coeffs, so we assume the
#same calib as for 0102.  -------------------------------    JDF. AC.
#
#29/1/2008: SI_0315 & SI_0316
#For SI_0315 we take the same calibration as SI_0314
#For Si_0316 we take the same calibration as SI_0317
#Because, in a previous canal-energy calibration, these detectors
#had very similar coefficients.  -------------------------------    JDF. AC.
#
#For ChIo detectors:
#  2 calibrations performed, for the two different stocks of gas.
#  Runs 6000-6979 : calibration using alpha source (r.6759) and Xe+Au 7AMeV
#  elastic scattering (r.6006)
#  runs 6980-8842 : calibration using Brho elastic scattering points for light particles
#  and fragments (Z<=6--7)
#
#In all cases, E[MeV] = a0 + a1*V[Volts]. The format of the file is:
#  Det_Name     a0      a1      chi-square
#chi-square given is for the linear fit to E vs. V.
Run Range : 1 600

SI_0401	0	479.9754252582	197342
SI_0402	0	476.9763515125	252967
SI_0403	0	494.8045522019	624034
SI_0404	0	491.9782939177	738363
SI_0405	0	480.7461179751	231022
SI_0406	0	495.6310126237	141326
SI_0407	0	491.1687852414	340369
SI_0408	0	487.0612187246	332020
SI_0409	0	484.4937766774	517824
SI_0410	0	0		0
SI_0411	0	484.2028810071	503428
SI_0412	0	484.9096128482	454602
SI_0413	0	483.3626573345	304935
SI_0414	0	486.9568604917	425912
SI_0415	0	477.9931933769	394966
SI_0416	0	481.5053784151	211365
SI_0417	0	0		0
SI_0418	0	0		0
SI_0419	0	484.3389016162	425463
SI_0420	0	482.4648162533	466142
SI_0421	0	482.651105995	475956
SI_0422	0	470.9494812491	505069
SI_0423	0	0		0
SI_0424	0	481.035187724	505522
SI_0501	0	475.784926182	410329
SI_0502	0	474.6647680076	491664
SI_0503	0	0		0
SI_0504	0	490.2393348433	434353
SI_0505	0	486.599061837	394935
SI_0506	0	484.625263515	351541
SI_0507	0	481.9486146387	407684
SI_0508	0	485.9865770507	494034
SI_0509	0	468.9837590924	538739
SI_0510	0	477.7990663806	291357
SI_0511	0	487.3484346368	619956
SI_0512	0	0		0
SI_0513	0	0		0
SI_0514	0	481.1323932006	398441
SI_0515	0	476.4241508931	366697
SI_0516	0	490.9855061079	415056
SI_0517	0	0		0
SI_0518	0	0		0
SI_0519	0	484.8978562666	633781
SI_0520	0	486.632213106	486365
SI_0521	0	482.3112354402	623443
SI_0522	0	479.6301092597	514748
SI_0523	0	479.5841046644	605232
SI_0524	0	480.6352074902	643458
SI_0601	0	223.383319074	298237
SI_0602	0	224.0730657453	516167
SI_0603	0	221.9371562748	240035
SI_0604	0	222.3556356036	282243
SI_0605	0	221.258518453	397564
SI_0606	0	222.4446668891	326325
SI_0607	0	223.6180960708	504516
SI_0608	0	223.327444933	259895
SI_0609	0	223.2935349823	249945
SI_0610	0	224.038427071	230945
SI_0611	0	222.0791045771	245880
SI_0612	0	223.3069979947	325854
SI_0613	0	225.8794616841	287986
SI_0614	0	223.9491187602	311511
SI_0615	0	226.1517342446	286413
SI_0616	0	225.4506759011	260418
SI_0617	0	224.9840261341	1.05131e+06
SI_0618	0	221.7565335019	64187.6
SI_0619	0	219.9373178644	227851
SI_0620	0	219.4026543333	257787
SI_0621	0	219.2170007168	244788
SI_0622	0	218.5314685315	343600
SI_0623	0	215.7636956006	303367
SI_0624	0	217.345000413	144644
SI_0701	0	223.5451125214	1.35957e+06
SI_0702	0	225.8401819369	2.56333e+06
SI_0703	0	223.9947674822	1.98103e+06
SI_0704	0	223.2586384349	2.45819e+06
SI_0705	0	221.4451956358	2.26067e+06
SI_0706	0	223.7827338194	2.57804e+06
SI_0707	0	224.493598565	1.59945e+06
SI_0708	0	226.6165692971	1.62356e+06
SI_0709	0	226.0934444206	2.61407e+06
SI_0710	0	229.2373959549	1.78454e+06
SI_0711	0	226.6484139144	2.00278e+06
SI_0712	0	227.9857007369	1.71282e+06
SI_0713	0	226.6694773682	1.99674e+06
SI_0714	0	228.7340257875	1.9991e+06
SI_0715	0	227.249485848	1.63462e+06
SI_0716	0	229.019521624	1.62332e+06
SI_0717	0	224.4542954941	1.36069e+06
SI_0718	0	225.7331247559	1.0244e+06
SI_0719	0	221.6483991444	1.14936e+06
SI_0720	0	224.9440451688	945994
SI_0721	0	221.6729658734	1.21642e+06
SI_0722	0	222.7766886473	1.38871e+06
SI_0723	0	217.7690863716	4.53647e+07
SI_0724	0	221.5894612052	1.44913e+06
SI_0801	0	468.9859585604	8.3984e+06
SI_0802	0	473.8752570773	7.34583e+06
SI_0803	0	462.6630887388	1.16705e+07
SI_0804	0	469.5541114158	1.09756e+07
SI_0805	0	466.7357435567	1.15452e+07
SI_0806	0	468.0880941793	8.19454e+06
SI_0807	0	0		1.86327e-08
SI_0808	0	486.4570361146	6.38229e+06
SI_0809	0	520.4321668714	7.0344e+06
SI_0810	0	531.6236317337	1.09957e+07
SI_0811	0	518.6264696578	5.40222e+06
SI_0812	0	525.356322926	9.69946e+06
SI_0813	0	526.6317685348	1.25233e+07
SI_0814	0	527.6877776957	6.15144e+06
SI_0815	0	535.0512044003	9.3225e+06
SI_0816	0	541.0669840926	5.54671e+06
SI_0817	0	509.8529074362	8.69791e+06
SI_0818	0	510.8321967317	1.13204e+07
SI_0819	0	513.6951116773	4.12125e+06
SI_0820	0	516.4355617528	6.42951e+06
SI_0821	0	504.5408678103	4.96119e+06
SI_0822	0	520.2859491577	6.80963e+06
