########################################################
#Z	A	Q	Brho0	Run1	Run2	Brhomin	Brhomax
########################################################
5	6	3	1.800	543	547	1.65600	1.71600
5	6	3	1.656	537	542	1.59600	1.65600
5	6	3	1.523	531	536	1.42800	1.59600
5	6	3	1.186	523	524	1.15200	1.28400
5	6	4	1.523	531	536	1.53600	1.54800
5	7	3	1.523	531	536	1.42800	1.44000
5	7	3	1.186	523	524	1.20000	1.29600
5	7	4	1.656	537	542	1.48800	1.84800
5	7	4	1.523	531	536	1.44000	1.48800
5	7	4	1.401	528	530	1.29600	1.44000
5	7	4	1.289	525	527	1.18800	1.29600
5	7	4	1.186	523	524	1.15200	1.18800
5	7	5	1.289	525	527	1.27200	1.28400
5	8	4	1.800	543	547	1.81200	1.78800
5	8	4	1.656	537	542	1.58400	1.81200
5	8	4	1.523	531	536	1.44000	1.58400
5	8	4	1.401	528	530	1.33200	1.44000
5	8	4	1.289	525	527	1.32000	1.33200
5	8	4	1.186	523	524	1.16400	1.32000
5	8	4	0.849	517	517	0.744000	0.852000
5	8	4	0.782	515	516	0.741000	0.756000
5	8	4	0.719	511	513	0.735000	0.753000
5	8	5	1.656	537	542	1.51200	1.68000
5	8	5	1.523	531	536	1.48800	1.51200
5	8	5	1.401	528	530	1.33200	1.48800
5	8	5	1.289	525	527	1.18800	1.33200
5	8	5	1.186	523	524	1.16400	1.18800
5	8	5	0.923	518	519	0.888000	0.960000
5	8	5	0.782	515	516	0.741000	0.756000
5	8	5	0.719	511	513	0.723000	0.753000
5	8	5	0.661	514	514	0.621000	0.735000
5	9	4	1.800	543	547	1.65600	1.90800
5	9	4	1.656	537	542	1.56000	1.65600
5	9	4	1.523	531	536	1.41600	1.56000
5	9	4	1.401	528	530	1.22400	1.41600
5	9	4	1.289	525	527	1.32000	1.22400
5	9	4	1.186	523	524	1.17600	1.32000
5	9	4	0.849	517	517	0.816000	0.852000
5	9	5	1.656	537	542	1.54800	1.77600
5	9	5	1.523	531	536	1.45200	1.54800
5	9	5	1.401	528	530	1.35600	1.45200
5	9	5	1.289	525	527	1.20000	1.35600
5	9	5	1.186	523	524	1.16400	1.20000
5	9	5	0.923	518	519	0.924000	0.984000
5	9	5	0.849	517	517	0.804000	0.936000
5	9	5	0.719	511	513	0.705000	0.744000
5	9	5	0.661	514	514	0.687000	0.717000
5	10	5	1.800	543	547	1.74000	1.93200
5	10	5	1.656	537	542	1.62000	1.74000
5	10	5	1.523	531	536	1.51200	1.62000
5	10	5	1.401	528	530	1.40400	1.51200
5	10	5	1.289	525	527	1.26000	1.40400
5	10	5	1.186	523	524	1.04400	1.26000
5	10	5	1.091	521	522	0.972000	1.04400
5	10	5	1.004	520	520	1.02000	0.972000
5	10	5	0.923	518	519	0.960000	1.02000
5	10	5	0.849	517	517	0.741000	0.972000
5	10	5	0.782	515	516	0.744000	0.753000
5	10	5	0.719	511	513	0.744000	0.756000
5	10	5	0.661	514	514	0.732000	0.756000
5	11	5	1.800	543	547	1.76400	1.99200
5	11	5	1.656	537	542	1.62000	1.76400
5	11	5	1.523	531	536	1.50000	1.62000
5	11	5	1.401	528	530	1.38000	1.50000
5	11	5	1.289	525	527	1.24800	1.38000
5	11	5	1.186	523	524	1.05600	1.24800
5	11	5	1.091	521	522	1.03200	1.05600
5	11	5	1.004	520	520	1.00800	1.03200
5	11	5	0.923	518	519	0.960000	1.00800
5	11	5	0.849	517	517	0.816000	0.972000
5	12	5	1.800	543	547	1.77600	1.93200
5	12	5	1.656	537	542	1.62000	1.77600
5	12	5	1.523	531	536	1.50000	1.62000
5	12	5	1.401	528	530	1.36800	1.50000
5	12	5	1.289	525	527	1.29600	1.36800
5	12	5	1.091	521	522	1.05600	1.14000
5	12	5	1.004	520	520	1.04400	1.05600
5	12	5	0.849	517	517	0.888000	0.984000
5	13	5	1.800	543	547	1.92000	1.93200
5	13	5	1.401	528	530	1.48800	1.50000
6	8	4	1.800	543	547	1.75200	1.90800
6	8	4	1.656	537	542	1.56000	1.75200
6	8	4	1.523	531	536	1.42800	1.56000
6	8	4	1.401	528	530	1.32000	1.42800
6	8	4	1.289	525	527	1.26000	1.32000
6	8	4	1.186	523	524	1.16400	1.26000
6	8	5	1.523	531	536	1.47600	1.50000
6	8	5	1.401	528	530	1.28400	1.47600
6	8	5	1.289	525	527	1.18800	1.28400
6	8	5	1.186	523	524	1.08000	1.18800
6	8	5	1.091	521	522	0.996000	1.08000
6	8	5	1.004	520	520	1.00800	0.996000
6	8	5	0.923	518	519	0.828000	1.00800
6	8	5	0.849	517	517	0.816000	0.840000
6	8	5	0.719	511	513	0.678000	0.729000
6	8	5	0.661	514	514	0.624000	0.690000
6	9	4	1.800	543	547	1.69200	1.95600
6	9	4	1.656	537	542	1.60800	1.69200
6	9	4	1.523	531	536	1.45200	1.60800
6	9	4	1.401	528	530	1.24800	1.45200
6	9	4	1.289	525	527	1.32000	1.24800
6	9	4	1.186	523	524	1.30800	1.32000
6	9	4	0.849	517	517	0.828000	0.840000
6	9	5	1.656	537	542	1.59600	1.77600
6	9	5	1.523	531	536	1.54800	1.59600
6	9	5	1.401	528	530	1.33200	1.54800
6	9	5	1.289	525	527	1.20000	1.33200
6	9	5	1.186	523	524	1.08000	1.20000
6	9	5	1.091	521	522	1.06800	1.08000
6	9	5	1.004	520	520	1.06800	1.06800
6	9	5	0.923	518	519	0.936000	1.06800
6	9	5	0.849	517	517	0.744000	0.948000
6	9	5	0.782	515	516	0.744000	0.756000
6	9	5	0.719	511	513	0.741000	0.756000
6	9	5	0.661	514	514	0.681000	0.753000
6	9	6	1.186	523	524	1.11600	1.12800
6	9	6	0.923	518	519	0.864000	0.912000
6	9	6	0.719	511	513	0.741000	0.753000
6	10	4	1.523	531	536	1.42800	1.44000
6	10	5	1.800	543	547	1.77600	1.94400
6	10	5	1.656	537	542	1.56000	1.77600
6	10	5	1.523	531	536	1.45200	1.56000
6	10	5	1.401	528	530	1.32000	1.45200
6	10	5	1.289	525	527	1.22400	1.32000
6	10	5	1.186	523	524	1.17600	1.22400
6	10	5	1.091	521	522	1.11600	1.17600
6	10	5	1.004	520	520	1.05600	1.11600
6	10	5	0.923	518	519	0.936000	1.05600
6	10	5	0.849	517	517	0.744000	0.948000
6	10	5	0.782	515	516	0.744000	0.756000
6	10	5	0.719	511	513	0.744000	0.756000
6	10	5	0.661	514	514	0.723000	0.756000
6	10	6	1.401	528	530	1.45200	1.53600
6	10	6	1.289	525	527	1.26000	1.45200
6	10	6	1.186	523	524	1.11600	1.26000
6	10	6	0.923	518	519	0.912000	0.996000
6	10	6	0.849	517	517	0.741000	0.924000
6	10	6	0.782	515	516	0.744000	0.753000
6	10	6	0.719	511	513	0.708000	0.756000
6	10	6	0.661	514	514	0.630000	0.720000
6	11	5	1.800	543	547	1.88400	1.98000
6	11	5	1.656	537	542	1.56000	1.88400
6	11	5	1.523	531	536	1.42800	1.56000
6	11	5	1.401	528	530	1.32000	1.42800
