################################################################
# Calcule la statistique totale pour chaque Brho nominal.
# Calculate the total statistic for each nominal Brho.
################################################################
#Liste des Brho utilisés avec RunNumber 	4048:
#Brho		run1	run2		Stat_Indra
1.656		455	465		1.27556814000000000e+08
1.800		466	474		1.34282091000000000e+08
1.523		475	483		1.52049199000000000e+08
1.401		484	489		1.38951363000000000e+08
1.289		490	492		1.11035492000000000e+08
1.186		493	495		1.32480402000000000e+08
1.091		496	500		1.93206935000000000e+08
1.004		501	501		1.10605115000000000e+08
0.923		502	504		1.03120757000000000e+08
0.849		505	506		1.14160462000000000e+08
0.782		507	508		9.15502310000000000e+07
0.719		509	509		9.73364910000000000e+07

#Liste des Brho utilisés avec RunNumber 	4840:
1.962		327	331		2.30624074000000000e+08		
2.120		332	332		7.16188220000000000e+07
1.8051		333	338		1.81271434000000000e+08
1.660		339	343		1.22007409000000000e+08
1.523		344	347		1.33122955000000000e+08
1.405		348	350		1.26959055000000000e+08
1.293		353	354		1.07853570000000000e+08
1.1894		355	356		1.14876626000000000e+08
1.094		357	357		9.94007090000000000e+07
1.008		358	358		1.00034605000000000e+08
0.927		359	359		1.44693787000000000e+08
0.853		360	360		1.46527046000000000e+08

#Liste des Brho utilisés avec RunNumber 	4848:
1.962		379	382		1.66851963000000000e+08
2.120		383	383		1.28773879000000000e+08
1.805		384	389		1.39071895000000000e+08
1.661		390	397		1.40438378000000000e+08
1.523		398	402		1.26505417000000000e+08
1.405		403	406		1.38890378000000000e+08
1.293		407	409		1.95059051000000000e+08
1.190		410	416		2.51720271000000000e+08	
1.092		417	418		1.79740238000000000e+08
1.004		419	419		1.54580277000000000e+08
0.849		420	420		1.79109223000000000e+08
0.849		423	423		1.79109223000000000e+08
0.923		421	422		1.70971769000000000e+08
0.782		424	424		6.22732980000000000e+07

#Liste des Brho utilisés avec RunNumber 	4040:
0.719  		511     513		1.37038206000000000e+08     
0.661  		514     514		1.12091666000000000e+08
0.782  		515     516		9.63231420000000000e+07
0.849  		517     517		1.05642840000000000e+08
0.923  		518     519		2.18389029000000000e+08
1.004  		520     520		1.45868850000000000e+07
1.091  		521     522		1.39305390000000000e+08
1.186  		523     524		1.19234803000000000e+08
1.289  		525     527		1.14988729000000000e+08
1.401		528	530		9.50561830000000000e+07
1.523		531	536		1.05207560000000000e+08
1.656		537	542		7.22865230000000000e+07
1.800		543	547		8.20895680000000000e+07
1.957		548	548		7.36208200000000000e+07
2.120		549	549		4.71529690000000000e+07
2.220		550	550		6.21295660000000000e+07
