#######################################################################################
#Correction de la masse M pour chaque Brho et chaque état de charge Q
#Pour identification Chio-Si
#Correction de type : M corrigée = p0(Brho,Q) + p1(Brho,Q) * M mesurée
#Fonction linéaire
#######################################################################################
#Brho	run1	run2	Q	p0		p1		chi2

#######################################################################################
# Systeme 4848

1.962	379	382	20	-6.69003	1.17916		0.067
1.962	379	382	19	-3.40969	1.11624		0.005
1.962	379	382	18	-1.4970		1.07740		0.016
1.962	379	382	17	-1.86264	1.09371		0.032
1.962	379	382	16	2.76098		0.970245	0.001
1.962	379	382	15	0.412802	1.04247		0.001
1.962	379	382	14	2.45439		0.975625	0.004
1.962	379	382	13	3.13751		0.951314	0.001
1.962	379	382	12	3.65291		0.930597	0.0005
1.962	379	382	11	2.02548		1.00273		0.01188
1.962	379	382	10	2.64231		0.977454	0.0004
1.962	379	382	9	-0.181953	1.11866		0.00028
1.962	379	382	8	-2.37116	1.23762		0.0
1.962	379	382	7	-2.29084	1.2164		0.0
			
1.805	384	389	19	-17.116		1.44017		0.27
1.805	384	389	18	-7.31268	1.21143		0.015
1.805	384	389	17	-8.07115	1.25457		0.034
1.805	384	389	16	-6.72854	1.23294		0.025
1.805	384	389	15	-5.2807		1.20555		0.0098
1.805	384	389	14	-0.796072	1.07461		0.0015
1.805	384	389	13	0.224434	1.04725		0.021
1.805	384	389	12	0.137297	1.06094		0.010
1.805	384	389	11	2.87314		0.950951	0.002
1.805	384	389	10	-0.219714	1.10447		0.0010
1.805	384	389	9	0.134029	1.09799		0.0
1.805	384	389	8	-1.15951	1.17633		0.0
1.805	384	389	7
				
1.661	390	397	20	-0.524401	1.02507		0.0269
1.661	390	397	19	-3.44293	1.10142		0.0018
1.661	390	397	18	0.67086		1.00674		0.003
1.661	390	397	17	-1.4863		1.06411		0.00011
1.661	390	397	16	-0.404189	1.04292		0.0021
1.661	390	397	15	-2.36174	1.10982		0.0038
1.661	390	397	14	-0.272667	1.04584		0.0090
1.661	390	397	13	1.74789		0.980842	0.00069
1.661	390	397	12	1.53255		0.991883	0.0028	
1.661	390	397	11	1.93718		0.982433	0.003
1.661	390	397	10	1.61015		1.00228		0.0
1.661	390	397	9	1.79867		0.997393	0.001
1.661	390	397	8	-0.698603	1.14469		0.0
1.661	390	397	7	-7.4891		1.61421		0.0
1.661	390	397	6	-12.7241	2.03046		0.0
			
1.523	398	402	20	-7.14245	1.14713		0.0002
1.523	398	402	19	0.738458	0.970454	0.0006
1.523	398	402	18	-3.56574	1.09113		0.0007
1.523	398	402	17	-2.84314	1.08052		0.0154
1.523	398	402	16	-1.05531	1.04041		0.0106
1.523	398	402	15	2.43189		0.939952	0.0048
1.523	398	402	14	-0.88334	1.05222		0.0153	
1.523	398	402	13	1.17082		0.984338	0.0011
1.523	398	402	12	0.392176	1.01771		0.0
1.523	398	402	11	1.60914		0.973568	0.009
1.523	398	402	10	2.312		0.942408	0.0004
1.523	398	402	9	1.18729		1.00545		0.0
1.523	398	402	8	2.33867		0.942063	0.0
1.523	398	402	7	-0.238389	1.10059		0.0
1.523	398	402	6	-5.46084	1.48898		0.0	
			
1.405	403	406	16	-1.63756	1.04287		0.024
1.405	403	406	15	-2.75112	1.08902		0.011
1.405	403	406	14	-5.05963	1.18811		0.003
1.405	403	406	13	-2.15539	1.10201		0.0007
1.405	403	406	12	-2.86285	1.14264		0.013
1.405	403	406	11	-3.62479	1.18717		0.0012
1.405	403	406	10	-0.44183	1.06525		0.0036
1.405	403	406	9	3.06822		0.896459	0.0
1.405	403	406	8	1.74311		0.963577	0.0
1.405	403	406	7	0.152797	1.07377		0.0
1.405	403	406	6	-2.45284	1.26598		0.0
			
					
1.293	407	409	12	-2.98603	1.12663		0.0
1.293	407	409	11	-1.40101	1.07481		0.0
1.293	407	409	10	-0.761379	1.05797		0.0
1.293	407	409	9	-9.02387	1.5106		0.12
1.293	407	409	8	-7.17794	1.47914		0.16
1.293	407	409	7	-4.29388	1.35462		0.21
1.293	407	409	6	-4.16565	1.3885		0.0

# Systeme 4840
1.962	327	331	20	-1.49734	1.05117		0.008
1.962	327	331	19	-3.27005	1.10193		0.00
1.962	327	331	18	-4.7218		1.14351		0.0019
1.962	327	331	17	-2.83642	1.10515		0.0015
1.962	327	331	16	-8.04586	1.26358		0.002
1.962	327	331	15	-2.81144	1.11612		0.01164
1.962	327	331	14	-8.00429	1.30039		0.0
1.962	327	331	13	-0.617098	1.06067		0.0

2.120	332	332	20	-0.291848	1.01605		0.0127

1.8051	333	338	20	-4.74703	1.11258		0.0167
1.8051	333	338	19	-4.91150	1.13253		0.003
1.8051	333	338	18	-2.72771	1.09021		0.022
1.8051	333	338	17	-6.70601	1.20573		0.0548
1.8051	333	338	16	-4.61500	1.16274		0.022	
1.8051	333	338	15	-7.78061	1.28009		0.007
1.8051	333	338	14	1.40655		0.976694	0.2788
1.8051	333	338	13	-6.38872	1.28062		0.0
1.8051	333	338	12	-27.8573	2.18531		0.0
			
1.660	339	343	19	8.13484		0.769172	0.0			
1.660	339	343	18	-7.16518	1.18582		0.0
1.660	339	343	17	-12.8205	1.36687		0.0
1.660	339	343	16	-6.92544	1.22234		0.0
1.660	339	343	15	-0.295013	1.02828		0.0
1.660	339	343	14	-4.67522	1.18837		0.0
1.660	339	343	13	1.44744		0.980533	0.00009

1.523	344	347	16	5.31043		0.845035	0.001
1.523	344	347	15	9.61816		0.709768	0.0
1.523	344	347	14	1.81869		0.980584	0.0
			
1.405	348	350	16	0.0619039	1.00911		0.0004
1.405	348	350	15	-1.46708	1.05499		0.002
1.405	348	350	14	-2.61343	1.09188		0.0296
1.405	348	350	13	-0.70594	1.03257		0.001
1.405	348	350	12	-1.86335	1.09183		0.0
1.405	348	350	11	-6.20569	1.28921		0.0251
1.405	348	350	10	-4.37648	1.24406		0.04
1.405	348	350	9	-4.05131	1.25912		0.033
1.405	348	350	8	-2.16539	1.18835		0.0305
1.405	348	350	7	-2.13083	1.21989		0.0149
1.405	348	350	6	-5.15191	1.47259		0.047
1.405	348	350	5	-2.50504	1.24425		0.0	
			
1.293	353	354	11	-1.70104	1.08554		0.0
1.293	353	354	10	-0.837236	1.05485		0.0
1.293	353	354	9	-5.67577	1.33209		0.0
1.293	353	354	8	-28.8049	2.83527		0.0
1.293	353	354	7	-17.6687	2.29621		0.0	
1.293	353	354	6	-5.06000	1.45417		0.0003

1.189	355	356	8	-1.59374	1.13482		0.0
1.189	355	356	7	-2.71217	1.24657		0.0	
1.189	355	356	6	-12.7822	2.09644		0.0
1.189	355	356	5	-8.70154	1.91939		0.0

# Systeme 4048
1.656	455	465	18	4.58771		0.861995	0.0
1.656	455	465	17	-1.65907	1.04581		0.0
1.656	455	465	16	-4.33074	1.14066		0.027
1.656	455	465	15	-0.143406	1.01300		0.00012
1.656	455	465	14	-1.37521	1.06501		0.009
1.656	455	465	13	-5.38349	1.22456		0.0
1.656	455	465	12	-0.659162	1.05626		0.0009
1.656	455	465	11	1.98761		0.951216	0.0208
1.656	455	465	10	-1.47025	1.12473		0.002
1.656	455	465	9	-2.22377	1.18658		0.0145
1.656	455	465	8	-4.18158	1.3312		0.0
			
1.800	466	474	18	-1.75203	1.02786		0.01
1.800	466	474	17	-0.604671	1.0023		0.01	
1.800	466	474	16	-6.54583	1.17459		0.001
1.800	466	474	15	-3.36754	1.0931		0.0
1.800	466	474	14	-3.07195	1.09171		0.004
1.800	466	474	13	-3.47676	1.11286		0.006
1.800	466	474	12	-0.164322	0.995064	0.002
1.800	466	474	11	0.233226	0.98111		0.0
1.800	466	474	10	-0.260982	1.00632		0.0004
1.800	466	474	9	-0.383697	1.01735		0.0008
1.800	466	474	8	-1.10117	1.05872		0.005
1.800	466	474	7	-2.24706	1.13354		0.003

1.523	475	483	14	-1.13006	1.01533		0.0
1.523	475	483	13	-2.95909	1.09099		0.0
1.523	475	483	12	-3.82432	1.15354		0.0
1.523	475	483	11	-3.73193	1.17781		0.09
1.523	475	483	10	-3.33619	1.18766		0.003	
1.523	475	483	9	-4.99992	1.30628		0.0006
1.523	475	483	8	-2.54206	1.20292		0.0003
1.523	475	483	7	-3.42236	1.30276		0.0
1.523	475	483	6	-4.22482	1.39121		0.0
			
1.401	484	489	10	-272.583	14.4928		0.0
1.401	484	489	9	-7.29558	1.38966		0.0
1.401	484	489	8	1.10251		0.955384	0.0
1.401	484	489	7	-1.06341	1.11433		0.0
1.401	484	489	6	-22.0814	2.85633		0.0
			
1.289	490	492	8	-3.84313	1.26199		0.0
1.289	490	492	7	-0.693706	1.08885		0.0
1.289	490	492	8	-3.84313	1.26199		0.0	
				
			
