#############################################
# Straight Up function
# Done with:
# 40Ca+48Ca
# AQ_relativiste_wooff_nostraight
# T_wooff_nostraight
#############################################
# Fit Results
# Dist = f(Z)
# Si	p0		dp0		p1		dp1		p2		dp2
18    6.79803E-02     3.42167E-03     -4.84113E-03    5.45798E-04     7.32475E-05     2.02737E-05
17    6.46000E-02     3.45437E-03     -4.76431E-03    5.52019E-04     7.80325E-05     2.04989E-05
16    5.45261E-02     3.30114E-03     -3.12011E-03    5.41647E-04     1.93336E-05     2.04880E-05
15    5.71491E-02     3.30531E-03     -3.62189E-03    5.37303E-04     3.86098E-05     2.01961E-05
14    6.15963E-02     3.25855E-03     -4.22727E-03    5.23488E-04     5.858570-05     1.95558E-05
13    4.86163E-02     3.09223E-03     -2.81514E-03    5.06604E-04     2.07195E-05     1.91592E-05
12    6.50673E-02     3.49052E-03     -5.14453E-03    5.54374E-04     9.48005E-05     2.04919E-05
11    5.39819E-02     3.12075E-03     -3.41631E-03    5.05665E-04     3.70208E-05     1.89969E-05     
10    9.18887E-02     5.49138E-03     -8.91989E-03    7.99195E-04     2.13197E-04     2.76660E-05		
9     5.18705E-02     4.05177E-03     -2.60877E-03    6.34843E-04     -3.92345E-07    2.33085E-05
8     7.22333E-02     3.46920E-03     -4.63772E-03    5.56757E-04     5.39822E-05     2.07907E-05
7	0.0		0.0		0.0		0.0		0.0		0.0     
6     7.08113E-02     3.38650E-03     -4.80331E-03    5.39522E-04     6.56776E-05     2.00586E-05
5     7.05808E-02     3.59775E-03     -4.48856E-03    5.81235E-04     4.87832E-05     2.17594E-05
4     6.74236E-02     3.45055E-03     -4.11988E-03    5.58997E-04     3.86677E-05     2.09898E-05	      
3     1.07634E-01     7.27237E-03     -5.26591E-03    1.29421E-03     6.38789E-05     4.96054E-05	
2	0.0		0.0		0.0		0.0		0.0		0.0     
1	0.0		0.0		0.0		0.0		0.0		0.0

