#############################################
# Straight Up function
# Done with:
# 40Ca+48Ca
# AQ corrigé pour chaque silicium
# FragTfinal avec offset
#############################################
# Fit Results
# Dist = f(Z)
# Chio	p0		dp0			p1			dp1			p2		dp2
1	-3.42770e-02	2.26004e-02	6.55389e-03	4.24328e-03	-4.23192e-05	1.79190e-04
2	-0.0329012	0.0248831	0.00502675	0.00449811	1.92975e-06	0.000184726
3	-0.0411336	0.0290101	0.00548705	0.00529528	-2.18477e-05	0.000221915
4	-0.0461904	0.0320289	0.00572559	0.00601732	-5.98401e-05	0.00025836
5	-0.0238389	0.0376324	-0.000818705	0.00719695	0.000244182	0.000314188
6	-0.0251525	0.040781		-0.00301458	0.00785542	0.000344054	0.000348395
7	-0.0536972	0.0538359	0.000426927	0.0103448	0.000169057	0.000446351


#1	-0.063691	0.0335038	0.00967599	0.00790227	-0.000201973	0.00044559
#2	-0.0639042	0.0252781	0.00993768	0.00571905	-0.000226829	0.000300818
#3	-0.0655676	0.0285612	0.0101977	0.00613587	-0.000228413	0.000305356
#4	-0.066544	0.0356915	0.0101552	0.00819508	-0.000212165	0.000437732

#5	-0.0252001	0.0854862	0.00322713	0.0178841	1.87243e-05	8.87738e-04
#6	-0.0465984	0.1084700	0.00710214	0.0220357	-0.000163862	0.00107575
#7	-0.0230283	0.1107090	0.00217055	0.0236516	8.86584e-05	0.00120217

#5	-0.0444332	0.0391605	0.00565377	0.0041707	0	0
#6	-0.0369557	0.0383295	0.00481062	0.00407073	0	0
#7	-0.0267261	0.00168432	0.00375145	0.000192579	0	0
 
#5	-0.0392343	0.252841		0.00451093	0.0550663	6.04114e-05	0.00290528
#6	0.0170796	0.225981		-0.00678774	0.0479985	0.000596086	0.00245904

#5	-0.0406018	0.0066224	0.00506893	0.00149084	1.10149e-06	7.81924e-05
#6	-0.0138351	0.00465179	-0.000778409	0.00116367	0.000324543	6.6761e-05
#7	-0.0436519	0.0054298	0.00750455	0.00110332	-0.000202612	5.58285e-05
	

#5	-0.0347903	0.051434		0.00370712	0.0125825	7.66409e-05	0.000709953
#6	-0.0162473	0.0502394	-0.00013841	0.0128782	0.000290441	0.000758671
#7	0.0184504	0.0795698	-0.00678558	0.0206541	0.00057965	0.00126959


