#Run   Brho_Tm  VamosAngle_deg   DT   Scalers_Indra   TargetDensity
###40Ca+40Ca @ 35AMeV###
511 0.719 4.5 0.0617884 21708869 1.20
512 0.719 4.5 0.0420426 3189184 1.20
513 0.719 4.5 0.0653312 112140153 1.20
514 0.661 4.5 0.054327 112091666 1.20
515 0.782 4.5 0.0612271 30180797 1.20
516 0.782 4.5 0.0550747 66142345 1.20
517 0.849 4.5 0.0577698 105642840 1.20
518 0.923 4.5 0.0665834 111303293 1.20
519 0.923 4.5 0.073536 107085736 1.20
520 1.004 4.5 0.0939844 14586885 1.20
521 1.091 4.5 0.109279 86395311 1.20
522 1.091 4.5 0.0969561 52910079 1.20
523 1.186 4.5 0.0856227 71371082 1.20
524 1.186 4.5 0.0939288 47863721 1.20
525 1.289 4.5 0.0743787 53292224 1.20
526 1.289 4.5 0.0764906 52733475 1.20
527 1.289 4.5 0.0648258 8963030 1.20
528 1.401 4.5 0.0801109 33835969 1.20
529 1.401 4.5 0.0878316 34121552 1.20
530 1.401 4.5 0.0711165 27098662 1.20
531 1.523 4.5 0.0920242 20187787 1.20
532 1.523 4.5 0.10867 19833208 1.20
533 1.523 4.5 0.100414 20056433 1.20
534 1.523 4.5 0.0979801 19884511 1.20
535 1.523 4.5 0.0986365 19852384 1.20
536 1.523 4.5 0.105475 5393237 1.20
537 1.656 4.5 0.0879179 13187611 1.20
538 1.656 4.5 0.0866534 13193001 1.20
539 1.656 4.5 0.0897635 13141003 1.20
540 1.656 4.5 0.0972916 13160173 1.20
541 1.656 4.5 0.0843334 13158827 1.20
542 1.656 4.5 0.0758731 6445908 1.20
543 1.800 4.5 0.0946536 18407277 1.20
544 1.800 4.5 0.0863131 18444849 1.20
545 1.800 4.5 0.0863296 18416758 1.20
546 1.800 4.5 0.0896367 18322215 1.20
547 1.800 4.5 0.100736 8498469 1.20
548 1.957 4.5 0.0421239 73620820 1.20
549 2.120 4.5 0.0405971 47152969 1.20
550 2.220 4.5 0.053538 62129566 1.20
###40Ca+48Ca @ 35AMeV###
455 1.656 4.5 0.149732 13055054 1.52
456 1.656 4.5 0.177113 13073580 1.52
457 1.656 4.5 0.136356 13055408 1.52
458 1.656 4.5 0.130193 12943330 1.52
459 1.656 4.5 0.124899 13004183 1.52
460 1.656 4.5 0.147587 13016510 1.52
461 1.656 4.5 0.163447 13000386 1.52
462 1.656 4.5 0.174865 12892031 1.52
463 1.656 4.5 0.143916 12984455 1.52
464 1.656 4.5 0.137638 7828355 1.52
465 1.656 4.5 0.0159803 2703522 1.52
466 1.800 4.5 0.0196721 2489461 1.52
467 1.800 4.5 0.134996 18340202 1.52
468 1.800 4.5 0.139252 18450796 1.52
469 1.800 4.5 0.124117 18644457 1.52
470 1.800 4.5 0.0961539 19627069 1.52
471 1.800 4.5 0.133886 18261517 1.52
472 1.800 4.5 0.145938 18608543 1.52
473 1.800 4.5 0.150126 18591361 1.52
474 1.800 4.5 0.190075 1268685 1.52
475 1.523 4.5 0.1436 18813381 1.52
476 1.523 4.5 0.138904 18837871 1.52
477 1.523 4.5 0.165926 18740063 1.52
478 1.523 4.5 0.176567 18789113 1.52
479 1.523 4.5 0.181803 18652479 1.52
480 1.523 4.5 0.175923 18807768 1.52
481 1.523 4.5 0.178368 18758541 1.52
482 1.523 4.5 0.170732 18211426 1.52
483 1.523 4.5 0.009684 2438557 1.52
484 1.401 4.5 0.00917262 2441438 1.52
485 1.401 4.5 0.0923842 32237976 1.52
486 1.401 4.5 0.107322 31962268 1.52
487 1.401 4.5 0.110588 31849754 1.52
488 1.401 4.5 0.0945114 32204115 1.52
489 1.401 4.5 0.0852175 8255812 1.52
490 1.289 4.5 0.0888675 14475851 1.52
491 1.289 4.5 0.0786293 54551474 1.52
492 1.289 4.5 0.0890018 42008167 1.52
493 1.186 4.5 0.0769461 68315168 1.52
494 1.186 4.5 0.0817761 61902468 1.52
495 1.186 4.5 0.0168252 2262766 1.52
496 1.091 4.5 0.0293401 4799207 1.52
497 1.091 4.5 0.0639033 47877844 1.52
498 1.091 4.5 0.0724064 45807605 1.52
499 1.091 4.5 0.0521194 33190531 1.52
500 1.091 4.5 0.073049 61531748 1.52
501 1.004 4.5 0.0655913 110605115 1.52
502 0.923 4.5 0.0495801 27458233 1.52
503 0.923 4.5 0.0584546 70460334 1.52
504 0.923 4.5 0.0291721 5202190 1.52
505 0.849 4.5 0.0301717 4569501 1.52
506 0.849 4.5 0.05633 109590961 1.52
507 0.782 4.5 0.0645966 19486621 1.52
508 0.782 4.5 0.0576448 72063610 1.52
509 0.719 4.5 0.0547492 97336491 1.52
580 0.661 4.5 0.0525005 95312567 1.52
581 1.957 4.5 0.0412662 14921141 1.52
582 2.120 4.5 0.0466565 31578867 1.52
583 0.000 0.0 0.0783736 81504 1.52
584 0.000 0.0 0.0681904 67802 1.52
585 0.000 0.0 0.0671479 41810 1.52
586 0.000 0.0 0.0580494 60610 1.52
587 0.000 0.0 0.0567715 86453 1.52
588 0.000 0.0 0.0533048 75337 1.52
589 0.000 0.0 0.0566266 73077 1.52
590 0.000 0.0 0.0587188 80545 1.52
591 0.000 0.0 0.058641 64180 1.52
592 2.220 4.5 0.0516712 50765269 1.52
###48Ca+40Ca @ 35AMeV###
322 2.2856 0.0 0.0673459 256049 1.20
323 2.0497 0.0 0.0536058 348069 1.20
324 2.0497 0.0 0.048534 98942 1.20
325 2.0100 0.0 0.0596207 151485 1.20
326 2.0483 4.5 0.299707 1440521 1.20
327 1.9620 4.5 0.0509744 10814561 1.20
328 1.9620 4.5 0.0730216 115377806 1.20
329 1.9620 4.5 0.0566372 97964 1.20
330 1.9620 4.5 0.0785474 76572928 1.20
331 1.9620 4.5 0.0668573 27760815 1.20
332 2.1200 4.5 0.0588412 71618822 1.20
333 1.8051 4.5 0.107857 32862882 1.20
334 1.8051 4.5 0.108043 31999366 1.20
335 1.8051 4.5 0.110545 32509339 1.20
336 1.8051 4.5 0.108248 32731826 1.20
337 1.8051 4.5 0.10255 32810447 1.20
338 1.8051 4.5 0.10844 18357574 1.20
339 1.6600 4.5 0.112232 25940186 1.20
340 1.6600 4.5 0.110216 25959615 1.20
341 1.6600 4.5 0.126482 25698665 1.20
342 1.6600 4.5 0.0917119 26552373 1.20
343 1.6600 4.5 0.0479087 17856570 1.20
344 1.5230 4.5 0.108704 35112720 1.20
345 1.5230 4.5 0.0825517 36201778 1.20
346 1.5230 4.5 0.112301 34969963 1.20
347 1.5230 4.5 0.142425 26838494 1.20
348 1.4050 4.5 0.111563 30078223 1.20
349 1.4050 4.5 0.116947 52631042 1.20
350 1.4050 4.5 0.120093 44249790 1.20
353 1.2930 4.5 0.0895605 79339401 1.20
354 1.2930 4.5 0.0822194 28514169 1.20
355 1.1894 4.5 0.0952103 100141034 1.20
356 1.1894 4.5 0.0816766 14735592 1.20
357 1.0940 4.5 0.0858261 99400709 1.20
358 1.0080 4.5 0.079075 100034605 1.20
359 0.9270 4.5 0.0985858 144693787 1.20
360 0.8530 4.5 0.119544 146527046 1.20
###48Ca+48Ca @ 35AMeV###
379 1.962 4.5 0.10805 54872294 1.52
380 1.962 4.5 0.115008 54911727 1.52
381 1.962 4.5 0.117281 55124892 1.52
382 1.962 4.5 0.0963098 1943050 1.52
383 2.120 4.5 0.0711849 128773879 1.52
384 1.805 4.5 0.124965 23851118 1.52
385 1.805 4.5 0.124379 23806017 1.52
386 1.805 4.5 0.144788 23937069 1.52
387 1.805 4.5 0.124208 23956049 1.52
388 1.805 4.5 0.113379 24173232 1.52
389 1.805 4.5 0.15378 19348410 1.52
390 1.661 4.5 0.16887 18575567 1.52
391 1.661 4.5 0.173316 18620537 1.52
392 1.661 4.5 0.172271 18585144 1.52
393 1.661 4.5 0.173895 18676955 1.52
394 1.661 4.5 0.182476 18566470 1.52
395 1.661 4.5 0.181901 18548927 1.52
396 1.661 4.5 0.176019 18738616 1.52
397 1.661 4.5 0.168054 10126162 1.52
398 1.523 4.5 0.133392 25220354 1.52
399 1.523 4.5 0.134025 25222679 1.52
400 1.523 4.5 0.139738 25405438 1.52
401 1.523 4.5 0.135975 25226381 1.52
402 1.523 4.5 0.148076 25430565 1.52
403 1.406 4.5 0.157626 5348060 1.52
404 1.406 4.5 0.095515 47053803 1.52
405 1.406 4.5 0.0887701 47243974 1.52
406 1.406 4.5 0.0903181 39244541 1.52
407 1.293 4.5 0.0842066 84990324 1.52
408 1.293 4.5 0.0937258 84069603 1.52
