#######################################################################################
#Correction de la masse M pour chaque Brho et chaque état de charge Q
#Pour identification Chio-Si
#Correction de type : M corrigée = p0(Brho,Q) + p1(Brho,Q) * M mesurée
#Fonction linéaire
#######################################################################################
#Brho	run1	run2	Q	p0		p1		chi2

#######################################################################################
# Systeme 40+40
1.401	528	530	11	-0.114563	0.998801	0.0
1.401	528	530	12	0.437634	0.972952	0.0
1.401	528	530	13	0.662358	0.960382	0.0
1.401	528	530	14	-0.163464	0.983828	0.002
1.401	528	530	15	-1.57536	1.02371		0.006
1.401	528	530	16	-2.9373		1.06236		0.03
1.401	528	530	17	0.557367	0.963672	0.015
1.401	528	530	18	-7.57352	1.17876		0.0002

1.289	525	527	9	2.688882	0.85419		0.0
1.289	525	527	10	1.786660	0.906043	0.0007
1.289	525	527	11	-0.319795	1.001450	0.0002	
1.289	525	527	12	0.365978	0.970826	0.005
1.289	525	527	13	0.113067	0.976869	0.008
1.289	525	527	14	-1.22797	1.01897		0.007
1.289	525	527	15	-0.830716	0.999934	0.009
1.289	525	527	16	-0.892915	0.996719	0.001
1.289	525	527	17	-1.64665	1.02033		0.001
1.289	525	527	18	0.580885	0.956088	0.007

9999   511     524     5	1.09424		0.931272	0.0
9999   511     524     6	0.343794	0.951302	0.007
9999   511     524     7	-1.30409	1.04793		0.0003
9999   511     524     8	-1.39406	1.03917		0.00016
9999   511     524     9	-1.31207	1.02869		0.002
9999   511     524     10	-0.783226	1.00189		0.0001
#9999	511	524	7	-4.37841	1.25094		0.0
#9999	511	524	8	-2.02814	1.08182		0.015
#9999	511	524	9	-1.91626	1.07225		0.002
#9999	511	524	10	-2.00624	1.07169		0.0002
9999	511	524	11	-1.70570	1.05058		0.0008	
9999	511	524	12	-1.14815	1.01975		0.00078
9999	511	524	13	-0.921405	1.00423		0.00022
9999	511	524	14	-0.445343	0.983108	0.0015
9999	511	524	15	0.154392	0.958957	0.0
9999	511	524	16	-0.684262	0.982994	0.0
9999	511	524	17	11.6403		0.645245	0.0
9999	511	524	18	0.855336	0.936048	0.002	

# Systeme 48+48
1.523	398	402	12	-2.68705	1.08589		0.0
1.523	398	402	13	-2.0231		1.05269		0.011
1.523	398	402	14	-0.802993	1.01309		0.0005
1.523	398	402	15	-0.90026	1.01681		0.0
1.523	398	402	16	-1.85657	1.03961		0.005
1.523	398	402	17	2.67295		0.922238	0.002
1.523	398	402	18	-0.699625	1.01703		0.0

1.406	403	406	11	3.60529		0.861995	0.0	
1.406	403	406	12	2.24353		0.915378	0.001
1.406	403	406	13	0.437322	0.978517	0.0
1.406	403	406	14	-0.151953	0.996098	0.001
1.406	403	406	15	-1.63249	1.03919		0.018
1.406	403	406	16	1.67398		0.943378	0.001
1.406	403	406	17	1.66969		0.942828	0.004
1.406	403	406	18	-1.62373	1.03497		0.0009

1.293	407	409	9	0.659361	0.965531	0.0
1.293	407	409	10	-1.84021	1.08038		0.0
1.293	407	409	11	-0.734426	1.02673		0.0001
1.293	407	409	12	-0.0212007	0.994469	0.005
1.293	407	409	13	-1.22618	1.03201		0.0122
1.293	407	409	14	0.913784	0.953529	0.0015
1.293	407	409	15	1.15609		0.943809	0.009
1.293	407	409	16	-4.83359	1.11682		0.0
1.293	407	409	17	2.33278		0.917515	0.0

9999   410     424     5	-0.528738	1.08778		0.002
9999   410     424     6	-1.78041	1.13785		0.0	
9999   410     424     7	-2.26421	1.1281		0.0001
9999   410     424     8	-2.47498	1.10968		0.0001
9999   410     424     9	-1.35494	1.0273		0.0
9999	410	424	10	-1.00893	1.02735		0.002
9999	410	424	11	-0.5033		1.00626		0.0002
9999	410	424	12	-0.889175	1.02530		0.0006	
9999	410	424	13	-0.447736	1.00749		0.0	
#9999	410	424	7	-3.58086	1.22234		0.0
#9999	410	424	8	-4.46932	1.24984		0.0
#9999	410	424	9	-4.45261	1.23251		0.0001
#9999	410	424	10	-2.05016	1.09936		0.0
#9999	410	424	11	-0.28542	1.01333		0.0
#9999	410	424	12	-0.397662	1.01372		0.0
#9999	410	424	13	0.505107	0.973952	0.0
9999	410	424	14	-0.60262	1.01066		0.0
9999	410	424	15	-4.59003	1.13314		0.0
9999	410	424	16	5.10585		0.838082	0.0

# Systeme 48+40
1.660  339     343     18      1.60485         0.9584	       0.0002
1.660  339     343     19      -3.02462        1.06858         0.0004
1.660  339     343     20      1.18023         0.974945        0.01920
1.660  339     343     21      0.508758        1.00964         0.060
1.660  339     343     22      7.98534         0.848427        0.0

1.523  344     347     15      0.617624        0.990099        0.0
1.523  344     347     16      3.2266	       0.915472        0.0005
1.523  344     347     17      1.81344         0.953417        0.001
1.523  344     347     18      2.00785         0.95143         0.0396
1.523  344     347     19      4.75288         0.88747         0.0229
1.523  344     347     20      4.65023         0.893385        0.0045
1.523  344     347     21      6.41825         0.854928        0.0028
1.523  344     347     22      2.63761         0.93423         0.0

1.405  348     350     11      3.25471         0.872905        0.0
1.405  348     350     12      -0.442261       1.01297         0.0
1.405  348     350     13      1.0607	       0.954835        0.0
1.405  348     350     14      -0.147394       0.991325        0.0003
1.405  348     350     15      -0.771002       1.00661         0.006
1.405  348     350     16      -2.55515        1.06001         0.0163
1.405  348     350     17      0.990956        0.956429        0.007
1.405  348     350     18      -2.82098        1.06072         0.007
1.405  348     350     19      7.56356         0.802568        0.0

1.293	353	354	9	0.798075	0.952925	0.0
1.293	353	354	10	-0.248392	1.00482		0.0
1.293	353	354	11	0.391101	0.977316	0.00001
1.293	353	354	12	0.0419483	0.988878	0.0018
1.293	353	354	13	0.543173	0.966563	0.00344
1.293	353	354	14	0.147465	0.97629		0.001788
1.293	353	354	15	0.740837	0.95378		0.004
1.293	353	354	16	-2.15053	1.03777		0.0004
1.293	353	354	17	-1.3181		1.01792		0.0
1.293	353	354	18	2.94304		0.899766	0.0

9999   355     360     5	0.526956	0.969556	0.0
9999   355     360     6	-0.0145143	0.987918	0.0004
9999   355     360     7	0.0182954	0.976676	0.0007
9999   355     360     8	-0.44223	1.00021		0.0002
9999   355     360     9	-0.162487	0.98412		0.0006
9999   355     360     10	-0.262873	0.991473	0.0
9999   355     360     11	0.00875616	0.980605	0.0
9999   355     360     12	-0.177677	0.988723	0.0001
9999   355     360     13	-0.0634643	0.982745	0.0005
9999   355     360     14	0.0526498	0.974931	0.0002
#9999	355	360	8	-0.534724	1.01235		0.0	
#9999	355	360	9	-2.24986	1.10787		0.002
#9999	355	360	10	-1.65427	1.06927		0.0
#9999	355	360	11	-0.882709	1.02764		0.0001
#9999	355	360	12	0.118702	0.981547	0.0
#9999	355	360	13	0.0101829	0.981014	0.0001
#9999	355	360	14	0.44735		0.962126	0.0003
9999	355	360	15	0.356538	0.965194	0.003
9999	355	360	16	0.919828	1.90652		0.0018


# Systeme 40+48
1.523	475	483	13	2.17509		0.945443	0.003
1.523	475	483	14	0.313945	0.999207	0.001
1.523	475	483	15	-6.8027		1.20780		0.0160
1.523	475	483	16	-3.83572	1.11909		0.018
1.523	475	483	17	-1.10321	1.04072		0.008
1.523	475	483	18	6.51922		0.848109	0.003

1.401	484	489	11	3.05141		0.914829	0.0
1.401	484	489	12	1.50514		0.969795	0.0
1.401	484	489	13	1.68149		0.961068	0.0
1.401	484	489	14	0.490767	0.996868	0.0
1.401	484	489	15	-2.03654	1.068800	0.0
1.401	484	489	16	-4.29004	1.133650	0.0	
1.401	484	489	17	3.11844		0.919559	0.0
1.401	484	489	18	-5.18439	1.142450	0.0	
1.401	484	489	19	3.33142		0.923867	0.0

1.289	490	492	9	0.59288		0.861995	0.0
1.289	490	492	10	1.61885		0.916809	0.0002
1.289	490	492	11	0.744935	0.95721		0.0004
1.289	490	492	12	0.864022	0.95117		0.0002
1.289	490	492	13	-1.07504	1.01932		0.003
1.289	490	492	14	0.543663	0.962152	0.00118
1.289	490	492	15	1.80514		0.919381	0.0057
1.289	490	492	16	-1.73077	1.02425		0.004
1.289	490	492	17	-1.11664	1.00744		0.002
1.289	490	492	18	-0.285151	0.9845		0.0044

1.186  493     495     6	-2.32706	1.12663		0.0
1.186  493     495     7	0.395144	0.946732	0.0
1.186  493     495     8	-0.0910465	0.982008	0.001
1.186  493     495     9	0.963079	0.933739	0.0
1.186  493     495     10	0.865105	0.94556		0.0001
1.186  493     495     11	0.364987	0.971326	0.0009
1.186  493     495     12	1.49761		0.918675	0.0
1.186  493     495     13	1.60273		0.914745	0.001
1.186  493     495     14	0.895156	0.938015	0.002
1.186  493     495     15	2.81074		0.873235	0.0016
1.186  493     495     16	0.845279	0.929062	0.0

#1.186	493	495	9	-2.77231	1.13612		0.0246338
#1.186	493	495	10	-2.77704	1.12343		0.0238917
#1.186	493	495	11	-1.73476	1.06480		0.00104936
#1.186	493	495	12	-0.272108	0.0998187	0.0005
#1.186	493	495	13	0.40437		0.970281	0.0007
#1.186	493	495	14	0.617626	0.961544	0.0009
#1.186	493	495	15	-5.35805	1.15128		0.0
#1.186	493	495	16	3.91435		0.862515	0.0

1.091  496     500     6	-3.22275	1.19632		0.0
1.091  496     500     7	-1.18965	1.03702		0.003
1.091  496     500     8	-0.184294	0.972804	0.0011
1.091  496     500     9	0.65952		0.930962	0.0002
1.091  496     500     10	0.715131	0.934393	0.0
1.091  496     500     11	0.385062	0.951352	0.0
1.091  496     500     12	0.409838	0.95120		0.0
1.091  496     500     13	-0.720784	0.994332	0.0
1.091  496     500     14	-1.48988	1.01189		0.0096
1.091  496     500     15	-5.0298		1.11620		0.0

#1.091	496	500	8	-2.34875	1.1121		0.0
#1.091	496	500	9	-1.7802		1.07153		0.00212412
#1.091	496	500	10	-0.833868	1.01647		0.00267361
#1.091	496	500	11	-1.04985	1.02233		0.00369902
#1.091	496	500	12	-2.22404	1.06181		0.00364746
#1.091	496	500	13	0.279216	0.994332	0.0
#1.091	496	500	14	-0.750551	0.988867	0.0
#1.091	496	500	15	-4.16492	1.08932		0.0

9999	501	509	5	-0.289975	1.04611		0.0001
9999	501	509	6	-0.157915	0.99381		0.005
9999	501	509	7	-0.591946	1.00343		0.0
9999	501	509	8	-0.427421	0.982734	0.0
9999	501	509	9	-0.669016	0.991305	0.001
9999	501	509	10	-0.76485	0.992195	0.0001
