#Brho	run1	run2	p0		p1		chi2

#48Ca+48Ca
1.962	379	382	-0.00887338	1.04264		0.003	     
#2.120	383	383	
1.805	384	389	-0.156795	1.07573		0.0003	     
1.661	390	397	-0.0891429	1.04747		0.0018	
1.523	398	402	-0.0897158	1.04834		0.0006 		   
1.406	403	406	-0.0625416	1.03530		0.0006   	
1.293	407	409	-0.11454	1.05956		0.0004
		
#1.190	410	416	
#1.092	417	418	
#1.004	419	419	
#0.849	420	420	
#0.923	421	422	
#0.849	423	423	
#0.782	424	424	

#48Ca+40Ca
1.962	327	331	-0.0868368	1.03786		0.00015
2.120	332	332	-0.238653	1.09039		0.0
1.8051	333	338	-0.151008	1.07106		0.0001
1.660	339	343	-0.140199	1.06946		0.0
1.523	344	347	-0.145364	1.07078		0.0001
1.405	348	350	-0.0652431	1.03454		0.0004
1.293	353	354	-0.0923828	1.04668		0.0001
1.1894	355	356	-0.121323	1.06306		0.0001	

#1.094  357     357	
#1.008  358     358	
#0.927  359     359
	
#40Ca+48Ca		
1.656	455	465	-0.111747	1.05403		0.0
1.800	466	474	-0.381645	1.18933		0.0007
1.523	475	483 	-0.0924554	1.04545		0.0002        
1.401	484	489	-0.0762462	1.03735		0.0002
1.289	490	492	-0.0763684	1.0404		0.0

#1.186	493	495     		     
#1.091	496	500
#1.004  501     501    
#0.923  502     504    
#0.849  505     506    
#0.782  507     508    
#0.719  509     509   
