RunRange: 2-112
CI_0201_GG: 11.8355
CI_0201_PG: 54.1522
CI_0203_GG: 14.5897
CI_0203_PG: 54.7882
CI_0205_GG: 4.79591
CI_0205_PG: 54.157
CI_0207_GG: 21.9184
CI_0207_PG: 52.6788
CI_0209_GG: 6.11436
CI_0209_PG: 53.7096
CI_0211_GG: 6.7515
CI_0211_PG: 55.1184
CI_0213_GG: 15.6575
CI_0213_PG: 54.0192
CI_0215_GG: 1.92309
CI_0215_PG: 55.0639
CI_0217_GG: 31.1135
CI_0217_PG: 53.728
CI_0219_GG: 30.1234
CI_0219_PG: 54.4004
CI_0221_GG: 27.9231
CI_0221_PG: 53.7899
CI_0223_GG: 33.1066
CI_0223_PG: 52.549
CI_0401_GG: 23.9583
CI_0401_PG: 54.1
CI_0403_GG: 21.3857
CI_0403_PG: 50.7359
CI_0405_GG: 24.3305
CI_0405_PG: 51.9372
CI_0407_GG: 22.2266
CI_0407_PG: 52.6194
CI_0409_GG: 43.9919
CI_0409_PG: 54.7606
CI_0411_GG: 42.06
CI_0411_PG: 53.94
CI_0413_GG: 41.5998
CI_0413_PG: 53.6975
CI_0415_GG: 40.4989
CI_0415_PG: 55.2781
CI_0417_GG: 40.8376
CI_0417_PG: 53.5013
CI_0419_GG: 40.0839
CI_0419_PG: 51.2373
CI_0421_GG: 42.1026
CI_0421_PG: 51.7956
CI_0423_GG: 31.5835
CI_0423_PG: 51.6815
CI_0601_GG: 34.4709
CI_0601_PG: 52.4588
CI_0603_GG: 59.1681
CI_0603_PG: 52.4739
CI_0605_GG: 46.3738
CI_0605_PG: 51.7657
CI_0607_GG: 48.8115
CI_0607_PG: 52.0611
CI_0609_GG: 48.2473
CI_0609_PG: 54.0884
CI_0611_GG: 53.32
CI_0611_PG: 54.5598
CI_0613_GG: 42.6037
CI_0613_PG: 52.3626
CI_0615_GG: 42.3934
CI_0615_PG: 51.2341
CI_0617_GG: 91.5833
CI_0617_PG: 87.6387
CI_0619_GG: 91.2132
CI_0619_PG: 86.7054
CI_0621_GG: 87.0358
CI_0621_PG: 87.1097
CI_0623_GG: 92.2622
CI_0623_PG: 89.4052
CI_0801_GG: 92.5212
CI_0801_PG: 88.4494
CI_0803_GG: 93.9666
CI_0803_PG: 88.6549
CI_0805_GG: 108.331
CI_0805_PG: 88.618
CI_0807_GG: 104.356
CI_0807_PG: 86.3506
CI_0809_GG: 102.512
CI_0809_PG: 87.1433
CI_0811_GG: 99.8081
CI_0811_PG: 87.1703
CI_0813_GG: 104.39
CI_0813_PG: 86.2858
CI_0815_GG: 90.9894
CI_0815_PG: 88.1512
CI_0817_GG: 100.032
CI_0817_PG: 87.1475
CI_0819_GG: 96.5873
CI_0819_PG: 85.8726
CI_0821_GG: 92.3645
CI_0821_PG: 85.9033
CI_0823_GG: 92.2437
CI_0823_PG: 85.2337
CI_1001_GG: 105.969
CI_1001_PG: 87.4846
CI_1003_GG: 108.723
CI_1003_PG: 86.6116
CI_1005_GG: 121.239
CI_1005_PG: 87.6563
CI_1007_GG: 108.858
CI_1007_PG: 86.8742
CI_1009_GG: 108.465
CI_1009_PG: 85.5523
CI_1011_GG: 115.552
CI_1011_PG: 84.971
CI_1013_GG: 116.659
CI_1013_PG: 86.932
CI_1015_GG: 120.194
CI_1015_PG: 84.6091
CI_1017_GG: 128.587
CI_1017_PG: 89.8374
CI_1019_GG: 102.934
CI_1019_PG: 85.5643
CI_1021_GG: 113.929
CI_1021_PG: 84.3926
CI_1023_GG: 107.894
CI_1023_PG: 88.3157
CI_1201_GG: 111.852
CI_1201_PG: 88.7452
CI_1203_GG: 114.543
CI_1203_PG: 86.4413
CI_1205_GG: 107.409
CI_1205_PG: 85.0732
CI_1207_GG: 117.364
CI_1207_PG: 85.4254
CI_1209_GG: 169.565
CI_1209_PG: 94.0579
CI_1211_GG: 168.482
CI_1211_PG: 94.4909
CI_1213_GG: 183.68
CI_1213_PG: 95.0515
CI_1215_GG: 164.878
CI_1215_PG: 97.0624
CI_1217_GG: 170.205
CI_1217_PG: 93.8313
CI_1219_GG: 175.345
CI_1219_PG: 95.836
CI_1221_GG: 175.58
CI_1221_PG: 92.4699
CI_1223_GG: 163.511
CI_1223_PG: 94.5664
CI_1301_GG: 171.58
CI_1301_PG: 95.3897
CI_1304_GG: 168.207
CI_1304_PG: 93.8314
CI_1307_GG: 173.549
CI_1307_PG: 91.7631
CI_1310_GG: 179.246
CI_1310_PG: 92.6175
CI_1313_GG: 189.833
CI_1313_PG: 93.932
CI_1316_GG: 186.09
CI_1316_PG: 94.8807
CI_1319_GG: 112.156
CI_1319_PG: 93.1474
CI_1322_GG: 160.22
CI_1322_PG: 94.6096
CI_1401_GG: 190.621
CI_1401_PG: 93.5162
CI_1403_GG: 167.583
CI_1403_PG: 93.8936
CI_1405_GG: 190.205
CI_1405_PG: 93.7161
CI_1407_GG: 169.473
CI_1407_PG: 93.048
CI_1409_GG: 179.9
CI_1409_PG: 91.6938
CI_1411_GG: 224.546
CI_1411_PG: 95.9112
CI_1413_GG: 192.399
CI_1413_PG: 91.6728
CI_1415_GG: 180.835
CI_1415_PG: 88.3809
CI_1601_GG: -1
CI_1601_PG: -1
CI_1602_GG: -1
CI_1602_PG: -1
CI_1603_GG: 179.867
CI_1603_PG: 94.04
CI_1604_GG: -1
CI_1604_PG: -1
CI_1605_GG: -1
CI_1605_PG: -1
CI_1606_GG: -1
CI_1606_PG: -1
CI_1607_GG: -1
CI_1607_PG: -1
CI_1608_GG: -1
CI_1608_PG: -1
