#EB 29/08/2012
#Extraction des piedestaux des ChIo PG et GG
#pour certains parametres GG de la couronne 2, les distributions
#resultant des runs piedestaux avait une accumulation
#à 0 correspondant à une partie de la distribution en négative
#en utilisant la conservation du nombre de coups total
#on arrive à reconstruire cette partie négative
#permettant une meilleure estimation de la valeur moyenne piedestal
#
#Liste des paramètres:
#CI_0203_GG
#CI_0205_GG
#CI_0209_GG
#CI_0211_GG
#CI_0213_GG
#CI_0215_GG
#
RunRange: 113-531
CI_0201_GG: 4.30557
CI_0201_PG: 53.2319
CI_0203_GG: 7.08804
CI_0203_PG: 53.8792
CI_0205_GG: -2.75481
CI_0205_PG: 53.3489
CI_0207_GG: 14.5441
CI_0207_PG: 51.8206
CI_0209_GG: -1.20556
CI_0209_PG: 52.9204
CI_0211_GG: -0.876395
CI_0211_PG: 54.2751
CI_0213_GG: 8.065825
CI_0213_PG: 53.1785
CI_0215_GG: -5.877360
CI_0215_PG: 54.2375
CI_0217_GG: 23.4638
CI_0217_PG: 52.8902
CI_0219_GG: 22.2731
CI_0219_PG: 53.5511
CI_0221_GG: 20.5393
CI_0221_PG: 52.8621
CI_0223_GG: 25.5582
CI_0223_PG: 51.692
CI_0401_GG: 16.6733
CI_0401_PG: 53.2654
CI_0403_GG: 13.6596
CI_0403_PG: 49.4814
CI_0405_GG: 16.8347
CI_0405_PG: 51.0789
CI_0407_GG: 14.5534
CI_0407_PG: 51.7539
CI_0409_GG: 36.5276
CI_0409_PG: 53.99
CI_0411_GG: 34.6842
CI_0411_PG: 53.1356
CI_0413_GG: 34.0203
CI_0413_PG: 52.848
CI_0415_GG: 32.9927
CI_0415_PG: 54.4351
CI_0417_GG: 33.4246
CI_0417_PG: 52.6324
CI_0419_GG: 32.7413
CI_0419_PG: 50.3695
CI_0421_GG: 34.4617
CI_0421_PG: 50.9313
CI_0423_GG: 23.7827
CI_0423_PG: 50.8046
CI_0601_GG: 27.3372
CI_0601_PG: 51.6381
CI_0603_GG: 51.5975
CI_0603_PG: 51.6338
CI_0605_GG: 38.8309
CI_0605_PG: 50.9247
CI_0607_GG: 41.3555
CI_0607_PG: 51.2123
CI_0609_GG: 40.4696
CI_0609_PG: 53.2201
CI_0611_GG: 44.8879
CI_0611_PG: 53.6972
CI_0613_GG: 34.1134
CI_0613_PG: 51.4318
CI_0615_GG: 33.8869
CI_0615_PG: 50.3126
CI_0617_GG: 90.2889
CI_0617_PG: 87.0888
CI_0619_GG: 90.1329
CI_0619_PG: 86.1554
CI_0621_GG: 85.8755
CI_0621_PG: 86.5813
CI_0623_GG: 91.0471
CI_0623_PG: 88.861
CI_0801_GG: 84.3548
CI_0801_PG: 88.2633
CI_0803_GG: 87.6485
CI_0803_PG: 88.1891
CI_0805_GG: 103.935
CI_0805_PG: 87.8178
CI_0807_GG: 97.4437
CI_0807_PG: 85.8974
CI_0809_GG: 95.983
CI_0809_PG: 86.9624
CI_0811_GG: 91.0371
CI_0811_PG: 86.9692
CI_0813_GG: 91.5832
CI_0813_PG: 86.2652
CI_0815_GG: 82.6696
CI_0815_PG: 87.7446
CI_0817_GG: 91.088
CI_0817_PG: 86.9593
CI_0819_GG: 90.1437
CI_0819_PG: 84.9413
CI_0821_GG: 82.1045
CI_0821_PG: 85.7074
CI_0823_GG: 85.2773
CI_0823_PG: 84.808
CI_1001_GG: 105.234
CI_1001_PG: 86.9601
CI_1003_GG: 108.261
CI_1003_PG: 86.1206
CI_1005_GG: 118.814
CI_1005_PG: 87.1713
CI_1007_GG: 109.251
CI_1007_PG: 86.4454
CI_1009_GG: 112.773
CI_1009_PG: 85.3474
CI_1011_GG: 111.972
CI_1011_PG: 84.2451
CI_1013_GG: 115.963
CI_1013_PG: 86.4154
CI_1015_GG: 119.308
CI_1015_PG: 84.1008
CI_1017_GG: 127.626
CI_1017_PG: 89.2564
CI_1019_GG: 102.289
CI_1019_PG: 85.2208
CI_1021_GG: 113.113
CI_1021_PG: 83.8898
CI_1023_GG: 107.833
CI_1023_PG: 87.7976
CI_1201_GG: 111.685
CI_1201_PG: 88.1745
CI_1203_GG: 114.571
CI_1203_PG: 85.8679
CI_1205_GG: 108.416
CI_1205_PG: 84.6453
CI_1207_GG: 117.633
CI_1207_PG: 84.8474
CI_1209_GG: 166.57
CI_1209_PG: 91.4365
CI_1211_GG: 164.325
CI_1211_PG: 91.111
CI_1213_GG: 179.237
CI_1213_PG: 91.6156
CI_1215_GG: 161.062
CI_1215_PG: 93.6563
CI_1217_GG: 166.321
CI_1217_PG: 90.4598
CI_1219_GG: 172.259
CI_1219_PG: 92.5215
CI_1221_GG: 172.385
CI_1221_PG: 89.16
CI_1223_GG: 160.493
CI_1223_PG: 91.3508
CI_1301_GG: 167.767
CI_1301_PG: 92.0312
CI_1304_GG: 162.918
CI_1304_PG: 90.344
CI_1307_GG: 169.724
CI_1307_PG: 88.3869
CI_1310_GG: 173.428
CI_1310_PG: 89.1589
CI_1313_GG: 185.285
CI_1313_PG: 90.5275
CI_1316_GG: 182.58
CI_1316_PG: 91.5264
CI_1319_GG: 108.173
CI_1319_PG: 89.724
CI_1322_GG: 163.599
CI_1322_PG: 91.7355
CI_1401_GG: 187.209
CI_1401_PG: 90.1268
CI_1403_GG: 157.978
CI_1403_PG: 90.4782
CI_1405_GG: 185.849
CI_1405_PG: 90.2187
CI_1407_GG: 125.049
CI_1407_PG: 89.7847
CI_1409_GG: 176.401
CI_1409_PG: 88.302
CI_1411_GG: 220.829
CI_1411_PG: 92.4941
CI_1413_GG: 188.515
CI_1413_PG: 88.2712
CI_1415_GG: 178.397
CI_1415_PG: 85.0163
CI_1601_GG: -1
CI_1601_PG: -1
CI_1602_GG: -1
CI_1602_PG: -1
CI_1603_GG: 176.209
CI_1603_PG: 90.4352
CI_1604_GG: -1
CI_1604_PG: -1
CI_1605_GG: -1
CI_1605_PG: -1
CI_1606_GG: -1
CI_1606_PG: -1
CI_1607_GG: -1
CI_1607_PG: -1
CI_1608_GG: -1
CI_1608_PG: -1
