RunRange: 533-1347
CSI_0101_L: 27.05
CSI_0101_R: 9.6908
CSI_0102_L: 33.8958
CSI_0102_R: 19.9988
CSI_0103_L: 34.7375
CSI_0103_R: 17
CSI_0104_L: 32.654
CSI_0104_R: 19.0935
CSI_0105_L: 32.2308
CSI_0105_R: 17
CSI_0106_L: 31.1368
CSI_0106_R: 19
CSI_0107_L: 29.84
CSI_0107_R: 14
CSI_0108_L: 28.5094
CSI_0108_R: 13
CSI_0109_L: 28.364
CSI_0109_R: 13.9988
CSI_0110_L: 26.3577
CSI_0110_R: 13
CSI_0111_L: 29.2033
CSI_0111_R: 11
CSI_0112_L: 20.7616
CSI_0112_R: 7.98624
CSI_0201_L: 40.0481
CSI_0201_R: 18
CSI_0203_L: 42.8954
CSI_0203_R: 21.0137
CSI_0205_L: 40.8795
CSI_0205_R: 20.2156
CSI_0207_L: 44.9349
CSI_0207_R: 22.502
CSI_0209_L: 38.3297
CSI_0209_R: 19.0509
CSI_0211_L: 43.425
CSI_0211_R: 20.9829
CSI_0213_L: 37.6065
CSI_0213_R: 15
CSI_0215_L: 35.3518
CSI_0215_R: 16
CSI_0217_L: 35.4686
CSI_0217_R: 15
CSI_0219_L: 36.0786
CSI_0219_R: 14
CSI_0221_L: 29.0376
CSI_0221_R: 8.9377
CSI_0223_L: 11.923
CSI_0223_R: 8
CSI_0301_L: 34.0757
CSI_0301_R: 15
CSI_0302_L: 38.5672
CSI_0302_R: 20
CSI_0303_L: 40.3236
CSI_0303_R: 22.0274
CSI_0304_L: 41.769
CSI_0304_R: 23.0443
CSI_0305_L: 143.232
CSI_0305_R: 33.198
CSI_0306_L: 39.1664
CSI_0306_R: 21
CSI_0307_L: 40.3265
CSI_0307_R: 23
CSI_0308_L: 42.6753
CSI_0308_R: 23
CSI_0309_L: 40.8109
CSI_0309_R: 19.072
CSI_0310_L: 41.9415
CSI_0310_R: 21
CSI_0311_L: 42.2463
CSI_0311_R: 21
CSI_0312_L: 39.7902
CSI_0312_R: 19.5986
CSI_0313_L: 35.5077
CSI_0313_R: 15
CSI_0314_L: 38.5877
CSI_0314_R: 16
CSI_0315_L: 37.0007
CSI_0315_R: 15.0007
CSI_0316_L: 33.947
CSI_0316_R: 14
CSI_0317_L: 33.2847
CSI_0317_R: 16
CSI_0318_L: 65.8564
CSI_0318_R: 48
CSI_0319_L: 32.2776
CSI_0319_R: 15
CSI_0320_L: 33.7466
CSI_0320_R: 16
CSI_0321_L: 26.6561
CSI_0321_R: 10.0354
CSI_0322_L: 27.1181
CSI_0322_R: 9
CSI_0323_L: 30.6707
CSI_0323_R: 10
CSI_0324_L: 27.9707
CSI_0324_R: 10.0066
CSI_0401_L: 36.2605
CSI_0401_R: 23.9994
CSI_0402_L: 39.5208
CSI_0402_R: 26.1183
CSI_0403_L: 37.1452
CSI_0403_R: 26
CSI_0404_L: 40.9036
CSI_0404_R: 29.117
