RunRange: 52-121
SI_0101_GG: 80.0604
SI_0101_PG: 64.8807
SI_0102_GG: 80.4083
SI_0102_PG: 67.4986
SI_0103_GG: 79.1067
SI_0103_PG: 63.6215
SI_0104_GG: 86.394
SI_0104_PG: 62.4411
SI_0105_GG: 88.4385
SI_0105_PG: 62.7674
SI_0106_GG: 89.3713
SI_0106_PG: 62.5838
SI_0107_GG: 81.8039
SI_0107_PG: 61.3749
SI_0108_GG: 84.2991
SI_0108_PG: 61.4578
SI_0109_GG: 96.9967
SI_0109_PG: 65.2831
SI_0110_GG: 101.779
SI_0110_PG: 63.9654
SI_0111_GG: 96.2764
SI_0111_PG: 64.6686
SI_0112_GG: 92.3021
SI_0112_PG: 61.7395
SI_0201_GG: 74.7004
SI_0201_PG: 65.8518
SI_0203_GG: 73.357
SI_0203_PG: 63.8836
SI_0205_GG: 74.2146
SI_0205_PG: 65.2071
SI_0207_GG: 74.623
SI_0207_PG: 62.5901
SI_0209_GG: 86.6488
SI_0209_PG: 62.1201
SI_0211_GG: 82.6696
SI_0211_PG: 62.2415
SI_0213_GG: 97.1532
SI_0213_PG: 61.8016
SI_0215_GG: 82.5608
SI_0215_PG: 59.2779
SI_0217_GG: 92.8252
SI_0217_PG: 63.1244
SI_0219_GG: 95.5589
SI_0219_PG: 62.8403
SI_0221_GG: 85.9957
SI_0221_PG: 63.5034
SI_0223_GG: 93.5919
SI_0223_PG: 58.454
SI_0301_GG: 106.407
SI_0301_PG: 67.3041
SI_0302_GG: 101.299
SI_0302_PG: 65.2679
SI_0303_GG: 115.269
SI_0303_PG: 66.2232
SI_0304_GG: 109.459
SI_0304_PG: 63.8091
SI_0305_GG: 96.1844
SI_0305_PG: 62.4865
SI_0306_GG: 104.215
SI_0306_PG: 63.1087
SI_0307_GG: 102.77
SI_0307_PG: 63.2913
SI_0308_GG: 122.184
SI_0308_PG: 62.3214
SI_0309_GG: 90.367
SI_0309_PG: 79.4647
SI_0310_GG: 98.684
SI_0310_PG: 80.9672
SI_0311_GG: 94.3737
SI_0311_PG: 83.4114
SI_0312_GG: 104.781
SI_0312_PG: 84.5749
SI_0313_GG: 89.7998
SI_0313_PG: 83.292
SI_0314_GG: 101.834
SI_0314_PG: 82.2816
SI_0315_GG: 97.7427
SI_0315_PG: 83.4954
SI_0316_GG: 89.303
SI_0316_PG: 80.9913
SI_0317_GG: 100.865
SI_0317_PG: 77.4478
SI_0318_GG: 99.9888
SI_0318_PG: 78.8322
SI_0319_GG: 100.443
SI_0319_PG: 80.0151
SI_0320_GG: 103.464
SI_0320_PG: 78.9153
SI_0321_GG: 97.6932
SI_0321_PG: 77.8554
SI_0322_GG: 90.8679
SI_0322_PG: 75.8932
SI_0323_GG: 105.762
SI_0323_PG: 77.5693
SI_0324_GG: 101.427
SI_0324_PG: 76.5336
SI_0401_GG: 118.367
SI_0401_PG: 79.3939
SI_0402_GG: 122.764
SI_0402_PG: 79.4195
SI_0403_GG: 120.923
SI_0403_PG: 77.6499
SI_0404_GG: 122.747
SI_0404_PG: 78.6068
SI_0405_GG: 131.801
SI_0405_PG: 77.3528
SI_0406_GG: 111.295
SI_0406_PG: 76.9566
SI_0407_GG: 112.112
SI_0407_PG: 79.332
SI_0408_GG: 124.569
SI_0408_PG: 78.7866
SI_0409_GG: 117.036
SI_0409_PG: 77.5226
SI_0410_GG: 127.808
SI_0410_PG: 78.5027
SI_0411_GG: 126.052
SI_0411_PG: 77.6612
SI_0412_GG: 127.38
SI_0412_PG: 79.3872
SI_0413_GG: 123.342
SI_0413_PG: 78.6368
SI_0414_GG: 118.059
SI_0414_PG: 76.8564
SI_0415_GG: 117.05
SI_0415_PG: 77.7544
SI_0416_GG: 116.95
SI_0416_PG: 77.6897
SI_0417_GG: 101.618
SI_0417_PG: 63.6217
SI_0418_GG: 71.3684
SI_0418_PG: 64.8856
SI_0419_GG: 79.9816
SI_0419_PG: 65.5278
SI_0420_GG: 74.5217
SI_0420_PG: 65.9247
SI_0421_GG: 72.8287
SI_0421_PG: 66.7543
SI_0422_GG: 71.4361
SI_0422_PG: 67.3478
SI_0423_GG: 80.6573
SI_0423_PG: 67.818
SI_0424_GG: 70.7088
SI_0424_PG: 62.2195
SI_0501_GG: 90.6323
SI_0501_PG: 61.6988
SI_0502_GG: 87.3508
SI_0502_PG: 62.0099
SI_0503_GG: 85.766
SI_0503_PG: 62.2488
SI_0504_GG: 98.5913
SI_0504_PG: 63.54
SI_0505_GG: 84.9727
SI_0505_PG: 64.7811
SI_0506_GG: 85.8944
SI_0506_PG: 64.167
SI_0507_GG: 73.2437
SI_0507_PG: 65.1004
SI_0508_GG: 75.0393
SI_0508_PG: 62.1693
SI_0509_GG: 96.8805
SI_0509_PG: 65.3538
SI_0510_GG: 106.124
SI_0510_PG: 67.4949
SI_0511_GG: 96.7504
SI_0511_PG: 66.5501
SI_0512_GG: 93.8835
SI_0512_PG: 66.7164
SI_0513_GG: 99.3786
SI_0513_PG: 64.497
SI_0514_GG: 100.049
SI_0514_PG: 66.3433
SI_0515_GG: 90.0496
SI_0515_PG: 66.1568
SI_0516_GG: 94.4834
SI_0516_PG: 62.8131
SI_0517_GG: 84.0193
SI_0517_PG: 66.695
SI_0518_GG: 90.6373
SI_0518_PG: 65.9513
SI_0519_GG: 90.1901
SI_0519_PG: 62.9155
SI_0520_GG: 119.653
SI_0520_PG: 63.8135
SI_0521_GG: 104.52
SI_0521_PG: 65.5926
SI_0522_GG: 84.4043
SI_0522_PG: 67.2737
SI_0523_GG: 81.6939
SI_0523_PG: 69.8912
SI_0524_GG: 88.6209
SI_0524_PG: 65.5812
SI_0601_GG: 45.3665
SI_0601_PG: 67.1305
SI_0602_GG: 68.5282
SI_0602_PG: 63.5401
SI_0603_GG: 73.9552
SI_0603_PG: 62.0565
SI_0604_GG: 83.5894
SI_0604_PG: 62.4656
SI_0605_GG: 69.2336
SI_0605_PG: 60.5481
SI_0606_GG: 93.0209
SI_0606_PG: 62.5985
SI_0607_GG: 94.5434
SI_0607_PG: 63.057
SI_0608_GG: 87.3972
SI_0608_PG: 60.9202
SI_0609_GG: 45.1409
SI_0609_PG: 53.6002
SI_0610_GG: 105.079
SI_0610_PG: 63.704
SI_0611_GG: 95.907
SI_0611_PG: 64.0585
SI_0612_GG: 102.323
SI_0612_PG: 62.0532
SI_0613_GG: 98.339
SI_0613_PG: 62.3597
SI_0614_GG: 87.9018
SI_0614_PG: 63.5643
SI_0615_GG: 92.2233
SI_0615_PG: 62.0045
SI_0616_GG: 97.9497
SI_0616_PG: 61.6048
SI_0617_GG: 37.4
SI_0617_PG: 48.4551
SI_0618_GG: 107.349
SI_0618_PG: 61.3611
SI_0619_GG: 97.4739
SI_0619_PG: 61.6309
SI_0620_GG: 89.7442
SI_0620_PG: 63.1145
SI_0621_GG: 88.4553
SI_0621_PG: 63.0666
SI_0622_GG: 95.2207
SI_0622_PG: 61.576
SI_0623_GG: 94.0029
SI_0623_PG: 60.5888
SI_0624_GG: 92.2731
SI_0624_PG: 61.7591
SI_0701_GG: 120.861
SI_0701_PG: 61.078
SI_0702_GG: 103.925
SI_0702_PG: 66.0536
SI_0703_GG: 108.383
SI_0703_PG: 64.3762
SI_0704_GG: 99.5087
SI_0704_PG: 62.5831
SI_0705_GG: 101.658
SI_0705_PG: 61.9644
SI_0706_GG: 103.89
SI_0706_PG: 63.3732
SI_0707_GG: 94.228
SI_0707_PG: 63.7252
SI_0708_GG: 109.075
SI_0708_PG: 63.094
SI_0709_GG: 65.6417
SI_0709_PG: 75.6027
SI_0710_GG: 72.98
SI_0710_PG: 73.4682
SI_0711_GG: 70.0436
SI_0711_PG: 73.24
SI_0712_GG: 66.8107
SI_0712_PG: 74.1471
SI_0713_GG: 69.2156
SI_0713_PG: 73.8169
SI_0714_GG: 76.1848
SI_0714_PG: 75.2345
SI_0715_GG: 86.0324
SI_0715_PG: 73.388
SI_0716_GG: 89.4813
SI_0716_PG: 73.6136
SI_0717_GG: 87.8649
SI_0717_PG: 74.3695
SI_0718_GG: 99.2868
SI_0718_PG: 76.5039
SI_0719_GG: 98.0073
SI_0719_PG: 73.4353
SI_0720_GG: 65.5963
SI_0720_PG: 69.3869
SI_0721_GG: 78.3272
SI_0721_PG: 73.5711
SI_0722_GG: 79.8164
SI_0722_PG: 74.5589
SI_0723_GG: 85.0064
SI_0723_PG: 75.0733
SI_0724_GG: 82.9182
SI_0724_PG: 73.3533
SI_0801_GG: 89.7899
SI_0801_PG: 75.2632
SI_0802_GG: 91.458
SI_0802_PG: 74.1651
SI_0803_GG: 94.54
SI_0803_PG: 74.7788
SI_0804_GG: 91.7152
SI_0804_PG: 73.8729
SI_0805_GG: 91.1009
SI_0805_PG: 73.7486
SI_0806_GG: 95.0568
SI_0806_PG: 74.6908
SI_0807_GG: 91.2702
SI_0807_PG: 73.9213
SI_0808_GG: 74.8709
SI_0808_PG: 67.8426
SI_0809_GG: 97.7459
SI_0809_PG: 74.2788
SI_0810_GG: 96.6829
SI_0810_PG: 74.3097
SI_0811_GG: 97.2856
SI_0811_PG: 74.3183
SI_0812_GG: 100.501
SI_0812_PG: 74.2229
SI_0813_GG: 99.97
SI_0813_PG: 75.1895
SI_0814_GG: 97.0727
SI_0814_PG: 75.2602
SI_0815_GG: 95.7156
SI_0815_PG: 75.6003
SI_0816_GG: 111.391
SI_0816_PG: 75.5424
SI_0817_GG: 62.3429
SI_0817_PG: 81.6766
SI_0818_GG: 56.3512
SI_0818_PG: 82.3521
SI_0819_GG: 59.6679
SI_0819_PG: 84.9132
SI_0820_GG: 57.9726
SI_0820_PG: 83.5195
SI_0821_GG: 37.4633
SI_0821_PG: 83.8979
SI_0822_GG: 66.3375
SI_0822_PG: 85.3182
SI_0823_GG: 67.5795
SI_0823_PG: 83.5171
SI_0824_GG: 96.4076
SI_0824_PG: 82.6569
SI_0901_GG: 70.2274
SI_0901_PG: 83.217
SI_0902_GG: 64.3873
SI_0902_PG: 85.2463
SI_0903_GG: 62.0178
SI_0903_PG: 82.7078
SI_0904_GG: 69.0548
SI_0904_PG: 82.9977
SI_0905_GG: 65.162
SI_0905_PG: 84.3278
SI_0906_GG: 72.8272
SI_0906_PG: 84.0483
SI_0907_GG: 59.5437
SI_0907_PG: 81.1667
SI_0908_GG: 65.806
SI_0908_PG: 84.4098
SI_0909_GG: 70.5729
SI_0909_PG: 84.2781
SI_0910_GG: 73.2426
SI_0910_PG: 83.7954
SI_0911_GG: 69.2138
SI_0911_PG: 83.9407
SI_0912_GG: 75.9418
SI_0912_PG: 83.6016
SI_0913_GG: 71.1724
SI_0913_PG: 81.5458
SI_0914_GG: 76.8011
SI_0914_PG: 81.7077
SI_0915_GG: 66.4141
SI_0915_PG: 79.8265
SI_0916_GG: 72.7704
SI_0916_PG: 80.749
SI_0917_GG: 106.104
SI_0917_PG: 80.2454
SI_0918_GG: 98.9268
SI_0918_PG: 83.9192
SI_0919_GG: 113.541
SI_0919_PG: 78.1695
SI_0920_GG: 115.528
SI_0920_PG: 82.504
SI_0921_GG: 112.432
SI_0921_PG: 84.0182
SI_0922_GG: 79.2144
SI_0922_PG: 84.072
SI_0923_GG: 123.951
SI_0923_PG: 79.9055
SI_0924_GG: 114.48
SI_0924_PG: 85.9897
