# Runlist.csv file written by KVINDRADB::WriteRunListFile on Tue Dec  7 10:55:16 2010
Version=10
2 | Buffers=8067 | Events=32247 | Faraday 1=0 | Faraday 2=0 | DEC=0 | FC=0 | OK=0 | FT=0 | AVL=0 | OCD=0 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=35976 | Gene TM=0 | Gene MARQ=35976 | OA=0 | RAZ=0 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=48.660367 | Size (MB)=126.046900 | Dead time (%)=0.000000 | Start Date=12-NOV-2010 09:31:29.00 | End Date=12-NOV-2010 10:20:19.00 | Comments=Piedestaux ChIo/Si sans HT | 
3 | Buffers=7433 | Events=22285 | Faraday 1=0 | Faraday 2=0 | DEC=1205786 | FC=22007 | OK=22007 | FT=22007 | AVL=0 | OCD=22007 | Gene LASER=0 | Gene ELECT=22007 | Gene TEST=0 | Gene DIRECT=88795 | Gene TM=0 | Gene MARQ=88795 | OA=22007 | RAZ=22006 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=7.934988 | Size (MB)=116.140600 | Dead time (%)=0.000000 | Start Date=15-NOV-2010 17:03:06.00 | End Date=15-NOV-2010 17:11:04.00 | Comments=Rampes gene sur siliciums | Logbook=p.14 | 
4 | Buffers=21916 | Events=65728 | Faraday 1=0 | Faraday 2=0 | DEC=5769349 | FC=87744 | OK=87744 | FT=87744 | AVL=0 | OCD=87744 | Gene LASER=0 | Gene ELECT=87744 | Gene TEST=0 | Gene DIRECT=385784 | Gene TM=0 | Gene MARQ=385784 | OA=87744 | RAZ=87744 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=23.276617 | Size (MB)=342.437500 | Dead time (%)=0.000000 | Start Date=15-NOV-2010 17:14:01.00 | End Date=15-NOV-2010 17:37:09.00 | Comments=Rampes gene sur siliciums | Logbook=p.14 | 
5 | Buffers=1013 | Events=35384 | Faraday 1=0 | Faraday 2=0 | DEC=8683224 | FC=123162 | OK=123162 | FT=123162 | AVL=0 | OCD=123162 | Gene LASER=0 | Gene ELECT=123166 | Gene TEST=0 | Gene DIRECT=607707 | Gene TM=0 | Gene MARQ=607707 | OA=123162 | RAZ=123162 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=12.571752 | Size (MB)=15.828120 | Dead time (%)=0.000000 | Start Date=15-NOV-2010 17:44:09.00 | End Date=15-NOV-2010 17:56:26.00 | Comments=Rampes gene sur ChIo | Logbook=p.14 | 
6 | Buffers=1236 | Events=4926 | Faraday 1=0 | Faraday 2=0 | DEC=3330 | FC=1239 | OK=1239 | FT=1239 | AVL=0 | OCD=1239 | Gene LASER=0 | Gene ELECT=1239 | Gene TEST=0 | Gene DIRECT=5252 | Gene TM=0 | Gene MARQ=5252 | OA=1239 | RAZ=1240 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=1.831945 | Size (MB)=19.312500 | Dead time (%)=0.000000 | Start Date=18-NOV-2010 19:11:16.00 | End Date=18-NOV-2010 19:13:11.00 | Comments=??? a verifier | 
7 | Buffers=494 | Events=1957 | Faraday 1=0 | Faraday 2=0 | DEC=3314 | FC=1969 | OK=1969 | FT=1969 | AVL=0 | OCD=1969 | Gene LASER=0 | Gene ELECT=1969 | Gene TEST=0 | Gene DIRECT=8172 | Gene TM=0 | Gene MARQ=8172 | OA=1969 | RAZ=1970 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Length (min.)=0.791875 | Size (MB)=7.718750 | Dead time (%)=0.000000 | Start Date=18-NOV-2010 19:17:17.00 | End Date=18-NOV-2010 19:18:10.00 | Comments=??? a verifier | 
8 | Buffers=1632 | Events=103250 | Faraday 1=0 | Faraday 2=0 | DEC=106157 | FC=103294 | OK=103294 | FT=103294 | AVL=0 | OCD=103294 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=307883 | Gene TM=5138 | Gene MARQ=0 | OA=103294 | RAZ=103295 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=27.392133 | Size (MB)=25.500000 | Dead time (%)=1.668816 | Start Date=19-NOV-2010 09:46:24.00 | End Date=19-NOV-2010 10:14:05.00 | Logbook=p.18 | 
9 | Buffers=63910 | Events=5698862 | Faraday 1=0 | Faraday 2=0 | DEC=5727942 | FC=4146045 | OK=4146045 | FT=4146045 | AVL=0 | OCD=4146045 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=507766 | Gene TM=200486 | Gene MARQ=0 | OA=4146045 | RAZ=4146045 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=118.017717 | Size (MB)=998.593800 | Dead time (%)=39.483936 | Start Date=19-NOV-2010 10:35:26.00 | End Date=19-NOV-2010 12:33:26.00 | Logbook=p.18 | 
10 | Buffers=63908 | Events=5974822 | Faraday 1=0 | Faraday 2=0 | DEC=8265882 | FC=5973715 | OK=5973714 | FT=5973714 | AVL=0 | OCD=5973714 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=713896 | Gene TM=284536 | Gene MARQ=0 | OA=5973714 | RAZ=5973714 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=63.121350 | Size (MB)=998.562500 | Dead time (%)=39.856785 | Start Date=19-NOV-2010 12:33:26.00 | End Date=19-NOV-2010 13:36:30.00 | Logbook=p.18 | 
11 | Buffers=63908 | Events=5856512 | Faraday 1=0 | Faraday 2=0 | DEC=12365581 | FC=5857136 | OK=5857136 | FT=5857136 | AVL=0 | OCD=5857136 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=572165 | Gene TM=251469 | Gene MARQ=0 | OA=5857136 | RAZ=5857137 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=50.552800 | Size (MB)=998.562500 | Dead time (%)=43.950436 | Start Date=19-NOV-2010 13:36:30.00 | End Date=19-NOV-2010 14:27:16.00 | Logbook=p.18 | 
12 | Buffers=63909 | Events=5788889 | Faraday 1=0 | Faraday 2=0 | DEC=9432863 | FC=5789049 | OK=5789049 | FT=5789049 | AVL=0 | OCD=5789049 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=607900 | Gene TM=263994 | Gene MARQ=0 | OA=5789049 | RAZ=5789050 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | PRG23=0 | Trigger multiplicity=1 | Length (min.)=53.767200 | Size (MB)=998.578100 | Dead time (%)=43.427208 | Start Date=19-NOV-2010 14:27:16.00 | End Date=19-NOV-2010 15:21:09.00 | Logbook=p.18 | 
