#######################################################
#$Id: ChIo_fit_PG_GG.dat,v 1.1 2006/03/20 01:08:21 franklan Exp $
#
#Facteurs de conversion PG -> GG pour les detecteurs
#Chio pendant la 5eme campagne. Obtenus par un fit
#lineaire de (GG-pied) vs. (PG-pied) pour un run physique
#(run6300).
#Utilisation:
#	GG = pied_GG + alpha + (PG - pied_PG) * beta
#
#Dans ce fichier on donne:
# cou mod  alpha beta
#######################################################
2 1 -23.174 14.8608
2 3 -20.6194 14.8951
2 5 -22.7791 14.7837
2 7 -25.6642 14.9832
2 9 -27.1991 15.058
2 11 -29.8768 14.9399
2 13 -30.2247 14.9679
2 15 -29.4206 15.0148
2 17 -32.8743 15.1319
2 19 -33.2839 14.8219
2 21 -37.4232 14.7363
2 23 -37.7985 15.0161
4 1 -39.6276 14.9412
4 3 -42.9606 14.8813
4 5 -45.6882 14.8537
4 7 -47.2216 15.0015
4 9 -45.5743 14.8318
4 11 -49.9325 15.0403
4 13 -52.3036 14.8106
4 15 -56.9396 15.2979
4 17 -58.3428 14.9149
4 19 -60.3801 15.0949
4 21 -61.2203 14.9627
4 23 -63.7712 14.8833
6 1 -60.873 14.8353
6 3 -65.4198 14.9455
6 5 -67.4828 15.0915
6 7 -62.3746 15.0813
6 9 -62.6336 15.0842
6 11 -62.0814 14.9179
6 13 -65.5694 14.8401
6 15 -68.2016 14.9716
6 17 -13.9717 15.1316
6 19 -21.2602 15.1495
6 21 -21.2436 15.4075
6 23 -19.8054 15.1198
8 1 -20.2618 15.2686
8 3 -15.5391 15.0063
8 5 -21.097 15.2196
8 7 -21.1478 15.194
8 9 -28.0134 15.0437
8 11 -26.9992 15.3947
8 13 -27.3714 15.0602
8 15 -34.667 15.2207
8 17 -28.7399 15.3648
8 19 -34.4156 15.3493
8 21 -31.2381 15.1989
8 23 -40.3588 14.7504
