Run 6772  11-APR-01 10:22:21 
Total   32494 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  4        0    0.000    0.000   32494   55.552    0.907
 1  1  5        0    0.000    0.000   32494   70.073    0.450
 1  2  4        0    0.000    0.000   32494   56.382    0.893
 1  2  5        0    0.000    0.000   32494   73.437    0.628
 1  3  4        0    0.000    0.000   32494   94.907    0.874
 1  3  5        0    0.000    0.000   32494   82.651    0.552
 1  4  4        0    0.000    0.000   32494   62.529    0.910
 1  4  5        0    0.000    0.000   32494   74.520    0.578
 1  5  4        0    0.000    0.000   32494   51.876    0.908
 1  5  5        0    0.000    0.000   32494   69.918    0.541
 1  6  4        0    0.000    0.000   32494   53.501    0.893
 1  6  5        0    0.000    0.000   32494   69.884    0.524
 1  7  4        0    0.000    0.000   32494   64.451    0.860
 1  7  5        0    0.000    0.000   32494   69.977    0.563
 1  8  4        0    0.000    0.000   32494   56.216    0.646
 1  8  5        0    0.000    0.000   32494   70.683    0.518
 1  9  4        0    0.000    0.000   32494   62.658    0.920
 1  9  5        0    0.000    0.000   32494   71.592    0.545
 1 10  4        0    0.000    0.000   32494   73.722    0.971
 1 10  5        0    0.000    0.000   32494   69.483    0.588
 1 11  4        0    0.000    0.000   32494   57.487    0.947
 1 11  5        0    0.000    0.000   32494   69.983    0.576
 1 12  4        0    0.000    0.000   32494   56.205    0.993
 1 12  5        0    0.000    0.000   32494   71.372    0.611
 2  1  1        0    0.000    0.000   32494   38.927    7.194
 2  1  2        0    0.000    0.000   32494   69.907    0.672
 2  1  4        0    0.000    0.000   32494   69.656    0.903
 2  1  5        0    0.000    0.000   32494   71.598    0.534
 2  3  1        0    0.000    0.000   32494   40.139   13.304
 2  3  2        0    0.000    0.000   32494   70.541    1.075
 2  3  4        0    0.000    0.000   32494   51.883    5.029
 2  3  5        0    0.000    0.000   32494   75.198    0.702
 2  5  1        0    0.000    0.000   32494   35.468    6.540
 2  5  2        0    0.000    0.000   32494   69.835    0.682
 2  5  4        0    0.000    0.000   32494   57.614    0.912
 2  5  5        0    0.000    0.000   32494   73.775    0.576
 2  7  1        0    0.000    0.000   32494   45.868    7.146
 2  7  2        0    0.000    0.000   32494   68.406    0.704
 2  7  4        0    0.000    0.000   32494   56.321    0.917
 2  7  5        0    0.000    0.000   32494   73.671    0.527
 2  9  1        0    0.000    0.000   32494   36.337    6.580
 2  9  2        0    0.000    0.000   32494   69.249    0.679
 2  9  4        0    0.000    0.000   32494   58.100    1.086
 2  9  5        0    0.000    0.000   32494   69.888    0.516
 2 11  1        0    0.000    0.000   32494   35.315    7.258
 2 11  2        0    0.000    0.000   32494   70.123    0.707
 2 11  4        0    0.000    0.000   32494   62.965    0.870
 2 11  5        0    0.000    0.000   32494   71.264    0.605
 2 13  1        0    0.000    0.000   32494   45.781    6.898
 2 13  2        0    0.000    0.000   32494   69.453    0.692
 2 13  4        0    0.000    0.000   32494   59.508    1.348
 2 13  5        0    0.000    0.000   32494   70.400    0.610
 2 15  1        0    0.000    0.000   32494   33.605    7.196
 2 15  2        0    0.000    0.000   32494   70.449    0.708
 2 15  4        0    0.000    0.000   32494   47.954    1.503
 2 15  5        0    0.000    0.000   32494   70.565    0.559
 2 17  1        0    0.000    0.000   32494   61.768    6.933
 2 17  2        0    0.000    0.000   32494   68.907    0.686
 2 17  4        0    0.000    0.000   32494   67.194    0.916
 2 17  5        0    0.000    0.000   32494   70.423    0.581
 2 19  1        0    0.000    0.000   32494   60.009    9.724
 2 19  2        0    0.000    0.000   32494   69.949    0.849
 2 19  4        0    0.000    0.000   32494   62.898    0.936
 2 19  5        0    0.000    0.000   32494   71.851    0.579
 2 21  1        0    0.000    0.000   32494   57.540    6.455
 2 21  2        0    0.000    0.000   32494   69.581    0.690
 2 21  4        0    0.000    0.000   32494   65.696    5.574
 2 21  5        0    0.000    0.000   32494   69.774    0.668
 2 23  1        0    0.000    0.000   32494   62.838    9.695
 2 23  2        0    0.000    0.000   32494   67.608    0.841
 2 23  4        0    0.000    0.000   32494   58.909    0.825
 2 23  5        0    0.000    0.000   32494   68.912    0.554
 3  1  4        0    0.000    0.000   32494   63.553    0.997
 3  1  5        0    0.000    0.000   32494   71.243    0.596
 3  2  4        0    0.000    0.000   32494   63.003    0.949
 3  2  5        0    0.000    0.000   32494   71.736    0.525
 3  3  4        0    0.000    0.000   32494   70.226    7.048
 3  3  5        0    0.000    0.000   32494   70.199    0.727
 3  4  4        0    0.000    0.000   32494   67.529    6.876
 3  4  5        0    0.000    0.000   32494   71.655    0.712
 3  5  4        0    0.000    0.000   32494   57.420    0.942
 3  5  5        0    0.000    0.000   32494   70.261    0.619
 3  6  4        0    0.000    0.000   32494   66.822    0.929
 3  6  5        0    0.000    0.000   32494   71.041    0.578
 3  7  4        0    0.000    0.000   32494   67.983    0.940
 3  7  5        0    0.000    0.000   32494   69.172    0.624
 3  8  4        0    0.000    0.000   32494   71.642    0.927
 3  8  5        0    0.000    0.000   32494   70.783    0.591
 3  9  4        0    0.000    0.000   32494   94.259    1.050
 3  9  5        0    0.000    0.000   32494   84.396    0.573
 3 10  4        0    0.000    0.000   32494  101.556    1.052
 3 10  5        0    0.000    0.000   32494   85.952    0.642
 3 11  4        0    0.000    0.000   32494   97.905    1.694
 3 11  5        0    0.000    0.000   32494   88.457    0.718
 3 12  4        0    0.000    0.000   32494  106.379    1.133
 3 12  5        0    0.000    0.000   32494   89.608    0.710
 3 13  4        0    0.000    0.000   32494   94.745    2.078
 3 13  5        0    0.000    0.000   32494   88.282    0.693
 3 14  4        0    0.000    0.000   32494   99.283    1.075
 3 14  5        0    0.000    0.000   32494   88.081    0.662
 3 15  4        0    0.000    0.000   32494   99.517    1.064
 3 15  5        0    0.000    0.000   32494   88.605    0.681
 3 16  4        0    0.000    0.000   32494   91.836    1.022
 3 16  5        0    0.000    0.000   32494   86.076    0.669
 3 17  4        0    0.000    0.000   32494  102.107    1.122
 3 17  5        0    0.000    0.000   32494   83.128    0.664
 3 18  4        0    0.000    0.000   32494  105.416    1.149
 3 18  5        0    0.000    0.000   32494   83.912    0.672
 3 19  4        0    0.000    0.000   32494  104.222    1.160
 3 19  5        0    0.000    0.000   32494   85.165    0.674
 3 20  4        0    0.000    0.000   32494  103.714    1.301
 3 20  5        0    0.000    0.000   32494   84.083    0.657
 3 21  4        0    0.000    0.000   32494  100.565    5.538
 3 21  5        0    0.000    0.000   32494   82.923    0.768
 3 22  4        0    0.000    0.000   32494   94.543    5.523
 3 22  5        0    0.000    0.000   32494   80.995    0.764
 3 23  4        0    0.000    0.000   32494  107.891    1.113
 3 23  5        0    0.000    0.000   32494   82.546    0.671
 3 24  4        0    0.000    0.000   32494  104.171    1.112
 3 24  5        0    0.000    0.000   32494   81.198    0.667
 4  1  1        0    0.000    0.000   32494   56.464    7.371
 4  1  2        0    0.000    0.000   32494   69.635    0.731
 4  1  4        0    0.000    0.000   32494  122.033    1.227
 4  1  5        0    0.000    0.000   32494   84.658    0.695
 4  2  4        0    0.000    0.000   32494  124.493    1.282
 4  2  5        0    0.000    0.000   32494   84.533    0.699
 4  3  1        0    0.000    0.000   32494   53.046    7.172
 4  3  2        0    0.000    0.000   32494   66.902    0.717
 4  3  4        0    0.000    0.000   32494  122.795    1.254
 4  3  5        0    0.000    0.000   32494   82.948    0.701
 4  4  4        0    0.000    0.000   32494  124.206    1.257
 4  4  5        0    0.000    0.000   32494   83.784    0.698
 4  5  1        0    0.000    0.000   32494   54.062    6.342
 4  5  2        0    0.000    0.000   32494   67.026    0.674
 4  5  4        0    0.000    0.000   32494  128.629    1.277
 4  5  5        0    0.000    0.000   32494   83.369    0.708
 4  6  4        0    0.000    0.000   32494  116.555    1.195
 4  6  5        0    0.000    0.000   32494   82.268    0.695
 4  7  1        0    0.000    0.000   32494   49.837    6.383
 4  7  2        0    0.000    0.000   32494   67.960    0.668
 4  7  4        0    0.000    0.000   32494  114.433    1.343
 4  7  5        0    0.000    0.000   32494   84.088    0.699
 4  8  4        0    0.000    0.000   32494  124.749    1.221
 4  8  5        0    0.000    0.000   32494   83.694    0.709
 4  9  1        0    0.000    0.000   32494   73.083    6.538
 4  9  2        0    0.000    0.000   32494   70.438    0.691
 4  9  4        0    0.000    0.000   32494  117.720    5.243
 4  9  5        0    0.000    0.000   32494   83.145    0.783
 4 10  4        0    0.000    0.000   32494  128.824    5.519
 4 10  5        0    0.000    0.000   32494   83.562    0.792
 4 11  1        0    0.000    0.000   32494   71.625    6.404
 4 11  2        0    0.000    0.000   32494   69.297    0.686
 4 11  4        0    0.000    0.000   32494  128.769    1.489
 4 11  5        0    0.000    0.000   32494   82.533    0.688
 4 12  4        0    0.000    0.000   32494  127.191    1.304
 4 12  5        0    0.000    0.000   32494   84.558    0.685
 4 13  1        0    0.000    0.000   32494   70.658    6.635
 4 13  2        0    0.000    0.000   32494   68.949    0.703
 4 13  4        0    0.000    0.000   32494  123.875    2.357
 4 13  5        0    0.000    0.000   32494   83.272    0.712
 4 14  4        0    0.000    0.000   32494  118.728    1.316
 4 14  5        0    0.000    0.000   32494   82.163    0.716
 4 15  1        0    0.000    0.000   32494   69.779    7.507
 4 15  2        0    0.000    0.000   32494   70.771    0.736
 4 15  4        0    0.000    0.000   32494  118.783    1.296
 4 15  5        0    0.000    0.000   32494   82.764    0.710
 4 16  4        0    0.000    0.000   32494  120.118    1.270
 4 16  5        0    0.000    0.000   32494   82.730    0.726
 4 17  1        0    0.000    0.000   32494   70.955    8.146
 4 17  2        0    0.000    0.000   32494   68.796    0.771
 4 17  4        0    0.000    0.000   32494  105.790    0.962
 4 17  5        0    0.000    0.000   32494   72.731    0.627
 4 18  4        0    0.000    0.000   32494   77.197    0.964
 4 18  5        0    0.000    0.000   32494   74.601    0.656
 4 19  1        0    0.000    0.000   32494   69.489    6.768
 4 19  2        0    0.000    0.000   32494   66.962    0.700
 4 19  4        0    0.000    0.000   32494   85.341    0.992
 4 19  5        0    0.000    0.000   32494   74.920    0.696
 4 20  4        0    0.000    0.000   32494   81.990    1.037
 4 20  5        0    0.000    0.000   32494   75.618    0.694
 4 21  1        0    0.000    0.000   32494   68.459    6.197
 4 21  2        0    0.000    0.000   32494   66.981    0.690
 4 21  4        0    0.000    0.000   32494   79.609    1.009
 4 21  5        0    0.000    0.000   32494   75.952    0.690
 4 22  4        0    0.000    0.000   32494   75.943    0.951
 4 22  5        0    0.000    0.000   32494   76.781    0.675
 4 23  1        0    0.000    0.000   32494   60.281    6.222
 4 23  2        0    0.000    0.000   32494   67.123    0.694
 4 23  4        0    0.000    0.000   32494   86.609    0.982
 4 23  5        0    0.000    0.000   32494   77.090    0.671
 4 24  4        0    0.000    0.000   32494   74.944    0.933
 4 24  5        0    0.000    0.000   32494   71.597    0.659
 5  1  4        0    0.000    0.000   32494   96.486    1.023
 5  1  5        0    0.000    0.000   32494   71.536    0.670
 5  2  4        0    0.000    0.000   32494   92.453    2.611
 5  2  5        0    0.000    0.000   32494   71.538    0.699
 5  3  4        0    0.000    0.000   32494   93.668    1.109
 5  3  5        0    0.000    0.000   32494   71.805    0.685
 5  4  4        0    0.000    0.000   32494   95.623    1.066
 5  4  5        0    0.000    0.000   32494   73.074    0.697
 5  5  4        0    0.000    0.000   32494   88.317    1.030
 5  5  5        0    0.000    0.000   32494   74.298    0.685
 5  6  4        0    0.000    0.000   32494   92.350    1.190
 5  6  5        0    0.000    0.000   32494   73.551    0.691
 5  7  4        0    0.000    0.000   32494   78.457    0.980
 5  7  5        0    0.000    0.000   32494   74.047    0.680
 5  8  4        0    0.000    0.000   32494   80.583    0.962
 5  8  5        0    0.000    0.000   32494   71.203    0.658
 5  9  4        0    0.000    0.000   32494  101.035    5.411
 5  9  5        0    0.000    0.000   32494   75.256    0.764
 5 10  4        0    0.000    0.000   32494  102.575    6.405
 5 10  5        0    0.000    0.000   32494   76.769    0.795
 5 11  4        0    0.000    0.000   32494  108.578    1.324
 5 11  5        0    0.000    0.000   32494   82.987    0.676
 5 12  4        0    0.000    0.000   32494  101.226    1.202
 5 12  5        0    0.000    0.000   32494   76.439    0.681
 5 13  4        0    0.000    0.000   32494  106.043    1.188
 5 13  5        0    0.000    0.000   32494   73.656    0.693
 5 14  4        0    0.000    0.000   32494  108.079    1.188
 5 14  5        0    0.000    0.000   32494   75.952    0.682
 5 15  4        0    0.000    0.000   32494   94.853    1.176
 5 15  5        0    0.000    0.000   32494   75.383    0.664
 5 16  4        0    0.000    0.000   32494   99.273    1.161
 5 16  5        0    0.000    0.000   32494   74.084    0.698
 5 17  4        0    0.000    0.000   32494   89.255    1.195
 5 17  5        0    0.000    0.000   32494   75.730    0.684
 5 18  4        0    0.000    0.000   32494   93.925    1.980
 5 18  5        0    0.000    0.000   32494   75.575    0.701
 5 19  4        0    0.000    0.000   32494   95.730    1.290
 5 19  5        0    0.000    0.000   32494   73.395    0.692
 5 20  4        0    0.000    0.000   32494  113.763    1.330
 5 20  5        0    0.000    0.000   32494   75.357    0.696
 5 21  4        0    0.000    0.000   32494  101.329    1.297
 5 21  5        0    0.000    0.000   32494   74.236    0.645
 5 22  4        0    0.000    0.000   32494   84.699    1.241
 5 22  5        0    0.000    0.000   32494   76.215    0.674
 5 23  4        0    0.000    0.000   32494   86.241    1.166
 5 23  5        0    0.000    0.000   32494   78.698    0.680
 5 24  4        0    0.000    0.000   32494   92.965    1.259
 5 24  5        0    0.000    0.000   32494   74.988    0.665
 6  1  1        0    0.000    0.000   32494   65.885    6.994
 6  1  2        0    0.000    0.000   32494   67.399    0.715
 6  1  4        0    0.000    0.000   32494    1.403    1.382
 6  1  5        0    0.000    0.000   32494   17.683    0.483
 6  2  4        0    0.000    0.000   32494   25.349    1.711
 6  2  5        0    0.000    0.000   32494   14.897    0.407
 6  3  1        0    0.000    0.000   32494   82.525    7.458
 6  3  2        0    0.000    0.000   32494   67.936    0.733
 6  3  4        0    0.000    0.000   32494   29.298    6.108
 6  3  5        0    0.000    0.000   32494   13.531    0.649
 6  4  4        0    0.000    0.000   32494   38.396    5.637
 6  4  5        0    0.000    0.000   32494   13.824    0.655
 6  5  1        0    0.000    0.000   32494   76.296    7.592
 6  5  2        0    0.000    0.000   32494   67.133    0.760
 6  5  4        0    0.000    0.000   32494   44.333    1.666
 6  5  5        0    0.000    0.000   32494   13.958    0.523
 6  6  4        0    0.000    0.000   32494   46.171    1.672
 6  6  5        0    0.000    0.000   32494   13.915    0.502
 6  7  1        0    0.000    0.000   32494   82.802    7.551
 6  7  2        0    0.000    0.000   32494   67.472    0.737
 6  7  4        0    0.000    0.000   32494   49.655    1.659
 6  7  5        0    0.000    0.000   32494   14.331    0.541
 6  8  4        0    0.000    0.000   32494   41.444    1.657
 6  8  5        0    0.000    0.000   32494   12.954    0.494
 6  9  1        0    0.000    0.000   32494   77.337    7.441
 6  9  2        0    0.000    0.000   32494   69.545    0.751
 6  9  4        0    0.000    0.000   32494    0.252    0.624
 6  9  5        0    0.000    0.000   32494    4.822    0.496
 6 10  4        0    0.000    0.000   32494   53.582    1.673
 6 10  5        0    0.000    0.000   32494   14.227    0.465
 6 11  1        0    0.000    0.000   32494   83.052    6.767
 6 11  2        0    0.000    0.000   32494   69.751    0.711
 6 11  4        0    0.000    0.000   32494   52.223    1.759
 6 11  5        0    0.000    0.000   32494   15.660    0.496
 6 12  4        0    0.000    0.000   32494   56.557    1.694
 6 12  5        0    0.000    0.000   32494   13.352    0.544
 6 13  1        0    0.000    0.000   32494   70.762    7.190
 6 13  2        0    0.000    0.000   32494   67.175    0.757
 6 13  4        0    0.000    0.000   32494   52.014    5.533
 6 13  5        0    0.000    0.000   32494   13.510    0.635
