Run 7645  18-APR-01 14:09:04 
Total    3981 ev.  Physical       0 ev.
-------------------------------------------------------------
 c  m  t   n_phys ave_phys sig_phys  n_gene ave_gene sig_gene
-------------------------------------------------------------
 1  1  4        0    0.000    0.000    3981   54.867    0.910
 1  1  5        0    0.000    0.000    3981   69.166    0.467
 1  2  4        0    0.000    0.000    3981   55.820    0.865
 1  2  5        0    0.000    0.000    3981   72.519    0.589
 1  3  4        0    0.000    0.000    3981   94.427    0.875
 1  3  5        0    0.000    0.000    3981   81.719    0.506
 1  4  4        0    0.000    0.000    3981   61.791    0.943
 1  4  5        0    0.000    0.000    3981   73.614    0.542
 1  5  4        0    0.000    0.000    3981   51.303    0.931
 1  5  5        0    0.000    0.000    3981   68.993    0.539
 1  6  4        0    0.000    0.000    3981   52.772    0.868
 1  6  5        0    0.000    0.000    3981   68.961    0.520
 1  7  4        0    0.000    0.000    3981   63.622    0.849
 1  7  5        0    0.000    0.000    3981   69.085    0.561
 1  8  4        0    0.000    0.000    3981   55.594    0.589
 1  8  5        0    0.000    0.000    3981   69.746    0.499
 1  9  4        0    0.000    0.000    3981   61.720    0.850
 1  9  5        0    0.000    0.000    3981   70.651    0.512
 1 10  4        0    0.000    0.000    3981   72.556    0.892
 1 10  5        0    0.000    0.000    3981   68.565    0.553
 1 11  4        0    0.000    0.000    3981   56.595    0.910
 1 11  5        0    0.000    0.000    3981   69.048    0.565
 1 12  4        0    0.000    0.000    3981   55.454    0.959
 1 12  5        0    0.000    0.000    3981   70.430    0.601
 2  1  1        0    0.000    0.000    3981   32.827    7.292
 2  1  2        0    0.000    0.000    3981   69.207    0.651
 2  1  4        0    0.000    0.000    3981   69.012    0.881
 2  1  5        0    0.000    0.000    3981   70.682    0.499
 2  3  1        0    0.000    0.000    3981   34.597   19.893
 2  3  2        0    0.000    0.000    3981   69.889    1.529
 2  3  4        0    0.000    0.000    3981   51.492    7.588
 2  3  5        0    0.000    0.000    3981   74.264    0.764
 2  5  1        0    0.000    0.000    3981   29.389    6.463
 2  5  2        0    0.000    0.000    3981   69.162    0.634
 2  5  4        0    0.000    0.000    3981   56.969    0.895
 2  5  5        0    0.000    0.000    3981   72.854    0.571
 2  7  1        0    0.000    0.000    3981   39.576    7.166
 2  7  2        0    0.000    0.000    3981   67.703    0.671
 2  7  4        0    0.000    0.000    3981   55.985    0.896
 2  7  5        0    0.000    0.000    3981   72.729    0.506
 2  9  1        0    0.000    0.000    3981   30.307    6.594
 2  9  2        0    0.000    0.000    3981   68.551    0.657
 2  9  4        0    0.000    0.000    3981   57.445    0.852
 2  9  5        0    0.000    0.000    3981   68.948    0.519
 2 11  1        0    0.000    0.000    3981   28.877    7.183
 2 11  2        0    0.000    0.000    3981   69.434    0.671
 2 11  4        0    0.000    0.000    3981   62.345    0.855
 2 11  5        0    0.000    0.000    3981   70.354    0.592
 2 13  1        0    0.000    0.000    3981   39.539    6.866
 2 13  2        0    0.000    0.000    3981   68.793    0.656
 2 13  4        0    0.000    0.000    3981   58.923   10.934
 2 13  5        0    0.000    0.000    3981   69.470    0.909
 2 15  1        0    0.000    0.000    3981   27.047    7.131
 2 15  2        0    0.000    0.000    3981   69.795    0.671
 2 15  4        0    0.000    0.000    3981   47.193    1.270
 2 15  5        0    0.000    0.000    3981   69.645    0.524
 2 17  1        0    0.000    0.000    3981   55.745    6.908
 2 17  2        0    0.000    0.000    3981   68.211    0.644
 2 17  4        0    0.000    0.000    3981   66.316    0.859
 2 17  5        0    0.000    0.000    3981   69.481    0.564
 2 19  1        0    0.000    0.000    3981   53.936    9.840
 2 19  2        0    0.000    0.000    3981   69.282    0.832
 2 19  4        0    0.000    0.000    3981   62.047    0.893
 2 19  5        0    0.000    0.000    3981   70.893    0.562
 2 21  1        0    0.000    0.000    3981   51.198    6.360
 2 21  2        0    0.000    0.000    3981   68.817    0.653
 2 21  4        0    0.000    0.000    3981   64.453    5.575
 2 21  5        0    0.000    0.000    3981   68.817    0.653
 2 23  1        0    0.000    0.000    3981   56.313    9.688
 2 23  2        0    0.000    0.000    3981   66.906    0.817
 2 23  4        0    0.000    0.000    3981   58.005    0.779
 2 23  5        0    0.000    0.000    3981   67.968    0.552
 3  1  4        0    0.000    0.000    3981   62.373    0.866
 3  1  5        0    0.000    0.000    3981   70.298    0.580
 3  2  4        0    0.000    0.000    3981   62.125    0.860
 3  2  5        0    0.000    0.000    3981   70.779    0.502
 3  3  4        0    0.000    0.000    3981   68.366   10.606
 3  3  5        0    0.000    0.000    3981   69.312    0.877
 3  4  4        0    0.000    0.000    3981   66.468   10.406
 3  4  5        0    0.000    0.000    3981   70.685    0.879
 3  5  4        0    0.000    0.000    3981   56.765    0.847
 3  5  5        0    0.000    0.000    3981   69.302    0.602
 3  6  4        0    0.000    0.000    3981   65.942    0.825
 3  6  5        0    0.000    0.000    3981   70.058    0.556
 3  7  4        0    0.000    0.000    3981   66.908    0.847
 3  7  5        0    0.000    0.000    3981   68.219    0.622
 3  8  4        0    0.000    0.000    3981   70.626    0.867
 3  8  5        0    0.000    0.000    3981   69.825    0.586
 3  9  4        0    0.000    0.000    3981   92.131    0.777
 3  9  5        0    0.000    0.000    3981   83.950    0.399
 3 10  4        0    0.000    0.000    3981   99.424    0.791
 3 10  5        0    0.000    0.000    3981   85.548    0.515
 3 11  4        0    0.000    0.000    3981   95.640    1.784
 3 11  5        0    0.000    0.000    3981   88.019    0.610
 3 12  4        0    0.000    0.000    3981  104.007    0.802
 3 12  5        0    0.000    0.000    3981   89.218    0.603
 3 13  4        0    0.000    0.000    3981   92.459    1.794
 3 13  5        0    0.000    0.000    3981   87.853    0.560
 3 14  4        0    0.000    0.000    3981   96.857    0.786
 3 14  5        0    0.000    0.000    3981   87.666    0.512
 3 15  4        0    0.000    0.000    3981   97.246    0.788
 3 15  5        0    0.000    0.000    3981   88.183    0.566
 3 16  4        0    0.000    0.000    3981   89.768    0.769
 3 16  5        0    0.000    0.000    3981   85.655    0.520
 3 17  4        0    0.000    0.000    3981   99.963    0.833
 3 17  5        0    0.000    0.000    3981   82.705    0.513
 3 18  4        0    0.000    0.000    3981  103.149    0.797
 3 18  5        0    0.000    0.000    3981   83.495    0.542
 3 19  4        0    0.000    0.000    3981  101.842    0.795
 3 19  5        0    0.000    0.000    3981   84.725    0.523
 3 20  4        0    0.000    0.000    3981  100.756    0.796
 3 20  5        0    0.000    0.000    3981   83.718    0.519
 3 21  4        0    0.000    0.000    3981   97.919    5.437
 3 21  5        0    0.000    0.000    3981   82.510    0.652
 3 22  4        0    0.000    0.000    3981   92.752    5.509
 3 22  5        0    0.000    0.000    3981   80.560    0.656
 3 23  4        0    0.000    0.000    3981  105.305    0.807
 3 23  5        0    0.000    0.000    3981   82.125    0.561
 3 24  4        0    0.000    0.000    3981  101.706    0.786
 3 24  5        0    0.000    0.000    3981   80.756    0.530
 4  1  1        0    0.000    0.000    3981   50.468    7.367
 4  1  2        0    0.000    0.000    3981   68.953    0.686
 4  1  4        0    0.000    0.000    3981  119.591    0.807
 4  1  5        0    0.000    0.000    3981   84.204    0.580
 4  2  4        0    0.000    0.000    3981  121.891    0.804
 4  2  5        0    0.000    0.000    3981   84.063    0.571
 4  3  1        0    0.000    0.000    3981   47.031    7.443
 4  3  2        0    0.000    0.000    3981   66.361    0.695
 4  3  4        0    0.000    0.000    3981  120.306    0.809
 4  3  5        0    0.000    0.000    3981   82.488    0.551
 4  4  4        0    0.000    0.000    3981  121.648    0.809
 4  4  5        0    0.000    0.000    3981   83.337    0.558
 4  5  1        0    0.000    0.000    3981   47.912    6.513
 4  5  2        0    0.000    0.000    3981   66.325    0.650
 4  5  4        0    0.000    0.000    3981  125.316    0.813
 4  5  5        0    0.000    0.000    3981   82.936    0.590
 4  6  4        0    0.000    0.000    3981  114.110    0.805
 4  6  5        0    0.000    0.000    3981   81.823    0.587
 4  7  1        0    0.000    0.000    3981   44.018    6.349
 4  7  2        0    0.000    0.000    3981   67.298    0.629
 4  7  4        0    0.000    0.000    3981  111.815    0.840
 4  7  5        0    0.000    0.000    3981   83.631    0.557
 4  8  4        0    0.000    0.000    3981  121.886    0.808
 4  8  5        0    0.000    0.000    3981   83.277    0.592
 4  9  1        0    0.000    0.000    3981   66.797    6.636
 4  9  2        0    0.000    0.000    3981   69.768    0.645
 4  9  4        0    0.000    0.000    3981  115.182    5.168
 4  9  5        0    0.000    0.000    3981   82.638    0.661
 4 10  4        0    0.000    0.000    3981  126.254    5.377
 4 10  5        0    0.000    0.000    3981   83.062    0.664
 4 11  1        0    0.000    0.000    3981   65.232    6.442
 4 11  2        0    0.000    0.000    3981   68.588    0.644
 4 11  4        0    0.000    0.000    3981  125.810    0.890
 4 11  5        0    0.000    0.000    3981   82.066    0.572
 4 12  4        0    0.000    0.000    3981  124.540    0.806
 4 12  5        0    0.000    0.000    3981   84.093    0.577
 4 13  1        0    0.000    0.000    3981   64.050    6.681
 4 13  2        0    0.000    0.000    3981   68.239    0.657
 4 13  4        0    0.000    0.000    3981  121.309    1.890
 4 13  5        0    0.000    0.000    3981   82.781    0.604
 4 14  4        0    0.000    0.000    3981  115.921    0.801
 4 14  5        0    0.000    0.000    3981   81.677    0.587
 4 15  1        0    0.000    0.000    3981   63.483    7.519
 4 15  2        0    0.000    0.000    3981   70.050    0.680
 4 15  4        0    0.000    0.000    3981  116.196    0.816
 4 15  5        0    0.000    0.000    3981   82.285    0.583
 4 16  4        0    0.000    0.000    3981  117.437    0.809
 4 16  5        0    0.000    0.000    3981   82.221    0.629
 4 17  1        0    0.000    0.000    3981   64.502    8.099
 4 17  2        0    0.000    0.000    3981   68.073    0.723
 4 17  4        0    0.000    0.000    3981  103.789    0.824
 4 17  5        0    0.000    0.000    3981   70.822    0.547
 4 18  4        0    0.000    0.000    3981   75.097    0.863
 4 18  5        0    0.000    0.000    3981   72.686    0.580
 4 19  1        0    0.000    0.000    3981   63.025    6.682
 4 19  2        0    0.000    0.000    3981   66.239    0.649
 4 19  4        0    0.000    0.000    3981   83.079    0.857
 4 19  5        0    0.000    0.000    3981   73.000    0.635
 4 20  4        0    0.000    0.000    3981   79.582    0.865
 4 20  5        0    0.000    0.000    3981   73.690    0.610
 4 21  1        0    0.000    0.000    3981   61.844    6.200
 4 21  2        0    0.000    0.000    3981   66.262    0.644
 4 21  4        0    0.000    0.000    3981   77.358    0.860
 4 21  5        0    0.000    0.000    3981   74.044    0.627
 4 22  4        0    0.000    0.000    3981   73.845    0.840
 4 22  5        0    0.000    0.000    3981   74.863    0.595
 4 23  1        0    0.000    0.000    3981   53.991    6.261
 4 23  2        0    0.000    0.000    3981   66.433    0.639
 4 23  4        0    0.000    0.000    3981   84.441    0.824
 4 23  5        0    0.000    0.000    3981   75.178    0.604
 4 24  4        0    0.000    0.000    3981   72.965    0.865
 4 24  5        0    0.000    0.000    3981   69.680    0.578
 5  1  4        0    0.000    0.000    3981   94.253    0.854
 5  1  5        0    0.000    0.000    3981   69.601    0.571
 5  2  4        0    0.000    0.000    3981   90.236    2.596
 5  2  5        0    0.000    0.000    3981   69.652    0.617
 5  3  4        0    0.000    0.000    3981   91.277    0.919
 5  3  5        0    0.000    0.000    3981   69.876    0.609
 5  4  4        0    0.000    0.000    3981   93.312    0.840
 5  4  5        0    0.000    0.000    3981   71.126    0.618
 5  5  4        0    0.000    0.000    3981   85.820    0.844
 5  5  5        0    0.000    0.000    3981   72.413    0.625
 5  6  4        0    0.000    0.000    3981   89.896    1.012
 5  6  5        0    0.000    0.000    3981   71.631    0.610
