###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
CI_0401_GG 37.8293 0.0673345 9.4735 0.0483476 96.4393 75
CI_0401_PG 43.3647 0.00573661 0.810196 0.00416633 12.9188 6
CI_0403_GG 34.8803 0.057649 8.13823 0.0413193 54.3525 59
CI_0403_PG 40.5502 0.00515468 0.726438 0.00356402 13.6532 5
CI_0405_GG 36.435 0.0655743 9.23447 0.0459196 93.5306 71
CI_0405_PG 40.8548 0.00556234 0.785265 0.00407572 13.0029 4
CI_0407_GG 32.9729 0.0585728 8.24917 0.0420175 72.516 62
CI_0407_PG 41.761 0.00516823 0.731074 0.00357137 6.33863 5
CI_0409_GG 56.1576 0.0563929 7.96284 0.0397113 58.5793 61
CI_0409_PG 44.0785 0.00506972 0.712273 0.00350756 28.4414 4
CI_0411_GG 53.9314 0.0523142 7.38962 0.0372359 46.8222 55
CI_0411_PG 43.0846 0.00492823 0.693756 0.00336932 31.0055 4
CI_0413_GG 54.4323 0.0663962 9.35994 0.048276 55.1008 68
CI_0413_PG 42.829 0.00569622 0.803197 0.00393491 14.9265 5
CI_0415_GG 52.761 0.0658774 9.30496 0.0464656 45.5475 71
CI_0415_PG 44.5663 0.00556562 0.785038 0.00386764 12.1537 5
CI_0417_GG 54.077 0.074599 10.5322 0.0529832 78.5796 82
CI_0417_PG 42.7265 0.00614159 0.867492 0.00443522 10.885 5
CI_0419_GG 52.1949 0.0656282 9.26939 0.0461687 58.048 72
CI_0419_PG 40.4126 0.0055978 0.790058 0.00394706 14.0944 5
CI_0421_GG 52.6596 0.055514 7.82649 0.0388593 60.0623 60
CI_0421_PG 40.9663 0.00516173 0.723869 0.00349785 31.633 4
CI_0603_GG 68.2672 0.0351529 4.96354 0.0245951 47.9211 40
CI_0603_PG 41.9393 0.00427618 0.576787 0.00319597 115.669 3
