//http://www.nndc.bnl.gov/nudat2
//Isotopic abundance
//Extracted from http://www.nndc.bnl.gov/nudat2 in Octobre 2010
//
//z a abundance
1 1 99.985000
1 2 0.015000
2 3 0.000137
2 4 99.999863
3 6 7.590000
3 7 92.410000
4 9 100.000000
5 10 19.800000
5 11 80.200000
6 12 98.890000
6 13 1.110000
7 14 99.634000
7 15 0.366000
8 16 99.762000
8 17 0.038000
8 18 0.200000
9 19 100.000000
10 20 90.480000
10 21 0.270000
10 22 9.250000
11 23 100.000000
12 24 78.990000
12 25 10.000000
12 26 11.010000
13 27 100.000000
14 28 92.230000
14 29 4.683000
14 30 3.087000
15 31 100.000000
16 32 95.020000
16 33 0.750000
16 34 4.210000
16 36 0.020000
17 35 75.770000
17 37 24.230000
18 36 0.336500
18 38 0.063200
18 40 99.600300
19 39 93.258100
19 40 0.011700
19 41 6.730200
20 40 96.940000
20 42 0.647000
20 43 0.135000
20 44 2.090000
20 46 0.004000
20 48 0.187000
21 45 100.000000
22 46 8.250000
22 47 7.440000
22 48 73.720000
22 49 5.410000
22 50 5.180000
23 50 0.250000
23 51 99.750000
24 50 4.345000
24 52 83.789000
24 53 9.501000
24 54 2.365000
25 55 100.000000
26 54 5.845000
26 56 91.754000
26 57 2.119000
26 58 0.282000
27 59 100.000000
28 58 68.077000
28 60 26.223000
28 61 1.140000
28 62 3.634000
28 64 0.926000
29 63 69.170000
29 65 30.830000
30 64 48.630000
30 66 27.900000
30 67 4.100000
30 68 18.750000
30 70 0.620000
31 69 60.108000
31 71 39.892000
32 70 20.370000
32 72 27.310000
32 73 7.760000
32 74 36.730000
32 76 7.830000
33 75 100.000000
34 74 0.890000
34 76 9.370000
34 77 7.630000
34 78 23.770000
34 80 49.610000
34 82 8.730000
35 79 50.690000
35 81 49.310000
36 78 0.350000
36 80 2.280000
36 82 11.580000
36 83 11.490000
36 84 57.000000
36 86 17.300000
37 85 72.170000
37 87 27.830000
38 84 0.560000
38 86 9.860000
38 87 7.000000
38 88 82.580000
39 89 100.000000
40 90 51.450000
40 91 11.220000
40 92 17.150000
40 94 17.380000
40 96 2.800000
41 93 100.000000
42 92 14.840000
42 94 9.250000
42 95 15.920000
42 96 16.680000
42 97 9.550000
42 98 24.130000
42 100 9.630000
44 96 5.540000
44 98 1.870000
44 99 12.760000
44 100 12.600000
44 101 17.060000
44 102 31.550000
44 104 18.620000
45 103 100.000000
46 102 1.020000
46 104 11.140000
46 105 22.330000
46 106 27.330000
46 108 26.460000
46 110 11.720000
47 107 51.839000
47 109 48.161000
48 106 1.250000
48 108 0.890000
48 110 12.490000
48 111 12.800000
48 112 24.130000
48 113 12.220000
48 114 28.730000
48 116 7.490000
49 113 4.290000
49 115 95.710000
50 112 0.970000
50 114 0.660000
50 115 0.340000
50 116 14.540000
50 117 7.680000
50 118 24.220000
50 119 8.590000
50 120 32.580000
50 122 4.630000
50 124 5.790000
51 121 57.210000
51 123 42.790000
52 120 0.090000
52 122 2.550000
52 123 0.890000
52 124 4.740000
52 125 7.070000
52 126 18.840000
52 128 31.740000
52 130 34.080000
53 127 100.000000
54 124 0.095000
54 126 0.089000
54 128 1.910000
54 129 26.400000
54 130 4.071000
54 131 21.232000
54 132 26.909000
54 134 10.436000
54 136 8.857000
55 133 100.000000
56 130 0.106000
56 132 0.101000
56 134 2.417000
56 135 6.592000
56 136 7.854000
56 137 11.232000
56 138 71.698000
57 138 0.090000
57 139 99.910000
58 136 0.185000
58 138 0.251000
58 140 88.450000
58 142 11.114000
59 141 100.000000
60 142 27.200000
60 143 12.200000
60 144 23.800000
60 145 8.300000
60 146 17.200000
60 148 5.700000
60 150 5.600000
62 144 3.070000
62 147 14.990000
62 148 11.240000
62 149 13.820000
62 150 7.380000
62 152 26.750000
62 154 22.750000
63 151 47.810000
63 153 52.190000
64 152 0.200000
64 154 2.180000
64 155 14.800000
64 156 20.470000
64 157 15.650000
64 158 24.840000
64 160 21.860000
65 159 100.000000
66 156 0.060000
66 158 0.100000
66 160 2.340000
66 161 18.910000
66 162 25.510000
66 163 24.900000
66 164 28.180000
67 165 100.000000
68 162 0.139000
68 164 1.601000
68 166 33.503000
68 167 22.869000
68 168 26.978000
68 170 14.910000
69 169 100.000000
70 168 0.130000
70 170 3.040000
70 171 14.280000
70 172 21.830000
70 173 16.130000
70 174 31.830000
70 176 12.760000
71 175 97.410000
71 176 2.590000
72 174 0.160000
72 176 5.260000
72 177 18.600000
72 178 27.280000
72 179 13.620000
72 180 35.080000
73 181 99.988000
74 180 0.120000
74 182 26.500000
74 183 14.310000
74 184 30.640000
74 186 28.430000
75 185 37.400000
75 187 62.600000
76 184 0.020000
76 186 1.590000
76 187 1.600000
76 188 13.290000
76 189 16.210000
76 190 26.360000
76 192 40.930000
77 191 37.300000
77 193 62.700000
78 190 0.014000
78 192 0.782000
78 194 32.967000
78 195 33.832000
78 196 25.242000
78 198 7.163000
79 197 100.000000
80 196 0.150000
80 198 9.970000
80 199 16.870000
80 200 23.100000
80 201 13.180000
80 202 29.860000
80 204 6.870000
81 203 29.524000
81 205 70.476000
82 204 1.400000
82 206 24.100000
82 207 22.100000
82 208 52.400000
83 209 100.000000
92 234 0.005400
92 235 0.720400
92 238 99.274200
