# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
0 1 8071.32
1 1 7288.97
1 2 13135.7
1 3 14949.8
1 4 25901.5
1 5 32892.4
1 6 41863.8
1 7 49135
2 3 14931.2
2 4 2424.92
2 5 11386.2
2 6 17595.1
2 7 26101
2 8 31598
2 9 40939.4
2 10 48809.2
3 3 28667
3 4 25323.2
3 5 11678.9
3 6 14086.8
3 7 14908.1
3 8 20946.8
3 9 24954.3
3 10 33050.6
3 11 40797.3
3 12 50096
4 5 37996
4 6 18374.9
4 7 15770
4 8 4941.67
4 9 11347.6
4 10 12606.7
4 11 20174.1
4 12 25076.5
4 13 33247.8
4 14 39954.5
4 15 49798
4 16 57678
5 7 27868.3
5 8 22921.5
5 9 12415.7
5 10 12050.7
5 11 8667.93
5 12 13368.9
5 13 16562.2
5 14 23663.7
5 15 28972.3
5 16 37081.7
5 17 43770.8
5 18 52322
5 19 59364
6 8 35094.1
6 9 28910.5
6 10 15698.7
6 11 10650.3
6 12 0
6 13 3125.01
6 14 3019.89
6 15 9873.14
6 16 13694.1
6 17 21038.8
6 18 24926.2
6 19 32420.7
6 20 37557.6
6 21 45960
6 22 53281
7 10 38800.1
7 11 24303.6
7 12 17338.1
7 13 5345.48
7 14 2863.42
7 15 101.438
7 16 5683.66
7 17 7871.37
7 18 13114.5
7 19 15862.1
7 20 21765.1
7 21 25251.2
7 22 32038.7
7 23 38396
7 24 47543
7 25 56504
8 12 32048
8 13 23112.4
8 14 8007.36
8 15 2855.61
8 16 -4737
8 17 -808.813
8 18 -781.522
8 19 3334.87
8 20 3797.46
8 21 8062.91
8 22 9284.15
8 23 14613
8 24 19070.4
8 25 27442
8 26 35713
8 27 44954
8 28 53850
9 14 32658
9 15 16775.4
9 16 10680.3
9 17 1951.7
9 18 873.701
9 19 -1487.39
9 20 -17.404
9 21 -47.551
9 22 2793.38
9 23 3329.75
9 24 7559.53
9 25 11272.7
9 26 18271.8
9 27 24926.9
9 28 33226
9 29 40296
9 30 48903
9 31 56289
10 16 23996.5
10 17 16460.9
10 18 5317.17
10 19 1751.44
10 20 -7041.93
10 21 -5731.78
