//http://amdc.impcas.ac.cn/web/masseval.html
//Mass Excess in MeV
//Extracted from http://amdc.impcas.ac.cn/web/masseval.html in December 2018
//------
//Each line is:
//z a massexcess meas uncertainty
//------
// 0 -> from a systematic
// 1 -> measured
//
0 1 8.0713 1 0.0000
1 1 7.2890 1 0.0000
1 2 13.1357 1 0.0000
1 3 14.9498 1 0.0000
2 3 14.9312 1 0.0000
3 3 28.6670 0 2.0000
1 4 24.6211 1 0.1000
2 4 2.4249 1 0.0000
3 4 25.3232 1 0.2121
1 5 32.8924 1 0.0894
2 5 11.2312 1 0.0200
3 5 11.6789 1 0.0500
4 5 37.1390 0 2.0030
1 6 41.8757 1 0.2541
2 6 17.5921 1 0.0001
3 6 14.0869 1 0.0000
4 6 18.3750 1 0.0054
5 6 47.3200 0 2.0030
1 7 49.1350 0 1.0040
2 7 26.0731 1 0.0076
3 7 14.9071 1 0.0000
4 7 15.7690 1 0.0001
5 7 27.6765 1 0.0251
2 8 31.6097 1 0.0001
3 8 20.9458 1 0.0000
4 8 4.9417 1 0.0000
5 8 22.9216 1 0.0010
6 8 35.0643 1 0.0182
2 9 40.9358 1 0.0468
3 9 24.9549 1 0.0002
4 9 11.3485 1 0.0001
5 9 12.4165 1 0.0009
6 9 28.9110 1 0.0021
2 10 49.1971 1 0.0928
3 10 33.0526 1 0.0127
4 10 12.6075 1 0.0001
5 10 12.0506 1 0.0000
6 10 15.6987 1 0.0001
7 10 38.8000 1 0.4000
3 11 40.7283 1 0.0006
4 11 20.1772 1 0.0002
5 11 8.6677 1 0.0000
6 11 10.6494 1 0.0001
7 11 24.3036 1 0.0462
3 12 49.0096 1 0.0300
4 12 25.0778 1 0.0019
5 12 13.3694 1 0.0013
6 12 0.0000 1 0.0000
7 12 17.3381 1 0.0010
8 12 31.9146 1 0.0240
3 13 56.9809 1 0.0700
4 13 33.6591 1 0.0102
5 13 16.5619 1 0.0010
6 13 3.1250 1 0.0000
7 13 5.3455 1 0.0003
8 13 23.1154 1 0.0095
4 14 39.9545 1 0.1322
5 14 23.6637 1 0.0212
6 14 3.0199 1 0.0000
7 14 2.8634 1 0.0000
8 14 8.0078 1 0.0000
9 14 31.9644 1 0.0411
4 15 49.8258 1 0.1658
5 15 28.9582 1 0.0210
6 15 9.8731 1 0.0008
7 15 0.1014 1 0.0000
8 15 2.8556 1 0.0005
9 15 16.5668 1 0.0140
10 15 40.2154 1 0.0667
4 16 57.4471 1 0.1658
5 16 37.1125 1 0.0246
6 16 13.6941 1 0.0036
7 16 5.6839 1 0.0023
8 16 -4.7370 1 0.0000
9 16 10.6803 1 0.0083
10 16 23.9868 1 0.0205
5 17 43.7163 1 0.2041
6 17 21.0319 1 0.0174
7 17 7.8701 1 0.0150
8 17 -0.8088 1 0.0000
9 17 1.9517 1 0.0002
10 17 16.5004 1 0.0004
11 17 35.1732 1 1.0014
5 18 51.7926 1 0.2042
6 18 24.9193 1 0.0300
7 18 13.1132 1 0.0186
8 18 -0.7828 1 0.0000
9 18 0.8731 1 0.0005
10 18 5.3176 1 0.0004
11 18 25.0380 1 0.0939
5 19 59.7702 1 0.5254
6 19 32.4138 1 0.0984
7 19 15.8563 1 0.0164
8 19 3.3329 1 0.0026
9 19 -1.4874 1 0.0000
10 19 1.7520 1 0.0002
11 19 12.9294 1 0.0105
12 19 31.8284 1 0.0500
5 20 68.4500 0 0.8000
6 20 37.5036 1 0.2306
7 20 21.7665 1 0.0789
8 20 3.7962 1 0.0009
9 20 -0.0175 1 0.0000
10 20 -7.0419 1 0.0000
11 20 6.8506 1 0.0011
12 20 17.4777 1 0.0019
5 21 77.3300 0 0.9000
6 21 45.6430 0 0.5960
7 21 25.2319 1 0.1340
8 21 8.0620 1 0.0120
9 21 -0.0476 1 0.0018
10 21 -5.7318 1 0.0000
11 21 -2.1846 1 0.0001
12 21 10.9039 1 0.0008
13 21 26.9900 0 0.5960
6 22 53.6112 1 0.2315
7 22 31.7648 1 0.2078
8 22 9.2830 1 0.0569
9 22 2.7934 1 0.0124
10 22 -8.0247 1 0.0000
11 22 -5.1815 1 0.0002
12 22 -0.3999 1 0.0003
13 22 18.2010 0 0.4010
14 22 33.3380 0 0.5030
6 23 64.1710 0 0.9970
7 23 36.7204 1 0.4206
8 23 14.6214 1 0.1217
9 23 3.2853 1 0.0333
10 23 -5.1540 1 0.0001
11 23 -9.5299 1 0.0000
12 23 -5.4735 1 0.0002
13 23 6.7481 1 0.0003
14 23 23.6970 0 0.5030
7 24 46.9380 0 0.4010
8 24 18.5004 1 0.1649
9 24 7.5445 1 0.0977
10 24 -5.9516 1 0.0005
11 24 -8.4179 1 0.0000
12 24 -13.9336 1 0.0000
13 24 -0.0489 1 0.0002
14 24 10.7452 1 0.0195
15 24 33.3200 0 0.5030
7 25 55.9830 0 0.5030
8 25 27.3290 1 0.1651
9 25 11.3342 1 0.0964
10 25 -2.0355 1 0.0290
11 25 -9.3578 1 0.0012
12 25 -13.1928 1 0.0000
13 25 -8.9160 1 0.0001
14 25 3.8273 1 0.0100
15 25 19.7380 0 0.4010
8 26 34.6610 1 0.1649
9 26 18.6489 1 0.1112
10 26 0.4811 1 0.0184
11 26 -6.8608 1 0.0035
12 26 -16.2145 1 0.0000
13 26 -12.2102 1 0.0001
14 26 -7.1410 1 0.0001
15 26 10.9730 0 0.1960
16 26 27.0790 0 0.5960
8 27 44.6700 0 0.5000
9 27 25.4503 1 0.3898
10 27 7.0509 1 0.0908
11 27 -5.5178 1 0.0037
12 27 -14.5866 1 0.0001
13 27 -17.1969 1 0.0000
14 27 -12.3845 1 0.0001
15 27 -0.7225 1 0.0263
16 27 17.0280 0 0.4010
8 28 52.0800 0 0.6990
9 28 33.7416 1 0.3930
10 28 11.2997 1 0.1261
11 28 -0.9883 1 0.0102
12 28 -15.0188 1 0.0020
13 28 -16.8506 1 0.0001
14 28 -21.4928 1 0.0000
15 28 -7.1477 1 0.0012
16 28 4.0732 1 0.1600
17 28 27.5160 0 0.5960
9 29 40.1502 1 0.5254
10 29 18.3998 1 0.1495
11 29 2.6800 1 0.0073
12 29 -10.6028 1 0.0114
13 29 -18.2078 1 0.0003
14 29 -21.8951 1 0.0000
15 29 -16.9528 1 0.0004
16 29 -3.1564 1 0.0500
17 29 13.1622 1 0.1887
9 30 48.1120 0 0.5960
10 30 23.2801 1 0.2532
11 30 8.4747 1 0.0047
12 30 -8.8838 1 0.0034
13 30 -15.8648 1 0.0029
14 30 -24.4330 1 0.0000
15 30 -20.2009 1 0.0001
16 30 -14.0593 1 0.0002
17 30 4.4430 0 0.1960
18 30 20.9311 1 0.2062
9 31 56.1430 0 0.5460
10 31 31.1816 1 0.2662
11 31 12.2460 1 0.0140
12 31 -3.1222 1 0.0031
13 31 -14.9507 1 0.0022
14 31 -22.9490 1 0.0000
15 31 -24.4405 1 0.0000
16 31 -19.0425 1 0.0002
17 31 -7.0346 1 0.0034
18 31 11.3250 0 0.2000
10 32 36.9990 0 0.5030
11 32 18.6402 1 0.0373
12 32 -0.8289 1 0.0033
13 32 -11.0994 1 0.0072
14 32 -24.0777 1 0.0003
15 32 -24.3049 1 0.0000
16 32 -26.0155 1 0.0000
17 32 -13.3347 1 0.0006
18 32 -2.2004 1 0.0018
19 32 21.0980 0 0.4010
10 33 45.9970 0 0.5960
11 33 23.7801 1 0.4499
12 33 4.9623 1 0.0029
13 33 -8.4974 1 0.0070
14 33 -20.5143 1 0.0007
15 33 -26.3373 1 0.0011
16 33 -26.5859 1 0.0000
17 33 -21.0033 1 0.0004
18 33 -9.3843 1 0.0004
19 33 7.0420 0 0.1960
10 34 52.8420 0 0.5130
11 34 31.6801 1 0.5994
12 34 8.3233 1 0.0289
13 34 -3.0003 1 0.0031
14 34 -19.9569 1 0.0141
15 34 -24.5487 1 0.0008
16 34 -29.9317 1 0.0000
17 34 -24.4401 1 0.0000
18 34 -18.3783 1 0.0001
19 34 -1.2200 0 0.1960
20 34 13.8510 0 0.2980
11 35 38.2310 0 0.6700
12 35 15.6398 1 0.2697
13 35 -0.2237 1 0.0074
14 35 -14.3915 1 0.0359
15 35 -24.8578 1 0.0019
16 35 -28.8462 1 0.0000
17 35 -29.0135 1 0.0000
18 35 -23.0473 1 0.0007
19 35 -11.1729 1 0.0005
20 35 4.7880 0 0.1960
11 36 46.3030 0 0.6780
12 36 20.3802 1 0.6902
13 36 5.9504 1 0.1495
14 36 -12.4361 1 0.0718
15 36 -20.2510 1 0.0131
16 36 -30.6641 1 0.0002
17 36 -29.5220 1 0.0000
18 36 -30.2315 1 0.0000
19 36 -17.4171 1 0.0003
20 36 -6.4511 1 0.0400
21 36 15.3510 0 0.2980
11 37 53.5340 0 0.6870
12 37 28.2115 1 0.6989
13 37 9.8096 1 0.1802
14 37 -6.5715 1 0.1138
15 37 -18.9960 1 0.0379
16 37 -26.8964 1 0.0002
17 37 -31.7615 1 0.0001
18 37 -30.9477 1 0.0002
19 37 -24.8002 1 0.0001
20 37 -13.1361 1 0.0006
21 37 3.5200 0 0.3000
12 38 34.0740 0 0.5030
13 38 16.2099 1 0.3745
14 38 -4.1703 1 0.1048
15 38 -14.6216 1 0.0726
16 38 -26.8612 1 0.0072
17 38 -29.7981 1 0.0001
18 38 -34.7148 1 0.0002
19 38 -28.8008 1 0.0002
20 38 -22.0585 1 0.0002
21 38 -4.2490 0 0.2000
22 38 10.8700 0 0.3000
12 39 42.2750 0 0.5130
13 39 20.6500 0 0.4000
14 39 2.3204 1 0.1355
15 39 -12.7746 1 0.1126
16 39 -23.1627 1 0.0500
17 39 -29.8002 1 0.0017
18 39 -33.2422 1 0.0050
19 39 -33.8072 1 0.0000
20 39 -27.2827 1 0.0006
21 39 -14.1727 1 0.0240
22 39 2.2000 0 0.2000
12 40 48.3500 0 0.5000
13 40 27.5900 0 0.4000
14 40 5.4297 1 0.3451
15 40 -8.1144 1 0.1536
16 40 -22.8378 1 0.0040
17 40 -27.5578 1 0.0321
18 40 -35.0399 1 0.0000
19 40 -33.5355 1 0.0001
20 40 -34.8464 1 0.0000
21 40 -20.5233 1 0.0028
22 40 -8.8504 1 0.1600
23 40 12.1700 0 0.3000
13 41 33.4200 0 0.5000
14 41 12.1197 1 0.5547
15 41 -4.9798 1 0.1202
16 41 -19.0086 1 0.0041
17 41 -27.3072 1 0.0687
18 41 -33.0675 1 0.0003
19 41 -35.5595 1 0.0000
20 41 -35.1379 1 0.0001
21 41 -28.6424 1 0.0001
22 41 -15.6975 1 0.0279
23 41 0.3200 0 0.2000
13 42 40.1000 0 0.6000
14 42 16.4700 0 0.5000
15 42 1.0097 1 0.3144
16 42 -17.6377 1 0.0028
17 42 -24.8318 1 0.0596
18 42 -34.4227 1 0.0058
19 42 -35.0220 1 0.0001
20 42 -38.5472 1 0.0001
21 42 -32.1212 1 0.0002
22 42 -25.1047 1 0.0003
23 42 -7.6200 0 0.1960
24 42 6.7300 0 0.4000
13 43 47.0200 0 0.8000
14 43 23.1010 0 0.5960
15 43 4.6798 1 0.5547
16 43 -12.1955 1 0.0050
17 43 -24.1595 1 0.0619
18 43 -32.0098 1 0.0053
