# PACE2_2009.DATA
#
# This is the same as pace2_2001.data except the format is much simpler to read :)
# Each line is:
#  Z   A    MassExcess (keV)
#
0     1     8071.37
1     1     7289.03
1     2     13135.8
1     3     14949.9
2     3     14931.3
2     4     2424.91
2     5     11386
2     6     17592.2
2     7     26110.3
2     8     31598
3     5     11678
3     6     14085.4
3     7     14906.7
3     8     20945.3
3     9     24953.8
3     10     33835
3     11     40910
4     6     18373.5
4     7     15768.6
4     8     4941.6
4     9     11347.5
4     10     12606.8
4     11     20175.3
4     12     25076.7
5     7     27869.1
5     8     22920.1
5     9     12415.7
5     10     12050
5     11     8667.1
5     12     13369.3
5     13     16561
5     14     23663.7
5     15     28964.6
6     8     35094.8
6     9     28913.1
6     10     15700.4
6     11     10649.2
6     12     0.1
6     13     3125.03
6     14     3019.91
6     15     9873.1
6     16     13694.1
6     17     21025
6     18     24907.7
6     19     33332
7     11     24912
7     12     17338
7     13     5345.52
7     14     2863.43
7     15     101.49
7     16     5681.8
7     17     7870.7
7     18     13251.6
7     19     15866.9
7     20     22099.5
7     21     25251.2
7     22     32038.7
8     12     32063.4
8     13     23110.8
8     14     8006.47
8     15     2855.4
8     16     -4737.05
8     17     -809.5
8     18     -782.2
8     19     3332
8     20     3799.5
8     21     8062.91
8     22     9443.1
8     23     14613
8     24     19070.4
9     15     16772.7
9     16     10679.5
9     17     1951.5
9     18     872.9
9     19     -1487.4
9     20     -17
9     21     -47.9
9     22     2826
9     23     3354.4
9     24     8750.3
9     25     12541.2
10     16     24020.3
10     17     16482.8
10     18     5319.1
10     19     1750.9
10     20     -7046.2
10     21     -5735.3
10     22     -8026.5
10     23     -5155.5
10     24     -5949.6
10     25     -2155.8
10     26     440
10     27     6554.4
11     19     12929
11     20     6840.5
11     21     -2189
11     22     -5184.5
11     23     -9531.3
11     24     -8419.4
11     25     -9358.7
11     26     -6905
11     27     -5645.5
11     28     -1149.8
11     29     2629.3
11     30     8368
11     31     11804.7
11     32     16705
11     33     21445.8
11     34     26811.8
12     20     17571.4
12     21     10914
12     22     -396.5
12     23     -5472.9
12     24     -13933
12     25     -13192.3
12     26     -16213.9
12     27     -14586.5
12     28     -15018.6
12     29     -10722
12     30     -9728
12     31     -3894.4
12     32     -1779
12     33     3848.2
12     34     6963.6
12     35     13262
13     23     6767.8
13     24     -54.7
13     25     -8915.3
13     26     -12209.2
13     27     -17196.6
13     28     -16850.4
13     29     -18214.8
13     30     -15894.3
13     31     -15094.4
13     32     -11379
13     33     -9269.4
13     34     -4360.7
13     35     -1137.9
13     36     4111.5
14     24     10766.3
14     25     3827.8
14     26     -7144.1
14     27     -12385.1
14     28     -21492.2
14     29     -21894.6
14     30     -24432.9
14     31     -22949.9
14     32     -24079
14     33     -20569.4
14     34     -19860.7
14     35     -14837.9
14     36     -12664
14     37     -6997.1
14     38     -4562.2
15     26     11255.8
15     27     -752.9
15     28     -7160.4
15     29     -16950.3
15     30     -20206.9
15     31     -24440.6
15     32     -24305.7
15     33     -26337.4
15     34     -24560.7
15     35     -24937
15     36     -20888.4
15     37     -19097.1
15     38     -14562.2
15     39     -12303.8
15     40     -7640.6
16     28     4199.5
16     29     -3156.9
16     30     -14062.9
16     31     -19045
16     32     -26016
16     33     -26586.4
16     34     -29932.2
16     35     -28846.9
16     36     -30664.4
16     37     -26897.1
16     38     -26862.2
16     39     -23003.8
16     40     -22519.6
16     41     -17868.2
16     42     -16422.7
17     30     4837
17     31     -7065.2
17     32     -13329.5
17     33     -21003.8
17     34     -24439.8
17     35     -29013.7
17     36     -29522
17     37     -31761.8
17     38     -29798.2
17     39     -29803.8
17     40     -27540.6
17     41     -27398.2
17     42     -24422.7
17     43     -23133.4
17     44     -20010.4
18     32     -2179
18     33     -9380.2
18     34     -18379.2
18     35     -23048.8
18     36     -30231.3
18     37     -30947.9
18     38     -34714.8
18     39     -33241.8
18     40     -35040.6
18     41     -33068.2
18     42     -34422.7
18     43     -31977.2
18     44     -32269.5
18     45     -29720.1
18     46     -29716.7
19     34     -1479.2
19     35     -11168.4
19     36     -17425.9
19     37     -24799.3
19     38     -28801.7
19     39     -33806.8
19     40     -33535.9
19     41     -35560.4
19     42     -35023.8
19     43     -36591.6
19     44     -35810.4
19     45     -36611.1
19     46     -35418.7
19     47     -35696.7
19     48     -32123
20     36     -6440
20     37     -13160
20     38     -22060.5
20     39     -27276.2
20     40     -34847.5
20     41     -35139
20     42     -38547
20     43     -38408.6
20     44     -41469.3
20     45     -40812.8
20     46     -43138.1
20     47     -42342.8
20     48     -44214.6
20     49     -41290
20     50     -39569.9
