# ASCII file generated by KVIDGCsI::WriteToAsciiFile
# ID Graph Name : CSI_R_L_0601
# This file can be read using KVIDGCsI::ReadFromAsciiFile
# 
++KVIDGCsI
<VARX> CSI-L
<VARY> CSI-R
<PARAMETER> Runlist=1000-100000
<PARAMETER> IDTelescopes=CSI_R_L_0601
<PARAMETER> AUTOR=DIEGO_GRUYER
+KVIDCsIRLLine
ID:Z=1 A=1
1	1
23
54.8447   57.2087
74.6658   81.4683
105.993   117.935
160.023   176.609
170.673   188.209
280.181   305.149
313.03   339.927
326.458   355.825
347.324   377.189
368.604   400.043
379.967   412.464
391.742   424.884
403.932   437.802
412.195   446.745
423.352   459.662
440.292   478.045
462.398   502.389
505.179   548.616
551.22   598.265
576.438   623.927
600.037   650.704
640.525   692.544
4376.88   4795.22
+KVIDCsIRLLine
ID:Z=1 A=2
1	2
23
79.8752   96.6903
90.5815   110.47
112.645   137.715
159.9   192.116
218.205   257.302
276.57   322.04
324.217   373.783
360.082   414.101
408.099   466.208
430.944   491.657
442.714   504.649
454.087   516.612
466.255   530.631
501.333   568.664
512.704   580.833
524.742   594.237
537.45   607.849
549.622   621.253
562.725   636.713
576.244   649.92
601.807   679.095
627.901   705.913
4376.73   4818.35
+KVIDCsIRLLine
ID:Z=1 A=3
1	3
28
112.292   145.794
130.14   168.403
152.308   196.331
209.911   264.623
273.294   336.918
301.529   368.856
315.072   383.938
329.191   399.904
343.599   415.876
357.136   431.84
371.259   446.927
401.228   480.196
416.207   497.493
447.334   531.211
462.605   548.511
478.167   565.369
493.148   582.225
508.424   598.641
523.986   615.942
539.252   633.682
554.526   650.539
570.956   667.845
636.37   740.156
653.38   757.465
670.088   776.977
686.51   795.606
793.737   911.101
4834.86   5344.22
+KVIDCsIRLLine
ID:Z=2 A=3
2	3
25
196.581   331.607
214.368   359.785
241.266   400.977
274.252   448.9
291.118   472.109
340.129   542.263
356.997   565.255
374.187   587.603
390.629   611.025
442.292   679.685
459.482   701.923
495.113   748.785
523.942   785.454
538.62   803.576
566.392   840.348
609.793   895.134
682.325   985.512
758.412   1075.69
806.423   1130.88
869.008   1204.5
929.399   1275.69
975.76   1333.7
1031.27   1403.57
1752.57   2246.78
4287.4   4968.6
+KVIDCsIRLLine
ID:Z=2 A=4
2	4
34
45.2926   51.4813
71.2101   109.386
85.8206   142.555
103.938   178.718
126.042   221.29
154.228   274.534
188.953   336.247
234.924   413.134
258.731   448.729
297.314   509.954
314.553   534.159
330.972   559.788
347.39   583.993
382.69   633.826
416.347   682.237
468.065   754.852
490.23   784.752
513.215   814.653
535.38   844.553
558.366   874.454
650.532   993.88
700.31   1056.5
746.944   1113.19
804.75   1185.5
837.487   1225.23
881.347   1277.68
929.403   1338.07
977.747   1394.92
1023.22   1451.36
1270.1   1751.53
1537.95   2076.2
1940.73   2540.68
2300.89   2921.18
4328.84   5073.32
+KVIDCsIRLLine
ID:Z=2 A=6
2	6
25
126.452   239.028
145.413   278.031
196.112   375.109
230.702   435.461
301.321   555.271
344.154   626.528
367.157   660.584
389.587   694.636
434.438   764.097
472.497   819.498
509.695   875.347
548.039   931.204
586.102   986.153
625.602   1040.21
669.033   1102.1
705.163   1150.58
787.306   1260.52
888.791   1394.54
924.622   1438.62
970.511   1500.8
1030.29   1577
1268.3   1873.49
1689.05   2395.52
2230.22   3065.93
4335.39   5166.45
+KVIDCsIRLLine
ID:Z=4 A=8
4	8
25
208.189   415.368
263.546   519.321
314.324   608.262
358.056   683.596
408.024   765.297
450.11   830.22
469.866   863.348
546.934   981.827
576.096   1027.47
607.343   1071.34
646.64   1127.18
697.998   1203.83
755.265   1284.75
809.346   1362.42
903.965   1493.22
959.113   1566.82
1013.98   1640.41
1069.98   1714.04
1124.57   1787.17
1180   1860.75
1236.3   1933.91
1342.56   2064.98
1524.83   2288.83
1744.88   2557.03
4309.03   5904.27
+KVIDCsIRLLine
ID:Z=3 A=6
3	6
13
435.672   867.456
495.095   974.276
539.673   1050.84
585.75   1129.87
628.93   1200.79
673.954   1274.76
727.56   1363.79
805.358   1485.31
865.452   1579.54
1128.4   1975.88
1409.02   2390.68
1851.86   3035.65
4282.6   6746.13
+KVIDCsIRLLine
ID:Z=3 A=7
3	7
19
142.053   298.954
180.797   384.95
236.922   506.356
274.218   580.971
323.463   675.819
363.655   752.963
410.003   836.43
451.644   916.103
499.803   1005.89
554.064   1100.89
647.895   1265.4
703.741   1361.79
790.564   1504.16
840.047   1581.13
936.851   1736.86
1044.21   1902.12
1166.94   2086.67
1880.83   3135.56
4281.88   6792.92
+KVIDCsIRLLine
ID:Z=3 A=8
3	8
7
659.569   1310
757.31   1481.16
867.87   1660.83
972.844   1828.15
1153.71   2110.56
1419.25   2514.58
4282.82   6871.53
+KVIDCsIRLLine
ID:Z=4 A=7
4	7
13
324.666   705.391
393.645   843.987
465.793   987.234
525.998   1106.3
576.94   1203.96
688.087   1415.11
934.999   1860.67
1066.83   2097.35
1234.87   2378.47
1386.49   2633.78
1611.3   2995.23
1984.31   3552.66
4199.7   8058.43
+KVIDCsIRLLine
ID:Z=4 A=9
