# Electronic calibration generated using run 79
# for silicons of rings 6 & 7 with gain (4*sqrt(2))
# The calibration for rings 8 & 9 is just a copy of calibINDRA_SI_ChannelVolt.dat
RunList:                                 65000-199999
Signal:                                  PG
CalibType:                               Channel-Volt PG
CalibClass:                              FunctionCal
CalibOptions:                            func=pol3,min=0,max=1,inverse=true
SI_0601:                                 64.1622,1916.38,22.998,-9.03679
SI_0602:                                 60.4515,1965.22,22.1327,-8.70714
SI_0603:                                 58.5097,1938.29,23.2283,-8.82086
SI_0604:                                 59.6057,1938.82,20.1201,-7.989
SI_0605:                                 59.8009,1928.91,17.8628,-7.84004
SI_0606:                                 59.426,1929.49,25.793,-10.2414
SI_0607:                                 60.7073,1928.23,24.506,-9.49253
SI_0608:                                 58.0291,1943.56,26.4708,-9.14564
SI_0609:                                 50.6117,1942.21,19.5338,-6.56771
SI_0610:                                 61.3071,1943.84,18.8563,-7.36763
SI_0611:                                 61.3599,1915.84,20.8274,-8.8029
SI_0612:                                 59.6512,1927.17,19.8979,-8.22612
SI_0613:                                 60.2569,1993.81,21.8837,-8.84037
SI_0614:                                 61.7851,1989.39,21.4122,-8.78698
SI_0615:                                 59.7912,1970.95,18.4852,-7.36268
SI_0616:                                 59.7401,1985.54,22.8618,-9.1586
SI_0617:                                 47.0627,1925.42,17.6195,-7.669
SI_0618:                                 60.3712,1968.01,21.3934,-8.7272
SI_0619:                                 60.8397,1979.85,20.1436,-8.4219
SI_0620:                                 61.3807,1978.01,20.7803,-8.52191
SI_0621:                                 62.3568,1949.14,16.2079,-6.97014
SI_0622:                                 60.4832,1929.57,20.129,-8.37423
SI_0623:                                 59.7811,1924.26,13.2835,-5.75939
SI_0624:                                 61.004,1969.83,18.5827,-8.22816
SI_0701:                                 59.6271,1932.56,19.2398,-7.74789
SI_0702:                                 65.1692,1952,17.4097,-7.34906
SI_0703:                                 63.2494,1943.48,20.3187,-8.03113
SI_0704:                                 60.9662,1945.6,19.7311,-7.85111
SI_0705:                                 60.5902,1940.94,19.379,-7.82202
SI_0706:                                 61.7209,1911.75,18.9418,-7.74388
SI_0707:                                 62.0404,1910.72,23.2112,-9.02569
SI_0708:                                 61.4958,1968.42,18.4854,-7.44214
SI_0709:                                 76.3287,1895.39,25.1414,-9.83623
SI_0710:                                 73.5284,1921.52,27.8812,-10.2658
SI_0711:                                 73.7477,1880.15,19.5959,-7.9317
SI_0712:                                 74.5637,1937.52,20.6837,-8.30864
SI_0713:                                 74.7368,1945.98,22.4059,-9.3162
SI_0714:                                 75.8067,1970.2,21.6813,-8.96567
SI_0715:                                 73.9136,1903.54,32.2181,-11.8519
SI_0716:                                 75.0999,1951.77,32.2574,-11.0302
SI_0717:                                 75.4923,1939.38,21.0466,-7.13665
SI_0718:                                 77.95,1960.43,18.3512,-7.89367
SI_0719:                                 75.1769,1924,23.3859,-10.0312
SI_0720:                                 70.8577,1932.23,24.0009,-10.2363
SI_0721:                                 75.5818,1900.1,21.1167,-9.03423
SI_0722:                                 76.5444,1890.04,21.1105,-8.82308
SI_0723:                                 77.38,1856.61,24.0708,-9.26607
SI_0724:                                 74.9164,1925.4,22.7824,-8.77503
SI_0801:                                 71.9228,3979.44,32.1727,-27.9312
SI_0802:                                 70.9138,3978.88,31.5155,-27.9611
SI_0803:                                 71.7485,3940.32,25.0456,-21.1089
SI_0804:                                 70.8316,4033.61,42.9709,-34.9177
SI_0805:                                 70.9955,4005.66,48.8888,-36.442
SI_0806:                                 71.8125,3997.32,24.1108,-21.7471
SI_0807:                                 70.9351,3998.53,43.5328,-31.624
SI_0808:                                 64.2376,4043.46,24.3355,-22.564
SI_0809:                                 74.5845,3994.21,105.332,-78.5632
SI_0810:                                 74.02,4032.95,75.6104,-57.0695
SI_0811:                                 74.2181,4040.87,94.3523,-67.9957
SI_0812:                                 73.9411,4001.85,88.2506,-66.1813
SI_0813:                                 75.7931,3987.44,132.181,-94.1277
SI_0814:                                 75.8716,4044.79,123.328,-91.5288
SI_0815:                                 75.7984,4075.28,104.286,-77.0297
SI_0816:                                 75.9048,4112.78,74.0385,-60.8717
SI_0817:                                 83.3373,4020.69,97.0093,-70.4825
SI_0818:                                 84.3887,4120.5,129.016,-90.1722
SI_0819:                                 86.6284,4071.66,96.2473,-69.7064
SI_0820:                                 85.3216,4077.33,115.032,-84.0811
SI_0821:                                 86.288,3986.98,107.295,-78.3049
SI_0822:                                 87.6495,4081.33,126.936,-88.9696
SI_0823:                                 85.7659,4053.55,109.44,-74.1068
SI_0824:                                 83.9969,4023.88,106.807,-74.0651
SI_0901:                                 81.9542,4026.03,30.5006,-26.2163
SI_0902:                                 84.5284,4068.87,43.6922,-34.2979
SI_0903:                                 81.7458,4065.76,79.7708,-57.8819
SI_0904:                                 82.451,3986.4,34.5817,-26.7863
SI_0905:                                 82.8959,4042.06,24.359,-20.6627
SI_0906:                                 84.1171,4000.95,54.3682,-39.8921
SI_0907:                                 81.3995,4029.18,77.779,-59.109
SI_0908:                                 82.9084,4060,23.2338,-19.8951
SI_0909:                                 88.3654,4051.77,142.822,-100.841
SI_0910:                                 86.3035,4067.18,136.388,-99.8509
SI_0911:                                 87.6753,4077.46,133.257,-97.0113
SI_0912:                                 87.6131,4119,123.312,-87.1691
SI_0913:                                 84.8468,4074.76,116.561,-88.055
SI_0914:                                 84.5416,4153.92,103.135,-75.1455
SI_0915:                                 83.1275,4024.95,156.117,-111.02
