# Electronic calibration generated using run 79
# for silicons of rings 6 & 7 with gain (4*sqrt(2))
RunList:                                 65000-199999
Signal:                                  PG
CalibType:                               Channel-Volt PG
CalibClass:                              FunctionCal
CalibOptions:                            func=pol3,min=0,max=1,inverse=true
SI_0601:                                 64.1622,1916.38,22.998,-9.03679
SI_0602:                                 60.4515,1965.22,22.1327,-8.70714
SI_0603:                                 58.5097,1938.29,23.2283,-8.82086
SI_0604:                                 59.6057,1938.82,20.1201,-7.989
SI_0605:                                 59.8009,1928.91,17.8628,-7.84004
SI_0606:                                 59.426,1929.49,25.793,-10.2414
SI_0607:                                 60.7073,1928.23,24.506,-9.49253
SI_0608:                                 58.0291,1943.56,26.4708,-9.14564
SI_0609:                                 50.6117,1942.21,19.5338,-6.56771
SI_0610:                                 61.3071,1943.84,18.8563,-7.36763
SI_0611:                                 61.3599,1915.84,20.8274,-8.8029
SI_0612:                                 59.6512,1927.17,19.8979,-8.22612
SI_0613:                                 60.2569,1993.81,21.8837,-8.84037
SI_0614:                                 61.7851,1989.39,21.4122,-8.78698
SI_0615:                                 59.7912,1970.95,18.4852,-7.36268
SI_0616:                                 59.7401,1985.54,22.8618,-9.1586
SI_0617:                                 47.0627,1925.42,17.6195,-7.669
SI_0618:                                 60.3712,1968.01,21.3934,-8.7272
SI_0619:                                 60.8397,1979.85,20.1436,-8.4219
SI_0620:                                 61.3807,1978.01,20.7803,-8.52191
SI_0621:                                 62.3568,1949.14,16.2079,-6.97014
SI_0622:                                 60.4832,1929.57,20.129,-8.37423
SI_0623:                                 59.7811,1924.26,13.2835,-5.75939
SI_0624:                                 61.004,1969.83,18.5827,-8.22816
SI_0701:                                 59.6271,1932.56,19.2398,-7.74789
SI_0702:                                 65.1692,1952,17.4097,-7.34906
SI_0703:                                 63.2494,1943.48,20.3187,-8.03113
SI_0704:                                 60.9662,1945.6,19.7311,-7.85111
SI_0705:                                 60.5902,1940.94,19.379,-7.82202
SI_0706:                                 61.7209,1911.75,18.9418,-7.74388
SI_0707:                                 62.0404,1910.72,23.2112,-9.02569
SI_0708:                                 61.4958,1968.42,18.4854,-7.44214
SI_0709:                                 76.3287,1895.39,25.1414,-9.83623
SI_0710:                                 73.5284,1921.52,27.8812,-10.2658
SI_0711:                                 73.7477,1880.15,19.5959,-7.9317
SI_0712:                                 74.5637,1937.52,20.6837,-8.30864
SI_0713:                                 74.7368,1945.98,22.4059,-9.3162
SI_0714:                                 75.8067,1970.2,21.6813,-8.96567
SI_0715:                                 73.9136,1903.54,32.2181,-11.8519
SI_0716:                                 75.0999,1951.77,32.2574,-11.0302
SI_0717:                                 75.4923,1939.38,21.0466,-7.13665
SI_0718:                                 77.95,1960.43,18.3512,-7.89367
SI_0719:                                 75.1769,1924,23.3859,-10.0312
SI_0720:                                 70.8577,1932.23,24.0009,-10.2363
SI_0721:                                 75.5818,1900.1,21.1167,-9.03423
SI_0722:                                 76.5444,1890.04,21.1105,-8.82308
SI_0723:                                 77.38,1856.61,24.0708,-9.26607
SI_0724:                                 74.9164,1925.4,22.7824,-8.77503
