# Electronic calibration generated using runs 11 & 12
# All silicons had maximum gain (8*sqrt(2))
RunList:                                 1000-64999
Signal:                                  PG
CalibType:                               Channel-Volt PG
CalibClass:                              FunctionCal
CalibOptions:                            func=pol3,min=0,max=1,inverse=true
SI_0601:                                 61.5946,3826.59,143.812,-104.405
SI_0602:                                 57.7842,3910.68,140.222,-100.895
SI_0603:                                 55.2489,3861.63,107.665,-78.5533
SI_0604:                                 57.0173,3849.21,137.629,-99.5006
SI_0605:                                 57.5659,3828.38,143.515,-108.736
SI_0606:                                 56.3485,3859.78,125.565,-91.6206
SI_0607:                                 57.8626,3848.44,123.44,-87.9639
SI_0608:                                 55.8809,3860.36,160.486,-109.024
SI_0609:                                 48.1958,3856.17,148.586,-99.8097
SI_0610:                                 58.7936,3861.01,136.668,-99.4904
SI_0611:                                 58.6954,3807.43,132.583,-97.738
SI_0612:                                 56.9404,3837.98,130.462,-96.6257
SI_0613:                                 57.3047,3960.1,137.462,-100.37
SI_0614:                                 58.22,3957.05,135.13,-102.543
SI_0615:                                 57.116,3917.08,139.04,-100.825
SI_0616:                                 57.3585,3951.2,150.359,-109.832
SI_0617:                                 44.6439,3848.88,63.6546,-49.538
SI_0618:                                 56.3909,3946.32,29.8979,-25.8018
SI_0619:                                 58.3411,3959.14,61.0767,-47.1379
SI_0620:                                 58.6033,3957.11,57.9887,-43.3415
SI_0621:                                 59.6814,3905.66,44.001,-34.3626
SI_0622:                                 57.5972,3870.89,47.7854,-35.5149
SI_0623:                                 56.6031,3844.06,38.8753,-30.7418
SI_0624:                                 58.3484,3937.69,56.3789,-42.7205
SI_0701:                                 56.263,3869.72,115.509,-88.8728
SI_0702:                                 63.3892,3866.01,201.005,-146.072
SI_0703:                                 60.7106,3854.66,145.592,-106.967
SI_0704:                                 59.6866,3852.33,202.219,-146.356
SI_0705:                                 56.0526,3885.48,62.7963,-48.8559
SI_0706:                                 60.0875,3793.42,149.501,-105.313
SI_0707:                                 59.6544,3799,137.917,-96.7425
SI_0708:                                 59.5856,3894.28,180.183,-130.218
SI_0709:                                 71.2076,3783.51,132.048,-96.3757
SI_0710:                                 69.2918,3824.56,146.816,-102.619
SI_0711:                                 68.8406,3735.61,129.096,-95.411
SI_0712:                                 69.7078,3854.04,134.217,-98.7216
SI_0713:                                 69.4085,3875,126.001,-95.9784
SI_0714:                                 70.7402,3926.52,110.343,-80.9381
SI_0715:                                 68.2797,3799.86,115.07,-76.7773
SI_0716:                                 69.5417,3897.17,135.641,-95.5476
SI_0717:                                 69.784,3889.58,57.4283,-42.7644
SI_0718:                                 72.6844,3924.99,52.5348,-42.257
SI_0719:                                 69.8477,3861.1,63.1592,-53.9599
SI_0720:                                 65.5436,3882.14,55.3223,-44.4772
SI_0721:                                 70.4173,3812.27,48.9183,-39.37
SI_0722:                                 71.1934,3792.71,47.769,-40.1134
SI_0723:                                 71.2931,3737.14,41.2524,-35.9992
SI_0724:                                 69.5096,3859.67,70.2044,-54.459
