# Electronic calibration generated using runs 11 & 12
# All silicons had maximum gain (8*sqrt(2))
Signal:                                  PG
CalibType:                               Channel-Volt PG
CalibClass:                              FunctionCal
CalibOptions:                            func=pol3,min=0,max=1,inverse=true
SI_0801:                                 71.9228,3979.44,32.1727,-27.9312
SI_0802:                                 70.9138,3978.88,31.5155,-27.9611
SI_0803:                                 71.7485,3940.32,25.0456,-21.1089
SI_0804:                                 70.8316,4033.61,42.9709,-34.9177
SI_0805:                                 70.9955,4005.66,48.8888,-36.442
SI_0806:                                 71.8125,3997.32,24.1108,-21.7471
SI_0807:                                 70.9351,3998.53,43.5328,-31.624
SI_0808:                                 64.2376,4043.46,24.3355,-22.564
SI_0809:                                 74.5845,3994.21,105.332,-78.5632
SI_0810:                                 74.02,4032.95,75.6104,-57.0695
SI_0811:                                 74.2181,4040.87,94.3523,-67.9957
SI_0812:                                 73.9411,4001.85,88.2506,-66.1813
SI_0813:                                 75.7931,3987.44,132.181,-94.1277
SI_0814:                                 75.8716,4044.79,123.328,-91.5288
SI_0815:                                 75.7984,4075.28,104.286,-77.0297
SI_0816:                                 75.9048,4112.78,74.0385,-60.8717
SI_0817:                                 83.3373,4020.69,97.0093,-70.4825
SI_0818:                                 84.3887,4120.5,129.016,-90.1722
SI_0819:                                 86.6284,4071.66,96.2473,-69.7064
SI_0820:                                 85.3216,4077.33,115.032,-84.0811
SI_0821:                                 86.288,3986.98,107.295,-78.3049
SI_0822:                                 87.6495,4081.33,126.936,-88.9696
SI_0823:                                 85.7659,4053.55,109.44,-74.1068
SI_0824:                                 83.9969,4023.88,106.807,-74.0651
SI_0901:                                 81.9542,4026.03,30.5006,-26.2163
SI_0902:                                 84.5284,4068.87,43.6922,-34.2979
SI_0903:                                 81.7458,4065.76,79.7708,-57.8819
SI_0904:                                 82.451,3986.4,34.5817,-26.7863
SI_0905:                                 82.8959,4042.06,24.359,-20.6627
SI_0906:                                 84.1171,4000.95,54.3682,-39.8921
SI_0907:                                 81.3995,4029.18,77.779,-59.109
SI_0908:                                 82.9084,4060,23.2338,-19.8951
SI_0909:                                 88.3654,4051.77,142.822,-100.841
SI_0910:                                 86.3035,4067.18,136.388,-99.8509
SI_0911:                                 87.6753,4077.46,133.257,-97.0113
SI_0912:                                 87.6131,4119,123.312,-87.1691
SI_0913:                                 84.8468,4074.76,116.561,-88.055
SI_0914:                                 84.5416,4153.92,103.135,-75.1455
SI_0915:                                 83.1275,4024.95,156.117,-111.02
SI_0916:                                 84.4075,4162.97,129.048,-89.8758
SI_0917:                                 83.3507,4091.35,108.081,-78.2467
SI_0918:                                 88.1319,4027.81,162.73,-114.623
SI_0919:                                 81.2106,3908.27,132.98,-85.5921
SI_0920:                                 85.0051,4070.38,87.7894,-62.4327
SI_0921:                                 87.0155,4010.92,95.7237,-69.4803
SI_0922:                                 86.4923,4052.1,77.0467,-55.7155
SI_0923:                                 79.4065,4014.57,59.4455,-47.8722
SI_0924:                                 89.4088,4021.84,101.352,-70.9517
