# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_111
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<NAME> ID_SI1_SI2_111
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_111
<PARAMETER> Runlist=12-43
+KVIDZALine
ID:Z=1 A=1
1	1
30
1.32147   21.4295
1.72057   21.0979
3.5848   19.6536
5.04802   18.6273
6.32521   17.8002
7.49094   17.0963
8.58196   16.4782
9.61973   15.9245
10.618   15.4211
11.5865   14.9583
12.532   14.5295
13.4601   14.1293
14.3745   13.7538
15.2788   13.3999
16.1755   13.0649
17.0672   12.7468
17.9555   12.444
18.8423   12.1548
19.7288   11.878
20.6166   11.6127
21.5065   11.3578
22.4   11.1126
23.2977   10.8763
24.2005   10.6484
25.1092   10.4282
26.0247   10.2153
26.9478   10.0091
27.8789   9.80938
28.8189   9.61569
29.7682   9.42774
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.33167   28.8164
2.43094   27.9279
4.694   26.2373
6.55439   24.9701
8.20879   23.9257
9.73494   23.0253
11.1732   22.2277
12.5484   21.5083
13.8762   20.8509
15.1682   20.2442
16.4328   19.68
17.6765   19.1519
18.9042   18.6551
20.1202   18.1855
21.3276   17.7403
22.5296   17.3167
23.7285   16.9125
24.9264   16.5262
26.125   16.1558
27.3263   15.8001
28.5315   15.4581
29.7421   15.1286
30.9594   14.8107
32.1844   14.5038
33.4183   14.2068
34.662   13.9194
35.9165   13.6409
37.1829   13.3709
38.4617   13.1087
39.7537   12.854
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.943014   34.3477
2.53558   33.0727
5.14749   31.1458
7.31862   29.6837
9.2603   28.471
11.0579   27.4213
12.7566   26.4887
14.3839   25.6454
15.9578   24.8734
17.4917   24.1596
18.9947   23.4946
20.4744   22.8718
21.9365   22.2847
23.3858   21.7298
24.8264   21.2028
26.2612   20.7009
27.6934   20.2217
29.1252   19.7632
30.5591   19.3233
31.9968   18.9007
33.4402   18.4939
34.8907   18.1017
36.35   17.7232
37.8193   17.3575
39.2999   17.0034
40.7928   16.6606
42.2996   16.3282
43.8212   16.0057
45.3586   15.6926
46.7369   15.3882
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.776625   79.4325
7.80327   73.4706
13.9577   68.8022
18.9742   65.3262
23.4064   62.4788
27.4741   60.0361
31.2921   57.8821
34.9297   55.9464
38.4324   54.1831
41.8319   52.5608
45.1518   51.0563
48.4106   49.6511
51.6216   48.333
54.7968   47.0897
57.945   45.9135
61.0748   44.7966
64.1922   43.7329
67.3032   42.7177
70.4129   41.7465
73.526   40.8154
76.6463   39.9214
79.7773   39.0613
82.9229   38.2327
86.0853   37.4337
89.2682   36.6623
92.4737   35.9165
95.7043   35.1947
98.9628   34.4956
102.251   33.8178
105.163   33.1605
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.490888   89.7958
8.18742   83.3632
15.0719   78.1672
20.7169   74.2718
25.7192   71.0689
30.3187   68.3148
34.6416   65.8814
38.7642   63.692
42.7366   61.6954
46.5943   59.8566
50.364   58.1496
54.0657   56.555
57.7145   55.0573
61.3236   53.6446
64.9034   52.3066
68.4626   51.0357
72.0089   49.8249
75.5491   48.6688
79.0882   47.5619
82.6321   46.5009
86.1843   45.4812
89.7501   44.5002
93.3322   43.5551
96.935   42.6432
100.561   41.7622
104.213   40.9105
107.896   40.0862
111.609   39.2874
115.358   38.5127
119.026   37.7612
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.562478   105.855
8.99459   99.021
16.9023   93.1377
23.4861   88.6491
29.3642   84.9248
34.794   81.704
39.9134   78.8466
44.8068   76.2673
49.5306   73.9092
54.1249   71.733
58.6199   69.7093
63.0374   67.8157
67.3963   66.0346
71.7112   64.3527
75.9935   62.7579
80.2546   61.2418
84.5021   59.7958
88.7442   58.4139
92.9878   57.0901
97.2383   55.8196
101.501   54.5983
105.781   53.4224
110.083   52.2887
114.411   51.1941
118.768   50.1365
123.16   49.1126
127.587   48.1217
132.055   47.1609
136.565   46.2287
140.838   45.3239
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.42058   169.345
14.8875   157.605
27.6046   148.092
38.1862   140.825
47.6109   134.809
56.2982   129.618
64.4747   125.021
72.279   120.878
79.8039   117.096
87.1154   113.612
94.2619   110.373
101.281   107.347
108.2   104.504
115.046   101.821
121.837   99.2804
128.589   96.8661
135.319   94.5659
142.034   92.3685
148.751   90.2655
155.476   88.2483
162.219   86.3109
168.986   84.4459
175.786   82.6491
182.624   80.9158
189.508   79.2413
196.442   77.622
203.432   76.0549
210.484   74.5365
217.602   73.0639
224.392   71.635
+KVIDZALine
ID:Z=3 A=7
3	7
30
1.47331   179.475
15.0622   168.497
28.5012   158.491
39.7455   150.796
49.7853   144.407
59.0536   138.882
67.7854   133.982
76.1265   129.563
84.1736   125.525
91.9958   121.802
99.644   118.341
107.158   115.104
114.569   112.061
121.903   109.189
129.178   106.468
136.416   103.881
143.628   101.415
150.829   99.0602
158.031   96.8046
165.243   94.6411
172.474   92.562
179.733   90.561
187.029   88.6326
194.368   86.7715
201.754   84.9732
209.197   83.2342
216.701   81.5504
224.27   79.9191
231.912   78.3372
239.271   76.8017
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.28016   189.505
15.1512   178.456
29.2239   168.027
41.0621   159.956
51.6578   153.232
61.4534   147.408
70.6917   142.237
79.5224   137.567
88.0467   133.296
96.3365   129.358
104.446   125.692
112.414   122.263
120.276   119.039
128.059   115.993
135.78   113.107
143.464   110.362
151.121   107.745
158.768   105.245
166.417   102.85
174.078   100.552
181.762   98.3426
189.476   96.2162
197.23   94.1663
205.029   92.1878
212.881   90.2759
220.794   88.4262
228.772   86.6355
236.822   84.8999
244.949   83.2164
252.844   81.5821
+KVIDZALine
ID:Z=3 A=9
3	9
30
0.495634   199.049
15.558   187.361
30.1064   176.651
42.4352   168.29
53.5066   161.296
63.7627   155.22
73.4474   149.819
82.7139   144.932
91.6658   140.462
100.377   136.331
108.901   132.485
117.282   128.888
125.553   125.501
133.741   122.3
141.871   119.267
149.958   116.38
158.023   113.628
166.078   110.996
174.135   108.475
182.206   106.055
190.303   103.729
198.433   101.488
206.604   99.3282
214.827   97.2426
